simulation_number,mutual_information,entropy,conditional_entropy,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB
0,0.037715234151690646,1.0821955300387671,1.0444802958870765,tadji,mwana,tadji,tadji,tadji,mwana,tadji,mwana,mwana,mwana,tadji,mwana,tadji,tadji,mwana,mwana,tadji,mwana,mwana,tadji,ngudji,tadji,tadji,ngudji,katsi,tadji,tadji,ngudji,tadji,ngudji,tadji,katsi,katsi
1,0.07683406322281372,0.9002560512685369,0.8234219880457232,tadji,mwana,mwana,mwana,tadji,tadji,tadji,mwana,mwana,mwana,tadji,tadji,tadji,tadji,mwana,mwana,tadji,tadji,mwana,mwana,katsi,tadji,tadji,tadji,ngudji,tadji,ngudji,ngudji,tadji,tadji,katsi,katsi,ngudji
2,0.12479369092811154,1.0397207708399179,0.9149270799118063,mwana,mwana,mwana,tadji,mwana,mwana,tadji,mwana,tadji,tadji,mwana,tadji,tadji,tadji,mwana,tadji,tadji,mwana,tadji,mwana,tadji,tadji,tadji,tadji,tadji,katsi,ngudji,katsi,ngudji,ngudji,tadji,ngudji,katsi
3,0.16809540414701063,0.9002560512685369,0.7321606471215263,mwana,tadji,mwana,tadji,tadji,mwana,tadji,mwana,tadji,tadji,tadji,mwana,tadji,tadji,mwana,tadji,mwana,mwana,mwana,mwana,katsi,ngudji,ngudji,ngudji,katsi,tadji,tadji,katsi,ngudji,tadji,tadji,tadji,tadji
4,0.0854867468530578,0.9743147528693494,0.8888280060162916,mwana,mwana,tadji,mwana,mwana,tadji,tadji,mwana,mwana,mwana,tadji,mwana,tadji,mwana,tadji,tadji,mwana,tadji,tadji,tadji,katsi,tadji,tadji,tadji,ngudji,katsi,tadji,ngudji,ngudji,tadji,tadji,ngudji,katsi
5,0.12774893816960342,0.6615632381579821,0.5338142999883787,tadji,tadji,tadji,mwana,tadji,mwana,mwana,mwana,mwana,mwana,mwana,mwana,tadji,tadji,tadji,mwana,mwana,tadji,tadji,tadji,katsi,tadji,tadji,tadji,tadji,katsi,ngudji,ngudji,ngudji,tadji,katsi,tadji,ngudji
6,0.084203474008818,1.0821955300387671,0.9979920560299491,tadji,tadji,mwana,mwana,mwana,mwana,mwana,tadji,tadji,tadji,mwana,mwana,mwana,tadji,tadji,tadji,mwana,tadji,mwana,tadji,tadji,ngudji,ngudji,katsi,tadji,ngudji,katsi,katsi,tadji,ngudji,tadji,tadji,tadji
7,0.004720112603135318,0.5623351446188083,0.557615032015673,tadji,mwana,tadji,mwana,mwana,tadji,mwana,tadji,tadji,mwana,tadji,tadji,mwana,mwana,mwana,tadji,tadji,mwana,tadji,mwana,ngudji,tadji,tadji,tadji,katsi,katsi,ngudji,ngudji,tadji,katsi,tadji,ngudji,tadji
8,0.05315676006221404,0.6615632381579821,0.6084064780957681,mwana,tadji,mwana,mwana,mwana,tadji,tadji,mwana,tadji,tadji,mwana,tadji,tadji,mwana,mwana,mwana,mwana,tadji,tadji,tadji,katsi,tadji,ngudji,ngudji,katsi,ngudji,tadji,tadji,ngudji,tadji,katsi,tadji,tadji
9,0.07905149545986534,1.0821955300387673,1.003144034578902,tadji,mwana,tadji,mwana,tadji,mwana,mwana,mwana,tadji,tadji,mwana,tadji,tadji,tadji,mwana,tadji,mwana,mwana,mwana,tadji,ngudji,tadji,katsi,tadji,tadji,tadji,katsi,katsi,ngudji,tadji,ngudji,tadji,ngudji
