simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,mFZD,mMBD,mFZS,mMBS,mFBeS,mFByS,mFBeD,mFByD,mMZeS,mMZyS,mMZeD,mMZyD,fyB,feZ,fFZD,fMBD,fFZS,fMBS,fFBeS,fFByS,fFBeD,fFByD,fMZyS,fMZeD,fMZyD,meB,myZ,feB,fyZ,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFZ,mMB,mMeZ,fF,fM,fFZ,fMB,fMeZ,mFeB,mFyB,mMyZ,fFeB,fFyB,fMyZ,mFeZ,mFyZ,mMeB,mMyB,fFeZ,fFyZ,fMeB,fMyB
0,0.27208241160959057,1.756378153185058,1.4842957415754674,macchan,macchan,madini,akka,annan,akka,macchan,madini,macchan,macchan,macchan,annan,aniyan,thankacchi,madini,madini,aniyan,macchan,akka,macchan,aniyan,madini,macchan,madini,macchan,aniyan,aniyan,annan,madini,annan,macchan,macchan,thankacchi,akka,macchan,macchan,macchan,madini,madini,macchan,madini,thankachi,macchan,annan,madini,madini,macchan,thankacchi,thankachi,madini,akka,akka,madini,aniyan,thankacchi,madini,madini,madini,madini,macchan,madini,macchan,madini,mama,mami,chittappan,aatha,periyamma,periyappan,mama,mami,aatha,mami,periyamma,chinnamma,mami,ayya,mama,chittappan,mami,mami,chinnamma,periyappan,mama,mama,mama,ayya
1,0.47871364604078637,1.8806359195165434,1.401922273475757,akka,aniyan,aniyan,macchan,madini,macchan,madini,madini,madini,macchan,madini,annan,macchan,madini,macchan,thankachi,akka,macchan,macchan,akka,akka,annan,macchan,madini,madini,aniyan,annan,madini,madini,akka,aniyan,madini,madini,madini,annan,madini,macchan,madini,annan,macchan,thankacchi,madini,thankacchi,akka,macchan,macchan,thankacchi,thankacchi,madini,aniyan,macchan,macchan,macchan,madini,madini,aniyan,macchan,macchan,madini,macchan,macchan,thankachi,macchan,mami,ayya,chinnamma,mama,ayya,mama,periyappan,mama,periyamma,chinnamma,mami,aatha,mami,mama,mami,periyamma,mama,aatha,periyappan,mami,mami,chittappan,chittappan,mama
2,0.4011483775239766,1.765227011553477,1.3640786340295004,macchan,madini,macchan,thankachi,macchan,annan,macchan,aniyan,madini,madini,madini,madini,thankacchi,annan,madini,macchan,madini,annan,macchan,akka,annan,macchan,macchan,madini,madini,madini,macchan,macchan,macchan,aniyan,thankachi,akka,akka,madini,madini,macchan,macchan,macchan,akka,aniyan,macchan,macchan,thankacchi,madini,macchan,madini,annan,macchan,thankacchi,madini,macchan,akka,madini,madini,akka,madini,madini,aniyan,madini,thankacchi,macchan,aniyan,aniyan,mami,periyappan,mama,mama,chinnamma,ayya,mami,mama,chinnamma,aatha,mami,mami,aatha,mama,chittappan,mama,periyamma,mami,mami,chittappan,periyappan,mama,ayya,periyamma
3,0.2792540691463874,1.729033401824758,1.4497793326783706,annan,macchan,thankacchi,madini,annan,aniyan,madini,macchan,akka,madini,madini,macchan,macchan,macchan,thankachi,madini,akka,thankacchi,macchan,akka,annan,macchan,macchan,macchan,aniyan,madini,aniyan,thankacchi,macchan,madini,akka,madini,madini,macchan,annan,macchan,macchan,macchan,macchan,aniyan,thankachi,macchan,madini,madini,madini,macchan,madini,madini,akka,madini,macchan,madini,aniyan,madini,annan,madini,thankacchi,aniyan,macchan,madini,akka,macchan,madini,mami,ayya,periyappan,chinnamma,aatha,mami,mama,mami,periyappan,chittappan,mama,mami,aatha,mami,chittappan,mami,mama,mama,periyamma,mama,ayya,chinnamma,mama,periyamma
4,0.41044878975835575,1.775073142006053,1.3646243522476973,thankacchi,thankacchi,madini,macchan,madini,madini,macchan,macchan,annan,madini,madini,madini,madini,madini,aniyan,macchan,madini,annan,macchan,madini,macchan,macchan,aniyan,macchan,madini,madini,annan,macchan,annan,macchan,madini,aniyan,madini,macchan,macchan,madini,thankacchi,akka,macchan,aniyan,macchan,madini,akka,akka,akka,aniyan,thankachi,madini,thankachi,aniyan,madini,akka,macchan,macchan,macchan,madini,macchan,macchan,thankacchi,akka,macchan,madini,annan,mami,mami,mama,ayya,chinnamma,mami,mama,aatha,mami,mama,periyappan,mama,ayya,aatha,periyamma,mama,chittappan,mami,mami,mama,chinnamma,periyappan,chittappan,periyamma
5,0.25013890173332864,1.7158981565452645,1.4657592548119358,thankacchi,madini,macchan,aniyan,akka,madini,madini,annan,aniyan,thankachi,akka,macchan,madini,annan,macchan,annan,madini,thankacchi,macchan,macchan,madini,annan,akka,macchan,macchan,macchan,madini,aniyan,madini,macchan,madini,thankacchi,thankacchi,madini,madini,madini,thankachi,macchan,madini,akka,madini,macchan,macchan,macchan,madini,madini,macchan,akka,aniyan,macchan,macchan,madini,aniyan,madini,macchan,aniyan,macchan,madini,annan,macchan,madini,macchan,akka,mama,mami,mama,chittappan,mami,periyappan,mami,mama,aatha,ayya,aatha,chinnamma,mami,mama,chinnamma,periyamma,ayya,chittappan,mami,mami,mama,mama,periyamma,periyappan
6,0.47743918797210516,1.9797370058224177,1.5022978178503126,aniyan,madini,macchan,macchan,madini,annan,madini,madini,thankacchi,aniyan,macchan,macchan,macchan,macchan,macchan,aniyan,annan,annan,macchan,thankacchi,akka,madini,aniyan,madini,macchan,aniyan,annan,madini,aniyan,madini,macchan,madini,macchan,thankacchi,madini,madini,macchan,macchan,madini,akka,madini,akka,madini,macchan,madini,macchan,thankachi,akka,macchan,madini,thankacchi,madini,madini,akka,madini,thankachi,macchan,akka,annan,madini,macchan,macchan,macchan,ayya,mami,periyappan,mama,mami,aatha,mama,chittappan,chinnamma,mama,mami,periyamma,mami,chittappan,ayya,mama,mama,periyappan,chinnamma,mami,aatha,periyamma,mami,mama
7,0.49022524782099364,1.7949812394891587,1.304755991668165,annan,macchan,macchan,madini,madini,madini,thankachi,madini,thankacchi,thankachi,macchan,thankacchi,akka,macchan,aniyan,thankacchi,akka,macchan,thankacchi,macchan,macchan,akka,aniyan,madini,macchan,madini,macchan,madini,annan,aniyan,aniyan,aniyan,akka,madini,madini,annan,macchan,madini,akka,madini,madini,madini,macchan,madini,madini,macchan,madini,macchan,macchan,madini,macchan,madini,macchan,macchan,madini,annan,macchan,akka,madini,macchan,annan,aniyan,macchan,chinnamma,chinnamma,mami,mami,mama,mami,aatha,aatha,mami,mami,periyappan,mama,mama,mama,mama,periyamma,periyamma,mama,mami,chittappan,ayya,chittappan,ayya,periyappan
8,0.509331212617598,1.7506382302957844,1.2413070176781864,madini,annan,macchan,aniyan,macchan,macchan,madini,madini,akka,macchan,macchan,thankacchi,annan,macchan,madini,macchan,macchan,macchan,akka,thankachi,macchan,madini,madini,akka,thankacchi,macchan,madini,madini,madini,akka,madini,macchan,macchan,thankachi,madini,madini,annan,aniyan,annan,madini,madini,macchan,madini,madini,aniyan,macchan,madini,madini,madini,madini,annan,macchan,aniyan,macchan,macchan,macchan,aniyan,akka,aniyan,akka,thankacchi,thankacchi,macchan,ayya,aatha,mama,mama,mama,ayya,periyamma,mama,mami,mami,aatha,chinnamma,chittappan,mama,mami,chittappan,mami,mami,periyappan,periyamma,periyappan,mami,chinnamma,mama
9,0.4325291564537104,1.8779698118638308,1.4454406554101205,madini,madini,aniyan,akka,macchan,macchan,macchan,madini,thankacchi,macchan,macchan,akka,aniyan,thankacchi,aniyan,macchan,macchan,madini,akka,madini,madini,madini,macchan,macchan,macchan,macchan,madini,madini,madini,macchan,macchan,akka,thankacchi,aniyan,akka,macchan,madini,annan,annan,madini,madini,macchan,madini,madini,madini,macchan,madini,annan,annan,macchan,thankachi,thankacchi,madini,aniyan,macchan,macchan,macchan,thankachi,madini,akka,aniyan,madini,annan,mami,mami,periyamma,mama,chinnamma,aatha,mami,periyappan,chinnamma,mama,chittappan,mama,ayya,mama,mama,periyappan,chittappan,mami,ayya,mami,mami,aatha,mama,periyamma
