simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ,mF,fF,mM,fM
0,0.009712321564457671,0.5837528405804565,0.5740405190159988,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqora,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,kookoqo,kookoqo,kookoqo,kookoqo,nainaqa,maamaqa,kookoqo,kookoqo,kookoqo,maamaqa,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,nainaqa
1,0.013284639799697406,0.6582453130099911,0.6449606732102937,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,maamaqa,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,nainaqa,kookoqo,kookoqo,maamaqa,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,nainaqa,kookoqo
2,0.0037203326829092775,0.6227842096101723,0.6190638769272631,doqorarua,doqora,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,nainaqa,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,maamaqa,maamaqa,kookoqo,kookoqo,nainaqa
3,0.012576071587028337,0.625484967268576,0.6129088956815477,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqora,doqorarua,doqorarua,doqorarua,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,nainaqa,kookoqo,kookoqo,nainaqa,kookoqo,maamaqa,maamaqa,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo
4,0.05197147448121825,0.5503536168824767,0.4983821424012585,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,nainaqa,nainaqa,kookoqo,kookoqo,maamaqa,kookoqo,kookoqo,maamaqa,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo
5,0.0269352924658941,0.6582453130099911,0.631310020544097,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,kookoqo,kookoqo,maamaqa,maamaqa,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,nainaqa,kookoqo,kookoqo,nainaqa,kookoqo,kookoqo,kookoqo
6,0.014403084325716575,0.625484967268576,0.6110818829428595,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,nainaqa,kookoqo,kookoqo,maamaqa,kookoqo,maamaqa,kookoqo,kookoqo,nainaqa,kookoqo,kookoqo,kookoqo,kookoqo
7,0.01009853891338619,0.625484967268576,0.6153864283551899,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,kookoqo,maamaqa,kookoqo,kookoqo,kookoqo,maamaqa,kookoqo,nainaqa,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,nainaqa,kookoqo,kookoqo,kookoqo,kookoqo
8,0.029970436368048636,0.625484967268576,0.5955145309005274,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,maamaqa,kookoqo,kookoqo,kookoqo,nainaqa,kookoqo,kookoqo,nainaqa,kookoqo,kookoqo,kookoqo,maamaqa,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo
9,0.029697612713904253,0.625484967268576,0.5957873545546718,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqora,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqora,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,doqorarua,kookoqo,nainaqa,maamaqa,maamaqa,nainaqa,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo,kookoqo
