simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,mFZD,mFBD,mMBD,mMZD,mFZS,mMBS,mFBeS,mFByS,mMZeS,mMZyS,meZ,myZ,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mMeZD,mMyZD,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeD,mMZyD,fB,fFZD,fFBD,fMBD,fMZD,fFZS,fMBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fMeZD,fMyZD,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZeD,fMZyD,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB,mF,fF
0,0.0907222621436874,1.3750256723585594,1.284303410214872,mwanyikami,muhela,musonoi,muhela,musonoi,muhela,mwanyikami,yaya,musonoi,musonoi,muhela,yaya,musonoi,muhela,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,muhela,muhela,musonoi,musonoi,muhela,muhela,musonoi,muhela,yaya,muhela,musonoi,musonoi,muhela,musonoi,musonoi,muhela,mwanyikami,muhela,muhela,musonoi,musonoi,manakwami,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,musonoi,tata,mandumi,mandumi,tatankaji,mama,mama,tatankaji,mama,mandumi,tata,mandumi,tata,tatankaji,tata,tatankaji,mandumi,tata,tatankaji,mama,mama,mandumi,mama,mama,tata,tata,tatankaji,tata,mama
1,0.16136311462073039,1.346428628169238,1.1850655135485075,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,muhela,muhela,musonoi,mwanyikami,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,muhela,musonoi,musonoi,muhela,muhela,musonoi,yaya,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,muhela,muhela,musonoi,musonoi,muhela,musonoi,musonoi,muhela,muhela,musonoi,mwanyikami,musonoi,muhela,musonoi,yaya,musonoi,muhela,muhela,manakwami,musonoi,muhela,musonoi,muhela,musonoi,musonoi,muhela,musonoi,yaya,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,mwanyikami,musonoi,muhela,musonoi,tatankaji,mandumi,mandumi,mama,mama,mandumi,mama,tatankaji,mama,tata,mama,mandumi,tata,mandumi,mama,mandumi,mama,tata,mama,tatankaji,tatankaji,tata,tata,tata,tata,tatankaji,tata,tatankaji
2,0.08359527978233094,1.2760759367043137,1.1924806569219828,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,muhela,muhela,musonoi,musonoi,muhela,musonoi,muhela,musonoi,musonoi,muhela,muhela,muhela,muhela,musonoi,muhela,mwanyikami,muhela,muhela,manakwami,yaya,musonoi,musonoi,mwanyikami,musonoi,musonoi,muhela,muhela,musonoi,musonoi,musonoi,musonoi,muhela,mwanyikami,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,yaya,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,muhela,musonoi,yaya,musonoi,musonoi,muhela,musonoi,musonoi,muhela,musonoi,musonoi,muhela,mandumi,mama,mama,mama,tata,tatankaji,mandumi,tata,tata,mandumi,tatankaji,tatankaji,tata,mandumi,mandumi,mama,mama,mama,tata,tata,mama,tata,tatankaji,mandumi,mama,tatankaji,tata,tatankaji
3,0.12786256032197363,1.3105742422723934,1.1827116819504198,mwanyikami,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,yaya,musonoi,muhela,musonoi,yaya,muhela,musonoi,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,muhela,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,muhela,musonoi,muhela,muhela,muhela,manakwami,musonoi,musonoi,muhela,muhela,musonoi,muhela,muhela,musonoi,musonoi,muhela,musonoi,musonoi,mwanyikami,musonoi,muhela,muhela,musonoi,mwanyikami,musonoi,muhela,yaya,muhela,musonoi,musonoi,musonoi,tatankaji,tata,tata,mama,mama,mandumi,tatankaji,tatankaji,tata,mandumi,mandumi,mandumi,tatankaji,mama,tata,tata,mama,tata,mama,mama,mandumi,tata,mama,tatankaji,mama,mandumi,tata,tatankaji
4,0.10548798851145236,1.3637135860941272,1.2582255975826748,muhela,muhela,musonoi,musonoi,musonoi,musonoi,mwanyikami,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,muhela,yaya,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,mwanyikami,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,yaya,muhela,musonoi,muhela,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,musonoi,muhela,muhela,mwanyikami,musonoi,yaya,muhela,musonoi,musonoi,muhela,manakwami,muhela,muhela,musonoi,muhela,muhela,musonoi,muhela,muhela,mandumi,tatankaji,mama,mandumi,tatankaji,mandumi,mandumi,tata,mama,mama,mama,mama,tata,tata,mandumi,mama,mama,tatankaji,mandumi,tata,tatankaji,tata,tatankaji,mama,tata,tatankaji,tata,tata
5,0.1359823650686467,1.3679736924032464,1.2319913273345997,musonoi,mwanyikami,musonoi,muhela,musonoi,muhela,musonoi,musonoi,muhela,musonoi,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,muhela,muhela,musonoi,musonoi,muhela,muhela,muhela,musonoi,musonoi,musonoi,muhela,mwanyikami,musonoi,yaya,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,manakwami,musonoi,musonoi,musonoi,mwanyikami,muhela,musonoi,musonoi,yaya,muhela,musonoi,musonoi,muhela,yaya,muhela,muhela,muhela,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,muhela,mandumi,tata,tatankaji,tata,mandumi,mama,tata,tata,tatankaji,tata,mama,tata,mandumi,tata,mama,mama,mama,mama,tatankaji,mandumi,mandumi,tatankaji,tata,tatankaji,mandumi,tatankaji,mama,mama
6,0.1472620891304146,1.3792956821301525,1.232033592999738,musonoi,musonoi,manakwami,muhela,musonoi,mwanyikami,musonoi,muhela,muhela,musonoi,mwanyikami,musonoi,muhela,muhela,muhela,mwanyikami,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,yaya,musonoi,muhela,musonoi,musonoi,musonoi,muhela,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,muhela,musonoi,musonoi,musonoi,muhela,muhela,musonoi,muhela,musonoi,musonoi,musonoi,muhela,muhela,yaya,yaya,musonoi,musonoi,musonoi,muhela,muhela,muhela,musonoi,musonoi,mama,mama,mama,mandumi,tata,mandumi,mama,tatankaji,tatankaji,mandumi,mandumi,tata,tatankaji,mama,tata,tata,mandumi,tatankaji,tatankaji,tata,mama,tatankaji,mama,tata,tata,mama,mandumi,tata
7,0.116656465635681,1.352349864399515,1.235693398763834,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,muhela,musonoi,musonoi,muhela,yaya,muhela,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,muhela,musonoi,musonoi,mwanyikami,musonoi,muhela,musonoi,musonoi,musonoi,muhela,yaya,musonoi,musonoi,muhela,muhela,musonoi,muhela,musonoi,musonoi,musonoi,muhela,muhela,muhela,manakwami,musonoi,muhela,musonoi,musonoi,musonoi,muhela,mwanyikami,musonoi,muhela,musonoi,musonoi,musonoi,muhela,mwanyikami,muhela,yaya,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,tata,tata,mandumi,mama,tata,mama,tatankaji,tata,mama,mandumi,mandumi,mandumi,tatankaji,mandumi,tata,tatankaji,mama,mama,mama,tatankaji,tatankaji,tata,tata,tata,mandumi,tatankaji,mama,mama
8,0.169286529355132,1.3519484949398162,1.1826619655846842,muhela,musonoi,mwanyikami,musonoi,musonoi,musonoi,mwanyikami,musonoi,muhela,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,manakwami,musonoi,muhela,muhela,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,musonoi,muhela,muhela,musonoi,musonoi,muhela,muhela,muhela,muhela,yaya,musonoi,yaya,muhela,muhela,musonoi,musonoi,mwanyikami,musonoi,musonoi,muhela,musonoi,muhela,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,muhela,yaya,muhela,muhela,musonoi,muhela,musonoi,musonoi,muhela,musonoi,mandumi,tata,tatankaji,mama,mama,mandumi,mama,tata,mama,mama,tata,mama,tata,mandumi,tata,mandumi,tata,mama,mama,mandumi,tata,tatankaji,tatankaji,tatankaji,tata,tatankaji,mandumi,tatankaji
9,0.12890803685476437,1.3679736924032462,1.2390656555484818,musonoi,muhela,musonoi,muhela,yaya,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,yaya,muhela,musonoi,musonoi,musonoi,muhela,muhela,musonoi,muhela,musonoi,muhela,muhela,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,muhela,musonoi,musonoi,muhela,musonoi,musonoi,musonoi,musonoi,muhela,musonoi,musonoi,mwanyikami,musonoi,muhela,mwanyikami,musonoi,musonoi,mwanyikami,muhela,musonoi,musonoi,musonoi,muhela,muhela,musonoi,musonoi,musonoi,muhela,yaya,muhela,muhela,muhela,musonoi,musonoi,musonoi,musonoi,manakwami,musonoi,musonoi,tatankaji,mama,tata,tata,tata,tata,tata,mama,tatankaji,mama,tatankaji,mandumi,tatankaji,tata,tatankaji,tata,mandumi,mandumi,tata,mama,mandumi,mama,mama,mandumi,tatankaji,mama,mandumi,mama
