simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.08590927619874544,0.5982695885852573,0.5123603123865118,hai,kaka,kaka,hai,hai,hai,kaka,naina,naina,ama,naina,naina,maama,naina,naina,maama,maama,ina,maama,ama,naina,maama,naina,maama,maama,ina,maama
1,0.004143433819589815,0.5982695885852573,0.5941261547656674,hai,kaka,kaka,hai,kaka,hai,hai,maama,maama,maama,ama,ina,naina,ina,naina,naina,maama,naina,ama,naina,maama,naina,maama,naina,maama,naina,maama
2,0.08590927619874544,0.5982695885852573,0.5123603123865118,hai,kaka,kaka,hai,hai,kaka,hai,naina,naina,maama,naina,naina,naina,maama,maama,maama,ama,ama,naina,maama,ina,ina,naina,maama,maama,naina,maama
3,0.18078686817343348,1.0346012329101812,0.8538143647367478,hai,kaka,kaka,hai,hai,kaka,hai,maama,naina,ina,maama,ama,naina,maama,maama,maama,naina,naina,ina,maama,ama,maama,maama,naina,naina,naina,naina
4,0.08878194993480426,0.9799711820833054,0.8911892321485011,hai,hai,hai,kaka,kaka,hai,kaka,ama,naina,maama,maama,ama,naina,naina,maama,naina,naina,maama,naina,maama,maama,ina,naina,naina,maama,ina,maama
5,0.03149081771477463,0.5195798391305154,0.4880890214157408,hai,hai,hai,kaka,kaka,kaka,hai,naina,maama,naina,naina,naina,maama,maama,maama,ina,maama,naina,ama,naina,maama,maama,ina,ama,maama,naina,naina
6,0.14154370304024,0.5195798391305154,0.3780361360902754,hai,kaka,hai,hai,hai,kaka,kaka,maama,naina,naina,naina,ina,maama,naina,maama,maama,naina,maama,naina,naina,ina,maama,maama,ama,naina,ama,maama
7,0.014032215111297486,0.6829081047004717,0.6688758895891742,kaka,kaka,hai,hai,hai,hai,kaka,maama,maama,ina,ina,maama,maama,ama,naina,naina,naina,naina,maama,naina,ama,maama,naina,naina,maama,maama,naina
8,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,hai,kaka,hai,hai,hai,kaka,kaka,maama,naina,naina,maama,naina,ina,ina,maama,maama,naina,maama,ama,naina,naina,naina,maama,naina,maama,maama,ama
9,0.08878194993480437,1.3760552852604169,1.2872733353256125,hai,hai,hai,kaka,kaka,kaka,hai,ina,maama,naina,ama,maama,naina,maama,ina,naina,naina,ama,naina,maama,maama,naina,naina,maama,maama,naina,maama
