simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,mFZD,mMBD,mFeZD,mFyZD,mMeBD,mMyBD,mFZeD,mFZyD,mMBeD,mMByD,fB,fyZ,fFZD,fMBD,fFeZD,fFyZD,fMeBD,fMyBD,fFZeD,fFZyD,fMBeD,fMByD,mFZS,mMBS,mFeBS,mFyBS,mMeZS,mMyZS,mFeZS,mFyZS,mMeBS,mMyBS,mFZeS,mFZyS,mMBeS,mMByS,feZ,fFZS,fMBS,fFeBD,fMeZD,fMyZD,fFeZS,fFyZS,fMeBS,fMyBS,fFZeS,fFZyS,fMBeS,fMByS,mF,mM,mFB,mFZ,mMB,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,mMZ,mMeZ,mMyZ,fMZ,fMeZ,fMyZ
0,0.2393400483929744,1.5908908673978581,1.3515508190048837,mukulu,mushinja,muzaala,mulumuna,muzaala,muzaala,muzåala,muzåala,båabaa,muzåala,mukulu,muzaala,muzåala,muzaala,muzaala,muzåala,muzåala,muzaala,muzaala,muzaala,mulumuna,muzåala,mukulu,mulumuna,muzåala,muzåala,muzåala,muzaala,muzaala,mulumuna,muzåala,muzaala,muzåala,muzaala,muzaala,muzaala,mukulu,muzåala,muzåala,muzåala,muzåala,muzåala,mulumuna,muzaala,muzaala,muzaala,mukulu,muzaala,muzåala,muzåala,muzaala,muzåala,nyaama-lume,nyaama-lume,nyama,mulåarhaa,nyaama-lume,låarhaa,mubuguma,nyaama-lume,nyåamashenge,mulåarhaa,nyama,nyama,nyåamashenge,nyåamashenge,nyåamashenge,nyåamashenge,mulåarhaa,mulåarhaa,nyaama-lume,nyåamashenge,nyaama-lume,låarhaa,mulåarhaa,nyama,mulåarhaa,nyama,nyama,mubuguma
1,0.26328907962233394,1.719646365493753,1.456357285871419,muzaala,muzaala,båabaa,mukulu,muzaala,muzåala,muzåala,muzåala,muzaala,muzåala,muzåala,mulumuna,muzaala,muzaala,muzåala,muzaala,mukulu,muzaala,muzaala,muzaala,muzaala,mukulu,muzaala,mukulu,mukulu,muzåala,muzåala,muzaala,muzaala,muzåala,muzåala,muzaala,muzåala,mulumuna,muzåala,mushinja,muzåala,mulumuna,muzåala,muzåala,mulumuna,muzaala,muzåala,mulumuna,muzåala,muzaala,muzaala,muzaala,muzåala,muzaala,muzåala,muzåala,mulåarhaa,mulåarhaa,nyaama-lume,nyåamashenge,låarhaa,mubuguma,mulåarhaa,låarhaa,nyama,mulåarhaa,nyåamashenge,mulåarhaa,nyåamashenge,nyama,nyama,nyaama-lume,nyåamashenge,mulåarhaa,nyama,mubuguma,nyaama-lume,nyaama-lume,nyaama-lume,nyåamashenge,nyama,nyaama-lume,nyama,nyåamashenge
2,0.2594590283896576,1.7240288007209903,1.4645697723313327,mukulu,mulumuna,båabaa,muzåala,muzåala,muzåala,muzaala,muzaala,muzaala,muzåala,mulumuna,muzaala,muzåala,muzaala,muzaala,muzaala,muzaala,muzåala,mukulu,muzaala,muzåala,mushinja,muzaala,muzåala,mukulu,muzåala,muzaala,muzaala,mulumuna,mukulu,muzaala,mukulu,muzaala,muzåala,muzåala,muzåala,muzåala,muzåala,muzåala,muzaala,muzaala,mulumuna,muzaala,muzåala,muzåala,muzaala,muzåala,mulumuna,muzaala,muzåala,muzaala,muzåala,mubuguma,nyåamashenge,låarhaa,nyåamashenge,nyåamashenge,nyama,mulåarhaa,mulåarhaa,nyaama-lume,mubuguma,nyaama-lume,nyama,nyama,nyama,mulåarhaa,låarhaa,mulåarhaa,nyåamashenge,nyama,nyaama-lume,nyama,nyaama-lume,nyåamashenge,mulåarhaa,nyaama-lume,nyaama-lume,mulåarhaa,nyåamashenge
3,0.25111133225794124,1.6738946749027588,1.4227833426448175,mukulu,muzåala,muzaala,muzåala,mulumuna,muzaala,muzaala,muzåala,muzåala,muzåala,muzaala,muzåala,muzaala,muzaala,mulumuna,muzaala,muzåala,mukulu,mukulu,muzaala,muzaala,muzaala,muzaala,mushinja,mulumuna,muzaala,båabaa,muzaala,muzaala,muzaala,muzåala,muzåala,muzåala,muzåala,muzaala,muzåala,muzaala,muzåala,muzaala,mulumuna,muzåala,muzaala,muzaala,muzåala,mukulu,muzåala,mukulu,muzåala,muzåala,mulumuna,muzåala,muzåala,nyåamashenge,nyama,mulåarhaa,mulåarhaa,nyama,nyaama-lume,nyaama-lume,nyaama-lume,mulåarhaa,nyaama-lume,mubuguma,nyåamashenge,nyåamashenge,nyama,mulåarhaa,nyåamashenge,låarhaa,nyåamashenge,låarhaa,nyama,nyaama-lume,mulåarhaa,mulåarhaa,mubuguma,nyama,nyaama-lume,nyama,nyåamashenge
4,0.18979154390988384,1.6033445087586957,1.4135529648488119,muzaala,muzaala,muzaala,muzåala,muzaala,muzåala,mulumuna,muzaala,muzåala,muzaala,muzaala,mulumuna,mulumuna,muzåala,muzaala,muzåala,muzaala,muzaala,muzåala,muzaala,muzåala,mukulu,muzaala,mushinja,muzåala,muzåala,muzaala,muzaala,muzaala,mulumuna,mulumuna,muzåala,muzaala,muzåala,muzaala,mukulu,muzåala,mukulu,muzåala,muzåala,muzåala,muzaala,muzåala,muzaala,muzaala,mukulu,båabaa,muzåala,mukulu,muzåala,muzåala,muzåala,mulåarhaa,nyaama-lume,mubuguma,låarhaa,låarhaa,nyaama-lume,nyåamashenge,mulåarhaa,nyama,nyåamashenge,nyåamashenge,nyåamashenge,mulåarhaa,nyaama-lume,nyama,nyaama-lume,nyåamashenge,mulåarhaa,nyama,nyama,nyaama-lume,mulåarhaa,nyama,nyama,nyåamashenge,mubuguma,mulåarhaa,nyaama-lume
5,0.26266273459317113,1.5526833186366418,1.2900205840434706,mulumuna,mulumuna,muzaala,muzaala,muzåala,muzaala,muzåala,muzaala,muzåala,muzaala,muzaala,muzaala,muzåala,muzaala,muzåala,mulumuna,mukulu,mukulu,muzåala,muzaala,muzaala,muzåala,muzaala,muzaala,mukulu,muzåala,muzåala,muzaala,muzåala,muzåala,muzaala,mukulu,muzaala,muzåala,muzåala,muzåala,muzaala,muzåala,muzåala,muzåala,mushinja,mulumuna,muzåala,mulumuna,båabaa,mukulu,muzåala,muzaala,muzaala,muzaala,muzåala,muzaala,mulåarhaa,nyama,nyåamashenge,nyåamashenge,mulåarhaa,mulåarhaa,nyama,nyama,nyåamashenge,mubuguma,nyama,nyama,nyaama-lume,låarhaa,mulåarhaa,nyåamashenge,mulåarhaa,nyaama-lume,låarhaa,nyama,nyåamashenge,mulåarhaa,nyaama-lume,mubuguma,nyaama-lume,nyaama-lume,nyaama-lume,nyåamashenge
6,0.2898743009988036,1.580567471363003,1.2906931703641993,muzåala,muzåala,mukulu,muzåala,mulumuna,muzaala,muzåala,muzåala,muzåala,muzaala,muzåala,mukulu,muzaala,muzåala,muzaala,mulumuna,muzåala,muzaala,båabaa,mulumuna,mushinja,muzåala,muzaala,muzåala,muzaala,mulumuna,muzaala,muzåala,muzaala,mukulu,muzaala,muzåala,muzaala,mukulu,muzaala,mukulu,muzaala,muzåala,muzaala,muzaala,muzaala,muzaala,muzaala,muzåala,muzåala,muzåala,mulumuna,muzaala,muzaala,muzåala,muzåala,muzåala,nyåamashenge,nyaama-lume,nyaama-lume,nyama,mulåarhaa,mulåarhaa,nyåamashenge,nyåamashenge,mulåarhaa,nyåamashenge,nyama,nyaama-lume,nyama,mubuguma,nyama,mulåarhaa,nyåamashenge,nyama,nyaama-lume,nyaama-lume,nyaama-lume,låarhaa,låarhaa,mulåarhaa,nyama,nyåamashenge,mubuguma,mulåarhaa
7,0.3461828621404033,1.6555431121269784,1.309360249986575,muzåala,muzaala,muzåala,muzåala,mulumuna,muzaala,muzaala,muzåala,mukulu,mukulu,muzaala,mulumuna,mulumuna,muzåala,muzåala,muzaala,muzaala,muzåala,mukulu,muzaala,mukulu,muzåala,muzaala,muzaala,muzåala,muzaala,muzåala,muzåala,muzaala,muzaala,mulumuna,muzåala,muzaala,mukulu,muzåala,muzaala,muzaala,muzaala,båabaa,muzåala,muzåala,muzåala,mulumuna,muzaala,muzåala,muzåala,muzåala,mushinja,muzaala,muzaala,muzåala,muzaala,mubuguma,mulåarhaa,mubuguma,låarhaa,mulåarhaa,nyama,mulåarhaa,mulåarhaa,nyåamashenge,nyåamashenge,nyåamashenge,nyama,nyama,nyaama-lume,nyaama-lume,mulåarhaa,nyaama-lume,nyaama-lume,mulåarhaa,nyaama-lume,nyåamashenge,nyama,nyama,nyåamashenge,nyåamashenge,nyama,låarhaa,nyaama-lume
8,0.29649745810661,1.6750957902128676,1.3785983321062576,muzåala,muzaala,mulumuna,muzaala,mulumuna,muzåala,muzaala,muzåala,muzåala,muzåala,muzaala,mukulu,mulumuna,muzåala,mukulu,muzåala,muzaala,muzaala,muzåala,muzaala,muzaala,muzaala,muzaala,mushinja,muzaala,mukulu,muzaala,muzåala,muzåala,muzaala,mulumuna,muzaala,muzaala,muzåala,muzåala,muzåala,muzaala,muzaala,mulumuna,mukulu,muzaala,muzåala,muzåala,muzåala,mukulu,muzåala,muzåala,båabaa,muzåala,muzåala,muzaala,muzaala,nyaama-lume,låarhaa,nyaama-lume,nyama,låarhaa,mulåarhaa,mulåarhaa,nyåamashenge,nyaama-lume,nyåamashenge,nyaama-lume,mulåarhaa,mubuguma,nyåamashenge,nyåamashenge,mulåarhaa,nyåamashenge,mubuguma,nyaama-lume,nyama,nyama,mulåarhaa,nyama,nyama,mulåarhaa,nyåamashenge,nyama,nyaama-lume
9,0.25126116283381816,1.6753165139024366,1.4240553510686185,mulumuna,mulumuna,mukulu,mulumuna,muzåala,mukulu,muzåala,muzåala,muzaala,muzåala,muzaala,mushinja,muzåala,muzaala,muzaala,muzaala,muzåala,muzaala,muzaala,mulumuna,muzåala,muzaala,muzåala,muzåala,mukulu,muzåala,mulumuna,muzaala,muzaala,muzaala,muzåala,muzaala,muzåala,båabaa,muzaala,muzaala,muzaala,muzåala,muzåala,muzåala,muzaala,muzaala,muzaala,muzaala,muzåala,muzåala,muzåala,muzåala,muzåala,muzaala,mukulu,mukulu,mulåarhaa,nyåamashenge,låarhaa,mulåarhaa,nyåamashenge,nyama,mulåarhaa,mubuguma,mubuguma,nyama,nyama,nyaama-lume,mulåarhaa,nyaama-lume,nyaama-lume,nyaama-lume,nyama,nyama,mulåarhaa,låarhaa,nyama,nyåamashenge,nyaama-lume,nyaama-lume,nyåamashenge,mulåarhaa,nyåamashenge,nyåamashenge
