simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.4848660531119162,1.376055285260417,0.8911892321485009,selak,"selak, waisisik",wainik,waiwinik,utnak,watok,utnak,utnak,utnak,selak,"selak, watok",utnak,utnak,wainik,waiwinik,utnak,waisisik,wainik,wainik,utnak,waiwinik,selak,utnak,utnak,utnak,selak,"selak, waisisik",waiwinik,selak,waiwinik,utnak,utnak,wainik,utnak,utnak,selak,wainik,utnak,tsik,itnik,"selak, dasik",temak,"selak, dasik",temak,temak,temak,dasik,tsik,tsik,dasik,dasik,itnik,itnik,dasik,itnik,temak,tsik,temak
1,0.24243302655595822,1.0346012329101812,0.792168206354223,"selak, waisisik",wainik,utnak,waiwinik,utnak,selak,wainik,wainik,watok,waiwinik,selak,utnak,waiwinik,wainik,utnak,utnak,wainik,waiwinik,utnak,utnak,waiwinik,wainik,utnak,utnak,selak,"selak, watok",utnak,"selak, waisisik",selak,waisisik,utnak,utnak,selak,utnak,utnak,utnak,utnak,selak,tsik,"selak, dasik",tsik,itnik,temak,dasik,itnik,temak,dasik,temak,itnik,dasik,tsik,itnik,temak,dasik,temak,temak,"selak, dasik",tsik
2,0.41011631828840933,1.376055285260417,0.9659389669720078,waisisik,selak,utnak,utnak,utnak,wainik,selak,waiwinik,selak,utnak,utnak,wainik,wainik,waiwinik,watok,waiwinik,wainik,waiwinik,"selak, waisisik",utnak,selak,utnak,wainik,utnak,"selak, waisisik",utnak,utnak,selak,utnak,utnak,utnak,"selak, watok",utnak,wainik,utnak,utnak,waiwinik,selak,dasik,temak,tsik,itnik,dasik,itnik,temak,itnik,temak,temak,dasik,temak,"selak, dasik",tsik,tsik,temak,itnik,tsik,dasik,"selak, dasik"
3,0.20505815914420478,1.0346012329101812,0.8295430737659765,selak,utnak,utnak,waiwinik,utnak,watok,waisisik,utnak,wainik,selak,"selak, watok",utnak,"selak, waisisik",waiwinik,utnak,selak,utnak,utnak,utnak,utnak,utnak,utnak,wainik,wainik,utnak,"selak, waisisik",utnak,wainik,wainik,utnak,waiwinik,utnak,waiwinik,selak,selak,selak,waiwinik,wainik,itnik,temak,temak,dasik,temak,temak,tsik,itnik,itnik,tsik,tsik,dasik,tsik,dasik,dasik,temak,temak,"selak, dasik",itnik,"selak, dasik"
4,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,wainik,wainik,utnak,wainik,utnak,waiwinik,selak,waiwinik,waiwinik,watok,utnak,waiwinik,utnak,utnak,selak,utnak,utnak,utnak,utnak,waisisik,utnak,"selak, watok",utnak,selak,selak,"selak, waisisik",utnak,wainik,waiwinik,"selak, waisisik",wainik,utnak,utnak,selak,utnak,utnak,wainik,selak,"selak, dasik",tsik,"selak, dasik",tsik,temak,itnik,dasik,dasik,temak,dasik,itnik,temak,temak,tsik,itnik,temak,dasik,temak,itnik,tsik
5,0.20218548540814574,0.9799711820833055,0.7777856966751597,utnak,utnak,waiwinik,utnak,selak,utnak,utnak,selak,utnak,selak,"selak, waisisik",utnak,wainik,wainik,utnak,"selak, watok",waiwinik,waiwinik,waiwinik,wainik,wainik,waiwinik,selak,wainik,utnak,utnak,"selak, waisisik",utnak,utnak,watok,utnak,selak,utnak,waisisik,utnak,wainik,selak,utnak,dasik,temak,tsik,tsik,tsik,temak,temak,itnik,itnik,temak,dasik,"selak, dasik",itnik,tsik,temak,"selak, dasik",dasik,dasik,temak,itnik
6,0.1807868681734337,1.0346012329101812,0.8538143647367475,waiwinik,utnak,utnak,waiwinik,utnak,utnak,wainik,waisisik,utnak,utnak,"selak, watok",waiwinik,waiwinik,waiwinik,utnak,utnak,selak,utnak,utnak,selak,wainik,utnak,"selak, waisisik",utnak,selak,utnak,selak,"selak, waisisik",wainik,utnak,wainik,wainik,wainik,utnak,selak,utnak,watok,selak,tsik,"selak, dasik",tsik,dasik,dasik,temak,temak,"selak, dasik",itnik,temak,itnik,itnik,tsik,dasik,dasik,temak,temak,temak,itnik,tsik
7,0.20218548540814574,1.0789922078775833,0.8768067224694376,waiwinik,utnak,utnak,utnak,utnak,utnak,selak,utnak,wainik,wainik,waisisik,"selak, waisisik",utnak,selak,utnak,watok,selak,utnak,utnak,utnak,utnak,selak,"selak, watok",waiwinik,wainik,wainik,wainik,waiwinik,utnak,wainik,selak,"selak, waisisik",utnak,utnak,waiwinik,utnak,selak,waiwinik,dasik,dasik,itnik,temak,"selak, dasik",temak,temak,tsik,itnik,tsik,temak,dasik,itnik,temak,tsik,tsik,itnik,dasik,temak,"selak, dasik"
8,0.06866226593817337,1.0346012329101812,0.9659389669720079,wainik,utnak,wainik,utnak,utnak,"selak, watok",wainik,utnak,waiwinik,selak,waiwinik,utnak,selak,waisisik,utnak,"selak, waisisik",utnak,"selak, waisisik",waiwinik,utnak,utnak,utnak,waiwinik,wainik,selak,watok,utnak,utnak,wainik,wainik,utnak,waiwinik,selak,utnak,utnak,selak,selak,utnak,"selak, dasik",temak,temak,tsik,tsik,dasik,dasik,temak,temak,itnik,tsik,dasik,itnik,itnik,temak,dasik,tsik,temak,"selak, dasik",itnik
9,0.20505815914420478,1.0346012329101812,0.8295430737659765,utnak,utnak,selak,utnak,waiwinik,selak,selak,utnak,watok,wainik,utnak,"selak, waisisik",waiwinik,wainik,utnak,utnak,selak,waiwinik,utnak,wainik,utnak,wainik,wainik,utnak,utnak,waisisik,selak,utnak,"selak, waisisik",wainik,waiwinik,utnak,utnak,"selak, watok",utnak,waiwinik,utnak,selak,temak,tsik,itnik,temak,itnik,temak,tsik,dasik,temak,dasik,tsik,"selak, dasik",temak,itnik,temak,itnik,dasik,tsik,dasik,"selak, dasik"
