simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.14341200076168037,1.0346012329101812,0.8911892321485009,"dengan, engfli","peserinen, engfli","dengan, engfli","dengan, aka","peserinen, engfli","dengan, abang","peserinen, aka",ama,"ibi, ue",pôn,"ibi, ue",ine,ama,ine,ine,ine,ama,ine,ama,"ibi, ue",pôn,ama,ine,"ibi, ue",pôn,pôn,ama
1,0.484866053111916,1.0789922078775833,0.5941261547656673,"peserinen, aka","dengan, aka","peserinen, engfli","dengan, abang","peserinen, engfli","dengan, engfli","dengan, engfli",ama,ama,pôn,ine,ama,"ibi, ue","ibi, ue",ine,ine,pôn,ama,ine,ine,pôn,ama,ama,ine,"ibi, ue",pôn,"ibi, ue"
2,0.242433026555958,1.034601232910181,0.792168206354223,"dengan, aka","peserinen, engfli","dengan, engfli","dengan, abang","dengan, engfli","peserinen, aka","peserinen, engfli",ama,ine,"ibi, ue",ine,"ibi, ue",ama,ama,ama,pôn,ine,"ibi, ue",ine,ine,pôn,ine,pôn,ama,pôn,"ibi, ue",ama
3,0.24243302655595822,1.0346012329101812,0.792168206354223,"dengan, engfli","peserinen, engfli","peserinen, engfli","peserinen, aka","dengan, aka","dengan, engfli","dengan, abang",ama,pôn,ine,ama,pôn,"ibi, ue",ama,ama,pôn,"ibi, ue",ine,pôn,ama,"ibi, ue","ibi, ue",ine,ine,ama,ine,ine
4,0.48486605311191605,0.9799711820833055,0.4951051289713894,"dengan, abang","peserinen, engfli","peserinen, aka","dengan, aka","dengan, engfli","peserinen, engfli","dengan, engfli",pôn,ine,ama,ama,"ibi, ue",ama,ine,ine,"ibi, ue","ibi, ue",ine,pôn,ine,"ibi, ue",pôn,ama,pôn,ine,ama,ama
5,0.24243302655595822,1.0346012329101812,0.792168206354223,"peserinen, engfli","peserinen, aka","dengan, abang","peserinen, engfli","dengan, engfli","dengan, engfli","dengan, aka",ama,ine,pôn,ine,ine,ine,pôn,ine,ama,"ibi, ue",ama,pôn,"ibi, ue",ine,ama,ama,ama,"ibi, ue","ibi, ue",pôn
6,0.2868240015233603,0.9799711820833055,0.6931471805599452,"dengan, engfli","dengan, abang","peserinen, engfli","peserinen, engfli","peserinen, aka","dengan, aka","dengan, engfli",ine,pôn,ama,ama,ama,"ibi, ue",ine,pôn,pôn,"ibi, ue",ama,ine,pôn,"ibi, ue",ama,ama,ine,ine,ine,"ibi, ue"
7,0.34145405235023607,1.0346012329101812,0.6931471805599452,"dengan, engfli","dengan, abang","peserinen, engfli","dengan, engfli","dengan, aka","peserinen, aka","peserinen, engfli","ibi, ue",pôn,"ibi, ue",ama,pôn,ine,ama,ama,ine,"ibi, ue",ama,ine,ine,ine,pôn,ama,ama,pôn,ine,"ibi, ue"
8,0.14053932702562116,0.5982695885852573,0.4577302615596361,"dengan, abang","dengan, engfli","peserinen, engfli","dengan, aka","peserinen, engfli","peserinen, aka","dengan, engfli",ine,ine,ine,ama,"ibi, ue",ama,pôn,ama,ama,ine,pôn,pôn,ine,"ibi, ue",ine,pôn,"ibi, ue","ibi, ue",ama,ama
9,0.14341200076168037,1.0346012329101812,0.8911892321485009,"dengan, engfli","peserinen, aka","dengan, abang","peserinen, engfli","dengan, aka","dengan, engfli","peserinen, engfli",pôn,"ibi, ue",ama,"ibi, ue",ine,ine,pôn,ama,"ibi, ue",pôn,ama,ama,ine,ine,pôn,ama,ine,ama,ine,"ibi, ue"
