simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ
0,0.16087060336515724,0.5195798391305154,0.3587092357653582,wuyiru,"maram, ngaburru",maru,wuyiru,"maram, ngaburru",marang,maru,"nhararu, ngaya",bina,bina,bina,"nhararu, ngaya","yabu yabu, bindir",ngamu,bina,nhaya,ngamu,"yabu yabu, bindir",nhaya
1,0.242433026555958,1.034601232910181,0.792168206354223,"maram, ngaburru","maram, ngaburru",wuyiru,maru,maru,marang,wuyiru,nhaya,"yabu yabu, bindir",bina,nhaya,"yabu yabu, bindir",bina,bina,"nhararu, ngaya",ngamu,bina,ngamu,"nhararu, ngaya"
2,0.04439097496740252,1.0346012329101812,0.9902102579427787,maru,maru,wuyiru,"maram, ngaburru",wuyiru,marang,"maram, ngaburru",bina,ngamu,bina,"yabu yabu, bindir",ngamu,nhaya,bina,bina,"yabu yabu, bindir",nhaya,"nhararu, ngaya","nhararu, ngaya"
3,0.24243302655595822,1.0346012329101812,0.792168206354223,wuyiru,wuyiru,maru,"maram, ngaburru","maram, ngaburru",marang,maru,ngamu,bina,bina,"nhararu, ngaya",nhaya,nhaya,bina,"nhararu, ngaya","yabu yabu, bindir","yabu yabu, bindir",ngamu,bina
4,0.4848660531119162,1.376055285260417,0.8911892321485009,"maram, ngaburru",maru,wuyiru,"maram, ngaburru",maru,wuyiru,marang,nhaya,"nhararu, ngaya",ngamu,bina,bina,bina,nhaya,ngamu,"yabu yabu, bindir",bina,"yabu yabu, bindir","nhararu, ngaya"
5,0.24243302655595822,1.0346012329101812,0.792168206354223,wuyiru,"maram, ngaburru",maru,"maram, ngaburru",wuyiru,maru,marang,"yabu yabu, bindir",bina,"nhararu, ngaya","yabu yabu, bindir",nhaya,nhaya,bina,"nhararu, ngaya",ngamu,bina,bina,ngamu
6,0.34145405235023607,1.0346012329101812,0.6931471805599452,marang,"maram, ngaburru",wuyiru,maru,maru,"maram, ngaburru",wuyiru,bina,nhaya,ngamu,bina,ngamu,"yabu yabu, bindir",bina,"yabu yabu, bindir",bina,"nhararu, ngaya","nhararu, ngaya",nhaya
7,0.484866053111916,0.9799711820833055,0.4951051289713895,wuyiru,maru,maru,"maram, ngaburru","maram, ngaburru",marang,wuyiru,ngamu,"yabu yabu, bindir",bina,bina,nhaya,bina,ngamu,"yabu yabu, bindir",nhaya,"nhararu, ngaya",bina,"nhararu, ngaya"
8,0.4848660531119162,1.376055285260417,0.8911892321485009,maru,"maram, ngaburru",wuyiru,"maram, ngaburru",maru,marang,wuyiru,bina,"yabu yabu, bindir","nhararu, ngaya",nhaya,ngamu,"yabu yabu, bindir",bina,nhaya,"nhararu, ngaya",ngamu,bina,bina
9,0.0887819499348046,1.0789922078775833,0.9902102579427787,wuyiru,wuyiru,marang,"maram, ngaburru",maru,maru,"maram, ngaburru",ngamu,ngamu,bina,"nhararu, ngaya",nhaya,nhaya,"yabu yabu, bindir","nhararu, ngaya",bina,bina,"yabu yabu, bindir",bina
