simulation_number,mutual_information,entropy,conditional_entropy,fFZeS,mFZyS,fFZyS,mFZeD,mFZyD,fMBeS,fMByS,mMBeD,mMByD,meB,feB,mFBeS,fFBeS,mMZeS,mFZeS,mMBeS,mMByS,mFByD,mMZyD,fMZyD,myB,fyB,myZ,fyZ,mFByS,fFByS,fFByD,mMZyS,fMZyS,meZ,feZ,mFBeD,fFBeD,mMZeD,fMZeD,fFZeD,fMBeD,fMByD,fFZyD,mFyB,fFeB,fFyB,mF,fF,mFeZ,mFyZ,fFeZ,fFyZ,mMeB,mMyB,fMeB,fMyB,mM,fM,mMeZ,mMyZ,fMeZ,fMyZ
0,0.2272271837246952,1.0397207708399179,0.8124935871152227,neeʼ-che-moosh,ne-sha-mishʼ,ne-mishʼ,neeʼ-she-moos,n'-jäʼ-koase,ne-mishʼ,neeʼ-che-moosh,ne-sha-mishʼ,ne-sha-mishʼ,neeʼ-che-moosh,neese-taseʼ,neeʼ-che-moosh,ne-mishʼ,ne-sha-mishʼ,nee-säsʼ,neeʼ-che-moosh,n'-däʼ-koase,neese-taseʼ,ne-mishʼ,ne-she-mishʼ,ne-sha-mishʼ,ne-she-mishʼ,nee-säsʼ,n'-jäʼ-koase,ne-sha-mishʼ,neeʼ-säsʼ,n'-jäʼ-koase,ne-sha-mishʼ,ne-she-mishʼ,neeʼ-che-moosh,neeʼ-che-moosh,ne-sha-mishʼ,neese-taseʼ,neese-taseʼ,ne-mishʼ,neese-taseʼ,ne-sha-mishʼ,nee-säsʼ,ne-mishʼ,nis-se-goosʼ,n'-doʼ-sis,n'-gäʼ-we,n'-doʼ-sis,noʼ-ko-mish,nis-se-goosʼ,nee-sisʼ,nee-sisʼ,nee-sisʼ,n'-gäʼ-we,nohˑ-täʼ-we,nis-se-goosʼ,noʼ-ko-mish,nohˑ-täʼ-we,n'-doʼ-sis,n'-doʼ-sis,nee-sisʼ,nis-se-goosʼ,noʼ-ko-mish
1,0.4544543674493905,1.3862943611198906,0.9318399936705001,nee-säsʼ,ne-mishʼ,ne-sha-mishʼ,ne-she-mishʼ,ne-mishʼ,n'-jäʼ-koase,neese-taseʼ,neese-taseʼ,ne-sha-mishʼ,neeʼ-che-moosh,ne-sha-mishʼ,n'-jäʼ-koase,neese-taseʼ,ne-sha-mishʼ,neeʼ-che-moosh,ne-sha-mishʼ,n'-däʼ-koase,ne-mishʼ,neeʼ-che-moosh,ne-she-mishʼ,neeʼ-säsʼ,neeʼ-che-moosh,neeʼ-che-moosh,ne-sha-mishʼ,ne-sha-mishʼ,neese-taseʼ,neeʼ-che-moosh,ne-mishʼ,neeʼ-che-moosh,ne-mishʼ,ne-sha-mishʼ,nee-säsʼ,neese-taseʼ,ne-she-mishʼ,n'-jäʼ-koase,neeʼ-she-moos,nee-säsʼ,ne-mishʼ,ne-sha-mishʼ,nee-sisʼ,nohˑ-täʼ-we,nis-se-goosʼ,nis-se-goosʼ,n'-gäʼ-we,n'-doʼ-sis,n'-doʼ-sis,nee-sisʼ,n'-gäʼ-we,nee-sisʼ,nis-se-goosʼ,noʼ-ko-mish,nis-se-goosʼ,nohˑ-täʼ-we,noʼ-ko-mish,n'-doʼ-sis,noʼ-ko-mish,n'-doʼ-sis,nee-sisʼ
2,0.13344449858396457,0.5623351446188083,0.4288906460348437,nee-säsʼ,ne-sha-mishʼ,n'-jäʼ-koase,neese-taseʼ,neeʼ-she-moos,ne-sha-mishʼ,ne-she-mishʼ,ne-mishʼ,ne-mishʼ,neeʼ-che-moosh,ne-mishʼ,ne-sha-mishʼ,nee-säsʼ,neese-taseʼ,ne-mishʼ,neeʼ-che-moosh,n'-jäʼ-koase,neeʼ-che-moosh,neese-taseʼ,ne-mishʼ,ne-sha-mishʼ,nee-säsʼ,neeʼ-che-moosh,n'-jäʼ-koase,n'-däʼ-koase,neeʼ-che-moosh,neeʼ-säsʼ,neese-taseʼ,ne-sha-mishʼ,ne-sha-mishʼ,neeʼ-che-moosh,neeʼ-che-moosh,ne-mishʼ,ne-she-mishʼ,ne-sha-mishʼ,ne-she-mishʼ,ne-sha-mishʼ,ne-sha-mishʼ,neese-taseʼ,n'-doʼ-sis,nee-sisʼ,nis-se-goosʼ,noʼ-ko-mish,noʼ-ko-mish,nis-se-goosʼ,nee-sisʼ,n'-doʼ-sis,n'-gäʼ-we,nohˑ-täʼ-we,nis-se-goosʼ,n'-doʼ-sis,n'-doʼ-sis,noʼ-ko-mish,nee-sisʼ,n'-gäʼ-we,nee-sisʼ,nohˑ-täʼ-we,nis-se-goosʼ
3,0.3465735902799726,1.0397207708399179,0.6931471805599453,ne-mishʼ,neeʼ-che-moosh,nee-säsʼ,ne-mishʼ,ne-she-mishʼ,ne-sha-mishʼ,neeʼ-säsʼ,neeʼ-she-moos,neese-taseʼ,ne-sha-mishʼ,neeʼ-che-moosh,neeʼ-che-moosh,neeʼ-che-moosh,ne-sha-mishʼ,neese-taseʼ,neese-taseʼ,ne-sha-mishʼ,ne-sha-mishʼ,ne-mishʼ,ne-mishʼ,neese-taseʼ,ne-mishʼ,n'-jäʼ-koase,ne-she-mishʼ,ne-sha-mishʼ,n'-jäʼ-koase,ne-sha-mishʼ,neeʼ-che-moosh,neeʼ-che-moosh,ne-sha-mishʼ,nee-säsʼ,n'-däʼ-koase,neese-taseʼ,ne-mishʼ,n'-jäʼ-koase,neeʼ-che-moosh,ne-she-mishʼ,ne-sha-mishʼ,nee-säsʼ,n'-doʼ-sis,nee-sisʼ,noʼ-ko-mish,n'-gäʼ-we,nis-se-goosʼ,noʼ-ko-mish,nee-sisʼ,n'-doʼ-sis,n'-gäʼ-we,n'-doʼ-sis,nee-sisʼ,nis-se-goosʼ,noʼ-ko-mish,nis-se-goosʼ,nohˑ-täʼ-we,n'-doʼ-sis,nee-sisʼ,nis-se-goosʼ,nohˑ-täʼ-we
4,0.4544543674493904,1.0397207708399179,0.5852664033905275,ne-mishʼ,nee-säsʼ,ne-sha-mishʼ,ne-she-mishʼ,ne-sha-mishʼ,ne-mishʼ,neeʼ-che-moosh,n'-jäʼ-koase,ne-sha-mishʼ,ne-mishʼ,n'-jäʼ-koase,neeʼ-che-moosh,neeʼ-che-moosh,ne-sha-mishʼ,ne-mishʼ,neeʼ-che-moosh,ne-mishʼ,ne-sha-mishʼ,neeʼ-che-moosh,ne-she-mishʼ,neeʼ-che-moosh,neese-taseʼ,ne-sha-mishʼ,n'-däʼ-koase,nee-säsʼ,neese-taseʼ,ne-she-mishʼ,neese-taseʼ,neeʼ-che-moosh,ne-sha-mishʼ,ne-sha-mishʼ,ne-mishʼ,neeʼ-she-moos,n'-jäʼ-koase,neeʼ-säsʼ,nee-säsʼ,neese-taseʼ,ne-sha-mishʼ,neese-taseʼ,n'-doʼ-sis,nis-se-goosʼ,nee-sisʼ,n'-doʼ-sis,nis-se-goosʼ,nohˑ-täʼ-we,n'-gäʼ-we,noʼ-ko-mish,nee-sisʼ,noʼ-ko-mish,nis-se-goosʼ,nee-sisʼ,n'-gäʼ-we,n'-doʼ-sis,nee-sisʼ,n'-doʼ-sis,nis-se-goosʼ,noʼ-ko-mish,nohˑ-täʼ-we
5,0.2599301927099794,1.0397207708399179,0.7797905781299385,neese-taseʼ,neese-taseʼ,neeʼ-che-moosh,neese-taseʼ,neeʼ-che-moosh,neeʼ-säsʼ,ne-sha-mishʼ,n'-däʼ-koase,ne-mishʼ,neese-taseʼ,n'-jäʼ-koase,ne-mishʼ,neeʼ-che-moosh,neeʼ-che-moosh,nee-säsʼ,ne-sha-mishʼ,nee-säsʼ,neeʼ-che-moosh,ne-sha-mishʼ,ne-mishʼ,nee-säsʼ,ne-sha-mishʼ,neeʼ-che-moosh,ne-she-mishʼ,neeʼ-she-moos,neese-taseʼ,ne-sha-mishʼ,n'-jäʼ-koase,n'-jäʼ-koase,ne-she-mishʼ,ne-mishʼ,ne-sha-mishʼ,neeʼ-che-moosh,ne-mishʼ,ne-mishʼ,ne-she-mishʼ,ne-sha-mishʼ,ne-sha-mishʼ,ne-sha-mishʼ,noʼ-ko-mish,n'-doʼ-sis,nis-se-goosʼ,n'-doʼ-sis,nee-sisʼ,noʼ-ko-mish,nee-sisʼ,nis-se-goosʼ,nee-sisʼ,nohˑ-täʼ-we,nee-sisʼ,n'-doʼ-sis,nis-se-goosʼ,n'-gäʼ-we,n'-doʼ-sis,n'-gäʼ-we,nis-se-goosʼ,nohˑ-täʼ-we,noʼ-ko-mish
6,0.2599301927099794,1.0397207708399179,0.7797905781299385,neeʼ-che-moosh,ne-mishʼ,ne-mishʼ,ne-sha-mishʼ,neeʼ-che-moosh,neese-taseʼ,neeʼ-che-moosh,ne-sha-mishʼ,ne-sha-mishʼ,neeʼ-che-moosh,ne-sha-mishʼ,ne-mishʼ,ne-mishʼ,ne-sha-mishʼ,n'-jäʼ-koase,ne-mishʼ,nee-säsʼ,ne-sha-mishʼ,neese-taseʼ,neeʼ-che-moosh,neeʼ-säsʼ,neeʼ-che-moosh,ne-she-mishʼ,ne-sha-mishʼ,n'-jäʼ-koase,neeʼ-che-moosh,ne-sha-mishʼ,ne-she-mishʼ,ne-mishʼ,neese-taseʼ,nee-säsʼ,neeʼ-she-moos,neese-taseʼ,n'-jäʼ-koase,nee-säsʼ,ne-she-mishʼ,n'-däʼ-koase,neese-taseʼ,ne-sha-mishʼ,nis-se-goosʼ,nee-sisʼ,nee-sisʼ,nis-se-goosʼ,noʼ-ko-mish,nis-se-goosʼ,nohˑ-täʼ-we,n'-doʼ-sis,noʼ-ko-mish,nee-sisʼ,n'-gäʼ-we,n'-gäʼ-we,n'-doʼ-sis,nee-sisʼ,nis-se-goosʼ,noʼ-ko-mish,n'-doʼ-sis,n'-doʼ-sis,nohˑ-täʼ-we
7,0.5198603854199589,1.3862943611198906,0.8664339756999316,neeʼ-säsʼ,neeʼ-che-moosh,neeʼ-che-moosh,ne-mishʼ,neeʼ-che-moosh,ne-sha-mishʼ,ne-mishʼ,nee-säsʼ,neese-taseʼ,n'-jäʼ-koase,nee-säsʼ,neeʼ-che-moosh,ne-sha-mishʼ,neeʼ-she-moos,ne-mishʼ,neeʼ-che-moosh,ne-mishʼ,n'-däʼ-koase,nee-säsʼ,neese-taseʼ,ne-mishʼ,ne-she-mishʼ,neese-taseʼ,ne-sha-mishʼ,n'-jäʼ-koase,ne-sha-mishʼ,neese-taseʼ,ne-sha-mishʼ,ne-sha-mishʼ,ne-she-mishʼ,ne-sha-mishʼ,neeʼ-che-moosh,neeʼ-che-moosh,ne-she-mishʼ,neese-taseʼ,ne-sha-mishʼ,n'-jäʼ-koase,ne-mishʼ,ne-sha-mishʼ,nis-se-goosʼ,noʼ-ko-mish,n'-doʼ-sis,n'-gäʼ-we,noʼ-ko-mish,nee-sisʼ,n'-doʼ-sis,noʼ-ko-mish,nis-se-goosʼ,nee-sisʼ,nohˑ-täʼ-we,nis-se-goosʼ,n'-doʼ-sis,nohˑ-täʼ-we,nis-se-goosʼ,n'-doʼ-sis,nee-sisʼ,n'-gäʼ-we,nee-sisʼ
8,0.4544543674493905,1.3862943611198906,0.9318399936705001,n'-jäʼ-koase,ne-she-mishʼ,neese-taseʼ,ne-mishʼ,ne-mishʼ,neeʼ-che-moosh,neeʼ-she-moos,ne-sha-mishʼ,n'-jäʼ-koase,ne-mishʼ,n'-jäʼ-koase,ne-mishʼ,neeʼ-che-moosh,neese-taseʼ,neeʼ-che-moosh,neese-taseʼ,n'-däʼ-koase,ne-sha-mishʼ,ne-sha-mishʼ,ne-sha-mishʼ,ne-sha-mishʼ,ne-she-mishʼ,ne-sha-mishʼ,nee-säsʼ,neese-taseʼ,nee-säsʼ,nee-säsʼ,ne-mishʼ,neeʼ-che-moosh,neese-taseʼ,ne-sha-mishʼ,ne-mishʼ,neeʼ-säsʼ,neeʼ-che-moosh,neeʼ-che-moosh,neeʼ-che-moosh,ne-sha-mishʼ,ne-she-mishʼ,ne-sha-mishʼ,noʼ-ko-mish,n'-doʼ-sis,nee-sisʼ,nee-sisʼ,nis-se-goosʼ,nee-sisʼ,nohˑ-täʼ-we,nohˑ-täʼ-we,n'-doʼ-sis,n'-gäʼ-we,nee-sisʼ,nis-se-goosʼ,n'-doʼ-sis,n'-doʼ-sis,noʼ-ko-mish,n'-gäʼ-we,nis-se-goosʼ,noʼ-ko-mish,nis-se-goosʼ
9,0.4544543674493904,1.0397207708399179,0.5852664033905275,ne-sha-mishʼ,ne-mishʼ,ne-sha-mishʼ,ne-she-mishʼ,neeʼ-che-moosh,ne-sha-mishʼ,ne-mishʼ,neeʼ-säsʼ,ne-mishʼ,ne-sha-mishʼ,ne-she-mishʼ,ne-sha-mishʼ,neese-taseʼ,ne-sha-mishʼ,ne-she-mishʼ,ne-sha-mishʼ,n'-jäʼ-koase,ne-sha-mishʼ,n'-jäʼ-koase,neeʼ-she-moos,nee-säsʼ,ne-mishʼ,ne-sha-mishʼ,nee-säsʼ,neese-taseʼ,neeʼ-che-moosh,n'-däʼ-koase,neeʼ-che-moosh,neeʼ-che-moosh,nee-säsʼ,neese-taseʼ,neeʼ-che-moosh,ne-mishʼ,neeʼ-che-moosh,neese-taseʼ,ne-mishʼ,n'-jäʼ-koase,neese-taseʼ,neeʼ-che-moosh,nee-sisʼ,noʼ-ko-mish,nis-se-goosʼ,nee-sisʼ,nis-se-goosʼ,noʼ-ko-mish,nohˑ-täʼ-we,n'-gäʼ-we,nis-se-goosʼ,n'-doʼ-sis,noʼ-ko-mish,nee-sisʼ,nohˑ-täʼ-we,nee-sisʼ,n'-doʼ-sis,n'-gäʼ-we,nis-se-goosʼ,n'-doʼ-sis,n'-doʼ-sis
