simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.007016107555648743,1.034601232910181,1.0275851253545323,hai,kaaka,kaaka,kaaka,hai,hai,hai,imaama,iana,imaama,inaina,inaina,inaina,imaama,iina,inaina,inaina,imaama,imaama,imaama,iina,inaina,imaama,inaina,imaama,inaina,iana
1,0.044390974967402186,1.034601232910181,0.9902102579427788,hai,hai,hai,kaaka,kaaka,hai,kaaka,iina,inaina,inaina,imaama,imaama,inaina,inaina,imaama,imaama,iina,inaina,inaina,imaama,imaama,imaama,inaina,iana,inaina,iana,imaama
2,0.34145405235023607,1.0346012329101812,0.6931471805599452,kaaka,hai,hai,kaaka,kaaka,hai,hai,imaama,inaina,iina,imaama,inaina,imaama,inaina,iana,inaina,inaina,imaama,imaama,inaina,imaama,imaama,inaina,iina,iana,imaama,inaina
3,0.03149081771477463,0.5195798391305154,0.4880890214157408,kaaka,hai,kaaka,kaaka,hai,hai,hai,inaina,imaama,inaina,inaina,imaama,imaama,iina,iina,inaina,inaina,iana,imaama,inaina,inaina,imaama,imaama,iana,inaina,imaama,imaama
4,0.014032215111297486,0.6829081047004717,0.6688758895891742,hai,kaaka,kaaka,kaaka,hai,hai,hai,imaama,imaama,inaina,inaina,imaama,iana,inaina,iina,inaina,imaama,imaama,imaama,inaina,inaina,inaina,iana,iina,imaama,imaama,inaina
5,0.03149081771477463,0.5195798391305154,0.4880890214157408,kaaka,hai,hai,hai,kaaka,hai,kaaka,imaama,iina,imaama,imaama,inaina,imaama,imaama,inaina,inaina,inaina,iina,inaina,imaama,imaama,iana,inaina,imaama,inaina,inaina,iana
6,0.027135791552279853,0.5982695885852573,0.5711337970329774,kaaka,hai,hai,kaaka,hai,hai,kaaka,imaama,imaama,iana,imaama,inaina,inaina,imaama,inaina,inaina,inaina,inaina,imaama,imaama,inaina,iina,imaama,inaina,iana,imaama,iina
7,0.005147809834208705,0.5195798391305154,0.5144320292963067,kaaka,kaaka,hai,hai,hai,kaaka,hai,iina,inaina,inaina,inaina,imaama,imaama,inaina,imaama,inaina,iana,iana,imaama,iina,imaama,inaina,inaina,imaama,imaama,inaina,imaama
8,0.007016107555648965,1.0346012329101812,1.0275851253545323,hai,hai,hai,hai,kaaka,kaaka,kaaka,imaama,inaina,iana,inaina,inaina,imaama,inaina,inaina,iana,imaama,inaina,imaama,iina,imaama,imaama,iina,imaama,imaama,inaina,inaina
9,0.007016107555648743,1.034601232910181,1.0275851253545323,hai,hai,hai,kaaka,hai,kaaka,kaaka,imaama,iana,imaama,inaina,inaina,inaina,iina,imaama,inaina,imaama,imaama,inaina,iana,inaina,inaina,imaama,iina,inaina,imaama,imaama
