simulation_number,mutual_information,entropy,conditional_entropy,feZ,mB,mZ,meB,myB,myZ,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mMeBS,mMyBS,mMeZS,mMyZS,mFBeS,mFByS,mFZeS,mFZyS,mMBeS,mMByS,mMZeS,mMZyS,fB,fZ,feB,fyB,fyZ,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fMeBS,fMyBS,fMeZS,fMyZS,fFBeS,fFByS,fFZeS,fFZyS,fMBeS,fMByS,fMZyS,meZ,mFZD,mFBD,mMBD,mMZD,mFeBD,mFyBD,mFeZD,mFyZD,mMeBD,mMyBD,mMeZD,mMyZD,mFBeD,mFByD,mFZeD,mFZyD,mMBeD,mMByD,mMZeD,mMZyD,fFZD,fFBD,fMBD,fMZD,fFeBD,fFeZD,fFyZD,fMeBD,fMyBD,fMeZD,fMyZD,fFBeD,fFByD,fFZeD,fFZyD,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.1581505409403534,1.378083331807596,1.2199327908672426,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučed,bratučed,bratučed,bratučeda,bátko,bratučed,bratučeda,bratučeda,bratučed,bratučeda,sestra,bratučeda,bratučed,bátko,bratučeda,brat,bratučed,bratučed,bratučeda,bratučed,bratučeda,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučeda,doda,bratučed,bratučed,sestra,bratučeda,bratučeda,bratučed,bratučed,bratučeda,bratučeda,bratučed,bratučed,bratučeda,bratučed,bratučed,bratučeda,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,doda,bratučeda,bratučed,brat,bratučed,bratučed,bratučeda,bratučeda,bratučeda,sestra,bratučed,bratučed,bratučeda,sestra,bratučeda,bratučed,bratučed,bratučed,bratučeda,bratučed,bratučeda,brat,bratučed,bratučeda,bratučed,bratučeda,bratučeda,bratučed,bratučed,brat,bratučeda,bratučeda,bratučed,bratučeda,bratučeda,vujko,tetka,tatko,tetka,majka,tetka,vujko,tetka,vujko,tetka,vujko,tetka,tetka,tatko,čičko,čičko,tetka,tetka,tetka,čičko,majka,čičko,tetka,tetka,vujko,vujko,čičko,čičko
1,0.14052030483825706,1.4167627347936398,1.2762424299553827,bratučed,bratučeda,bratučeda,sestra,bratučed,bratučed,bratučeda,bratučeda,bratučeda,bratučed,bratučeda,bratučeda,brat,bratučed,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučed,bratučed,bratučeda,bratučed,bratučed,bratučed,bratučeda,bratučed,bratučed,brat,bratučed,bratučeda,bratučeda,bratučed,bratučed,bratučeda,bratučeda,bratučeda,bratučeda,sestra,bratučed,brat,bratučeda,bratučeda,bratučed,bratučeda,bratučeda,bratučeda,bratučed,bratučed,bratučeda,bratučed,bratučeda,bratučeda,bratučeda,bratučed,sestra,brat,bratučed,bratučed,bratučed,sestra,doda,bratučed,bratučeda,bratučeda,bratučed,bratučed,bratučed,bratučeda,bratučeda,bratučed,bratučed,bratučeda,bratučed,bratučeda,bratučeda,bratučeda,bratučed,bátko,doda,bratučed,bratučeda,bratučed,bratučeda,bratučeda,bratučeda,bratučed,bátko,bratučed,bratučeda,tetka,tetka,tetka,vujko,čičko,vujko,tetka,tatko,čičko,tetka,tetka,tetka,vujko,tetka,tetka,tatko,majka,čičko,majka,tetka,čičko,vujko,vujko,čičko,vujko,tetka,tetka,čičko
2,0.11503614104272541,1.3497947864109998,1.2347586453682744,bratučeda,bratučeda,bratučeda,bratučed,bratučeda,bratučeda,sestra,bratučeda,bratučed,bratučeda,bratučeda,bratučeda,bratučeda,bratučeda,bratučed,bratučed,brat,bátko,bratučeda,bratučed,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučed,sestra,bratučed,bratučed,bratučeda,sestra,brat,doda,bratučed,bratučeda,sestra,bratučed,bratučeda,bratučed,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučed,bratučeda,bratučed,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučed,brat,bratučeda,bratučeda,bratučed,bratučeda,bratučed,bratučed,bratučed,bratučed,bratučed,bratučeda,bratučeda,bratučeda,bratučeda,bratučed,bratučed,bratučeda,bratučeda,bratučeda,bratučed,brat,bratučeda,bratučed,bratučed,bratučed,bratučeda,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučeda,bratučed,bátko,doda,bratučed,bratučeda,tetka,tetka,vujko,majka,tetka,vujko,majka,čičko,tetka,tetka,vujko,čičko,tetka,tetka,čičko,čičko,tetka,tetka,čičko,tetka,tetka,vujko,vujko,tatko,tatko,vujko,tetka,čičko
3,0.07020739209714555,1.3833734713902053,1.3131660792930597,bratučed,sestra,bratučeda,bratučeda,bratučeda,bratučeda,bratučeda,bratučed,bratučed,bátko,bratučed,bratučeda,bratučeda,bratučed,bratučed,bratučeda,bratučed,bratučeda,bratučeda,bratučeda,brat,bratučeda,bratučed,bratučeda,bratučed,bratučed,bratučed,bratučed,bratučeda,bratučed,bátko,bratučed,bratučeda,bratučeda,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučeda,bratučeda,bratučed,bratučed,doda,bratučed,brat,bratučeda,bratučed,bratučeda,bratučed,bratučed,bratučeda,bratučeda,bratučeda,bratučeda,bratučed,bratučed,bratučeda,bratučeda,bratučed,bratučed,bratučeda,bratučeda,bratučed,bratučeda,sestra,bratučeda,bratučeda,sestra,bratučeda,bratučed,bratučed,doda,bratučeda,bratučed,bratučed,brat,bratučed,bratučed,bratučed,bratučed,bratučed,bratučeda,sestra,bratučeda,bratučed,bratučed,brat,bratučed,bratučeda,tetka,čičko,tetka,tetka,vujko,tetka,čičko,tatko,vujko,vujko,tetka,čičko,tatko,vujko,čičko,tetka,tetka,majka,vujko,majka,vujko,čičko,tetka,tetka,tetka,tetka,čičko,tetka
4,0.08278964797180688,1.3151480121618193,1.2323583641900124,bratučed,bratučeda,bratučeda,bratučeda,bratučed,bratučeda,bratučeda,bátko,bratučed,bratučed,bratučeda,bratučed,sestra,bratučeda,brat,bratučed,bratučeda,doda,bratučed,bratučed,bratučed,bratučed,bratučed,bratučeda,bratučed,bratučed,bratučed,bratučed,bratučeda,bratučeda,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučeda,brat,bratučed,bratučeda,sestra,bratučed,bratučeda,bratučed,bratučeda,bratučeda,bratučeda,bratučed,bratučeda,bratučeda,sestra,bratučed,bratučeda,bratučeda,bratučeda,bratučed,bratučed,bratučed,bratučeda,bratučeda,bratučeda,brat,bratučed,bratučeda,bratučed,bratučed,bratučeda,bratučed,bratučed,bratučed,bratučed,brat,bátko,bratučeda,bratučed,bratučeda,bratučed,sestra,bratučed,bratučeda,bratučeda,bratučeda,bratučeda,bratučed,bratučeda,doda,bratučed,bratučed,bratučeda,bratučed,bratučeda,tetka,tatko,vujko,tetka,tetka,tetka,majka,čičko,čičko,čičko,vujko,čičko,vujko,tatko,čičko,tetka,tetka,tetka,čičko,vujko,vujko,majka,tetka,vujko,tetka,tetka,tetka,tetka
5,0.19119048758414592,1.2972051341842976,1.1060146466001517,bratučed,bratučed,bátko,bratučeda,bratučed,bratučeda,bratučeda,bratučeda,bratučed,bratučed,bratučeda,bratučeda,bratučeda,bratučed,bratučeda,sestra,bratučed,bratučeda,bratučed,bratučed,bratučed,bratučeda,bratučed,bratučeda,bratučed,sestra,bratučeda,bratučed,bratučeda,bratučed,bratučed,bratučeda,bratučed,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,brat,bratučeda,bratučed,bratučeda,bratučeda,bratučed,bratučeda,bratučeda,bratučed,bratučeda,bratučed,bratučed,bátko,bratučeda,brat,bratučeda,bratučed,bratučeda,brat,sestra,bratučeda,bratučeda,bratučeda,sestra,bratučeda,bratučeda,bratučed,bratučeda,bratučed,bratučed,doda,bratučeda,bratučed,bratučed,brat,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,doda,bratučed,bratučed,bratučed,bratučeda,bratučed,bratučed,majka,vujko,tetka,tetka,tetka,tetka,vujko,vujko,čičko,tetka,vujko,tetka,tatko,tetka,čičko,čičko,tetka,tetka,tetka,tetka,tatko,vujko,tetka,čičko,čičko,vujko,čičko,majka
6,0.13639426386152653,1.4185673123415832,1.2821730484800566,bratučed,bratučeda,bratučeda,bratučed,bratučeda,bratučeda,bratučed,bratučed,bratučed,bratučed,brat,bátko,doda,bratučeda,bratučed,bratučed,bratučeda,bratučed,bratučeda,sestra,bratučeda,bratučed,bratučeda,bratučed,bratučed,brat,bratučeda,bratučed,brat,bratučeda,bratučeda,bratučeda,bratučeda,doda,bratučeda,bratučed,bratučeda,bratučed,bratučed,bratučeda,bratučed,bratučed,bratučed,bratučeda,bratučed,bratučed,bratučed,bratučeda,bratučeda,bratučeda,bratučed,bratučed,sestra,bratučeda,bratučeda,bratučeda,bratučed,bratučeda,bratučeda,bratučed,bratučeda,bratučeda,bratučed,bratučeda,bratučeda,bratučeda,bratučeda,bratučeda,bratučeda,bratučeda,bratučeda,bratučed,bratučeda,sestra,bratučed,bratučed,brat,bratučed,bratučed,bratučed,bratučed,bratučed,bratučeda,bátko,bratučeda,bratučed,bratučed,bratučed,bratučed,sestra,vujko,vujko,čičko,tetka,vujko,tetka,tetka,čičko,tetka,tatko,tetka,vujko,vujko,čičko,tatko,tetka,vujko,majka,čičko,tetka,čičko,tetka,čičko,tetka,majka,tetka,tetka,tetka
7,0.12726036757800596,1.3442157351930455,1.2169553676150395,bratučed,bratučed,bratučed,bratučed,bratučed,bratučed,bátko,bratučed,bratučed,bratučed,bratučed,bratučed,brat,brat,bratučeda,bratučed,bratučed,bratučeda,bratučed,bratučed,bratučed,brat,bratučeda,bratučeda,bratučeda,bratučed,bratučeda,bratučeda,bratučeda,bátko,bratučeda,bratučeda,doda,doda,bratučeda,bratučeda,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučed,bratučed,bratučeda,bratučeda,sestra,sestra,bratučed,bratučed,bratučeda,bratučeda,bratučeda,bratučeda,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučeda,bratučeda,bratučed,bratučeda,bratučed,bratučed,bratučeda,bratučeda,bratučeda,sestra,bratučed,bratučed,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučeda,bratučed,bratučed,bratučed,bratučeda,bratučeda,sestra,bratučed,bratučed,bratučeda,brat,bratučed,bratučeda,bratučeda,tatko,tetka,čičko,tetka,tetka,vujko,čičko,vujko,vujko,tetka,tetka,tetka,tetka,čičko,tetka,tetka,tetka,tetka,majka,tetka,vujko,majka,čičko,vujko,čičko,vujko,tatko,čičko
8,0.1605881379963856,1.3785287588345185,1.217940620838133,bratučeda,bratučeda,bratučed,bratučed,bratučed,bratučed,bratučed,bratučed,bratučed,bratučeda,bratučeda,bratučeda,bratučed,bratučeda,bratučed,bratučed,bratučed,bratučed,bratučed,bratučed,bratučeda,bratučed,bratučed,bratučed,bratučed,bratučeda,bratučeda,bratučed,bratučed,bratučeda,bratučeda,bratučed,doda,bratučeda,doda,sestra,bratučeda,bratučeda,bratučeda,brat,bratučeda,sestra,bratučeda,bratučed,bratučeda,sestra,bratučeda,bratučed,bratučed,bratučed,bátko,bratučed,bratučed,bratučeda,bratučeda,brat,bratučed,bratučed,bratučed,bratučeda,bratučeda,bátko,bratučed,bratučeda,bratučed,bratučeda,bratučeda,bratučeda,bratučeda,bratučeda,bratučeda,bratučeda,bratučed,brat,bratučed,bratučed,bratučeda,brat,bratučeda,bratučeda,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučed,sestra,bratučeda,bratučed,bratučeda,tetka,čičko,tetka,tetka,majka,vujko,tetka,tetka,tetka,vujko,čičko,tetka,čičko,vujko,čičko,majka,vujko,čičko,tetka,tetka,tetka,vujko,čičko,vujko,tatko,tetka,tatko,tetka
9,0.12155423277568467,1.3776728709132908,1.2561186381376062,bratučeda,bratučeda,bratučed,bratučed,bratučed,bratučeda,bratučed,bratučed,bratučed,bratučed,bratučeda,bratučeda,bratučed,bratučed,bratučeda,bratučeda,bratučeda,bratučeda,bratučed,bratučed,bratučed,bratučed,bratučed,brat,bratučeda,bratučeda,bratučeda,bratučeda,bátko,bratučed,bratučed,bratučeda,bratučeda,brat,bratučed,bratučed,bratučeda,bratučeda,bratučed,bratučed,bratučeda,bratučed,bratučed,bratučed,bratučeda,sestra,bratučeda,bratučed,bratučed,bratučeda,doda,bratučeda,bratučed,bratučeda,bratučed,bratučed,bratučeda,bratučeda,bratučed,bratučed,bratučeda,bratučeda,doda,bratučeda,bratučed,bratučed,brat,sestra,bratučed,sestra,sestra,bratučed,bratučed,bratučed,bratučeda,bátko,bratučed,bratučeda,bratučeda,bratučeda,bratučeda,bratučed,bratučeda,bratučed,bratučeda,bratučeda,bratučeda,brat,bratučeda,bratučeda,majka,čičko,tetka,čičko,tetka,vujko,vujko,čičko,tetka,tetka,čičko,čičko,vujko,tetka,čičko,tetka,vujko,tetka,tetka,tetka,tetka,tetka,tatko,tatko,vujko,tetka,majka,vujko
