simulation_number,mutual_information,entropy,conditional_entropy,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mB,mZ,meB,meZ,fB,fZ,feB,feZ,myB,myZ,fyB,fyZ,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB,mF,mM,fF,fM
0,0.13385623415797432,1.685698941585804,1.5518427074278296,søskendebarn,søster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søster,søskendebarn,søskendebarn,bror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,lillesøster,søskendebarn,søskendebarn,bror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,bror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,lillesøster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,bror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,lillebror,søskendebarn,søster,søskendebarn,søskendebarn,lillebror,morbror,moster,farbror,faster,mor,farbror,morbror,morbror,farbror,morbror,moster,faster,far,moster,mor,moster,morbror,far,farbror,faster,faster,moster,faster,morbror,faster,moster,farbror,farbror
1,0.09754052563686821,1.6890278260136813,1.591487300376813,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,lillesøster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søster,søster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,lillesøster,søskendebarn,lillebror,søster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,bror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,bror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,lillebror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,bror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,bror,morbror,moster,far,moster,faster,far,moster,mor,farbror,faster,morbror,moster,farbror,faster,morbror,moster,morbror,faster,faster,farbror,morbror,farbror,farbror,moster,faster,morbror,mor,farbror
2,0.08144180656200528,1.6355486607875223,1.554106854225517,søskendebarn,søskendebarn,søskendebarn,bror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,bror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søster,søskendebarn,lillesøster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,lillebror,søskendebarn,søskendebarn,bror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søster,søskendebarn,søskendebarn,søster,søskendebarn,søskendebarn,søskendebarn,lillebror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,bror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,lillesøster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,moster,farbror,morbror,faster,farbror,mor,farbror,faster,moster,farbror,far,morbror,faster,morbror,moster,faster,far,farbror,moster,farbror,morbror,morbror,morbror,mor,moster,faster,faster,moster
3,0.17628830582165644,1.6689761700878734,1.492687864266217,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,lillebror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,lillesøster,søskendebarn,søskendebarn,søskendebarn,søster,søskendebarn,bror,søskendebarn,søskendebarn,søskendebarn,bror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,bror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,lillebror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,lillesøster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,bror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,morbror,faster,far,morbror,moster,faster,faster,moster,farbror,far,mor,moster,faster,farbror,farbror,morbror,faster,morbror,moster,farbror,mor,moster,moster,farbror,farbror,morbror,faster,morbror
4,0.13697773028299043,1.712646791931085,1.5756690616480946,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søster,søskendebarn,søskendebarn,lillesøster,lillesøster,søskendebarn,bror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,lillebror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,bror,søskendebarn,søskendebarn,søskendebarn,søster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,lillebror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,bror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,bror,faster,farbror,faster,far,moster,moster,faster,mor,faster,moster,morbror,morbror,mor,farbror,morbror,moster,faster,farbror,farbror,faster,morbror,far,farbror,moster,morbror,moster,farbror,morbror
5,0.07994262115606765,1.6929810974030586,1.613038476246991,søskendebarn,søskendebarn,lillebror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,bror,søskendebarn,bror,søskendebarn,lillebror,bror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,lillesøster,søskendebarn,bror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søster,søskendebarn,søskendebarn,lillesøster,søskendebarn,søskendebarn,søster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søster,moster,faster,morbror,mor,farbror,morbror,far,mor,farbror,morbror,morbror,moster,faster,moster,morbror,farbror,faster,faster,moster,farbror,moster,morbror,moster,farbror,farbror,faster,faster,far
6,0.10582329076235486,1.689683003388959,1.583859712626604,søskendebarn,søskendebarn,søskendebarn,søskendebarn,bror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,bror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,lillebror,søskendebarn,søskendebarn,lillesøster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,lillesøster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,bror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søster,søskendebarn,søskendebarn,bror,søskendebarn,lillebror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søster,søskendebarn,søskendebarn,søskendebarn,søster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,farbror,farbror,faster,farbror,moster,farbror,moster,faster,moster,faster,faster,faster,moster,morbror,mor,morbror,mor,farbror,morbror,morbror,moster,moster,morbror,far,morbror,faster,far,farbror
7,0.10642320328247568,1.6760718489028552,1.5696486456203795,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,bror,lillesøster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søster,søskendebarn,søskendebarn,søskendebarn,lillesøster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,bror,lillebror,søskendebarn,søskendebarn,bror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,lillebror,søskendebarn,søskendebarn,søskendebarn,bror,søster,søster,søster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,faster,faster,morbror,far,morbror,mor,farbror,faster,faster,moster,faster,farbror,farbror,moster,moster,far,morbror,mor,farbror,farbror,moster,moster,morbror,moster,morbror,farbror,faster,morbror
8,0.1192100672803238,1.6907497655197692,1.5715396982394454,søskendebarn,søskendebarn,bror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,bror,søskendebarn,søskendebarn,søskendebarn,lillesøster,søster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,lillesøster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,bror,søskendebarn,søskendebarn,søskendebarn,lillebror,søskendebarn,lillebror,søskendebarn,søskendebarn,søskendebarn,søster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søster,bror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,mor,morbror,faster,faster,far,moster,farbror,faster,faster,far,faster,moster,mor,morbror,farbror,farbror,moster,moster,farbror,morbror,moster,morbror,morbror,farbror,farbror,morbror,faster,moster
9,0.0989571855925202,1.7047428279838064,1.6057856423912862,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,bror,søskendebarn,lillebror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,lillesøster,bror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,lillesøster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,bror,søskendebarn,søster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søster,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søskendebarn,søster,søskendebarn,søskendebarn,lillebror,søskendebarn,søskendebarn,søskendebarn,søskendebarn,bror,søskendebarn,søskendebarn,morbror,faster,morbror,far,moster,farbror,far,faster,faster,moster,faster,morbror,moster,moster,farbror,moster,mor,farbror,farbror,farbror,farbror,morbror,moster,morbror,morbror,mor,faster,faster
