simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.252607493267359,1.439918840845013,1.187311347577654,naku,ngth,ngth,ngth,naku,naku,nane,ngth,yamit,babai,naku,naku,babai,babai,naku,yamit,nane,babai,babai,ngth,yamit,yamit,ngth,ngth,babai,babai,babai,babai,yamit,ngth,ngth,naku,yamit,naku,ngth,yamit,nane,babai,ngth,yamit,naku,ngth,naku,ngth,naku,yamit,naku,nane,naku,nane,ngth,babai,yamit,naku,naku,babai,babai,babai,nane,yamit,yamit,babai,naku,ngth,yamit,yamit,ngth,yamit,ngth,babai,ngth,ngth,nane,babai,yamit,yamit,naku,yamit,yamit,yamit,naku,babai,babai,babai,naku,ŋäwi,ŋame,ŋafe,ŋäwi,ŋafe katan,ŋame,ŋäwi,ŋame,ŋafethm,ŋafethm,ŋame,ŋame,ŋäwi,ŋäwi,ŋame,ŋafe katan,ŋäwi,ŋäwi,ŋäwi,ŋafe
1,0.3764994447824199,1.4184836619456564,1.0419842171632365,ngth,naku,naku,babai,yamit,yamit,babai,babai,yamit,yamit,nane,naku,ngth,nane,naku,babai,ngth,naku,babai,yamit,ngth,ngth,yamit,ngth,naku,babai,yamit,nane,ngth,babai,babai,ngth,babai,ngth,yamit,nane,naku,naku,babai,naku,babai,naku,ngth,naku,ngth,babai,ngth,ngth,yamit,nane,naku,ngth,naku,ngth,yamit,babai,naku,naku,yamit,naku,yamit,yamit,yamit,ngth,ngth,yamit,yamit,naku,naku,yamit,naku,yamit,babai,yamit,ngth,nane,babai,babai,yamit,babai,babai,ngth,nane,babai,babai,ŋäwi,ŋafe,ŋäwi,ŋäwi,ŋame,ŋame,ŋame,ŋame,ŋafethm,ŋafe katan,ŋame,ŋafethm,ŋame,ŋäwi,ŋäwi,ŋäwi,ŋafe katan,ŋafe,ŋäwi,ŋäwi
2,0.24500615805467896,1.3699691072040405,1.1249629491493616,naku,naku,yamit,naku,ngth,yamit,babai,yamit,ngth,yamit,babai,ngth,ngth,babai,ngth,yamit,naku,naku,ngth,babai,naku,ngth,yamit,ngth,naku,naku,babai,yamit,babai,babai,yamit,ngth,ngth,naku,babai,naku,babai,yamit,ngth,naku,naku,naku,yamit,yamit,babai,naku,yamit,nane,babai,yamit,nane,nane,babai,yamit,ngth,yamit,naku,nane,naku,yamit,yamit,nane,babai,naku,babai,ngth,naku,babai,ngth,ngth,babai,naku,nane,yamit,yamit,ngth,ngth,yamit,ngth,babai,babai,nane,babai,ngth,babai,ŋäwi,ŋame,ŋame,ŋäwi,ŋäwi,ŋame,ŋäwi,ŋafe,ŋafethm,ŋäwi,ŋame,ŋäwi,ŋafe katan,ŋafe katan,ŋame,ŋame,ŋäwi,ŋäwi,ŋafe,ŋafethm
3,0.2757313347404988,1.412874680276006,1.137143345535507,yamit,babai,naku,naku,ngth,babai,naku,babai,yamit,naku,babai,babai,nane,yamit,naku,yamit,naku,ngth,naku,yamit,nane,babai,naku,yamit,naku,yamit,yamit,babai,babai,nane,ngth,babai,naku,yamit,ngth,ngth,yamit,yamit,ngth,ngth,naku,babai,ngth,yamit,babai,ngth,babai,yamit,naku,ngth,naku,babai,babai,ngth,naku,ngth,naku,yamit,nane,ngth,naku,yamit,babai,yamit,ngth,naku,nane,nane,ngth,babai,ngth,yamit,ngth,ngth,ngth,babai,yamit,babai,nane,yamit,yamit,naku,naku,babai,babai,ŋäwi,ŋäwi,ŋame,ŋäwi,ŋafe,ŋäwi,ŋame,ŋafe katan,ŋafethm,ŋäwi,ŋäwi,ŋame,ŋame,ŋame,ŋame,ŋafe,ŋafethm,ŋäwi,ŋäwi,ŋafe katan
4,0.24554485942687565,1.4350045046982636,1.189459645271388,yamit,naku,naku,yamit,ngth,yamit,naku,babai,naku,ngth,nane,yamit,yamit,yamit,naku,nane,naku,yamit,babai,naku,naku,naku,ngth,yamit,naku,babai,yamit,ngth,yamit,nane,ngth,ngth,nane,naku,babai,ngth,babai,babai,yamit,babai,babai,ngth,ngth,babai,babai,babai,yamit,yamit,yamit,ngth,yamit,naku,naku,babai,babai,yamit,naku,babai,ngth,yamit,ngth,ngth,yamit,ngth,babai,naku,ngth,yamit,ngth,ngth,nane,babai,nane,nane,babai,naku,yamit,ngth,babai,babai,ngth,babai,naku,naku,naku,ŋafe,ŋäwi,ŋame,ŋafe,ŋame,ŋäwi,ŋäwi,ŋäwi,ŋäwi,ŋame,ŋäwi,ŋäwi,ŋafethm,ŋame,ŋafethm,ŋafe katan,ŋame,ŋame,ŋäwi,ŋafe katan
5,0.16169846334087978,1.412874680276006,1.2511762169351262,naku,yamit,yamit,nane,yamit,naku,yamit,ngth,ngth,yamit,yamit,babai,nane,yamit,babai,ngth,ngth,yamit,babai,babai,babai,babai,naku,naku,yamit,ngth,nane,ngth,yamit,naku,ngth,naku,nane,yamit,ngth,babai,yamit,babai,naku,ngth,babai,babai,babai,ngth,naku,ngth,naku,nane,naku,babai,babai,ngth,yamit,naku,babai,ngth,yamit,naku,naku,naku,babai,yamit,naku,ngth,yamit,nane,ngth,ngth,babai,yamit,nane,ngth,babai,ngth,babai,naku,babai,yamit,naku,yamit,ngth,naku,yamit,naku,babai,ŋäwi,ŋafe,ŋäwi,ŋame,ŋäwi,ŋäwi,ŋäwi,ŋame,ŋäwi,ŋafethm,ŋäwi,ŋäwi,ŋame,ŋame,ŋafe katan,ŋafe katan,ŋame,ŋafethm,ŋafe,ŋame
6,0.3169066012689348,1.4284145646943445,1.1115079634254097,ngth,ngth,ngth,naku,ngth,naku,babai,yamit,ngth,nane,yamit,ngth,naku,naku,ngth,ngth,yamit,babai,babai,naku,yamit,naku,ngth,naku,nane,yamit,yamit,yamit,ngth,yamit,nane,babai,naku,babai,babai,yamit,naku,naku,naku,nane,babai,naku,yamit,babai,babai,babai,yamit,yamit,babai,babai,babai,babai,naku,ngth,ngth,ngth,ngth,yamit,babai,yamit,yamit,ngth,naku,babai,nane,ngth,ngth,babai,naku,yamit,ngth,yamit,naku,naku,naku,nane,nane,yamit,ngth,yamit,babai,naku,babai,yamit,babai,ŋame,ŋäwi,ŋäwi,ŋafethm,ŋäwi,ŋäwi,ŋafe katan,ŋame,ŋafe,ŋäwi,ŋame,ŋafe,ŋafethm,ŋame,ŋafe katan,ŋame,ŋame,ŋäwi,ŋäwi,ŋäwi
7,0.17029380319907483,1.4184836619456564,1.2481898587465816,yamit,yamit,babai,naku,babai,yamit,naku,nane,ngth,yamit,yamit,ngth,ngth,babai,babai,naku,ngth,babai,yamit,naku,naku,babai,ngth,yamit,nane,yamit,ngth,yamit,nane,babai,ngth,babai,ngth,ngth,babai,naku,yamit,babai,yamit,nane,ngth,naku,naku,yamit,nane,naku,yamit,babai,naku,babai,ngth,ngth,yamit,babai,babai,ngth,babai,naku,naku,naku,naku,naku,naku,naku,ngth,yamit,yamit,yamit,babai,yamit,babai,nane,ngth,babai,babai,ngth,nane,ngth,ngth,babai,yamit,naku,yamit,ngth,naku,ŋafethm,ŋame,ŋäwi,ŋäwi,ŋame,ŋäwi,ŋafe,ŋäwi,ŋafe katan,ŋame,ŋafe,ŋäwi,ŋafe katan,ŋäwi,ŋäwi,ŋame,ŋame,ŋäwi,ŋafethm,ŋame
8,0.21174386121028044,1.412874680276006,1.2011308190657255,naku,ngth,ngth,yamit,babai,naku,naku,ngth,babai,ngth,yamit,yamit,babai,babai,yamit,yamit,yamit,yamit,naku,babai,naku,nane,naku,nane,naku,naku,naku,babai,yamit,babai,naku,naku,yamit,yamit,nane,naku,ngth,babai,naku,naku,yamit,naku,ngth,ngth,yamit,nane,ngth,babai,yamit,ngth,nane,babai,yamit,yamit,yamit,ngth,yamit,ngth,naku,ngth,babai,babai,ngth,babai,naku,ngth,babai,babai,babai,babai,babai,ngth,ngth,babai,yamit,nane,naku,ngth,naku,nane,yamit,yamit,ngth,babai,ngth,ŋafe katan,ŋafe,ŋame,ŋäwi,ŋäwi,ŋäwi,ŋäwi,ŋäwi,ŋame,ŋafethm,ŋafe,ŋäwi,ŋame,ŋame,ŋafethm,ŋafe katan,ŋäwi,ŋame,ŋäwi,ŋame
9,0.24651499301309787,1.4184836619456564,1.1719686689325586,babai,yamit,naku,nane,babai,yamit,babai,nane,nane,nane,babai,naku,babai,ngth,naku,naku,yamit,ngth,nane,babai,babai,ngth,yamit,nane,naku,ngth,naku,yamit,babai,babai,yamit,babai,yamit,yamit,naku,naku,babai,babai,naku,ngth,yamit,yamit,babai,ngth,yamit,naku,naku,ngth,ngth,ngth,naku,ngth,naku,yamit,ngth,yamit,naku,babai,yamit,babai,babai,yamit,babai,yamit,ngth,ngth,ngth,babai,ngth,naku,babai,yamit,naku,yamit,naku,babai,ngth,nane,yamit,ngth,yamit,naku,ngth,naku,ngth,ŋame,ŋäwi,ŋame,ŋame,ŋafe katan,ŋafethm,ŋäwi,ŋäwi,ŋafethm,ŋafe,ŋafe,ŋäwi,ŋame,ŋame,ŋäwi,ŋafe katan,ŋame,ŋäwi,ŋäwi,ŋäwi
