simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,mFBD,mMBD,mMBS,mFBeS,mFByS,mFBeD,mFByD,mMBeS,mMByS,mMBeD,mMByD,myZ,mFeBD,mFyBD,mMeBS,mMyBS,mMeBD,mMyBD,fZ,feB,fyB,fFBD,fMBD,fMBS,fFBeS,fFByS,fFBeD,fFByD,fMBeS,fMByS,fMBeD,fMByD,fyZ,fFeBD,fMeBS,fMyBS,fMeBD,fMyBD,mB,mZ,meZ,mFZD,mMZD,mFBS,mFZS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeZS,mMyZS,mMeZD,mMyZD,mFZeS,mFZyS,mFZeD,mFZyD,mMZeS,mMZyS,mMZeD,mMZyD,fB,feZ,fFZD,fMZD,fFBS,fFZS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeZS,fMyZS,fMeZD,fMyZD,fFZeS,fFZyS,fFZeD,fFZyD,fMZyS,fMZeD,fMZyD,mF,mFB,mFZ,mMZ,mMeZ,mFeB,mFeZ,mFyZ,fF,fFB,fFZ,fMZ,fMeZ,fFeB,fFeZ,fFyZ,mM,mMB,mFyB,mMyZ,mMeB,mMyB,fM,fMB,fFyB,fMyZ,fMeB,fMyB
0,0.26393014112586255,1.8447936210792997,1.5808634799534371,bokume,nkana,nkanea jende,nkana,nkana,nkana,nkana,nkaneomoto,nkanea jende,nkaneomoto,nkanea jende,nkana,botomolo,nkana,nkana,bokume,nkåna,nkana,bona,nkana,nkana,nsómí,nkana,nkana,nkanea jende,nkåna,nkana,nkana,nkana,nkana,nsómí,bona,nkana,nkanea jende,bona,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkanea jende,nkåna,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkaneomoto,nkana,nkana,nkana,bona,nkana,nkana,nkanea jende,bona,nkana,nkana,botomolo,nkana,bona,nkana,nkana,nkana,bona,nkana,nkana,nkana,nkana,nkana,bokume,nkana,nkana,bokume,nkaneomoto,nkana,nkåna,nkana,nkana,bona,nkana,nkana,nkana,nkana,nsómí,nsómí,nyangompame,nyangompame,nyango,tantinkune,nyango,nyangompame,mam'inkune,faomoto,faomoto,tata,mam'inkune,tata,nyangompame,nyango,tat'inkune,faomoto,nyango,tantinkune,faomoto,tantinkune,nyango,faomoto,nyangompame,nyangompame,nyango,tat'inkune,faomoto,tantinkune
1,0.24470189234421236,1.823520787339019,1.5788188949948065,nkana,nkana,nkåna,nkaneomoto,botomolo,nkana,nkana,nsómí,nkana,nkana,nkana,nkåna,nkana,nkaneomoto,nkåna,nkana,nkana,nkana,nkana,nkaneomoto,nkana,nkana,nkana,bona,bona,nkana,nkana,nkana,nkana,nkana,nkanea jende,nkana,nkaneomoto,nkana,nkana,bokume,nkana,nsómí,nkana,nkana,bokume,nkana,nkana,nkana,nkana,nkana,nkana,bona,nkana,nkana,nkana,botomolo,nkana,nkana,nkanea jende,nkana,nkana,nkanea jende,nkana,bona,nkana,nkana,nkåna,nkana,nkana,bokume,nkanea jende,nkana,bona,nkana,nkana,nkanea jende,nkana,nkanea jende,nkanea jende,nkana,nkana,nsómí,nkana,nkana,nkana,bona,bona,bona,nkana,nkana,bokume,nsómí,nkana,nkana,nyangompame,faomoto,tat'inkune,tantinkune,faomoto,nyango,nyangompame,tata,faomoto,nyango,tantinkune,nyango,nyangompame,tat'inkune,nyango,tantinkune,mam'inkune,faomoto,nyangompame,mam'inkune,tata,tantinkune,nyango,faomoto,nyangompame,nyangompame,nyango,faomoto
2,0.2745851291628407,1.754481593746775,1.4798964645839343,nkaneomoto,nkana,nkanea jende,nkana,nkana,nkanea jende,bona,nkana,nkana,bona,nkåna,nkana,nkana,nkana,nkanea jende,nkana,nkana,nkana,nkana,nkana,nsómí,nkana,nsómí,bona,nkana,nkåna,nkana,nkana,nsómí,nkana,nkana,nkanea jende,nkana,nkana,nkana,nkana,nkaneomoto,nkåna,bona,nkana,nkana,bokume,nkana,nkana,nkana,nkana,bokume,nkana,nsómí,nkaneomoto,nkanea jende,nkana,nkana,nkana,nkanea jende,bona,bokume,botomolo,nkana,nkana,nkana,nkana,nkana,nkaneomoto,nkåna,nkana,nkana,nkana,nkana,nkana,bona,nkana,bona,nkana,nkana,nkana,bokume,bona,botomolo,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkanea jende,nkana,nkana,faomoto,nyango,nyangompame,nyango,mam'inkune,tantinkune,faomoto,tantinkune,nyango,tantinkune,nyango,nyango,tantinkune,faomoto,nyangompame,nyangompame,nyangompame,nyango,nyangompame,tat'inkune,mam'inkune,tat'inkune,tata,faomoto,faomoto,faomoto,tata,nyangompame
3,0.23016012843432,1.8759825554781497,1.6458224270438297,nkana,nkana,nkana,nkana,nkåna,bokume,nsómí,bona,nkanea jende,nkana,nkana,bokume,nkana,nkana,nkana,bona,botomolo,nkana,nkanea jende,nkana,nkana,nkana,nkana,nkana,nkana,nkanea jende,nkana,nkana,nkana,nkåna,nkaneomoto,nkana,nkana,nkana,nkana,nkana,bokume,nkåna,bona,nkaneomoto,nkana,bona,nkana,nkana,nkana,nkana,nsómí,bona,nkana,nkana,nkana,nkanea jende,nkana,bokume,nkana,nkana,nkana,bona,nkana,nkåna,nkaneomoto,nkana,nkaneomoto,botomolo,bona,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkanea jende,nsómí,nkana,nkana,nkanea jende,nkana,nkana,bona,nkanea jende,nkana,nkana,nkana,nkana,nkana,nsómí,nkana,nkana,tantinkune,tata,faomoto,tantinkune,nyangompame,nyangompame,faomoto,nyangompame,tat'inkune,mam'inkune,nyango,tat'inkune,nyangompame,tantinkune,tantinkune,faomoto,nyangompame,nyango,nyango,tata,nyango,nyango,mam'inkune,faomoto,nyango,nyangompame,faomoto,faomoto
4,0.28499227273558536,1.8058730263687135,1.5208807536331281,nkana,nkana,nkana,nkana,nkana,nkana,nkaneomoto,nkana,nkana,nsómí,nkana,nkana,nkana,nkana,nkåna,nsómí,bona,nkana,nkana,nkana,nkanea jende,nkana,nkana,bokume,nkana,nkana,nkanea jende,nkana,nkana,nkanea jende,nkana,nkåna,nkana,nkana,bona,nkana,nkaneomoto,nkanea jende,nkana,bona,nkanea jende,nkana,nsómí,nkana,nkana,bokume,nkana,nkanea jende,nkana,nkana,bona,nkana,nkana,nkana,bona,nkana,nkana,nkana,nkana,nkaneomoto,nkana,nsómí,bokume,nkaneomoto,nkana,botomolo,nkanea jende,bona,nkana,nkana,botomolo,bokume,nkana,nkana,nkana,bona,nkana,nkana,bona,nkana,nkåna,nkåna,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nyangompame,nyango,nyangompame,tat'inkune,nyangompame,tantinkune,nyango,nyangompame,nyango,nyango,mam'inkune,mam'inkune,faomoto,nyango,nyangompame,tantinkune,faomoto,faomoto,nyangompame,faomoto,tantinkune,faomoto,tat'inkune,nyango,tata,faomoto,tata,tantinkune
5,0.2028850191974929,1.781767737406604,1.5788827182091112,nkana,bona,nkana,nkana,bona,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nsómí,nkåna,nkana,nkaneomoto,nkanea jende,nkana,nkana,nkana,nkana,bokume,nkanea jende,nsómí,nsómí,bokume,nkana,bokume,nkana,nkana,nkanea jende,nkana,nkana,nkana,nkana,nkanea jende,nkana,nkåna,nkaneomoto,nkana,nkåna,nkana,nkana,nkana,bona,nkana,nkana,nkana,bokume,nkana,nkana,nkanea jende,nkana,bona,bona,nkana,nsómí,nkaneomoto,nkana,nkana,nkana,nkana,nkana,nkaneomoto,nkana,bona,bona,nkåna,nkana,nkana,bona,nkana,nkana,nkana,nkanea jende,nkana,nkana,nkana,botomolo,nkana,nkana,nkana,nkana,nkana,nkana,nkana,botomolo,nkanea jende,nkana,nyango,mam'inkune,nyango,nyango,mam'inkune,nyango,faomoto,tantinkune,nyangompame,nyangompame,tantinkune,nyango,nyangompame,tata,faomoto,tata,nyangompame,tantinkune,tantinkune,faomoto,nyangompame,nyango,faomoto,nyangompame,faomoto,tat'inkune,tat'inkune,faomoto
6,0.22440624574727241,1.8012401809045286,1.5768339351572562,nkana,bokume,nkana,nkana,nkana,nkana,nkana,bokume,bokume,nkana,nkanea jende,nkanea jende,botomolo,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkanea jende,bokume,nkana,nkana,nkana,nkana,nkana,nkana,nkåna,bona,nkana,nkana,nsómí,bona,bona,nkana,nkaneomoto,nkana,nkana,nkana,bona,nkana,nkana,nkana,nkana,nkana,nkåna,nkana,nkana,nkana,nkaneomoto,nkanea jende,nkana,nkana,nkana,nkana,nkana,nkana,nkana,bona,nsómí,nsómí,nkanea jende,nkana,nkåna,nkana,nkana,nkaneomoto,bona,nkana,bona,nkana,nkaneomoto,nkana,nkana,nkanea jende,nkana,nkana,nkana,nkana,nkana,nsómí,nkana,nkana,nkåna,nkanea jende,bona,botomolo,nkana,nyango,tata,nyangompame,nyango,nyangompame,nyangompame,faomoto,tata,nyangompame,tantinkune,tantinkune,faomoto,nyangompame,mam'inkune,faomoto,nyango,nyango,faomoto,tat'inkune,nyango,tat'inkune,tantinkune,faomoto,tantinkune,nyangompame,nyango,mam'inkune,faomoto
7,0.24600246426797612,1.8276105144346588,1.5816080501666827,nkana,nkana,nkana,nkana,bokume,nkana,nkana,nsómí,nkana,nkana,nsómí,nkaneomoto,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkåna,nkana,nkaneomoto,bona,nkana,nkanea jende,nkana,nkana,bokume,bokume,nkanea jende,bona,nkåna,nkana,nkana,bokume,nkana,nkana,nkana,nkanea jende,nkanea jende,nkana,nkana,nkana,nkana,nkana,bona,bona,botomolo,nkana,nkana,nkana,nkana,nkana,nkana,botomolo,nkana,nkanea jende,nkana,nkana,bona,nkana,nkana,nkana,bona,nkana,nkana,nkanea jende,nkana,nkåna,nkaneomoto,nkana,nkana,nkana,nkana,nkana,bona,nkana,nkana,nkanea jende,bona,nkana,nkaneomoto,nkana,nkåna,nkana,nsómí,nkana,nkana,nsómí,nkana,mam'inkune,nyangompame,faomoto,nyangompame,tantinkune,nyangompame,nyango,nyango,nyango,mam'inkune,faomoto,nyangompame,faomoto,tantinkune,nyangompame,faomoto,nyango,tat'inkune,tata,tantinkune,tat'inkune,tantinkune,faomoto,nyango,nyangompame,tata,nyango,faomoto
8,0.23678534691689768,1.763053776343845,1.5262684294269473,bona,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkanea jende,bona,bona,nkana,nkana,nkana,nsómí,nkanea jende,nkana,nkana,nkaneomoto,nkana,nkaneomoto,nkana,nkana,nkana,bona,botomolo,nkana,bokume,nkana,nkana,nkana,nkana,nkana,nsómí,bona,nkana,nkana,nkana,nkåna,nkana,nkana,nkanea jende,nkana,nkana,nkana,nkanea jende,nkana,nkana,bona,nkana,nkåna,nsómí,nkana,nkana,bona,nkana,nkaneomoto,nkana,nkaneomoto,nkana,nkana,bokume,nkana,botomolo,bokume,nkana,nkana,nkana,nkana,bona,nkana,nkana,nkåna,nkana,nkana,nkana,nkana,nkana,nkana,nkanea jende,nsómí,nkana,nkana,nkana,nkanea jende,bokume,nkana,nkanea jende,nkåna,faomoto,nyango,tantinkune,faomoto,tantinkune,nyango,tat'inkune,nyango,mam'inkune,nyangompame,tata,faomoto,tantinkune,nyangompame,nyango,nyango,nyangompame,faomoto,nyangompame,tantinkune,mam'inkune,nyango,faomoto,nyangompame,tat'inkune,faomoto,tata,nyangompame
9,0.3101807670856871,1.8921708232517063,1.5819900561660192,nkana,nkana,nkåna,nkana,nkana,nkana,nkana,nkanea jende,nkana,bona,nkana,nkaneomoto,nkana,nkaneomoto,nkana,nkåna,bokume,botomolo,nkanea jende,nkana,nkana,bona,nkana,nsómí,nkanea jende,nkana,nkana,nkana,bokume,nkana,nkanea jende,nkana,nkana,nkana,nkana,nkana,nkaneomoto,botomolo,nkana,nkana,nkåna,nkana,bona,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,nkana,bona,nkanea jende,nkana,nkana,nkanea jende,nkana,nkana,bona,nkana,nkana,bona,nkåna,nsómí,nkana,nkana,nkana,nkana,nkana,nkanea jende,nkana,nkana,nkana,nsómí,nkaneomoto,nkana,nkana,bona,nkana,bokume,bokume,nsómí,nkana,nkana,nkana,bona,nkana,tantinkune,faomoto,nyango,mam'inkune,faomoto,nyango,tantinkune,nyango,tata,nyangompame,tata,tat'inkune,nyango,nyango,faomoto,nyangompame,mam'inkune,nyango,faomoto,nyangompame,nyangompame,faomoto,faomoto,tat'inkune,tantinkune,nyangompame,tantinkune,nyangompame
