simulation_number,mutual_information,entropy,conditional_entropy,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,meB,meZ,feB,feZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB,mF,fF
0,0.20772631708722356,1.1067971262925806,0.8990708092053571,ãpã ray,ei memby,tuty radjy,ãpã radjy,ei memby,tywy,ei memby,ãpã ray,pawe kybei,pawe kudjã,tywy,tywy,pawe kudjã,ãpã radjy,tuty ray,tuty ray,ei memby,tuty radjy,ei memby,ei memby,ei memby,ei memby,ei memby,ãpã ray,pawe kudjã,ei memby,ãpã radjy,ei memby,ei memby,ei memby,pawe kybei,ei memby,pawe kybei,pawe kudjã,pawe kybei,pawe kybei,ei pawe radjy,ei memby,ei memby,ei memby,pawe kuǰa,key'y,ãpã ray,nwy,ei memby,pawe kudjã,pawe kybei,pawe kybei,key'y,tuty radjy,kywã,ãpã ray,ei memby,ei memby,key'y,ãpã radjy,ãpã ray,ei memby,ei pawe radjy,ãpã radjy,tuty ray,ei memby,ei memby,ei memby,pawe kudjã,tywy,ãpã ray,ei memby,ãpã ray,tuty ray,ãpã ray,pawe kudjã,ei memby,ãpã ray,ei memby,ãpã ray,pawe kybei,ei memby,ãpã radjy,ei memby,ãpã ray,ei memby,pawe kudjã,tuty radjy,ãpã radjy,ãpã radjy,ei memby,ãpã radjy,key'y,ei,ãpã,ei,ei,ei,ei,tuty,ei,ãpã,apã,ei,ei,tuty,ei,ãpã,ei,ãpã,ei,ãpã,ei,ei,ãpã,ãpã,ãpã,ãpã,ei,tuty,apã
1,0.29441498764562324,1.026980246335269,0.7325652586896458,ei pawe radjy,tywy,ei memby,tuty ray,pawe kudjã,ãpã ray,pawe kybei,ei memby,key'y,pawe kudjã,tywy,ãpã ray,ei memby,pawe kudjã,tuty radjy,ãpã radjy,ei memby,ãpã ray,tuty radjy,ei memby,ãpã radjy,ãpã radjy,ei memby,pawe kudjã,ei memby,pawe kybei,pawe kybei,ei memby,ei memby,kywã,ei memby,ei memby,ei memby,key'y,ãpã ray,ei memby,ei memby,key'y,ãpã radjy,ei memby,tuty radjy,ei memby,key'y,ei memby,ãpã ray,pawe kybei,ei memby,ei memby,pawe kybei,ei memby,ei pawe radjy,ei memby,ãpã ray,ei memby,ei memby,tuty ray,ei memby,ei memby,ãpã radjy,tywy,ãpã ray,ei memby,pawe kudjã,ãpã ray,ãpã radjy,ei memby,ei memby,ãpã radjy,ãpã ray,tuty ray,ãpã ray,tuty ray,pawe kudjã,ei memby,ãpã radjy,pawe kudjã,ei memby,ei memby,nwy,tywy,pawe kybei,ãpã ray,pawe kybei,tuty radjy,pawe kudjã,pawe kuǰa,ãpã radjy,ãpã ray,pawe kybei,ei,ei,ei,ãpã,ei,tuty,ei,tuty,ãpã,ei,ei,ei,ei,ãpã,ei,ãpã,ãpã,ãpã,ãpã,apã,ei,ei,ãpã,tuty,apã,ãpã,ei,ei
2,0.19111752380177727,1.101471144107537,0.9103536203057598,tywy,ãpã radjy,tuty radjy,ãpã radjy,pawe kybei,pawe kybei,ei memby,ei memby,ei memby,key'y,key'y,ei memby,tuty radjy,key'y,pawe kybei,tuty ray,pawe kybei,ei memby,tuty ray,pawe kudjã,ei memby,tuty radjy,tywy,ei memby,ei memby,ei pawe radjy,tuty radjy,ei memby,pawe kybei,pawe kudjã,tywy,ãpã ray,ãpã radjy,ei memby,ãpã ray,ei memby,ãpã ray,ei memby,ei memby,ei memby,ãpã ray,ei memby,nwy,ei memby,ei memby,ãpã radjy,ei memby,ãpã ray,pawe kudjã,ãpã radjy,ãpã ray,ãpã ray,key'y,ei memby,tuty ray,ei memby,ei memby,ãpã radjy,ãpã radjy,ei memby,tuty ray,ei memby,tywy,pawe kudjã,ei memby,pawe kudjã,ãpã radjy,ei memby,ãpã ray,pawe kudjã,ei memby,ei memby,ãpã ray,pawe kudjã,ei pawe radjy,ãpã ray,ei memby,ei memby,pawe kuǰa,pawe kybei,pawe kudjã,ãpã radjy,pawe kybei,ei memby,kywã,pawe kybei,ãpã ray,ãpã ray,ei memby,ei,ei,ei,ei,ãpã,apã,ei,ãpã,ei,ei,ei,tuty,ãpã,ãpã,ei,ei,ãpã,tuty,ãpã,ãpã,ãpã,ei,tuty,ei,ãpã,ei,ei,apã
3,0.2656145465189287,1.0703124417762138,0.8046978952572851,ei memby,ei memby,pawe kudjã,pawe kudjã,ãpã radjy,ei memby,ãpã ray,ãpã radjy,ãpã radjy,ei memby,pawe kybei,ei pawe radjy,key'y,tywy,pawe kybei,ãpã radjy,ei memby,ei memby,pawe kudjã,key'y,tuty radjy,ei memby,ei memby,pawe kudjã,ei memby,ei memby,tuty radjy,ei memby,ãpã ray,tuty radjy,ei memby,ei memby,key'y,pawe kudjã,ãpã ray,ei memby,ãpã ray,ei memby,ei memby,ãpã ray,kywã,ei memby,ei memby,ei memby,ãpã radjy,pawe kybei,ei memby,tuty ray,pawe kuǰa,pawe kybei,tywy,ei memby,ãpã ray,tywy,pawe kudjã,pawe kybei,ei memby,ei memby,ãpã ray,ãpã radjy,tuty ray,pawe kybei,tuty radjy,ãpã ray,nwy,ei memby,key'y,ãpã ray,ãpã radjy,ei pawe radjy,ei memby,tuty ray,pawe kudjã,ei memby,ei memby,pawe kybei,ãpã radjy,ei memby,ei memby,pawe kudjã,ei memby,pawe kybei,ãpã ray,ei memby,ãpã ray,tuty ray,ãpã ray,tywy,ãpã radjy,ei,ei,ei,ei,ei,tuty,ãpã,ãpã,ei,ei,ei,ãpã,ãpã,ei,ãpã,ei,ãpã,ei,tuty,ei,ei,apã,ei,tuty,ãpã,ãpã,ãpã,apã
4,0.21541143321712863,1.101696969429589,0.8862855362124604,ãpã ray,ei memby,ãpã radjy,pawe kybei,ei memby,ãpã radjy,tuty ray,ei pawe radjy,ãpã radjy,pawe kybei,ei memby,ei memby,ãpã ray,tywy,ei memby,ei memby,nwy,tuty ray,ãpã ray,ãpã ray,ei memby,ãpã ray,ei memby,ei memby,ei memby,ãpã radjy,ei memby,pawe kuǰa,ãpã ray,ãpã radjy,ãpã radjy,tywy,pawe kudjã,ei memby,ei memby,ãpã radjy,ei memby,ei memby,pawe kybei,pawe kudjã,ãpã ray,ei memby,ei memby,ãpã ray,tywy,ãpã radjy,pawe kudjã,ei memby,tuty radjy,pawe kudjã,ei memby,key'y,pawe kybei,pawe kybei,ei memby,tuty radjy,ãpã ray,ei pawe radjy,pawe kybei,ei memby,tuty radjy,pawe kybei,pawe kybei,ei memby,tuty radjy,ãpã ray,tuty ray,pawe kudjã,tywy,ei memby,pawe kudjã,ei memby,ãpã ray,ei memby,ei memby,kywã,key'y,ãpã radjy,ei memby,key'y,ei memby,pawe kudjã,key'y,ei memby,ãpã ray,ei memby,ei memby,tuty ray,pawe kudjã,ãpã,ei,tuty,ei,ei,ei,apã,ãpã,ei,ei,ei,ei,apã,ei,ãpã,ei,ei,ãpã,ei,ãpã,tuty,ãpã,tuty,ei,ãpã,ei,ãpã,ãpã
5,0.2128545148843154,1.0954305255648673,0.8825760106805519,tuty ray,ei memby,pawe kybei,pawe kybei,ei memby,tywy,ei memby,ãpã ray,ei memby,ãpã ray,tuty radjy,pawe kybei,ãpã ray,ei memby,ei memby,ei memby,ãpã radjy,ei pawe radjy,ãpã radjy,key'y,pawe kudjã,ãpã radjy,ãpã radjy,key'y,ãpã ray,ei memby,ãpã ray,ei memby,tuty ray,tuty radjy,nwy,ãpã radjy,ei memby,ãpã ray,ei memby,ei memby,ei memby,kywã,pawe kudjã,ei memby,ei memby,ei memby,ei memby,pawe kudjã,ãpã radjy,tuty radjy,ei memby,key'y,ãpã ray,ei memby,key'y,ei memby,ei memby,tuty ray,tuty ray,ei memby,ei memby,ei memby,pawe kuǰa,ei memby,ãpã radjy,ãpã ray,tywy,ei memby,ei pawe radjy,tuty radjy,pawe kybei,ãpã ray,pawe kudjã,ei memby,pawe kybei,pawe kybei,ãpã radjy,pawe kudjã,ei memby,ãpã ray,pawe kybei,tywy,ei memby,ei memby,ãpã ray,pawe kudjã,ãpã ray,tywy,pawe kudjã,pawe kudjã,ãpã radjy,pawe kybei,ei memby,ei,ei,apã,ãpã,ãpã,ei,tuty,ãpã,ei,ei,tuty,tuty,ei,ei,ei,ãpã,ãpã,ei,ei,apã,ei,ãpã,ei,ei,ei,ãpã,ãpã,ãpã
6,0.2291988337057751,1.1265040409314577,0.8973052072256826,ei memby,tywy,ei memby,tuty ray,ei memby,ãpã ray,key'y,ei memby,pawe kudjã,ei memby,ei pawe radjy,ei memby,ei memby,tywy,ei memby,pawe kudjã,tywy,ãpã radjy,ei memby,pawe kybei,ei memby,ei memby,ei memby,pawe kybei,ãpã radjy,pawe kudjã,key'y,pawe kudjã,ãpã radjy,pawe kybei,pawe kybei,pawe kudjã,ãpã radjy,ãpã ray,ei memby,ei memby,pawe kudjã,tuty ray,ãpã ray,ãpã radjy,ei memby,ãpã ray,tywy,ei memby,ãpã ray,key'y,ei memby,pawe kuǰa,tuty radjy,ei memby,pawe kybei,ei memby,ãpã ray,ãpã ray,ei memby,ãpã radjy,kywã,tuty ray,tuty radjy,ãpã radjy,ei memby,pawe kybei,ei memby,ãpã ray,ei memby,ãpã ray,ei memby,ãpã ray,key'y,ei memby,nwy,pawe kudjã,ei memby,ei memby,ei memby,ei memby,pawe kybei,ei pawe radjy,ei memby,ãpã ray,pawe kybei,ãpã radjy,tuty ray,ãpã radjy,ãpã ray,ei memby,tuty radjy,pawe kudjã,tuty radjy,ei,ei,ei,tuty,apã,tuty,apã,ei,ei,ãpã,ãpã,ei,ei,ei,ei,ãpã,ei,ei,ei,ãpã,ãpã,ãpã,ãpã,ei,ãpã,ãpã,ei,tuty
7,0.2074777121881124,1.137497450995892,0.9300197388077796,ei memby,tuty radjy,ei memby,tuty ray,pawe kudjã,pawe kudjã,ei memby,tywy,ei memby,tuty ray,tywy,pawe kybei,tuty radjy,ei memby,kywã,key'y,pawe kybei,ei memby,ãpã ray,ei memby,ei memby,pawe kudjã,ei memby,nwy,key'y,pawe kudjã,ei pawe radjy,ãpã radjy,ei memby,ei memby,ãpã radjy,pawe kuǰa,ãpã radjy,tuty ray,ãpã ray,ãpã ray,ei pawe radjy,ãpã ray,ãpã ray,ãpã ray,tywy,pawe kudjã,ãpã ray,ei memby,ei memby,pawe kybei,pawe kudjã,ei memby,ei memby,ei memby,ei memby,pawe kudjã,ãpã ray,tuty ray,ei memby,ãpã radjy,ãpã radjy,pawe kybei,pawe kybei,ãpã radjy,tuty radjy,ãpã radjy,ei memby,pawe kybei,ei memby,ei memby,ãpã ray,key'y,ei memby,ei memby,ei memby,ei memby,ei memby,pawe kybei,ei memby,ei memby,pawe kudjã,ãpã ray,tuty radjy,ãpã ray,key'y,ãpã radjy,ei memby,ei memby,pawe kybei,ãpã ray,ãpã radjy,tywy,ei memby,ei,ãpã,ei,ãpã,ei,ãpã,ãpã,ãpã,ei,ei,ei,apã,ei,ãpã,ei,ei,apã,tuty,ãpã,ãpã,tuty,tuty,ãpã,ei,ei,ei,ei,ei
8,0.23422039283612783,1.149615948105881,0.9153955552697531,ãpã ray,ei memby,key'y,ei memby,ãpã radjy,tuty radjy,ei memby,tuty radjy,ei pawe radjy,ei memby,ei memby,ãpã ray,ei memby,pawe kybei,ei memby,pawe kybei,pawe kudjã,tuty radjy,tywy,ãpã ray,ei memby,pawe kybei,pawe kudjã,ei memby,ei memby,ãpã ray,ei memby,ei memby,ei memby,pawe kybei,ãpã ray,tuty ray,pawe kudjã,ãpã ray,ãpã ray,ei memby,pawe kuǰa,pawe kybei,ei memby,kywã,ei memby,tuty radjy,ãpã radjy,pawe kudjã,ãpã ray,ei memby,ei memby,ãpã radjy,ãpã radjy,ei memby,ãpã ray,ãpã ray,ei memby,pawe kybei,ei memby,ei memby,ãpã ray,tuty ray,pawe kudjã,ãpã ray,ei memby,tywy,ei memby,pawe kybei,ãpã radjy,ãpã radjy,ãpã radjy,pawe kudjã,ãpã radjy,ei memby,pawe kudjã,ei memby,tuty ray,pawe kudjã,key'y,key'y,tywy,nwy,ei memby,ãpã radjy,pawe kybei,ei memby,key'y,tuty ray,ei memby,ei memby,ei pawe radjy,ei memby,tywy,ei,ãpã,tuty,ãpã,ei,ãpã,apã,ãpã,ei,ei,ei,ei,tuty,ei,ei,ãpã,tuty,ãpã,ãpã,ei,ei,ei,ãpã,ãpã,ei,apã,ei,ei
9,0.20881251223259356,1.1846554789316113,0.9758429666990177,pawe kudjã,ei memby,key'y,ei memby,ei memby,ãpã ray,nwy,ãpã radjy,pawe kybei,pawe kuǰa,ei memby,ãpã ray,ei memby,ãpã ray,tywy,pawe kybei,ãpã ray,ãpã ray,ei memby,pawe kudjã,tuty ray,ei memby,kywã,ei memby,ãpã radjy,tuty radjy,ei memby,pawe kybei,ei memby,ei memby,ei memby,ei memby,ãpã ray,ei memby,pawe kybei,tywy,ei memby,ãpã ray,tuty ray,ei memby,pawe kudjã,tywy,ãpã radjy,pawe kudjã,tuty radjy,ãpã radjy,ei memby,pawe kybei,pawe kybei,ei memby,ei memby,tuty radjy,pawe kudjã,tuty radjy,ei memby,ei memby,ãpã radjy,ei memby,ei memby,key'y,ei memby,key'y,ei pawe radjy,tywy,pawe kybei,pawe kudjã,ei memby,ãpã radjy,tuty ray,ãpã ray,tuty ray,ei memby,pawe kudjã,ãpã radjy,ãpã ray,ei memby,ãpã radjy,pawe kybei,ãpã ray,ãpã ray,ãpã ray,ei memby,ei pawe radjy,pawe kudjã,ãpã radjy,ei memby,ei memby,key'y,ei memby,tuty,ãpã,tuty,ei,ãpã,ei,ãpã,tuty,ei,ãpã,ei,ei,ei,ei,ei,apã,ãpã,ei,ei,ei,ei,apã,ãpã,ei,ãpã,ãpã,ei,ãpã
