simulation_number,mutual_information,entropy,conditional_entropy,mFZD,mFBD,mMBD,mMZD,mFZS,mMBS,mFBeS,mFByS,mMZeS,mMZyS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mMeZD,mMyZD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFZD,fMBD,fFBS,fFZS,fMBS,fMZS,fFBeD,fFByD,fMZeD,fMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mZ,meB,myB,fB,feZ,fyZ,mFBeD,mFByD,mMZeD,mMZyD,fFBeS,fFByS,fMZyS,mM,mFB,mFZ,mMB,mMZ,fF,fM,fFB,fFZ,fMB,fMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.26923215759982577,2.331556430343972,2.062324272744146,muhisi,muhasa,muhisi,muhasa,muhisi,muhisi,muhisi,muhasa,muhisi,muhasa,mama,muhasa,muhisi,muhisi,muhisi,muhisi,muhisi,mwanakwetu,muhasa,muhisi,muhisi,muhasa,muhasa,muhasa,mama,mama,muhisi,muhasa,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,mama,muhisi,muhasa,muhisi,mama,mwanakwetu,muhasa,muhisi,muhisi,muhisi,muhasa,muhasa,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,mwanakwetu,muhisi,mwanakwetu,muhasa,mwanakwetu,muhisi,muhisi,muhisi,mama,muhisi,muhisi,muhisi,muhasa,mwanakwetu,muhisi,muhasa,muhasa,muhasa,muhisi,muhisi,yuvahenge muvina,yuva,dada mudodo,yuvahenge mudodo,yuva mudodo,yuva muvina,dada,dada mudodo,yuva,yuva,yuvahenge muvina,yuva muvina,yuva,yuvahenge mudodo,yuva mudodo,yaya muvina,dada,yaya,yaya mudodo,yuvahengi,yaya mudodo,yuvahengi,yaya muvina,dada muvina,dada muvina,dada,yaya
1,0.26267583249651283,2.439758241237041,2.177082408740528,muhasa,muhisi,muhasa,muhisi,muhisi,muhisi,muhasa,muhasa,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,muhasa,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,muhasa,muhisi,muhasa,muhasa,muhisi,muhisi,muhisi,mama,mama,muhisi,muhasa,muhasa,muhisi,muhasa,muhisi,mama,mama,muhisi,muhasa,muhisi,muhasa,muhisi,muhasa,mwanakwetu,muhisi,muhasa,mama,muhasa,muhisi,muhisi,mwanakwetu,muhisi,muhisi,muhisi,mwanakwetu,mama,muhasa,muhisi,muhisi,muhasa,mwanakwetu,mwanakwetu,muhisi,mwanakwetu,dada,yaya,yuva,yuvahenge mudodo,dada mudodo,yaya,yaya muvina,yuva mudodo,yaya mudodo,yuvahengi,yaya mudodo,yuva,dada,yuvahenge mudodo,dada muvina,yuva muvina,dada,yuva mudodo,dada muvina,yuvahenge muvina,yuvahengi,yuvahenge muvina,yuva,yuva,dada mudodo,yuva muvina,yaya muvina
2,0.3238145126923797,2.424427346507194,2.1006128338148145,muhasa,muhisi,mama,muhisi,muhisi,muhasa,mama,muhasa,muhasa,muhisi,mama,mwanakwetu,muhisi,muhasa,muhasa,mwanakwetu,muhisi,mwanakwetu,muhisi,muhasa,muhisi,mama,muhisi,muhasa,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,muhasa,muhasa,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,mama,muhasa,muhisi,muhisi,muhasa,mwanakwetu,muhasa,mama,muhasa,muhisi,muhasa,muhisi,muhisi,mwanakwetu,muhasa,mwanakwetu,muhisi,muhisi,muhasa,muhisi,muhasa,muhisi,muhasa,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,yuvahenge mudodo,yaya,yuvahenge muvina,yuva mudodo,yuvahenge mudodo,yuva muvina,dada,yuva,yaya mudodo,yaya mudodo,dada muvina,yuvahenge muvina,yaya muvina,yuva muvina,yuva,dada,dada muvina,yuva mudodo,yuvahengi,yaya,dada mudodo,yuva,yaya muvina,yuvahengi,yuva,dada mudodo,dada
3,0.3978776230366621,2.403447830495138,2.005570207458476,muhasa,mwanakwetu,muhasa,muhisi,muhisi,muhasa,muhisi,muhasa,muhisi,muhasa,mwanakwetu,muhisi,muhasa,muhisi,mama,mwanakwetu,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,muhasa,muhasa,muhisi,muhisi,mwanakwetu,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,muhasa,muhisi,muhisi,muhisi,mwanakwetu,muhasa,mama,muhisi,muhasa,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,muhasa,muhisi,mama,muhisi,muhasa,muhisi,muhisi,muhisi,muhisi,muhasa,mama,muhasa,muhisi,muhisi,muhisi,mama,muhasa,mwanakwetu,muhasa,muhisi,mama,muhasa,muhisi,muhisi,yaya muvina,yuvahengi,yuvahenge muvina,yaya,yuva,dada muvina,yuva muvina,yuva,yaya muvina,yuva muvina,dada muvina,yaya mudodo,dada,dada mudodo,yuvahenge mudodo,yuva mudodo,yuvahenge muvina,dada mudodo,yuva mudodo,dada,dada,yuva,yuvahenge mudodo,yaya mudodo,yuvahengi,yaya,yuva
4,0.30012814071601657,2.4232369018180204,2.123108761102004,muhisi,mwanakwetu,muhisi,muhisi,muhasa,mama,muhisi,muhasa,muhisi,mama,muhasa,muhisi,muhasa,mwanakwetu,muhisi,mwanakwetu,muhasa,muhisi,muhasa,muhasa,muhisi,muhasa,mama,muhasa,muhasa,muhasa,muhisi,mwanakwetu,muhisi,muhisi,muhisi,muhisi,mama,muhisi,muhisi,muhisi,mama,muhasa,muhisi,muhasa,muhasa,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,muhisi,muhasa,mwanakwetu,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,mwanakwetu,muhasa,mama,muhasa,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,muhasa,yuvahenge muvina,yuva muvina,yuva mudodo,yaya mudodo,yaya,yuvahengi,yaya muvina,yuva,yuvahenge mudodo,yuvahenge mudodo,dada,dada mudodo,yuva mudodo,yuvahengi,dada muvina,yuva,dada muvina,yaya muvina,yuva,yuva muvina,yuvahenge muvina,yuva,dada mudodo,dada,yaya mudodo,yaya,dada
5,0.361330292005011,2.314515421944996,1.953185129939985,mama,muhasa,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,muhasa,muhisi,muhasa,muhasa,muhasa,muhasa,muhisi,mwanakwetu,mama,muhisi,muhasa,muhisi,muhasa,mama,muhisi,muhisi,muhisi,muhasa,muhasa,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,muhasa,muhisi,muhisi,muhisi,mama,muhisi,muhasa,muhisi,muhisi,muhisi,muhisi,mama,muhasa,muhisi,mwanakwetu,muhisi,mwanakwetu,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,muhasa,muhasa,muhisi,muhisi,muhisi,muhasa,mwanakwetu,mwanakwetu,muhisi,mama,muhasa,muhisi,muhisi,muhasa,mwanakwetu,yuvahengi,dada,yuvahenge muvina,yuvahenge muvina,yuva muvina,yuvahengi,dada mudodo,yuva mudodo,dada,yuva,dada,dada muvina,yaya,dada muvina,yuva muvina,yuvahenge mudodo,yaya mudodo,yaya muvina,yuva,yaya mudodo,yaya muvina,yuva,yuva mudodo,yaya,dada mudodo,yuvahenge mudodo,yuva
6,0.24965291659725564,2.3790970090014283,2.1294440924041727,muhasa,mama,muhasa,muhisi,mwanakwetu,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,mwanakwetu,muhisi,muhisi,muhisi,muhisi,mwanakwetu,muhasa,muhisi,muhasa,muhasa,mama,muhasa,mama,muhisi,muhisi,muhisi,muhasa,muhasa,muhasa,muhasa,muhisi,muhisi,muhisi,muhasa,mama,muhisi,muhasa,mama,muhisi,mwanakwetu,muhasa,muhisi,muhasa,muhasa,muhasa,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,muhisi,mama,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,mwanakwetu,muhisi,muhisi,muhisi,mwanakwetu,muhasa,muhisi,yaya mudodo,yuva,yuvahenge mudodo,dada muvina,yaya,yaya,yuva muvina,yuva muvina,yaya muvina,yuva,dada,yaya muvina,dada mudodo,yuva mudodo,yuvahenge mudodo,dada muvina,yuvahenge muvina,dada,yaya mudodo,yuvahengi,dada,yuva,yuva,yuvahenge muvina,yuva mudodo,yuvahengi,dada mudodo
7,0.18958339212851572,2.429700013002692,2.240116620874176,muhisi,muhisi,muhasa,muhisi,muhisi,mama,muhasa,muhisi,muhisi,muhisi,muhasa,mwanakwetu,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,muhasa,muhisi,muhisi,muhisi,muhisi,mama,muhisi,muhisi,muhisi,muhasa,mwanakwetu,muhasa,muhisi,mama,mwanakwetu,muhasa,muhasa,muhisi,mwanakwetu,muhisi,muhasa,muhasa,muhasa,muhisi,mama,muhasa,muhisi,muhisi,muhisi,muhasa,muhasa,muhisi,mwanakwetu,mwanakwetu,muhisi,muhisi,mama,muhasa,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,muhasa,muhisi,mama,muhasa,muhisi,muhisi,muhisi,muhasa,muhasa,muhisi,yuva,yaya mudodo,yuva mudodo,yaya,dada,yuvahenge mudodo,yuvahenge muvina,dada,yuvahengi,dada muvina,yuva muvina,yuvahenge muvina,yuva mudodo,yaya muvina,dada,yuva,yaya,dada mudodo,yuvahenge mudodo,yaya mudodo,yuva muvina,yuva,dada mudodo,yaya muvina,yuva,yuvahengi,dada muvina
8,0.20292534211492486,2.3697564096987196,2.1668310675837947,muhisi,muhisi,mwanakwetu,muhasa,muhisi,muhasa,muhisi,muhisi,muhisi,muhisi,muhasa,muhasa,muhisi,mama,muhisi,mama,mama,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,muhasa,mama,muhisi,muhasa,muhasa,muhisi,muhasa,muhasa,muhasa,muhasa,muhisi,muhisi,muhisi,muhasa,muhisi,muhasa,mwanakwetu,mwanakwetu,muhasa,muhasa,muhisi,mwanakwetu,muhisi,muhisi,mama,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,muhasa,muhisi,mama,mwanakwetu,muhisi,muhasa,mwanakwetu,muhisi,muhisi,muhisi,muhasa,muhisi,yuva muvina,yaya,yuvahenge muvina,yuva,dada mudodo,yuva,yuva mudodo,yuvahenge mudodo,yaya muvina,dada,yaya,yuvahenge mudodo,yuvahengi,yuva mudodo,dada,yuva muvina,yuva,dada,yuva,dada muvina,yaya mudodo,yaya muvina,yaya mudodo,yuvahengi,dada muvina,dada mudodo,yuvahenge muvina
9,0.21599038119715086,2.374627584510464,2.158637203313313,muhisi,muhisi,muhisi,muhasa,muhasa,muhisi,muhisi,muhasa,muhasa,muhasa,muhisi,mwanakwetu,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,muhasa,muhasa,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,muhasa,mama,mwanakwetu,muhisi,mama,muhasa,muhasa,mwanakwetu,muhisi,muhasa,muhisi,muhisi,mama,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,muhisi,muhasa,mama,muhasa,muhasa,muhisi,muhisi,muhisi,mama,muhisi,mwanakwetu,mwanakwetu,muhisi,muhisi,muhisi,muhasa,mama,muhasa,muhasa,muhisi,muhasa,muhisi,mwanakwetu,yuva,dada,yuva,yuvahenge mudodo,dada mudodo,yaya mudodo,dada muvina,yuvahengi,yuva,dada,yuvahenge muvina,yuva muvina,yuva,yuvahenge muvina,yaya,yaya mudodo,yuva muvina,yaya muvina,yuvahengi,yuva mudodo,dada mudodo,yaya muvina,dada muvina,dada,yuvahenge mudodo,yaya,yuva mudodo
