simulation_number,mutual_information,entropy,conditional_entropy,fB,meB,myB,mFZD,mFBD,mMBD,mMZD,mFZS,mMBS,mFeBS,mFyBS,mMeZS,mMyZS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeD,mMZyD,feZ,fyZ,fFZD,fMBD,fFBS,fFZS,fMBS,fMZS,fFeBD,fMeZD,fMyZD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFBeS,fFByS,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,mFeBD,mFyBD,mMeZD,mMyZD,fFeBS,fFyBS,fMeZS,fMyZS,mF,mM,fF,fM,mFZ,mMB,mFeB,mFyB,mMeZ,mMyZ,mFeZ,mFyZ,mMeB,mMyB,fMB,fFeB,fFyB,fMeZ,fMyZ,fMeB,fMyB
0,0.2193487805190948,1.532249636641722,1.3129008561226272,munakwetu,lumbu,alayo,lumbu,muhizi,lumbu,muhizi,alayo,lumbu,alaba,muhizi,muhizi,lumbu,muhizi,alaba,lumbu,lumbu,lumbu,lumbu,muhizi,muhizi,muhizi,muhizi,lumbu,lumbu,muhizi,lumbu,lumbu,muhizi,muhizi,muhizi,lumbu,lumbu,muhizi,lumbu,muhizi,lumbu,lumbu,alayo,muhizi,muhizi,muhizi,muhizi,muhizi,muhizi,lumbu,lumbu,lumbu,muhizi,lumbu,muhizi,lumbu,lumbu,muhizi,muwaha,lumbu,alayo,lumbu,lumbu,muwaha,muhizi,muhizi,muhizi,lumbu,alaba,muhizi,lumbu,lumbu,munakwetu,muhizi,muhizi,baba,yaya,kuku,kuku,yaya,soga,kuku,kuku,nyinahenga,soga,baba,yaya,nyinahenga,kuku,yaya,baba,baba,yaya,yaya,nyinahenga,kuku
1,0.2437566177502566,1.4870954651676995,1.243338847417443,muhizi,muhizi,lumbu,lumbu,muhizi,munakwetu,lumbu,lumbu,alaba,lumbu,lumbu,lumbu,alaba,lumbu,muhizi,muhizi,muhizi,muhizi,lumbu,muhizi,muhizi,lumbu,muhizi,alayo,muhizi,muhizi,muhizi,lumbu,munakwetu,muhizi,lumbu,muhizi,lumbu,muhizi,lumbu,lumbu,lumbu,muhizi,lumbu,lumbu,alayo,muhizi,muhizi,muhizi,lumbu,muhizi,muhizi,lumbu,muwaha,lumbu,muhizi,lumbu,lumbu,lumbu,alayo,muhizi,alayo,muhizi,muhizi,lumbu,muhizi,lumbu,muhizi,lumbu,lumbu,lumbu,lumbu,muwaha,muhizi,alaba,muhizi,baba,soga,yaya,yaya,yaya,kuku,yaya,kuku,kuku,kuku,baba,nyinahenga,nyinahenga,yaya,kuku,kuku,yaya,nyinahenga,soga,baba,baba
2,0.15509182236312924,1.5166045084111037,1.3615126860479745,muhizi,lumbu,muhizi,muhizi,lumbu,lumbu,muhizi,lumbu,muhizi,muhizi,muhizi,muhizi,munakwetu,muhizi,lumbu,muhizi,muhizi,lumbu,alayo,lumbu,lumbu,muhizi,lumbu,muhizi,lumbu,muhizi,alaba,lumbu,muhizi,muhizi,lumbu,muhizi,muhizi,lumbu,muwaha,muwaha,lumbu,alayo,muhizi,muhizi,lumbu,lumbu,lumbu,muhizi,lumbu,lumbu,alayo,lumbu,lumbu,muhizi,lumbu,lumbu,muhizi,alaba,lumbu,muhizi,alayo,lumbu,lumbu,muhizi,alaba,muhizi,lumbu,muhizi,muhizi,lumbu,lumbu,munakwetu,lumbu,muhizi,muhizi,yaya,soga,yaya,baba,yaya,kuku,baba,kuku,yaya,kuku,baba,baba,yaya,kuku,nyinahenga,nyinahenga,kuku,soga,nyinahenga,kuku,yaya
3,0.17379102404736413,1.5221716382919142,1.34838061424455,muhizi,lumbu,lumbu,muhizi,lumbu,alayo,lumbu,lumbu,alaba,munakwetu,alayo,muhizi,lumbu,muhizi,lumbu,muhizi,lumbu,muhizi,muhizi,lumbu,muhizi,muhizi,muwaha,lumbu,muhizi,alayo,alaba,muhizi,lumbu,muhizi,lumbu,muhizi,muhizi,lumbu,muhizi,muhizi,lumbu,lumbu,lumbu,muhizi,muhizi,muhizi,lumbu,lumbu,munakwetu,lumbu,lumbu,muhizi,muhizi,lumbu,muhizi,muhizi,lumbu,lumbu,lumbu,alayo,lumbu,muhizi,lumbu,muhizi,lumbu,muhizi,lumbu,muwaha,alaba,muhizi,muhizi,lumbu,muhizi,muhizi,lumbu,nyinahenga,kuku,baba,baba,baba,yaya,kuku,kuku,kuku,yaya,soga,kuku,baba,yaya,kuku,soga,yaya,yaya,nyinahenga,yaya,nyinahenga
4,0.12471253524956594,1.4693476036097168,1.344635068360151,lumbu,muhizi,muhizi,lumbu,lumbu,muhizi,lumbu,muhizi,muhizi,lumbu,muhizi,lumbu,muhizi,lumbu,lumbu,lumbu,lumbu,muhizi,muhizi,lumbu,lumbu,lumbu,muwaha,lumbu,lumbu,lumbu,muhizi,lumbu,lumbu,muhizi,alayo,lumbu,lumbu,muhizi,muhizi,muhizi,muhizi,alayo,muhizi,alayo,muhizi,muhizi,munakwetu,lumbu,muwaha,alaba,lumbu,muhizi,lumbu,muhizi,muhizi,lumbu,muhizi,muhizi,muhizi,alaba,munakwetu,muhizi,muhizi,muhizi,muhizi,alayo,muhizi,lumbu,lumbu,muhizi,lumbu,lumbu,lumbu,lumbu,alaba,kuku,kuku,nyinahenga,soga,kuku,baba,soga,nyinahenga,yaya,baba,kuku,yaya,kuku,baba,yaya,yaya,nyinahenga,yaya,kuku,baba,yaya
5,0.18456999632954885,1.486504491566332,1.301934495236783,muhizi,muhizi,muhizi,alaba,muhizi,muhizi,lumbu,muhizi,muhizi,muhizi,lumbu,lumbu,alaba,muhizi,lumbu,lumbu,lumbu,lumbu,lumbu,lumbu,lumbu,muhizi,muhizi,lumbu,munakwetu,lumbu,muhizi,muhizi,muhizi,lumbu,lumbu,lumbu,muhizi,alayo,lumbu,muhizi,lumbu,lumbu,muhizi,lumbu,lumbu,muhizi,munakwetu,lumbu,muwaha,lumbu,lumbu,muhizi,muhizi,lumbu,muhizi,muhizi,muhizi,alayo,muhizi,muhizi,alaba,muhizi,muhizi,muhizi,lumbu,muhizi,lumbu,muwaha,lumbu,alayo,lumbu,muhizi,lumbu,alayo,lumbu,yaya,soga,kuku,yaya,kuku,yaya,yaya,yaya,baba,soga,kuku,kuku,nyinahenga,kuku,baba,baba,nyinahenga,kuku,yaya,nyinahenga,baba
6,0.20961650832779988,1.5354339339049854,1.3258174255771855,lumbu,lumbu,munakwetu,lumbu,muhizi,lumbu,muhizi,muhizi,muhizi,muhizi,muwaha,alaba,lumbu,muhizi,lumbu,muhizi,muhizi,muhizi,muhizi,lumbu,muhizi,muhizi,muhizi,lumbu,alaba,lumbu,lumbu,alayo,muhizi,muwaha,muhizi,muhizi,muhizi,muhizi,lumbu,munakwetu,lumbu,lumbu,lumbu,muhizi,muhizi,lumbu,muhizi,muhizi,alaba,alayo,muhizi,lumbu,lumbu,muhizi,muhizi,lumbu,lumbu,lumbu,lumbu,lumbu,alayo,lumbu,lumbu,lumbu,muhizi,muhizi,alayo,lumbu,lumbu,lumbu,muhizi,lumbu,muhizi,lumbu,muhizi,nyinahenga,baba,baba,kuku,baba,yaya,yaya,yaya,yaya,yaya,kuku,kuku,kuku,kuku,soga,yaya,soga,nyinahenga,kuku,nyinahenga,baba
7,0.28101436078092146,1.5571256889372076,1.2761113281562861,muhizi,lumbu,lumbu,muhizi,alaba,lumbu,muhizi,muhizi,lumbu,lumbu,muhizi,alayo,muhizi,lumbu,muhizi,muhizi,muhizi,alaba,muwaha,muhizi,lumbu,lumbu,alayo,muhizi,muhizi,muhizi,muhizi,lumbu,lumbu,muhizi,lumbu,lumbu,lumbu,lumbu,muhizi,muhizi,munakwetu,muhizi,muhizi,muwaha,muhizi,muhizi,lumbu,muhizi,lumbu,munakwetu,lumbu,alayo,alaba,lumbu,lumbu,lumbu,lumbu,muhizi,lumbu,lumbu,lumbu,muhizi,lumbu,lumbu,muhizi,lumbu,muhizi,muhizi,muhizi,lumbu,alayo,muhizi,lumbu,muhizi,lumbu,yaya,soga,kuku,baba,yaya,soga,kuku,nyinahenga,baba,yaya,yaya,kuku,baba,nyinahenga,nyinahenga,yaya,kuku,kuku,yaya,baba,kuku
8,0.22474388184272187,1.552341011651793,1.3275971298090712,lumbu,alaba,lumbu,muwaha,lumbu,lumbu,lumbu,lumbu,muhizi,muhizi,muhizi,muhizi,muhizi,alayo,lumbu,lumbu,munakwetu,lumbu,muhizi,lumbu,lumbu,muhizi,lumbu,alaba,lumbu,lumbu,lumbu,muhizi,muhizi,munakwetu,lumbu,muhizi,muhizi,lumbu,alayo,lumbu,lumbu,lumbu,muhizi,muhizi,muhizi,alayo,lumbu,lumbu,lumbu,muhizi,muhizi,muhizi,lumbu,muhizi,alayo,muhizi,muhizi,lumbu,lumbu,muhizi,muhizi,muhizi,lumbu,muwaha,muhizi,lumbu,muhizi,alaba,muhizi,muhizi,lumbu,muhizi,muhizi,lumbu,muhizi,kuku,yaya,kuku,baba,yaya,baba,yaya,kuku,nyinahenga,baba,yaya,yaya,kuku,soga,nyinahenga,kuku,yaya,nyinahenga,soga,baba,kuku
9,0.24380907947853836,1.5365114669853128,1.2927023875067745,lumbu,muhizi,muhizi,lumbu,munakwetu,muhizi,alaba,alaba,lumbu,lumbu,muhizi,muhizi,lumbu,lumbu,lumbu,muhizi,munakwetu,lumbu,lumbu,muhizi,muwaha,muhizi,lumbu,lumbu,muhizi,lumbu,muhizi,alayo,muhizi,muhizi,alaba,lumbu,alayo,muhizi,muhizi,lumbu,lumbu,lumbu,alayo,muhizi,lumbu,muhizi,lumbu,lumbu,lumbu,lumbu,muhizi,muhizi,lumbu,muhizi,muhizi,muwaha,alayo,muhizi,lumbu,muhizi,muhizi,lumbu,lumbu,muhizi,muhizi,muhizi,lumbu,muhizi,muhizi,lumbu,lumbu,lumbu,lumbu,muhizi,muhizi,baba,kuku,nyinahenga,kuku,yaya,baba,soga,kuku,yaya,yaya,kuku,kuku,nyinahenga,yaya,nyinahenga,kuku,baba,soga,baba,yaya,yaya
