simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.03149081771477463,0.5195798391305154,0.4880890214157408,ande,ande,aka,aka,aka,ande,ande,pinoina,pinoama,pinoina,pinoina,pinoama,pinoama,pinoina,ina,ama,pinoina,pinoina,pinoama,pinoina,pinoama,pinoina,pinoama,pinoama,ama,ina,pinoama
1,0.0443909749674023,1.0346012329101812,0.990210257942779,aka,ande,ande,aka,ande,ande,aka,ama,pinoama,ina,ama,pinoina,pinoina,ina,pinoina,pinoama,pinoina,pinoina,pinoama,pinoina,pinoama,pinoama,pinoama,pinoama,pinoina,pinoina,pinoama
2,0.1807868681734337,1.0346012329101812,0.8538143647367475,ande,aka,aka,ande,ande,aka,ande,pinoina,ama,pinoama,pinoina,pinoina,pinoama,pinoama,pinoina,ina,ama,pinoina,ina,pinoama,pinoina,pinoina,pinoama,pinoama,pinoina,pinoama,pinoama
3,0.014032215111297486,1.0789922078775833,1.0649599927662858,ande,ande,aka,aka,ande,ande,aka,pinoama,pinoama,ina,pinoina,ina,ama,pinoina,pinoama,pinoina,pinoina,pinoina,pinoina,pinoama,pinoama,pinoina,pinoama,pinoama,pinoina,pinoama,ama
4,0.007016107555648965,1.0346012329101812,1.0275851253545323,aka,ande,aka,ande,ande,aka,ande,pinoina,ina,pinoama,ina,ama,pinoama,pinoama,pinoina,pinoina,pinoama,pinoama,pinoina,ama,pinoama,pinoama,pinoama,pinoina,pinoina,pinoina,pinoina
5,0.004143433819589815,0.5982695885852573,0.5941261547656674,aka,aka,aka,ande,ande,ande,ande,pinoina,pinoina,ina,pinoina,ina,pinoama,pinoina,pinoama,pinoama,pinoina,ama,pinoina,pinoama,ama,pinoina,pinoama,pinoama,pinoama,pinoina,pinoama
6,0.004143433819589926,0.5982695885852573,0.5941261547656673,ande,ande,ande,ande,aka,aka,aka,pinoina,pinoina,ama,pinoina,pinoama,pinoina,pinoama,pinoama,pinoina,ina,pinoama,pinoama,pinoama,pinoama,ina,pinoina,pinoina,pinoina,ama,pinoama
7,0.014032215111297486,0.9799711820833054,0.9659389669720079,aka,ande,aka,ande,ande,aka,ande,pinoama,ama,pinoina,pinoina,ama,pinoama,pinoama,pinoina,ina,pinoina,pinoama,pinoama,pinoama,pinoama,pinoama,pinoina,pinoina,pinoina,ina,pinoina
8,0.014032215111297486,0.6829081047004717,0.6688758895891742,ande,aka,ande,ande,aka,ande,aka,pinoina,pinoina,pinoama,pinoama,pinoina,pinoama,ina,ama,pinoama,ama,pinoama,pinoina,pinoama,pinoina,pinoama,ina,pinoama,pinoina,pinoina,pinoina
9,0.007016107555648965,1.0346012329101812,1.0275851253545323,ande,aka,ande,aka,ande,aka,ande,ina,ama,pinoama,ama,pinoama,pinoama,pinoina,pinoina,pinoina,pinoina,pinoama,pinoina,pinoama,pinoina,pinoina,pinoina,pinoama,pinoama,ina,pinoama
