simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.38874315597228914,2.008960645078802,1.6202174891065129,o ria,o ria,o hira,o ria,o ria,o bira,o hira,o nongoru,o hira,o nongoru,o bira,o nongoru,o ria,o bira,o ria,o bira,o hira,o bira,o nongoru,o hira,o hira,o nongoru,o ria,o nongoru,o bira,o hira,o bira,o nongoru,o bira,o bira,o hira,o hira,o ria,o ria,o ria,o nongoru,o bira,o nongoru,o hira,o bàbadòdo,o ōa,o mèmědòdo,o ōa,o awa (o mème),o babaria,o èpé,o awa (o mème),o mèměria,o babaria,o mèměria,o èpé,o ōa,o ōa,o bàba,o èpé,o bàbadòdo,o èpé,o mèmědòdo
1,0.30508059550582844,1.9892944273928452,1.6842138318870168,o ria,o bira,o bira,o ria,o ria,o ria,o bira,o ria,o hira,o ria,o nongoru,o hira,o bira,o hira,o bira,o nongoru,o ria,o hira,o hira,o hira,o bira,o ria,o bira,o hira,o nongoru,o bira,o nongoru,o hira,o nongoru,o nongoru,o nongoru,o hira,o hira,o ria,o bira,o nongoru,o ria,o nongoru,o bira,o awa (o mème),o ōa,o bàba,o mèmědòdo,o ōa,o babaria,o èpé,o ōa,o èpé,o mèměria,o èpé,o babaria,o bàbadòdo,o bàbadòdo,o ōa,o mèměria,o awa (o mème),o mèmědòdo,o èpé
2,0.32779091051929377,1.9898663924270092,1.6620754819077155,o ria,o bira,o hira,o ria,o ria,o ria,o bira,o hira,o bira,o ria,o hira,o hira,o hira,o nongoru,o nongoru,o ria,o nongoru,o hira,o nongoru,o bira,o bira,o ria,o nongoru,o nongoru,o ria,o bira,o ria,o hira,o bira,o hira,o hira,o bira,o ria,o nongoru,o bira,o nongoru,o bira,o hira,o nongoru,o mèmědòdo,o awa (o mème),o babaria,o mèmědòdo,o mèměria,o èpé,o babaria,o bàbadòdo,o èpé,o ōa,o ōa,o mèměria,o bàbadòdo,o bàba,o ōa,o èpé,o èpé,o awa (o mème),o ōa
3,0.3836221231059378,2.0034811305833715,1.6198590074774337,o ria,o hira,o nongoru,o nongoru,o nongoru,o ria,o hira,o hira,o nongoru,o nongoru,o bira,o ria,o hira,o hira,o ria,o bira,o bira,o bira,o ria,o nongoru,o ria,o bira,o bira,o hira,o bira,o nongoru,o bira,o ria,o hira,o hira,o nongoru,o ria,o bira,o bira,o ria,o hira,o nongoru,o ria,o hira,o ōa,o awa (o mème),o awa (o mème),o mèměria,o mèmědòdo,o bàbadòdo,o mèměria,o èpé,o babaria,o bàba,o bàbadòdo,o mèmědòdo,o èpé,o babaria,o èpé,o ōa,o èpé,o ōa,o ōa
4,0.3275619765719442,2.0089606450788025,1.6813986685068583,o hira,o ria,o bira,o hira,o hira,o ria,o bira,o nongoru,o bira,o hira,o hira,o bira,o hira,o ria,o nongoru,o nongoru,o ria,o bira,o bira,o nongoru,o nongoru,o hira,o ria,o ria,o ria,o bira,o nongoru,o nongoru,o ria,o ria,o nongoru,o ria,o nongoru,o bira,o hira,o bira,o bira,o hira,o hira,o èpé,o awa (o mème),o bàbadòdo,o mèmědòdo,o èpé,o ōa,o mèmědòdo,o ōa,o èpé,o ōa,o bàba,o mèměria,o èpé,o bàbadòdo,o babaria,o ōa,o babaria,o mèměria,o awa (o mème)
5,0.27334899165179927,2.000581455350175,1.7272324636983756,o nongoru,o nongoru,o ria,o bira,o bira,o nongoru,o nongoru,o ria,o bira,o ria,o nongoru,o ria,o nongoru,o hira,o hira,o hira,o hira,o hira,o hira,o ria,o nongoru,o nongoru,o ria,o bira,o bira,o bira,o bira,o ria,o hira,o nongoru,o bira,o hira,o ria,o bira,o hira,o ria,o hira,o bira,o ria,o mèmědòdo,o bàba,o babaria,o èpé,o ōa,o babaria,o mèměria,o ōa,o mèměria,o ōa,o bàbadòdo,o èpé,o bàbadòdo,o èpé,o mèmědòdo,o awa (o mème),o èpé,o ōa,o awa (o mème)
6,0.30312595699333866,2.0166676945760655,1.7135417375827269,o ria,o ria,o hira,o nongoru,o nongoru,o ria,o bira,o bira,o hira,o hira,o hira,o nongoru,o ria,o bira,o hira,o hira,o ria,o nongoru,o nongoru,o ria,o bira,o hira,o bira,o nongoru,o bira,o hira,o bira,o bira,o ria,o hira,o hira,o ria,o bira,o nongoru,o bira,o nongoru,o nongoru,o ria,o ria,o awa (o mème),o bàba,o èpé,o èpé,o èpé,o mèměria,o bàbadòdo,o bàbadòdo,o mèměria,o ōa,o babaria,o mèmědòdo,o ōa,o ōa,o mèmědòdo,o babaria,o awa (o mème),o èpé,o ōa
7,0.2536291599585305,2.0059526316528995,1.752323471694369,o nongoru,o nongoru,o ria,o bira,o ria,o nongoru,o bira,o hira,o ria,o hira,o hira,o bira,o ria,o bira,o ria,o nongoru,o hira,o bira,o nongoru,o hira,o bira,o bira,o hira,o ria,o nongoru,o bira,o ria,o hira,o hira,o ria,o nongoru,o hira,o ria,o ria,o bira,o nongoru,o bira,o hira,o nongoru,o mèmědòdo,o mèměria,o ōa,o awa (o mème),o mèmědòdo,o èpé,o babaria,o mèměria,o èpé,o babaria,o bàbadòdo,o èpé,o èpé,o ōa,o ōa,o awa (o mème),o bàbadòdo,o ōa,o bàba
8,0.13882308039836366,2.0172396596102296,1.8784165792118659,o hira,o hira,o ria,o nongoru,o bira,o ria,o hira,o nongoru,o ria,o bira,o bira,o hira,o nongoru,o bira,o nongoru,o hira,o ria,o hira,o hira,o nongoru,o nongoru,o nongoru,o bira,o bira,o hira,o ria,o bira,o hira,o ria,o hira,o nongoru,o bira,o ria,o ria,o bira,o ria,o ria,o nongoru,o bira,o mèmědòdo,o mèměria,o babaria,o ōa,o èpé,o èpé,o ōa,o èpé,o bàbadòdo,o ōa,o mèměria,o èpé,o ōa,o awa (o mème),o bàba,o bàbadòdo,o awa (o mème),o mèmědòdo,o babaria
9,0.2750671644452509,1.9976736171214728,1.722606452676222,o hira,o bira,o hira,o ria,o ria,o nongoru,o nongoru,o hira,o ria,o nongoru,o nongoru,o bira,o nongoru,o nongoru,o hira,o ria,o bira,o ria,o bira,o bira,o bira,o ria,o bira,o nongoru,o hira,o nongoru,o ria,o hira,o ria,o ria,o hira,o nongoru,o hira,o ria,o hira,o bira,o bira,o bira,o hira,o ōa,o èpé,o babaria,o bàbadòdo,o mèmědòdo,o èpé,o èpé,o bàba,o awa (o mème),o babaria,o èpé,o mèměria,o ōa,o ōa,o ōa,o mèměria,o mèmědòdo,o awa (o mème),o bàbadòdo
