simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,myB,myZ,fB,fZ,fyB,fyZ,meB,meZ,mFZD,mFBD,mMBD,mMZD,mFeBS,mFyBS,mFeZS,mFyZS,mMeBS,mMyBS,mMeZS,mMyZS,mFByS,mFZyS,mMByS,mMByD,mFBeD,mFZeD,mMBeD,mMZeD,feB,feZ,fFBS,fFZS,fMBS,fMZS,fFeBD,fFeZD,fFyZD,fMeBD,fMyBD,fMeZD,fMyZD,fFByD,fFZyD,fMZyS,fMZyD,fFBeS,fFZeS,fMBeS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBD,mMyBD,mMeZD,mMyZD,mFByD,mFZyD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fMeBS,fMyBS,fMeZS,fMyZS,fFByS,fFZyS,fMByS,mF,fF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.07832389103533721,1.0242231806929518,0.9458992896576146,teina,tuakana,tungāne,teina,tungāne,tuahine,tungāne,tuakana,teina,tuahine,tuahine,teina,tuakana,teina,tuahine,tungāne,teina,tuahine,tungāne,tuakana,teina,tuakana,tungāne,tuahine,tuahine,tuākana,tuahine,kauaemua,teina,tuakana,teina,teina,tuahine,teina,kauaemua,tungāne,tungāne,tuahine,tungāne,tungāne,teina,tuahine,tuahine,tungāne,tungāne,kauaemua,tuahine,tuakana,tungāne,tuahine,teina,tungāne,teina,teina,teina,teina,tuakana,tungāne,tungāne,teina,tuahine,teina,tuahine,tuakana,tuakana,tuahine,tuahine,tuakana,tuahine,tungāne,tungāne,tungāne,whaea kēkē,whaea kēkē,whaea kēkē,matua kēkē,matua kēkē,whaea kēkē,matua kēkē,matua kēkē,matua,whaea kēkē,matua kēkē,matua kēkē,matua kēkē,matua kēkē,whaea kēkē,whaea kēkē,whaea kēkē,matua kēkē,whaea kēkē,matua kēkē,whaene,whaene,matua,whaea kēkē,matua kēkē,matua kēkē,whaea kēkē,whaea kēkē
1,0.17738026642116234,1.151779197654518,0.9743989312333556,teina,tuahine,tuahine,teina,tungāne,teina,teina,tuahine,tuahine,tuahine,tuakana,tuakana,teina,tuahine,teina,tuahine,tuahine,tungāne,tungāne,teina,tuākana,tungāne,tuakana,tuakana,tuakana,tungāne,tuahine,tungāne,tungāne,tuahine,tungāne,tuahine,tuakana,teina,kauaemua,tungāne,tuahine,tuakana,tungāne,tuahine,tungāne,kauaemua,teina,tuahine,teina,kauaemua,tungāne,teina,teina,tuakana,teina,tungāne,tungāne,tungāne,tuahine,teina,tuahine,teina,teina,tungāne,tungāne,tungāne,teina,tungāne,tuakana,tuahine,teina,tuahine,tuakana,tuakana,teina,tuahine,whaene,matua kēkē,matua kēkē,matua,matua kēkē,matua kēkē,matua kēkē,matua kēkē,whaea kēkē,matua kēkē,whaea kēkē,whaea kēkē,whaea kēkē,matua,whaea kēkē,matua kēkē,matua kēkē,whaea kēkē,whaea kēkē,whaea kēkē,whaea kēkē,whaea kēkē,matua kēkē,whaea kēkē,whaene,matua kēkē,matua kēkē,whaea kēkē
2,0.1458256965203899,1.1068128656213159,0.960987169100926,tuahine,kauaemua,teina,tuakana,teina,tungāne,tuahine,tungāne,tuakana,teina,teina,tuahine,teina,teina,tungāne,tuakana,tungāne,teina,tungāne,tuakana,tuahine,teina,tungāne,teina,teina,tuahine,tuahine,teina,tungāne,tungāne,tungāne,tuahine,tuahine,tuahine,tuahine,tuahine,tuakana,tungāne,tuākana,tuahine,tuakana,tungāne,tuakana,tuahine,tuahine,tuakana,teina,tungāne,tuahine,tungāne,teina,tuahine,tuahine,tuakana,tungāne,tungāne,tungāne,teina,teina,tungāne,kauaemua,teina,tungāne,teina,tuakana,tuakana,kauaemua,teina,teina,tungāne,tuahine,tuahine,whaea kēkē,matua kēkē,whaea kēkē,matua kēkē,whaene,whaea kēkē,whaea kēkē,matua kēkē,whaea kēkē,matua kēkē,matua kēkē,whaea kēkē,whaea kēkē,matua,matua kēkē,matua kēkē,matua kēkē,matua,matua kēkē,whaea kēkē,matua kēkē,whaea kēkē,matua kēkē,matua kēkē,whaea kēkē,whaea kēkē,whaene,whaea kēkē
3,0.14028319571026093,1.0696693025049564,0.9293861067946955,tuahine,tuakana,tungāne,tuahine,tuakana,teina,tuahine,teina,tuahine,tuakana,tungāne,teina,teina,teina,tuahine,kauaemua,tungāne,tungāne,tuahine,tungāne,teina,tuahine,tungāne,tungāne,tuakana,tungāne,tuahine,tuahine,tuākana,teina,tuahine,tuahine,teina,teina,tuahine,tuahine,tuakana,teina,tuahine,tuakana,teina,kauaemua,tungāne,tuahine,teina,tuakana,tungāne,teina,tungāne,teina,tuahine,tuakana,tungāne,tungāne,tungāne,teina,tungāne,tuahine,teina,tuakana,kauaemua,tungāne,tungāne,tuahine,tuakana,teina,teina,tuakana,tungāne,teina,tuahine,tungāne,matua kēkē,whaea kēkē,matua kēkē,whaea kēkē,matua kēkē,whaea kēkē,matua kēkē,whaea kēkē,whaene,matua kēkē,matua,whaea kēkē,matua kēkē,whaea kēkē,whaea kēkē,whaea kēkē,matua kēkē,whaea kēkē,matua kēkē,matua,whaea kēkē,matua kēkē,whaea kēkē,whaea kēkē,matua kēkē,whaene,matua kēkē,matua kēkē
4,0.07036075470126302,1.106812865621316,1.036452110920053,tuahine,tuakana,teina,tungāne,tuahine,tungāne,tuakana,kauaemua,tuahine,tungāne,teina,tuakana,tuahine,tuahine,tuahine,teina,tungāne,tungāne,tuahine,teina,tungāne,tuahine,tuakana,tuahine,tuahine,tuahine,teina,tungāne,tungāne,teina,teina,tungāne,tuakana,tuahine,tungāne,teina,teina,teina,tungāne,tuahine,tungāne,teina,teina,tungāne,tuakana,tuahine,teina,tuakana,teina,tuahine,tuakana,tungāne,tuakana,teina,tungāne,tuahine,tungāne,tuakana,teina,tuahine,tuakana,tungāne,tuākana,kauaemua,teina,tuahine,teina,tuahine,kauaemua,teina,tungāne,tungāne,matua kēkē,matua kēkē,whaea kēkē,whaea kēkē,matua,whaea kēkē,matua kēkē,whaea kēkē,matua,matua kēkē,whaea kēkē,matua kēkē,whaene,whaene,matua kēkē,matua kēkē,matua kēkē,whaea kēkē,whaea kēkē,whaea kēkē,whaea kēkē,whaea kēkē,matua kēkē,whaea kēkē,matua kēkē,whaea kēkē,matua kēkē,matua kēkē
5,0.12123579013996255,1.1029954419229642,0.9817596517830016,tungāne,tuakana,kauaemua,tuahine,teina,tuakana,tungāne,tuakana,tungāne,tuahine,teina,tungāne,tuahine,tuahine,tuakana,tuahine,tungāne,teina,teina,tuahine,tuakana,tuahine,tuahine,tuakana,teina,tungāne,teina,tuakana,tungāne,teina,teina,tungāne,tungāne,tuākana,tungāne,tuahine,tuakana,tuahine,teina,tungāne,tuahine,kauaemua,tuakana,tuahine,teina,tuakana,tuahine,tuahine,teina,tungāne,tuahine,teina,tungāne,tungāne,tuahine,tuahine,tungāne,tuahine,teina,teina,tungāne,teina,kauaemua,tuakana,tungāne,tuahine,teina,teina,tungāne,teina,tungāne,teina,whaea kēkē,whaene,whaea kēkē,whaea kēkē,whaea kēkē,whaea kēkē,whaene,matua kēkē,matua kēkē,matua kēkē,matua kēkē,whaea kēkē,matua,matua,whaea kēkē,matua kēkē,matua kēkē,matua kēkē,matua kēkē,whaea kēkē,matua kēkē,whaea kēkē,whaea kēkē,matua kēkē,matua kēkē,matua kēkē,whaea kēkē,whaea kēkē
6,0.1297398474255267,1.1256197378867574,0.9958798904612307,tungāne,tuahine,tungāne,tuahine,tuahine,tungāne,teina,tuakana,tuakana,teina,tuahine,teina,teina,tuakana,teina,tungāne,tuahine,tuahine,tuākana,tungāne,teina,tungāne,tuahine,tuahine,tuahine,tuahine,tungāne,tuakana,teina,kauaemua,tuakana,teina,tungāne,teina,tuahine,tuakana,teina,tuakana,teina,teina,tuahine,teina,tuahine,teina,tuakana,tungāne,tuahine,tungāne,tungāne,tungāne,tuakana,tungāne,teina,tungāne,tuahine,kauaemua,teina,tungāne,kauaemua,tungāne,teina,tungāne,teina,tuahine,tungāne,tuahine,teina,tuakana,tungāne,tuakana,tuahine,tuahine,whaea kēkē,matua kēkē,matua kēkē,whaea kēkē,whaene,matua,matua kēkē,whaea kēkē,matua kēkē,whaea kēkē,whaea kēkē,whaea kēkē,matua,whaene,whaea kēkē,matua kēkē,matua kēkē,matua kēkē,matua kēkē,matua kēkē,matua kēkē,whaea kēkē,whaea kēkē,whaea kēkē,matua kēkē,whaea kēkē,whaea kēkē,matua kēkē
7,0.18473527268849677,1.1070669558578334,0.9223316831693367,tungāne,tuahine,teina,tungāne,tuakana,tuakana,tungāne,teina,tuakana,tungāne,teina,tungāne,tungāne,teina,teina,teina,tuahine,teina,teina,teina,kauaemua,tuahine,tuahine,tungāne,tuahine,tuahine,tuakana,tuahine,teina,tungāne,teina,teina,tuakana,tuahine,tuahine,tungāne,tungāne,tuahine,kauaemua,tuahine,teina,teina,teina,tuahine,tuakana,tuahine,tuākana,tungāne,tungāne,tuahine,tuakana,tungāne,tungāne,kauaemua,tuahine,tungāne,tuakana,teina,tuahine,tungāne,teina,tungāne,tungāne,tuahine,tuahine,tuakana,teina,teina,tuakana,tungāne,tuakana,tuahine,matua kēkē,matua kēkē,whaea kēkē,whaea kēkē,whaene,whaea kēkē,whaea kēkē,matua kēkē,whaea kēkē,whaea kēkē,whaea kēkē,matua,matua kēkē,whaea kēkē,matua kēkē,matua kēkē,whaea kēkē,matua kēkē,matua kēkē,whaea kēkē,whaea kēkē,whaea kēkē,matua kēkē,whaene,matua kēkē,matua kēkē,matua,matua kēkē
8,0.10507786422279586,1.1181807765149336,1.0131029122921378,teina,tuahine,tuahine,tuahine,tuahine,teina,tungāne,tuakana,tuahine,tungāne,teina,tuahine,teina,teina,tuakana,tuahine,tungāne,tungāne,tuakana,tuakana,teina,teina,teina,kauaemua,tungāne,tungāne,tuakana,tuakana,tungāne,kauaemua,tuahine,tungāne,tungāne,kauaemua,tuahine,tungāne,teina,teina,teina,tuakana,tuahine,tungāne,tuakana,tuākana,tuahine,tungāne,tungāne,tuahine,tuahine,tuakana,tungāne,teina,teina,tungāne,tuakana,tungāne,teina,tuahine,teina,teina,tungāne,tuahine,teina,tungāne,tuakana,tuahine,tuahine,tuahine,teina,tungāne,teina,tuahine,whaea kēkē,whaea kēkē,whaene,whaea kēkē,whaea kēkē,matua kēkē,whaea kēkē,matua kēkē,whaea kēkē,whaene,matua,matua kēkē,matua kēkē,matua,whaea kēkē,matua kēkē,matua kēkē,matua kēkē,matua kēkē,whaea kēkē,matua kēkē,matua kēkē,whaea kēkē,whaea kēkē,matua kēkē,whaea kēkē,matua kēkē,whaea kēkē
9,0.2109215770316768,1.0887366185705847,0.8778150415389079,tuakana,tungāne,tuakana,teina,tuahine,tungāne,tuahine,tuakana,tungāne,tuahine,tuahine,kauaemua,tuakana,tuahine,tuahine,tuahine,tuahine,tungāne,tuakana,tuahine,teina,teina,tungāne,teina,teina,teina,teina,tungāne,tuakana,tungāne,tungāne,tungāne,teina,tuakana,tungāne,tungāne,kauaemua,tungāne,tungāne,teina,tungāne,teina,teina,teina,tuahine,tuahine,tungāne,tuakana,tuahine,tuahine,tuahine,tuahine,tuakana,teina,teina,tungāne,tuākana,tuakana,teina,tungāne,tuahine,teina,tuahine,teina,tungāne,teina,tuahine,tungāne,tuahine,tuakana,kauaemua,teina,whaea kēkē,matua,matua kēkē,whaea kēkē,whaea kēkē,matua kēkē,matua kēkē,matua kēkē,matua kēkē,matua kēkē,whaea kēkē,whaene,whaea kēkē,matua kēkē,matua kēkē,matua kēkē,matua kēkē,whaea kēkē,whaene,whaea kēkē,whaea kēkē,matua kēkē,whaea kēkē,matua,whaea kēkē,whaea kēkē,whaea kēkē,matua kēkē
