simulation_number,mutual_information,entropy,conditional_entropy,meB,feB,mFBeS,fFBeS,fFZeS,mMBeS,mMZeS,mMZyS,fMZyS,fMBeS,myB,fyB,mFByS,fFByS,mFZyS,fFZyS,mMByS,fMByS,mFZeS,mFZyD,myZ,fyZ,mMByD,fMByD,mFByD,fFByD,fFZyD,mMZyD,fMZyD,meZ,feZ,mFBeD,fFBeD,mMBeD,fMBeD,mMZeD,fMZeD,mFZeD,fFZeD,mMeB,mMyB,fMeB,fMyB,mF,fF,mFeB,mFyB,fFeB,fFyB,mM,fM,mMeZ,mMyZ,fMeZ,fMyZ,mFeZ,mFyZ,fFeZ,fFyZ
0,0.14058378615470202,1.0397207708399179,0.8991369846852159,lak-jeʼ-hä,ak-jeʼ-yä,le-gäʼ-ah,lok-jeʼ-hä,ka-gäʼ-ahʼ,lok-jeʼ-hä,lok-jeʼ-hä,kä-gäʼ-ah,lok-jeʼ-hä,lok-jeʼ-hä,ka-gäʼ-ah,le-gäʼ-ah,le-gäʼ-ah,ka-gäʼ-ah,ak-jeʼ-yä,ka-gäʼ-ah,ak-jeʼ-yä,ka-gäʼ-ahʼ,ak-jeʼ-yä,lok-jeʼ-ah,le-gäʼ-ah,kä-gäʼ-ah,lok-jeʼ-hä,ak-jeʼ-yä,ak-je-yä,lok-jeʼ-hä,le-gäʼ-ah,le-gäʼ-ah,le-gäʼ-ah,ak-jeʼ-yä,ak-jeʼ-yä,ka-gäʼ-ah,ak-je-yä,le-gäʼ-ah,lok-jeʼ-hä,lok-jeʼ-hä,ak-jeʼ-yä,ka-je-yä,ka-gäʼ-ah,ah-ga-nese-täʼ-hä,ah-ga-neseʼ-tä-ha,lä-ga-no-häʼ-ah,ah-ga-neseʼ-tä-ha,lä-ga-neʼ-hä,ah-ga-nese-täʼ-hä,lä-ga-neʼ-hä,lä-ga-neʼ-hä,ah-ga-neseʼ-tä-ha,lä-ga-neʼ-hä,lä-ga-no-häʼ-ah,lä-ga-neʼ-hä,ah-ga-neseʼ-tä-ha,ah-ga-nese-täʼ-hä,ah-ga-nese-täʼ-hä,lä-ga-no-häʼ-ah,lä-ga-no-häʼ-ah,ah-ga-neseʼ-tä-hä,ah-ga-neseʼ-tä-hä,lä-ga-neʼ-hä
1,0.3465735902799727,1.3862943611198906,1.0397207708399179,le-gäʼ-ah,ak-jeʼ-yä,kä-gäʼ-ah,le-gäʼ-ah,lok-jeʼ-hä,ak-jeʼ-yä,lok-jeʼ-hä,lok-jeʼ-hä,le-gäʼ-ah,ka-je-yä,le-gäʼ-ah,ak-jeʼ-yä,ka-gäʼ-ah,le-gäʼ-ah,lok-jeʼ-hä,le-gäʼ-ah,lok-jeʼ-hä,lok-jeʼ-hä,le-gäʼ-ah,ak-je-yä,ak-jeʼ-yä,ka-gäʼ-ahʼ,le-gäʼ-ah,ka-gäʼ-ah,lok-jeʼ-hä,lok-jeʼ-hä,ak-je-yä,ak-jeʼ-yä,lok-jeʼ-hä,ak-jeʼ-yä,kä-gäʼ-ah,ak-jeʼ-yä,lok-jeʼ-ah,ak-jeʼ-yä,lak-jeʼ-hä,ka-gäʼ-ah,ka-gäʼ-ah,ka-gäʼ-ah,ka-gäʼ-ahʼ,lä-ga-neʼ-hä,ah-ga-nese-täʼ-hä,lä-ga-no-häʼ-ah,lä-ga-neʼ-hä,lä-ga-neʼ-hä,lä-ga-no-häʼ-ah,ah-ga-nese-täʼ-hä,ah-ga-neseʼ-tä-ha,ah-ga-nese-täʼ-hä,lä-ga-no-häʼ-ah,ah-ga-nese-täʼ-hä,ah-ga-neseʼ-tä-ha,ah-ga-neseʼ-tä-hä,lä-ga-neʼ-hä,ah-ga-neseʼ-tä-hä,ah-ga-neseʼ-tä-ha,lä-ga-neʼ-hä,ah-ga-neseʼ-tä-ha,lä-ga-neʼ-hä,lä-ga-no-häʼ-ah
2,0.13344449858396457,0.5623351446188083,0.4288906460348437,ak-jeʼ-yä,ak-jeʼ-yä,lok-jeʼ-hä,le-gäʼ-ah,le-gäʼ-ah,le-gäʼ-ah,ak-jeʼ-yä,ak-jeʼ-yä,ka-gäʼ-ah,ak-jeʼ-yä,ka-gäʼ-ah,ka-gäʼ-ahʼ,kä-gäʼ-ah,le-gäʼ-ah,lok-jeʼ-hä,lok-jeʼ-hä,lok-jeʼ-hä,lok-jeʼ-ah,lak-jeʼ-hä,ka-gäʼ-ah,ak-je-yä,ak-jeʼ-yä,ka-gäʼ-ah,ka-gäʼ-ah,lok-jeʼ-hä,ak-jeʼ-yä,ka-gäʼ-ahʼ,le-gäʼ-ah,lok-jeʼ-hä,ka-je-yä,le-gäʼ-ah,le-gäʼ-ah,ak-je-yä,ak-jeʼ-yä,lok-jeʼ-hä,lok-jeʼ-hä,le-gäʼ-ah,lok-jeʼ-hä,kä-gäʼ-ah,lä-ga-neʼ-hä,ah-ga-nese-täʼ-hä,lä-ga-no-häʼ-ah,lä-ga-neʼ-hä,ah-ga-neseʼ-tä-ha,lä-ga-neʼ-hä,ah-ga-nese-täʼ-hä,lä-ga-neʼ-hä,ah-ga-nese-täʼ-hä,lä-ga-no-häʼ-ah,lä-ga-neʼ-hä,lä-ga-neʼ-hä,ah-ga-neseʼ-tä-ha,lä-ga-no-häʼ-ah,ah-ga-neseʼ-tä-ha,ah-ga-neseʼ-tä-ha,ah-ga-neseʼ-tä-hä,lä-ga-no-häʼ-ah,ah-ga-neseʼ-tä-hä,ah-ga-nese-täʼ-hä
3,0.28116757230940415,1.0397207708399179,0.7585531985305137,le-gäʼ-ah,ak-jeʼ-yä,ak-je-yä,ka-gäʼ-ah,ka-gäʼ-ah,kä-gäʼ-ah,le-gäʼ-ah,ak-je-yä,le-gäʼ-ah,lok-jeʼ-hä,ka-gäʼ-ah,le-gäʼ-ah,lok-jeʼ-hä,ak-jeʼ-yä,ka-gäʼ-ahʼ,ka-gäʼ-ah,ak-jeʼ-yä,ak-jeʼ-yä,le-gäʼ-ah,lok-jeʼ-hä,lok-jeʼ-hä,lok-jeʼ-hä,kä-gäʼ-ah,lok-jeʼ-hä,le-gäʼ-ah,lok-jeʼ-hä,ka-gäʼ-ah,ak-jeʼ-yä,le-gäʼ-ah,ka-gäʼ-ahʼ,lok-jeʼ-hä,ak-jeʼ-yä,lok-jeʼ-ah,ak-jeʼ-yä,lok-jeʼ-hä,le-gäʼ-ah,ak-jeʼ-yä,ka-je-yä,lak-jeʼ-hä,lä-ga-neʼ-hä,lä-ga-neʼ-hä,lä-ga-no-häʼ-ah,ah-ga-neseʼ-tä-ha,ah-ga-nese-täʼ-hä,ah-ga-neseʼ-tä-ha,ah-ga-neseʼ-tä-hä,lä-ga-no-häʼ-ah,ah-ga-nese-täʼ-hä,ah-ga-neseʼ-tä-ha,lä-ga-neʼ-hä,ah-ga-neseʼ-tä-ha,ah-ga-neseʼ-tä-hä,ah-ga-nese-täʼ-hä,lä-ga-neʼ-hä,lä-ga-no-häʼ-ah,lä-ga-neʼ-hä,lä-ga-neʼ-hä,ah-ga-nese-täʼ-hä,lä-ga-no-häʼ-ah
4,0.17328679513998624,1.0397207708399179,0.8664339756999316,ka-gäʼ-ah,ka-gäʼ-ah,le-gäʼ-ah,ka-gäʼ-ah,ka-je-yä,lak-jeʼ-hä,lok-jeʼ-ah,le-gäʼ-ah,lok-jeʼ-hä,ak-jeʼ-yä,le-gäʼ-ah,ka-gäʼ-ahʼ,ak-jeʼ-yä,ka-gäʼ-ahʼ,le-gäʼ-ah,ka-gäʼ-ah,ak-jeʼ-yä,lok-jeʼ-hä,ak-je-yä,ak-jeʼ-yä,lok-jeʼ-hä,kä-gäʼ-ah,lok-jeʼ-hä,lok-jeʼ-hä,lok-jeʼ-hä,ak-je-yä,le-gäʼ-ah,ak-jeʼ-yä,ak-jeʼ-yä,le-gäʼ-ah,lok-jeʼ-hä,ak-jeʼ-yä,le-gäʼ-ah,le-gäʼ-ah,ak-jeʼ-yä,ka-gäʼ-ah,lok-jeʼ-hä,lok-jeʼ-hä,kä-gäʼ-ah,lä-ga-no-häʼ-ah,lä-ga-neʼ-hä,ah-ga-neseʼ-tä-ha,ah-ga-neseʼ-tä-hä,lä-ga-no-häʼ-ah,lä-ga-no-häʼ-ah,ah-ga-neseʼ-tä-ha,ah-ga-nese-täʼ-hä,ah-ga-neseʼ-tä-ha,lä-ga-no-häʼ-ah,lä-ga-neʼ-hä,ah-ga-neseʼ-tä-ha,lä-ga-neʼ-hä,ah-ga-nese-täʼ-hä,ah-ga-nese-täʼ-hä,lä-ga-neʼ-hä,ah-ga-nese-täʼ-hä,lä-ga-neʼ-hä,ah-ga-neseʼ-tä-hä,lä-ga-neʼ-hä
5,0.4544543674493904,1.3862943611198906,0.9318399936705002,lok-jeʼ-hä,ak-jeʼ-yä,ak-je-yä,lok-jeʼ-hä,lok-jeʼ-hä,kä-gäʼ-ah,lok-jeʼ-hä,ak-jeʼ-yä,ka-je-yä,le-gäʼ-ah,lok-jeʼ-hä,ak-jeʼ-yä,ka-gäʼ-ah,ka-gäʼ-ah,ak-jeʼ-yä,ak-je-yä,le-gäʼ-ah,ka-gäʼ-ah,le-gäʼ-ah,le-gäʼ-ah,ka-gäʼ-ahʼ,le-gäʼ-ah,ka-gäʼ-ahʼ,lok-jeʼ-hä,lak-jeʼ-hä,le-gäʼ-ah,ak-jeʼ-yä,ka-gäʼ-ah,ka-gäʼ-ah,le-gäʼ-ah,le-gäʼ-ah,lok-jeʼ-ah,kä-gäʼ-ah,lok-jeʼ-hä,ak-jeʼ-yä,ak-jeʼ-yä,lok-jeʼ-hä,ak-jeʼ-yä,lok-jeʼ-hä,ah-ga-neseʼ-tä-ha,lä-ga-neʼ-hä,lä-ga-neʼ-hä,lä-ga-no-häʼ-ah,ah-ga-neseʼ-tä-hä,ah-ga-nese-täʼ-hä,lä-ga-no-häʼ-ah,ah-ga-neseʼ-tä-ha,ah-ga-nese-täʼ-hä,ah-ga-neseʼ-tä-hä,lä-ga-no-häʼ-ah,ah-ga-neseʼ-tä-ha,ah-ga-nese-täʼ-hä,lä-ga-neʼ-hä,lä-ga-neʼ-hä,lä-ga-no-häʼ-ah,ah-ga-neseʼ-tä-ha,ah-ga-nese-täʼ-hä,lä-ga-neʼ-hä,lä-ga-neʼ-hä
6,0.28116757230940403,1.3862943611198906,1.1051267888104865,ka-gäʼ-ah,le-gäʼ-ah,lok-jeʼ-hä,ak-jeʼ-yä,ka-je-yä,ka-gäʼ-ahʼ,le-gäʼ-ah,kä-gäʼ-ah,lok-jeʼ-hä,lak-jeʼ-hä,le-gäʼ-ah,ak-je-yä,le-gäʼ-ah,ka-gäʼ-ahʼ,ak-jeʼ-yä,lok-jeʼ-ah,ka-gäʼ-ah,lok-jeʼ-hä,lok-jeʼ-hä,ak-jeʼ-yä,le-gäʼ-ah,ak-jeʼ-yä,ka-gäʼ-ah,lok-jeʼ-hä,lok-jeʼ-hä,kä-gäʼ-ah,lok-jeʼ-hä,ak-jeʼ-yä,lok-jeʼ-hä,ak-jeʼ-yä,ak-je-yä,le-gäʼ-ah,ak-jeʼ-yä,le-gäʼ-ah,lok-jeʼ-hä,le-gäʼ-ah,ka-gäʼ-ah,ka-gäʼ-ah,ak-jeʼ-yä,ah-ga-neseʼ-tä-ha,lä-ga-neʼ-hä,lä-ga-neʼ-hä,ah-ga-nese-täʼ-hä,ah-ga-neseʼ-tä-ha,lä-ga-neʼ-hä,lä-ga-neʼ-hä,lä-ga-neʼ-hä,ah-ga-neseʼ-tä-ha,lä-ga-no-häʼ-ah,ah-ga-nese-täʼ-hä,lä-ga-no-häʼ-ah,ah-ga-nese-täʼ-hä,lä-ga-no-häʼ-ah,ah-ga-neseʼ-tä-hä,ah-ga-neseʼ-tä-hä,ah-ga-nese-täʼ-hä,ah-ga-neseʼ-tä-ha,lä-ga-no-häʼ-ah,lä-ga-neʼ-hä
7,0.20598980412527057,1.0397207708399179,0.8337309667146473,ak-jeʼ-yä,ak-jeʼ-yä,ka-gäʼ-ah,lok-jeʼ-ah,lok-jeʼ-hä,le-gäʼ-ah,lok-jeʼ-hä,lok-jeʼ-hä,le-gäʼ-ah,le-gäʼ-ah,ka-je-yä,ak-jeʼ-yä,lok-jeʼ-hä,ak-jeʼ-yä,ka-gäʼ-ahʼ,ka-gäʼ-ahʼ,lok-jeʼ-hä,le-gäʼ-ah,ka-gäʼ-ah,ak-jeʼ-yä,lok-jeʼ-hä,ak-jeʼ-yä,le-gäʼ-ah,lok-jeʼ-hä,ka-gäʼ-ah,kä-gäʼ-ah,ka-gäʼ-ah,le-gäʼ-ah,le-gäʼ-ah,lok-jeʼ-hä,lak-jeʼ-hä,lok-jeʼ-hä,ak-je-yä,ka-gäʼ-ah,kä-gäʼ-ah,le-gäʼ-ah,ak-jeʼ-yä,ak-je-yä,ak-jeʼ-yä,lä-ga-neʼ-hä,ah-ga-neseʼ-tä-ha,ah-ga-nese-täʼ-hä,ah-ga-nese-täʼ-hä,lä-ga-neʼ-hä,lä-ga-no-häʼ-ah,ah-ga-neseʼ-tä-ha,lä-ga-no-häʼ-ah,lä-ga-neʼ-hä,lä-ga-no-häʼ-ah,ah-ga-neseʼ-tä-hä,lä-ga-neʼ-hä,ah-ga-neseʼ-tä-ha,lä-ga-neʼ-hä,ah-ga-nese-täʼ-hä,lä-ga-neʼ-hä,lä-ga-no-häʼ-ah,ah-ga-neseʼ-tä-hä,ah-ga-neseʼ-tä-ha,ah-ga-nese-täʼ-hä
8,0.2599301927099794,1.0397207708399179,0.7797905781299385,lak-jeʼ-hä,le-gäʼ-ah,ak-jeʼ-yä,lok-jeʼ-hä,kä-gäʼ-ah,ak-jeʼ-yä,lok-jeʼ-hä,ka-gäʼ-ah,ak-jeʼ-yä,ka-je-yä,ka-gäʼ-ahʼ,lok-jeʼ-hä,ka-gäʼ-ah,kä-gäʼ-ah,le-gäʼ-ah,ak-jeʼ-yä,lok-jeʼ-hä,ak-jeʼ-yä,ka-gäʼ-ah,le-gäʼ-ah,le-gäʼ-ah,ka-gäʼ-ah,ak-jeʼ-yä,le-gäʼ-ah,le-gäʼ-ah,le-gäʼ-ah,lok-jeʼ-hä,lok-jeʼ-hä,ka-gäʼ-ahʼ,ak-je-yä,lok-jeʼ-hä,lok-jeʼ-hä,le-gäʼ-ah,lok-jeʼ-ah,lok-jeʼ-hä,ak-jeʼ-yä,ka-gäʼ-ah,ak-jeʼ-yä,ak-je-yä,ah-ga-neseʼ-tä-ha,ah-ga-neseʼ-tä-ha,lä-ga-neʼ-hä,lä-ga-neʼ-hä,ah-ga-neseʼ-tä-ha,lä-ga-neʼ-hä,lä-ga-no-häʼ-ah,ah-ga-nese-täʼ-hä,lä-ga-no-häʼ-ah,ah-ga-nese-täʼ-hä,lä-ga-neʼ-hä,lä-ga-no-häʼ-ah,ah-ga-neseʼ-tä-hä,ah-ga-nese-täʼ-hä,ah-ga-neseʼ-tä-ha,lä-ga-neʼ-hä,lä-ga-neʼ-hä,ah-ga-neseʼ-tä-hä,lä-ga-no-häʼ-ah,ah-ga-nese-täʼ-hä
9,0.04861385331004198,0.5623351446188083,0.5137212913087663,lok-jeʼ-hä,ka-gäʼ-ah,ak-jeʼ-yä,kä-gäʼ-ah,lok-jeʼ-hä,le-gäʼ-ah,lok-jeʼ-hä,lok-jeʼ-hä,le-gäʼ-ah,le-gäʼ-ah,lok-jeʼ-hä,ak-jeʼ-yä,ak-jeʼ-yä,lak-jeʼ-hä,ka-gäʼ-ahʼ,le-gäʼ-ah,ak-je-yä,kä-gäʼ-ah,le-gäʼ-ah,ak-jeʼ-yä,ak-jeʼ-yä,ak-jeʼ-yä,lok-jeʼ-hä,le-gäʼ-ah,ak-jeʼ-yä,ka-je-yä,ka-gäʼ-ah,ka-gäʼ-ahʼ,ka-gäʼ-ah,lok-jeʼ-hä,lok-jeʼ-hä,ka-gäʼ-ah,ak-jeʼ-yä,le-gäʼ-ah,lok-jeʼ-ah,ak-je-yä,lok-jeʼ-hä,le-gäʼ-ah,ka-gäʼ-ah,lä-ga-no-häʼ-ah,lä-ga-no-häʼ-ah,lä-ga-neʼ-hä,lä-ga-no-häʼ-ah,ah-ga-neseʼ-tä-ha,ah-ga-neseʼ-tä-ha,ah-ga-nese-täʼ-hä,lä-ga-neʼ-hä,lä-ga-neʼ-hä,ah-ga-neseʼ-tä-ha,ah-ga-neseʼ-tä-ha,ah-ga-neseʼ-tä-hä,lä-ga-no-häʼ-ah,ah-ga-nese-täʼ-hä,lä-ga-neʼ-hä,ah-ga-nese-täʼ-hä,lä-ga-neʼ-hä,ah-ga-neseʼ-tä-hä,ah-ga-nese-täʼ-hä,lä-ga-neʼ-hä
