simulation_number,mutual_information,entropy,conditional_entropy,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,myB,meZ,myZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,fyB,feZ,fyZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.5325610097337585,1.882729121524793,1.3501681117910345,harəpihárə,mɨmɨrə,haininawai,ɨhi-na,harəpihárə,mɨmɨrə,mɨmɨrə,ɨhi-na,harəpihárə,mɨmɨrə,harəpihárə,harəpihárə,haininawai,ikuwɨčiá,harəpiana,iménə,ikuwɨčiá,harəwaiya,ikuwɨčiá,harəwaiya,iménə,iménə,haininawai,ɨhi-na,harəpihárə,haininawai,haininawai,iménə,harəpihárə,harəwaiya,ɨhi-na,emeriko,ɨhi-na,harəpihárə,emeriko,iménə,mɨmɨrə,harəwaiya,harəpihárə,ikuwɨčiá,harəwaiya,emeriko,harəwaiya,ikuwɨčiá,ikuwɨčiá,harəpiana,harəwaiya,ɨhi-na,mɨmɨrə,harəpiana,ɨhi-na,harəpiana,harəpihárə,ɨhi-na,mɨmɨrə,harəpihárə,emeriko,haininawai,haininawai,harəpihárə,harəwaiya,ikuwɨčiá,harəpihárə,ɨhi-na,haininawai,ikuwɨčiá,haininawai,haininawai,ikuwɨčiá,harəpihárə,harəpihárə,mɨmɨrə,harəpiana,emeriko,mɨmɨrə,harəpihárə,harəpihárə,ikuwɨčiá,harəpihárə,ikuwɨčiá,ikuwɨčiá,harəwaiya,haininawai,haininawai,mɨmɨrə,harəwaiya,haininawai,harəpihárə,ɨhi-na,iménə,tu,yahɨ,harəwaiya,harəwaiya,tu,iménə,harəwaiya,ɨhi,tu-na,ɨhi,harəwaiya,ɨhi-na,yahɨ,tu-na,ɨhi-na,tu-na,tu-na,ɨhi-na,ɨhi-na
1,0.556490228243806,1.8606428381682403,1.3041526099244343,harəpihárə,ɨhi-na,mɨmɨrə,iménə,harəpihárə,harəpiana,harəwaiya,mɨmɨrə,harəwaiya,harəpihárə,ikuwɨčiá,harəwaiya,ikuwɨčiá,ikuwɨčiá,emeriko,harəwaiya,haininawai,ɨhi-na,ikuwɨčiá,mɨmɨrə,mɨmɨrə,harəpihárə,haininawai,harəpihárə,ɨhi-na,iménə,ɨhi-na,mɨmɨrə,haininawai,harəpihárə,haininawai,harəwaiya,emeriko,ikuwɨčiá,harəpiana,harəpihárə,ikuwɨčiá,harəpihárə,haininawai,ikuwɨčiá,haininawai,mɨmɨrə,emeriko,emeriko,ikuwɨčiá,ɨhi-na,harəpiana,harəpihárə,harəwaiya,harəwaiya,harəpihárə,ɨhi-na,harəpihárə,haininawai,harəwaiya,mɨmɨrə,iménə,iménə,ikuwɨčiá,haininawai,haininawai,harəpihárə,ɨhi-na,haininawai,harəpihárə,haininawai,mɨmɨrə,harəpiana,mɨmɨrə,ɨhi-na,harəpihárə,ikuwɨčiá,harəpihárə,emeriko,ɨhi-na,harəpihárə,ikuwɨčiá,ikuwɨčiá,harəpihárə,mɨmɨrə,harəpiana,harəwaiya,haininawai,iménə,haininawai,ɨhi-na,harəpihárə,harəwaiya,harəpihárə,harəwaiya,harəwaiya,harəwaiya,tu-na,tu-na,iménə,yahɨ,harəwaiya,ɨhi-na,tu-na,tu,iménə,ɨhi-na,yahɨ,ɨhi,tu-na,ɨhi-na,ɨhi-na,tu,ɨhi
2,0.6343772871146802,1.8526085672293582,1.218231280114678,haininawai,harəwaiya,harəpihárə,ikuwɨčiá,iménə,harəpihárə,haininawai,harəpihárə,harəpihárə,haininawai,mɨmɨrə,harəpihárə,harəpihárə,mɨmɨrə,emeriko,harəpihárə,ikuwɨčiá,harəwaiya,ikuwɨčiá,harəpihárə,harəpihárə,iménə,harəpihárə,ikuwɨčiá,emeriko,ikuwɨčiá,haininawai,harəpihárə,ikuwɨčiá,mɨmɨrə,harəwaiya,haininawai,harəwaiya,harəpiana,harəwaiya,ɨhi-na,ɨhi-na,haininawai,harəpihárə,ikuwɨčiá,harəwaiya,mɨmɨrə,harəpiana,ɨhi-na,mɨmɨrə,harəpihárə,harəwaiya,mɨmɨrə,haininawai,haininawai,haininawai,ikuwɨčiá,harəwaiya,ɨhi-na,emeriko,harəpiana,haininawai,haininawai,harəpiana,ikuwɨčiá,harəpihárə,iménə,harəpihárə,mɨmɨrə,iménə,ɨhi-na,ɨhi-na,harəpihárə,harəpihárə,emeriko,harəwaiya,haininawai,ɨhi-na,mɨmɨrə,ɨhi-na,emeriko,harəpihárə,ikuwɨčiá,mɨmɨrə,ɨhi-na,iménə,ɨhi-na,haininawai,ikuwɨčiá,harəpihárə,harəwaiya,harəpiana,ikuwɨčiá,mɨmɨrə,ɨhi-na,tu-na,ɨhi-na,ɨhi-na,harəwaiya,ɨhi-na,tu-na,tu-na,tu-na,tu,harəwaiya,iménə,harəwaiya,yahɨ,ɨhi,yahɨ,ɨhi,harəwaiya,tu,iménə
3,0.3734339043775621,1.9003079572994594,1.5268740529218974,haininawai,harəwaiya,mɨmɨrə,ikuwɨčiá,harəpihárə,haininawai,ikuwɨčiá,emeriko,harəwaiya,harəpihárə,ikuwɨčiá,harəpihárə,harəpiana,harəwaiya,harəpiana,harəwaiya,mɨmɨrə,ikuwɨčiá,haininawai,harəpihárə,ɨhi-na,emeriko,harəpihárə,ɨhi-na,harəpihárə,harəpihárə,ɨhi-na,harəpihárə,harəwaiya,harəpihárə,ikuwɨčiá,ikuwɨčiá,mɨmɨrə,mɨmɨrə,harəpihárə,harəpiana,emeriko,harəpihárə,iménə,ikuwɨčiá,mɨmɨrə,harəwaiya,harəwaiya,ikuwɨčiá,harəpihárə,harəpihárə,haininawai,emeriko,ikuwɨčiá,iménə,mɨmɨrə,harəpihárə,iménə,haininawai,mɨmɨrə,harəwaiya,ɨhi-na,harəpihárə,ɨhi-na,harəpihárə,mɨmɨrə,haininawai,mɨmɨrə,ɨhi-na,mɨmɨrə,ɨhi-na,harəpihárə,haininawai,haininawai,ikuwɨčiá,ɨhi-na,harəwaiya,harəwaiya,haininawai,harəpiana,ɨhi-na,iménə,harəpiana,ikuwɨčiá,haininawai,iménə,harəpihárə,haininawai,haininawai,haininawai,ɨhi-na,harəpihárə,ikuwɨčiá,emeriko,ɨhi-na,ɨhi,tu-na,iménə,harəwaiya,harəwaiya,tu-na,ɨhi-na,tu-na,ɨhi,tu,harəwaiya,tu,ɨhi-na,yahɨ,ɨhi-na,tu-na,harəwaiya,iménə,yahɨ
4,0.5748842428260359,1.896316466874507,1.321432224048471,harəpihárə,haininawai,harəpihárə,harəpiana,harəpihárə,haininawai,emeriko,ikuwɨčiá,mɨmɨrə,harəpihárə,mɨmɨrə,ikuwɨčiá,harəpihárə,haininawai,ɨhi-na,harəwaiya,harəpihárə,harəpihárə,ɨhi-na,haininawai,haininawai,iménə,mɨmɨrə,haininawai,emeriko,harəwaiya,mɨmɨrə,ikuwɨčiá,harəpihárə,harəwaiya,harəwaiya,ikuwɨčiá,harəpiana,harəwaiya,ikuwɨčiá,mɨmɨrə,ikuwɨčiá,harəpihárə,ɨhi-na,emeriko,harəpihárə,mɨmɨrə,ikuwɨčiá,iménə,harəpiana,harəpihárə,harəwaiya,ikuwɨčiá,ɨhi-na,mɨmɨrə,harəwaiya,ɨhi-na,ikuwɨčiá,iménə,iménə,harəpiana,harəpihárə,emeriko,haininawai,harəpihárə,harəpihárə,haininawai,harəwaiya,emeriko,harəwaiya,iménə,haininawai,harəpihárə,haininawai,harəpihárə,harəpihárə,mɨmɨrə,harəpihárə,harəwaiya,haininawai,haininawai,ikuwɨčiá,harəpiana,ɨhi-na,ɨhi-na,mɨmɨrə,ikuwɨčiá,ɨhi-na,harəpihárə,ɨhi-na,mɨmɨrə,ikuwɨčiá,haininawai,ɨhi-na,tu-na,iménə,ɨhi-na,ɨhi,harəwaiya,tu-na,tu,ɨhi-na,iménə,harəwaiya,tu-na,yahɨ,ɨhi-na,harəwaiya,ɨhi,yahɨ,tu,ɨhi-na,harəwaiya,tu-na
5,0.6113232201664622,1.888200584977801,1.2768773648113387,ikuwɨčiá,haininawai,ikuwɨčiá,harəwaiya,harəwaiya,harəpiana,mɨmɨrə,haininawai,ɨhi-na,harəwaiya,harəpihárə,harəpihárə,harəwaiya,emeriko,ikuwɨčiá,mɨmɨrə,ɨhi-na,harəpihárə,harəpihárə,mɨmɨrə,iménə,ikuwɨčiá,iménə,harəwaiya,ikuwɨčiá,harəpihárə,haininawai,harəpiana,harəpihárə,haininawai,harəwaiya,ɨhi-na,harəpiana,ikuwɨčiá,emeriko,harəwaiya,mɨmɨrə,haininawai,ɨhi-na,haininawai,iménə,harəpihárə,haininawai,harəpihárə,ikuwɨčiá,haininawai,harəpiana,ikuwɨčiá,ɨhi-na,harəpihárə,haininawai,harəpihárə,ikuwɨčiá,harəpihárə,harəpihárə,ikuwɨčiá,mɨmɨrə,mɨmɨrə,harəwaiya,ikuwɨčiá,harəpihárə,harəpihárə,haininawai,ɨhi-na,harəpihárə,ɨhi-na,haininawai,emeriko,haininawai,ɨhi-na,harəwaiya,ɨhi-na,mɨmɨrə,emeriko,iménə,mɨmɨrə,harəwaiya,iménə,mɨmɨrə,harəpiana,harəpihárə,ikuwɨčiá,emeriko,mɨmɨrə,harəpihárə,haininawai,harəpihárə,ɨhi-na,harəpihárə,tu,ɨhi-na,ɨhi,iménə,yahɨ,ɨhi,ɨhi-na,tu,yahɨ,ɨhi-na,iménə,tu-na,harəwaiya,harəwaiya,harəwaiya,ɨhi-na,tu-na,tu-na,tu-na,harəwaiya
6,0.5298612774558875,1.8963164668745067,1.3664551894186192,iménə,harəpihárə,haininawai,emeriko,mɨmɨrə,ikuwɨčiá,haininawai,ɨhi-na,ɨhi-na,ɨhi-na,ɨhi-na,harəwaiya,haininawai,mɨmɨrə,harəpihárə,ikuwɨčiá,haininawai,haininawai,mɨmɨrə,haininawai,mɨmɨrə,harəpihárə,harəwaiya,ɨhi-na,emeriko,harəwaiya,harəpihárə,iménə,haininawai,iménə,haininawai,harəpihárə,emeriko,haininawai,harəpihárə,ikuwɨčiá,harəpihárə,ɨhi-na,harəpiana,harəpihárə,harəpihárə,harəpihárə,harəpihárə,ɨhi-na,harəwaiya,mɨmɨrə,harəpiana,harəpihárə,emeriko,ikuwɨčiá,harəwaiya,ɨhi-na,ikuwɨčiá,mɨmɨrə,mɨmɨrə,mɨmɨrə,iménə,haininawai,harəpihárə,haininawai,ikuwɨčiá,ikuwɨčiá,harəpiana,harəpihárə,harəwaiya,harəpihárə,mɨmɨrə,harəpihárə,ɨhi-na,harəpihárə,ikuwɨčiá,harəwaiya,emeriko,haininawai,ikuwɨčiá,haininawai,harəpiana,harəwaiya,ɨhi-na,harəpihárə,harəwaiya,ikuwɨčiá,harəpihárə,ikuwɨčiá,mɨmɨrə,harəwaiya,harəpiana,ikuwɨčiá,iménə,yahɨ,tu-na,harəwaiya,harəwaiya,tu,tu-na,ɨhi-na,harəwaiya,ɨhi,tu,iménə,yahɨ,harəwaiya,ɨhi-na,tu-na,ɨhi-na,iménə,ɨhi-na,tu-na,ɨhi
7,0.6926771296400656,1.8629997993170586,1.170322669676993,harəpihárə,ɨhi-na,emeriko,iménə,harəpihárə,ɨhi-na,harəpihárə,harəwaiya,mɨmɨrə,harəpihárə,haininawai,harəpihárə,mɨmɨrə,haininawai,harəpiana,ikuwɨčiá,harəpihárə,harəpihárə,harəpiana,ikuwɨčiá,harəwaiya,harəpihárə,ikuwɨčiá,ɨhi-na,harəwaiya,ikuwɨčiá,harəpiana,mɨmɨrə,mɨmɨrə,ikuwɨčiá,haininawai,harəpihárə,mɨmɨrə,harəwaiya,ɨhi-na,haininawai,harəpiana,iménə,mɨmɨrə,harəpiana,emeriko,harəpihárə,ɨhi-na,harəpihárə,haininawai,ɨhi-na,haininawai,haininawai,ikuwɨčiá,harəwaiya,harəpihárə,ikuwɨčiá,ɨhi-na,harəpihárə,emeriko,ikuwɨčiá,ikuwɨčiá,ikuwɨčiá,mɨmɨrə,mɨmɨrə,ɨhi-na,haininawai,ɨhi-na,haininawai,haininawai,mɨmɨrə,iménə,harəwaiya,emeriko,harəpihárə,mɨmɨrə,harəpihárə,ɨhi-na,iménə,haininawai,haininawai,iménə,haininawai,ikuwɨčiá,harəwaiya,harəwaiya,harəpihárə,harəwaiya,emeriko,harəpihárə,ikuwɨčiá,harəwaiya,harəpihárə,harəpihárə,iménə,harəwaiya,harəwaiya,tu-na,harəwaiya,iménə,ɨhi-na,tu-na,tu,harəwaiya,yahɨ,ɨhi-na,tu-na,ɨhi,yahɨ,ɨhi-na,ɨhi-na,tu,ɨhi,tu-na
8,0.5385724755419574,1.8398603739928394,1.301287898450882,iménə,ɨhi-na,haininawai,ikuwɨčiá,haininawai,harəwaiya,iménə,harəwaiya,haininawai,harəwaiya,ɨhi-na,harəwaiya,harəpihárə,emeriko,ikuwɨčiá,mɨmɨrə,ikuwɨčiá,harəpiana,haininawai,harəpihárə,ɨhi-na,haininawai,ɨhi-na,mɨmɨrə,harəpihárə,harəpihárə,harəpiana,harəpihárə,emeriko,mɨmɨrə,harəpihárə,ɨhi-na,harəwaiya,ikuwɨčiá,harəwaiya,ɨhi-na,harəpihárə,harəwaiya,harəpiana,harəpihárə,ɨhi-na,haininawai,iménə,harəpiana,mɨmɨrə,haininawai,harəpihárə,ikuwɨčiá,haininawai,ɨhi-na,ikuwɨčiá,harəpihárə,harəpihárə,iménə,ikuwɨčiá,mɨmɨrə,harəpihárə,mɨmɨrə,harəpihárə,harəpihárə,iménə,harəpiana,haininawai,haininawai,mɨmɨrə,ikuwɨčiá,harəwaiya,ikuwɨčiá,harəpihárə,mɨmɨrə,emeriko,harəpihárə,ɨhi-na,ikuwɨčiá,haininawai,haininawai,ikuwɨčiá,emeriko,mɨmɨrə,harəwaiya,harəpihárə,harəpihárə,ɨhi-na,harəpihárə,ikuwɨčiá,harəwaiya,mɨmɨrə,haininawai,emeriko,harəwaiya,tu-na,tu,harəwaiya,iménə,yahɨ,yahɨ,tu-na,ɨhi-na,ɨhi-na,tu-na,ɨhi-na,ɨhi-na,ɨhi,harəwaiya,iménə,harəwaiya,ɨhi,tu,tu-na
9,0.47798825189170957,1.888200584977801,1.4102123330860914,ikuwɨčiá,mɨmɨrə,ɨhi-na,mɨmɨrə,ɨhi-na,harəwaiya,harəpihárə,harəpihárə,harəwaiya,harəpiana,harəpihárə,harəpiana,harəwaiya,mɨmɨrə,ikuwɨčiá,ɨhi-na,mɨmɨrə,harəwaiya,haininawai,harəpihárə,harəpiana,ɨhi-na,harəpihárə,mɨmɨrə,ɨhi-na,ɨhi-na,emeriko,harəpihárə,harəpihárə,harəpihárə,ikuwɨčiá,emeriko,iménə,harəwaiya,mɨmɨrə,harəpiana,haininawai,haininawai,harəpihárə,haininawai,ikuwɨčiá,harəpihárə,harəpihárə,harəwaiya,iménə,iménə,ikuwɨčiá,haininawai,mɨmɨrə,iménə,haininawai,haininawai,iménə,ikuwɨčiá,harəpihárə,harəpihárə,harəwaiya,haininawai,harəwaiya,ɨhi-na,mɨmɨrə,mɨmɨrə,harəpihárə,harəwaiya,ɨhi-na,haininawai,ɨhi-na,harəpihárə,ɨhi-na,harəpihárə,harəpihárə,haininawai,ikuwɨčiá,emeriko,mɨmɨrə,haininawai,ikuwɨčiá,harəpihárə,emeriko,ikuwɨčiá,harəwaiya,ikuwɨčiá,harəpihárə,harəpiana,ikuwɨčiá,haininawai,haininawai,ikuwɨčiá,emeriko,ɨhi-na,harəwaiya,harəwaiya,ɨhi-na,harəwaiya,tu,iménə,harəwaiya,yahɨ,ɨhi-na,tu,yahɨ,ɨhi,tu-na,tu-na,ɨhi,iménə,ɨhi-na,tu-na,tu-na
