simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,myZ,fB,fZ,feB,fyB,feZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,fyZ,mF,mM,mFeB,mFyB,mFeZ,mMeZ,mMeB,mMyB,fF,fM,fFeB,fFyB,fFeZ,fMeZ,fMeB,fMyB
0,0.03943365705678037,2.0495712968883213,2.010137639831541,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiku,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiku,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,o'kix,o'kix,kuuxi,jiikulh,jiikulh,tataalh,paasulh,tataalh,kuuxi,kilhi,naan,kilhi,taat,taat,paasulh,naan
1,0.128730164412167,2.0561382624799784,1.9274080980678114,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiku,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,xiku,taat,tataalh,paasulh,kuuxi,jiikulh,kilhi,tataalh,kuuxi,naan,kilhi,taat,paasulh,jiikulh,o'kix,o'kix,naan
2,0.061338406536533885,2.068960831294725,2.0076224247581913,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiku,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiku,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,taat,kuuxi,o'kix,jiikulh,jiikulh,kilhi,tataalh,o'kix,naan,paasulh,paasulh,taat,kilhi,kuuxi,tataalh,naan
3,0.052347949663476,2.0561382624799784,2.0037903128165024,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiku,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiku,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,kilhi,naan,paasulh,tataalh,taat,kuuxi,jiikulh,kilhi,o'kix,jiikulh,kuuxi,taat,naan,paasulh,o'kix,tataalh
4,0.051159574972698296,2.0510689297522724,1.999909354779574,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiku,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiku,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jiikulh,kilhi,taat,tataalh,o'kix,kuuxi,paasulh,taat,jiikulh,naan,kuuxi,tataalh,naan,paasulh,kilhi,o'kix
5,0.05043799381918568,2.0561382624799784,2.0057002686607928,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiku,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiku,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,kuuxi,o'kix,kilhi,naan,paasulh,taat,o'kix,jiikulh,taat,paasulh,naan,kilhi,jiikulh,tataalh,kuuxi,tataalh
6,0.042593033940196534,2.0630967928635244,2.020503758923328,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,xiku,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiku,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,kuuxi,taat,naan,jiikulh,taat,o'kix,tataalh,kilhi,tataalh,paasulh,o'kix,paasulh,naan,kilhi,jiikulh,kuuxi
7,0.12352400778189909,2.056138262479979,1.9326142546980798,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiku,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiku,jaduuñ,jaduuñ,xiix,jaduuñ,naan,jiikulh,naan,tataalh,tataalh,paasulh,kilhi,o'kix,paasulh,kuuxi,o'kix,taat,kilhi,taat,kuuxi,jiikulh
8,0.051159574972698074,2.0561382624799784,2.0049786875072804,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiku,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,xiku,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,paasulh,taat,o'kix,kilhi,paasulh,kilhi,jiikulh,taat,tataalh,o'kix,kuuxi,kuuxi,naan,tataalh,naan,jiikulh
9,0.08749490391615478,2.0561382624799784,1.9686433585638237,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiku,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiix,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,jaduuñ,xiku,jaduuñ,jiikulh,taat,o'kix,kilhi,tataalh,paasulh,taat,naan,naan,kuuxi,tataalh,kilhi,o'kix,kuuxi,paasulh,jiikulh
