simulation_number,mutual_information,entropy,conditional_entropy,myB,meZ,feB,fyB,feZ,meB,myZ,mFyBS,mFyBD,fyZ,fFyBS,mF,mM,mFeB,mMyZ,fF,fM,fFeB,fMyZ,mFyB,mMeZ,fFyB,fMeZ,mFZ,mFeZ,mFyZ,fFZ,fFeZ,fFyZ
0,0.3624263585055877,1.2986545773100722,0.9362282188044845,gunga,dadi,dadu,huding,bui,dadi,dadu,huding,gunga,bui,gunga,aba,mae,kaka,gunga,hatom,aba,gunga,hatom,gunga,gungu mai,hatom,hatom,hatom,gunga,hatom,gungu mai,kaka,mae
1,0.5346992096609205,1.310686555367963,0.7759873457070424,dadi,gunga,bui,bui,huding,dadu,dadi,gunga,dadu,gunga,huding,gunga,gunga,hatom,hatom,mae,kaka,aba,aba,gungu mai,hatom,gungu mai,mae,gunga,gunga,kaka,hatom,hatom,hatom
2,0.5853849883686458,1.2986545773100722,0.7132695889414263,dadu,dadu,dadi,huding,huding,gunga,dadi,bui,bui,gunga,gunga,gunga,hatom,aba,kaka,gunga,mae,aba,hatom,gungu mai,gungu mai,hatom,gunga,hatom,gunga,hatom,kaka,hatom,mae
3,0.12319629799628135,0.5488743844849944,0.425678086488713,dadu,gunga,dadi,dadu,huding,gunga,bui,dadi,bui,gunga,huding,hatom,hatom,hatom,gunga,kaka,hatom,gungu mai,gunga,hatom,mae,kaka,aba,gunga,aba,gunga,gungu mai,hatom,mae
4,0.6568384627615834,1.593066681566068,0.9362282188044845,dadu,bui,dadi,gunga,huding,bui,gunga,dadu,huding,dadi,gunga,gunga,kaka,gunga,kaka,mae,hatom,gungu mai,hatom,aba,mae,hatom,hatom,hatom,gungu mai,gunga,gunga,hatom,aba
5,0.4990412279359896,1.3410425908392174,0.8420013629032278,gunga,dadi,dadu,gunga,bui,dadu,bui,dadi,huding,gunga,huding,hatom,gungu mai,gunga,kaka,gunga,gungu mai,hatom,mae,aba,hatom,aba,hatom,hatom,mae,hatom,kaka,gunga,gunga
6,0.22295318109335815,0.9773202089564674,0.7543670278631093,dadi,bui,huding,huding,dadu,gunga,bui,gunga,dadu,gunga,dadi,hatom,gunga,hatom,aba,mae,hatom,hatom,gunga,hatom,gunga,mae,gungu mai,aba,gungu mai,hatom,kaka,gunga,kaka
7,0.34954175828897627,1.2986545773100722,0.9491128190210959,dadi,dadu,gunga,dadi,dadu,huding,gunga,bui,huding,gunga,bui,aba,gunga,hatom,gunga,aba,mae,hatom,gungu mai,gungu mai,hatom,gunga,hatom,kaka,kaka,gunga,mae,hatom,hatom
8,0.3777545969940478,1.310686555367963,0.9329319583739152,bui,gunga,dadi,dadi,gunga,gunga,huding,bui,dadu,dadu,huding,mae,gunga,gunga,gungu mai,aba,mae,gunga,aba,hatom,hatom,hatom,gungu mai,kaka,kaka,hatom,hatom,gunga,hatom
9,0.42953783073396634,1.0356959635575245,0.6061581328235581,dadi,dadi,bui,gunga,bui,dadu,huding,gunga,huding,gunga,dadu,hatom,hatom,hatom,gungu mai,gunga,hatom,aba,mae,gungu mai,hatom,kaka,mae,hatom,kaka,gunga,aba,gunga,gunga
