simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZD,mMBD,mFeZD,mFyZD,mMeBD,mMyBD,mFZeD,mFZyD,mMBeD,mMByD,mF,mM,fF,fM,mFeZ,mFyZ,mMeB,mMyB,fFeZ,fFyZ,fMeB,fMyB
0,0.48912317673253514,0.9302168370888639,0.4410936603563288,uraŋar,ednaŋar,ednaŋar,ednaŋar,akaŋar,ednaŋar,uraŋar,akaŋar,ebaŋar,elaŋar,olaŋar,ebaŋar,elaŋar,ednaŋar,uraŋar,uraŋar,uraŋar,alaŋar,iɲaŋar,alaŋar,iɲaŋar,alaŋar,iɲaŋar,ibaŋar,alaŋar,ednaŋar,iɲaŋar,amaŋar,ibaŋar
1,0.23643050815597966,1.5351136160841623,1.2986831079281826,ednaŋar,elaŋar,akaŋar,uraŋar,uraŋar,ednaŋar,uraŋar,ebaŋar,elaŋar,akaŋar,ednaŋar,uraŋar,uraŋar,ednaŋar,ednaŋar,ebaŋar,olaŋar,ibaŋar,ednaŋar,iɲaŋar,alaŋar,ibaŋar,amaŋar,iɲaŋar,alaŋar,alaŋar,iɲaŋar,iɲaŋar,alaŋar
2,0.5097607528562897,1.2112465729695874,0.7014858201132976,uraŋar,akaŋar,akaŋar,ebaŋar,elaŋar,ednaŋar,uraŋar,ednaŋar,uraŋar,ednaŋar,uraŋar,olaŋar,ednaŋar,ednaŋar,elaŋar,ebaŋar,uraŋar,alaŋar,iɲaŋar,iɲaŋar,iɲaŋar,ibaŋar,ibaŋar,amaŋar,alaŋar,alaŋar,iɲaŋar,alaŋar,ednaŋar
3,0.7405375485632125,1.27676723505855,0.5362296864953374,uraŋar,uraŋar,elaŋar,uraŋar,ednaŋar,elaŋar,ednaŋar,uraŋar,uraŋar,ednaŋar,akaŋar,ebaŋar,olaŋar,akaŋar,ednaŋar,ebaŋar,ednaŋar,ednaŋar,alaŋar,iɲaŋar,iɲaŋar,iɲaŋar,ibaŋar,alaŋar,ibaŋar,alaŋar,amaŋar,alaŋar,iɲaŋar
4,0.6105504914443549,1.240684291953396,0.6301338005090411,uraŋar,ednaŋar,olaŋar,ednaŋar,ednaŋar,ednaŋar,elaŋar,ebaŋar,akaŋar,uraŋar,akaŋar,elaŋar,uraŋar,uraŋar,ednaŋar,ebaŋar,uraŋar,iɲaŋar,iɲaŋar,iɲaŋar,ednaŋar,alaŋar,ibaŋar,alaŋar,alaŋar,iɲaŋar,amaŋar,alaŋar,ibaŋar
5,0.3044183837226465,1.2579577240395605,0.953539340316914,elaŋar,ebaŋar,ednaŋar,ebaŋar,uraŋar,uraŋar,olaŋar,uraŋar,ednaŋar,akaŋar,ednaŋar,ednaŋar,uraŋar,elaŋar,akaŋar,uraŋar,ednaŋar,iɲaŋar,alaŋar,iɲaŋar,amaŋar,alaŋar,alaŋar,ibaŋar,alaŋar,ednaŋar,ibaŋar,iɲaŋar,iɲaŋar
6,0.30159211059907304,0.6765259604934999,0.37493384989442685,akaŋar,olaŋar,ebaŋar,ednaŋar,akaŋar,elaŋar,uraŋar,uraŋar,ednaŋar,ebaŋar,ednaŋar,elaŋar,ednaŋar,ednaŋar,uraŋar,uraŋar,uraŋar,alaŋar,iɲaŋar,alaŋar,alaŋar,iɲaŋar,iɲaŋar,alaŋar,iɲaŋar,ibaŋar,ednaŋar,ibaŋar,amaŋar
7,0.4555475156654397,1.2747214563271934,0.8191739406617536,elaŋar,uraŋar,olaŋar,uraŋar,ebaŋar,ednaŋar,uraŋar,elaŋar,uraŋar,akaŋar,ednaŋar,akaŋar,ebaŋar,ednaŋar,uraŋar,ednaŋar,ednaŋar,iɲaŋar,alaŋar,ibaŋar,alaŋar,iɲaŋar,alaŋar,ibaŋar,amaŋar,alaŋar,ednaŋar,iɲaŋar,iɲaŋar
8,0.33389909809993434,0.9164648855394713,0.5825657874395369,uraŋar,uraŋar,uraŋar,uraŋar,olaŋar,ednaŋar,ednaŋar,elaŋar,uraŋar,ednaŋar,ednaŋar,ebaŋar,akaŋar,elaŋar,ebaŋar,ednaŋar,akaŋar,alaŋar,alaŋar,alaŋar,iɲaŋar,ibaŋar,iɲaŋar,iɲaŋar,alaŋar,ibaŋar,amaŋar,iɲaŋar,ednaŋar
9,0.6239500796943976,1.4276786533747514,0.8037285736803538,uraŋar,elaŋar,uraŋar,ednaŋar,ebaŋar,ednaŋar,uraŋar,olaŋar,uraŋar,elaŋar,akaŋar,ebaŋar,ednaŋar,akaŋar,ednaŋar,uraŋar,ednaŋar,amaŋar,iɲaŋar,ibaŋar,iɲaŋar,ibaŋar,ednaŋar,alaŋar,iɲaŋar,alaŋar,alaŋar,iɲaŋar,alaŋar
