simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZS,mMBS,mFZD,mMBD,fFZS,fMBS,fFZD,fMBD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.04846663467141443,1.2827201270842603,1.2342534924128459,tumtum,tumtum,tumtum,tumtum,ɸindik,ɸindik,tumtum,tumtum,tua,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,ɸindik,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tua,tumtum,tumtum,tumtum,tumtum,ɸindik,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tua,tumtum,toa,tai,tata,toa,toa,mamou,toa,tata,mamou,tai,mamou,mamou,tai,tata,tata,tai,tata,tai,tai,tata
1,0.0963137576685269,1.3608557628200932,1.2645420051515663,tumtum,tumtum,tumtum,tumtum,tumtum,tua,ɸindik,tua,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,ɸindik,tumtum,tumtum,tumtum,tumtum,tumtum,ɸindik,tumtum,tumtum,tumtum,tumtum,ɸindik,tumtum,tumtum,tua,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tai,tai,mamou,toa,tai,toa,tata,tata,tata,mamou,tata,toa,tai,tata,mamou,tai,toa,mamou,tai,tata
2,0.10391022240921166,1.3580825157078267,1.254172293298615,ɸindik,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tua,ɸindik,tumtum,tumtum,tumtum,tumtum,tumtum,ɸindik,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tua,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tua,tumtum,ɸindik,tumtum,tumtum,mamou,toa,tata,mamou,mamou,tata,tai,tata,tai,mamou,tai,tata,toa,toa,toa,tai,tata,tai,tata,tai
3,0.13278394463984422,1.3680829237577115,1.2352989791178672,tumtum,tumtum,tumtum,tumtum,tumtum,tua,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tua,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,ɸindik,tumtum,tumtum,tumtum,ɸindik,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,ɸindik,tumtum,tumtum,ɸindik,tumtum,tua,tumtum,tumtum,tumtum,tata,tai,mamou,toa,tai,mamou,tata,tai,tai,tata,mamou,tata,tata,tata,toa,tai,toa,mamou,tai,toa
4,0.09898389036784194,1.3508553547702085,1.2518714644023665,ɸindik,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,ɸindik,tumtum,tumtum,tumtum,tumtum,tua,tumtum,tumtum,tumtum,tua,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,ɸindik,tumtum,tumtum,ɸindik,tua,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tai,toa,toa,tata,tata,mamou,toa,tata,mamou,tai,tata,tai,toa,mamou,mamou,tai,tata,tata,tai,tai
5,0.06843198437514664,1.226692756765348,1.1582607723902014,ɸindik,tumtum,tumtum,tumtum,tumtum,tua,tumtum,ɸindik,ɸindik,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tua,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,ɸindik,tua,tumtum,tumtum,tata,mamou,tata,tata,toa,toa,tai,toa,tai,tai,mamou,tata,tata,tai,tata,tai,mamou,tai,mamou,toa
6,0.0681160203843143,1.28388190510222,1.2157658847179056,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tua,tumtum,ɸindik,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,ɸindik,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tua,tumtum,tumtum,tumtum,tua,tumtum,ɸindik,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,ɸindik,tata,toa,tai,tai,tata,mamou,mamou,mamou,toa,tai,tai,tata,tata,mamou,toa,tata,tai,tai,toa,tata
7,0.08002927074662991,1.384908679412363,1.3048794086657332,tumtum,tumtum,tua,tumtum,tumtum,ɸindik,tumtum,tumtum,tumtum,tumtum,tumtum,ɸindik,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tua,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,ɸindik,ɸindik,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tua,tumtum,tumtum,tumtum,tumtum,tumtum,tata,tata,tai,toa,tai,toa,mamou,tata,tai,toa,tata,mamou,tata,tata,mamou,toa,mamou,tai,tai,tai
8,0.05891376546248517,1.3168020301280536,1.2578882646655685,tumtum,tumtum,tumtum,tumtum,tumtum,ɸindik,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tua,tumtum,tumtum,tumtum,tumtum,tumtum,ɸindik,tumtum,tumtum,tumtum,tumtum,tumtum,ɸindik,tumtum,tumtum,tumtum,tua,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tua,tumtum,tumtum,ɸindik,tumtum,tumtum,tai,tai,tai,tata,toa,mamou,toa,tai,tata,toa,tai,tata,toa,tata,mamou,mamou,tata,tata,mamou,tai
9,0.11282569441904511,1.275492966146642,1.162667271727597,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,ɸindik,tua,ɸindik,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,ɸindik,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,tua,tumtum,tumtum,tumtum,tumtum,tumtum,tumtum,ɸindik,tumtum,tumtum,tua,tumtum,tumtum,tai,mamou,mamou,tata,tai,tata,mamou,tata,toa,toa,tai,tai,tai,toa,tata,tata,toa,mamou,tai,tata
