simulation_number,mutual_information,entropy,conditional_entropy,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,meZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,feZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.09949360783348804,1.718478276871981,1.618984669038493,hõ'ra,hõ'ra-i,de'saai,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,nee'ro,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,i'naamia,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,nee'ro,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,de'saai,hõ'ra,nee'ro,i'naamia,hõ'ra-i,hõ'ra-i,hõ'ra,nee'ro,nira'mai,daa'terama,nira'mai,daa'terama,daa'terama,i'n̥o-gaa'te,i'n̥o-gaa'te,daa-'ye,daa'terama,i'n̥o-gaa'te,dake'raai,nira'mai,dake'raai,i'n̥o-gaa'te,dake'raai,daa-'te,nira'mai,daa-'te,daa-'ye,i'n̥o-gaa'te,daa'terama,daa'terama,i'n̥o-gaa'te,nira'mai,dake'raai,dake'raai,dake'raai,nira'mai
1,0.11106513983643285,1.7327864059908935,1.6217212661544607,hõ'ra,hõ'ra-i,hõ'ra-i,de'saai,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,i'naamia,i'naamia,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,de'saai,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,nee'ro,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,nee'ro,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,nee'ro,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,nee'ro,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,dake'raai,nira'mai,daa-'ye,i'n̥o-gaa'te,nira'mai,daa'terama,dake'raai,dake'raai,i'n̥o-gaa'te,daa'terama,daa'terama,daa'terama,i'n̥o-gaa'te,i'n̥o-gaa'te,daa'terama,nira'mai,daa-'ye,daa-'te,daa'terama,dake'raai,nira'mai,i'n̥o-gaa'te,nira'mai,daa-'te,dake'raai,nira'mai,i'n̥o-gaa'te,dake'raai
2,0.09485984190609487,1.6548589622980008,1.559999120391906,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,nee'ro,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,nee'ro,hõ'ra,hõ'ra,de'saai,i'naamia,hõ'ra,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,nee'ro,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,i'naamia,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,de'saai,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,nee'ro,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,daa'terama,daa-'te,dake'raai,nira'mai,dake'raai,i'n̥o-gaa'te,daa-'ye,i'n̥o-gaa'te,dake'raai,i'n̥o-gaa'te,dake'raai,daa'terama,nira'mai,dake'raai,daa-'te,daa'terama,nira'mai,dake'raai,daa'terama,i'n̥o-gaa'te,i'n̥o-gaa'te,daa-'ye,daa'terama,nira'mai,i'n̥o-gaa'te,daa'terama,nira'mai,nira'mai
3,0.12390119790308352,1.6606649707090406,1.536763772805957,hõ'ra,de'saai,hõ'ra,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,de'saai,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,nee'ro,hõ'ra,hõ'ra-i,nee'ro,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,i'naamia,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,nee'ro,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,i'naamia,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,nee'ro,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,daa'terama,nira'mai,nira'mai,nira'mai,daa'terama,daa'terama,nira'mai,nira'mai,dake'raai,dake'raai,daa-'ye,i'n̥o-gaa'te,i'n̥o-gaa'te,daa'terama,daa-'te,nira'mai,i'n̥o-gaa'te,dake'raai,daa-'te,i'n̥o-gaa'te,dake'raai,daa-'ye,dake'raai,i'n̥o-gaa'te,daa'terama,daa'terama,dake'raai,i'n̥o-gaa'te
4,0.10007426043155343,1.6718981210463193,1.5718238606147659,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,nee'ro,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,nee'ro,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,de'saai,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,i'naamia,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,de'saai,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,i'naamia,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,nee'ro,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,nee'ro,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,dake'raai,daa-'te,dake'raai,daa'terama,daa'terama,daa'terama,i'n̥o-gaa'te,daa-'ye,dake'raai,i'n̥o-gaa'te,daa-'ye,dake'raai,daa'terama,dake'raai,daa-'te,nira'mai,nira'mai,i'n̥o-gaa'te,daa'terama,dake'raai,nira'mai,i'n̥o-gaa'te,nira'mai,daa'terama,i'n̥o-gaa'te,i'n̥o-gaa'te,nira'mai,nira'mai
5,0.13304576318293493,1.7045782777459924,1.5715325145630574,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,de'saai,i'naamia,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,nee'ro,nee'ro,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,de'saai,hõ'ra-i,hõ'ra-i,nee'ro,hõ'ra,hõ'ra,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,i'naamia,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,nee'ro,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,dake'raai,i'n̥o-gaa'te,nira'mai,dake'raai,daa-'te,nira'mai,daa'terama,daa'terama,daa-'ye,nira'mai,nira'mai,dake'raai,nira'mai,daa'terama,i'n̥o-gaa'te,daa'terama,daa-'te,i'n̥o-gaa'te,daa'terama,dake'raai,daa'terama,nira'mai,daa-'ye,i'n̥o-gaa'te,i'n̥o-gaa'te,dake'raai,i'n̥o-gaa'te,dake'raai
6,0.14673586395056581,1.6595430795099908,1.512807215559425,hõ'ra,hõ'ra,nee'ro,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,i'naamia,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,nee'ro,hõ'ra-i,de'saai,hõ'ra,nee'ro,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,nee'ro,hõ'ra-i,hõ'ra,i'naamia,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,de'saai,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,i'n̥o-gaa'te,daa-'ye,dake'raai,daa'terama,dake'raai,dake'raai,nira'mai,nira'mai,daa'terama,i'n̥o-gaa'te,dake'raai,dake'raai,daa-'te,i'n̥o-gaa'te,daa'terama,i'n̥o-gaa'te,dake'raai,daa'terama,daa'terama,nira'mai,nira'mai,nira'mai,daa'terama,daa-'ye,daa-'te,i'n̥o-gaa'te,nira'mai,i'n̥o-gaa'te
7,0.11551164151800664,1.7328978989722041,1.6173862574541975,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,hõ'ra,de'saai,hõ'ra,i'naamia,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,nee'ro,hõ'ra,hõ'ra-i,de'saai,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,nee'ro,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,nee'ro,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,nee'ro,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,i'naamia,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,nira'mai,daa'terama,i'n̥o-gaa'te,dake'raai,daa-'ye,nira'mai,daa'terama,nira'mai,dake'raai,i'n̥o-gaa'te,daa-'te,dake'raai,dake'raai,daa'terama,nira'mai,nira'mai,daa-'te,daa-'ye,i'n̥o-gaa'te,i'n̥o-gaa'te,daa'terama,i'n̥o-gaa'te,dake'raai,daa'terama,i'n̥o-gaa'te,nira'mai,dake'raai,daa'terama
8,0.12849927174390463,1.6488787131972495,1.520379441453345,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,de'saai,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,nee'ro,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,i'naamia,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,nee'ro,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,hõ'ra,hõ'ra,hõ'ra,de'saai,hõ'ra-i,hõ'ra,hõ'ra-i,nee'ro,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,i'naamia,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,nee'ro,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,daa'terama,nira'mai,daa'terama,dake'raai,daa-'ye,i'n̥o-gaa'te,daa'terama,nira'mai,dake'raai,nira'mai,daa-'ye,daa'terama,nira'mai,daa-'te,i'n̥o-gaa'te,daa'terama,i'n̥o-gaa'te,i'n̥o-gaa'te,dake'raai,daa'terama,dake'raai,daa-'te,nira'mai,dake'raai,i'n̥o-gaa'te,nira'mai,i'n̥o-gaa'te,dake'raai
9,0.13588889872041365,1.704547015103869,1.5686581163834554,nee'ro,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,de'saai,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,nee'ro,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,i'naamia,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,nee'ro,hõ'ra,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,nee'ro,hõ'ra-i,hõ'ra-i,hõ'ra,de'saai,hõ'ra,hõ'ra,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,i'naamia,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra,hõ'ra,hõ'ra-i,hõ'ra-i,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra,hõ'ra-i,hõ'ra-i,daa'terama,daa-'te,i'n̥o-gaa'te,i'n̥o-gaa'te,daa-'ye,nira'mai,nira'mai,nira'mai,nira'mai,dake'raai,daa'terama,daa-'ye,daa'terama,dake'raai,daa'terama,i'n̥o-gaa'te,dake'raai,dake'raai,dake'raai,nira'mai,i'n̥o-gaa'te,dake'raai,daa-'te,daa'terama,nira'mai,i'n̥o-gaa'te,daa'terama,i'n̥o-gaa'te
