simulation_number,mutual_information,entropy,conditional_entropy,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,myB,meZ,myZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,fyB,feZ,fyZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.06006506797660127,1.391833892364252,1.3317688243876507,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,wayamnu,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,wayamnu,oy-akno,yɨɨm,yɨ-son,o-tam-ru,yɨ-son,apapa,yɨ-son,yɨ-son,o-tam-ru,yɨɨm,yɨɨm,yɨɨm,o-tam-ru,yɨɨm,o-tam-ru,o-tam-ru,o-tam-ru,o-tam-ru,yɨ-son,noro yon,o-tam-ru,o-tam-ru,yɨ-son,o-tam-ru,yɨɨm,noro yon,yɨɨm,o-tam-ru,o-tam-ru
1,0.03449077267821554,1.3620003780142875,1.327509605336072,oy-akno,oy-akno,wayamnu,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,wayamnu,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,yɨ-son,yɨɨm,o-tam-ru,yɨɨm,apapa,yɨ-son,o-tam-ru,yɨ-son,noro yon,o-tam-ru,yɨ-son,o-tam-ru,yɨɨm,o-tam-ru,yɨ-son,yɨɨm,o-tam-ru,yɨɨm,o-tam-ru,o-tam-ru,o-tam-ru,o-tam-ru,o-tam-ru,noro yon,yɨ-son,yɨɨm,o-tam-ru,yɨɨm
2,0.06195022922281246,1.3144901624495053,1.2525399332266929,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,wayamnu,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,wayamnu,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,o-tam-ru,yɨɨm,o-tam-ru,yɨ-son,yɨ-son,o-tam-ru,yɨɨm,yɨ-son,apapa,o-tam-ru,yɨɨm,o-tam-ru,noro yon,yɨɨm,o-tam-ru,o-tam-ru,o-tam-ru,noro yon,o-tam-ru,yɨɨm,o-tam-ru,yɨ-son,yɨɨm,yɨ-son,yɨ-son,yɨɨm,o-tam-ru,o-tam-ru
3,0.09413104136843131,1.410456724493303,1.3163256831248717,oy-akno,oy-akno,wayamnu,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,wayamnu,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-eΦeka,oy-akno,oy-akno,noro yon,yɨ-son,yɨɨm,yɨ-son,yɨɨm,yɨ-son,o-tam-ru,o-tam-ru,o-tam-ru,yɨɨm,o-tam-ru,yɨɨm,yɨɨm,o-tam-ru,yɨ-son,apapa,o-tam-ru,noro yon,o-tam-ru,yɨ-son,o-tam-ru,o-tam-ru,o-tam-ru,yɨ-son,o-tam-ru,yɨɨm,o-tam-ru,yɨɨm
4,0.045188706880314955,1.3584488078850598,1.3132601010047449,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,wayamnu,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-eΦeka,oy-akno,wayamnu,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,o-tam-ru,apapa,yɨɨm,o-tam-ru,o-tam-ru,yɨ-son,noro yon,yɨɨm,o-tam-ru,yɨ-son,yɨ-son,o-tam-ru,yɨɨm,noro yon,o-tam-ru,o-tam-ru,yɨ-son,yɨ-son,yɨ-son,yɨɨm,yɨɨm,o-tam-ru,o-tam-ru,yɨɨm,o-tam-ru,yɨɨm,o-tam-ru,o-tam-ru
5,0.04391141922613473,1.3599617616363013,1.3160503424101666,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,wayamnu,oy-akno,oy-akno,oy-akno,oy-akno,wayamnu,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,yɨ-son,yɨ-son,yɨɨm,o-tam-ru,yɨ-son,o-tam-ru,o-tam-ru,yɨ-son,o-tam-ru,yɨ-son,yɨɨm,noro yon,yɨɨm,o-tam-ru,o-tam-ru,yɨ-son,o-tam-ru,apapa,o-tam-ru,yɨɨm,yɨɨm,o-tam-ru,o-tam-ru,o-tam-ru,o-tam-ru,yɨɨm,yɨɨm,noro yon
6,0.04307388462320727,1.2172695505802422,1.174195665957035,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,wayamnu,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,wayamnu,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,o-tam-ru,yɨɨm,o-tam-ru,yɨ-son,yɨ-son,yɨɨm,o-tam-ru,noro yon,yɨ-son,yɨɨm,yɨ-son,yɨ-son,noro yon,yɨɨm,o-tam-ru,o-tam-ru,o-tam-ru,o-tam-ru,o-tam-ru,o-tam-ru,yɨɨm,apapa,o-tam-ru,o-tam-ru,yɨ-son,yɨɨm,yɨɨm,o-tam-ru
7,0.055394169507057,1.36812893008459,1.312734760577533,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-eΦeka,oy-akno,oy-akno,wayamnu,oy-eΦeka,oy-akno,oy-akno,wayamnu,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,o-tam-ru,o-tam-ru,o-tam-ru,yɨ-son,o-tam-ru,yɨɨm,yɨ-son,yɨɨm,yɨɨm,o-tam-ru,o-tam-ru,yɨɨm,o-tam-ru,yɨɨm,yɨ-son,apapa,noro yon,o-tam-ru,noro yon,o-tam-ru,o-tam-ru,o-tam-ru,yɨ-son,yɨ-son,yɨɨm,yɨ-son,yɨɨm,o-tam-ru
8,0.08821906214500874,1.355609031362206,1.2673899692171973,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,wayamnu,wayamnu,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,yɨ-son,o-tam-ru,yɨɨm,o-tam-ru,noro yon,yɨɨm,o-tam-ru,o-tam-ru,o-tam-ru,o-tam-ru,o-tam-ru,apapa,yɨɨm,yɨ-son,o-tam-ru,o-tam-ru,yɨɨm,yɨɨm,noro yon,o-tam-ru,o-tam-ru,yɨ-son,yɨ-son,yɨ-son,yɨ-son,yɨɨm,yɨɨm,o-tam-ru
9,0.0308036189519294,1.309271648535704,1.2784680295837747,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,wayamnu,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-eΦeka,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,oy-akno,wayamnu,o-tam-ru,yɨɨm,o-tam-ru,o-tam-ru,yɨ-son,o-tam-ru,yɨ-son,yɨ-son,o-tam-ru,yɨ-son,yɨɨm,yɨɨm,o-tam-ru,noro yon,apapa,o-tam-ru,o-tam-ru,yɨɨm,yɨɨm,yɨɨm,yɨ-son,o-tam-ru,o-tam-ru,o-tam-ru,o-tam-ru,noro yon,yɨ-son,yɨɨm
