simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZS,mMBS,mFZD,mMBD,fFZS,fMBS,fFZD,fMBD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,fF,fM,mFeZ,mFyZ,fFeZ,fFyZ
0,0.2425026298332722,1.0100997593541636,0.7675971295208914,kaisuna,kaisuna,ifina,ifina,kaisuna,ifina,kaisuna,ifina,kaisuna,ifina,ifina,kaisuna,kaisuna,"palun, tinamean","ifina, kaisuna",ifina,ifina,kaisuna,tinamean,ifina,ifina,kaisuna,kaisuna,kaisuna,ifina,"ifina, kaisuna",ifina,"tinafin, tinamean",ifina,kaisuna,kaisuna,"palun, tinamean",kaisuna,"ifina, kaisuna","ifina, kaisuna",tinamean,kaisuna,kaisuna,kaisuna,palun,kaisuna,"tinafin, tinamean",ifina,ifina,"ifina, kaisuna",kaisuna,kaisuna,tamang,namg,imuna,imuna,imuna,namg,tamang,imuna
1,0.08651309917212446,1.0382400185693474,0.951726919397223,kaisuna,kaisuna,"palun, tinamean",ifina,"ifina, kaisuna","ifina, kaisuna","ifina, kaisuna",kaisuna,kaisuna,ifina,ifina,kaisuna,kaisuna,kaisuna,ifina,ifina,ifina,kaisuna,kaisuna,ifina,ifina,palun,ifina,kaisuna,kaisuna,"palun, tinamean",ifina,kaisuna,ifina,ifina,"ifina, kaisuna",kaisuna,tinamean,kaisuna,kaisuna,"ifina, kaisuna",tinamean,ifina,ifina,ifina,"tinafin, tinamean",kaisuna,kaisuna,kaisuna,"tinafin, tinamean",kaisuna,kaisuna,imuna,tamang,imuna,namg,namg,imuna,imuna,tamang
2,0.19708941314378658,1.0100997593541636,0.813010346210377,kaisuna,kaisuna,"ifina, kaisuna",kaisuna,ifina,"ifina, kaisuna",kaisuna,"ifina, kaisuna",ifina,ifina,ifina,ifina,kaisuna,"tinafin, tinamean",ifina,"tinafin, tinamean",kaisuna,"ifina, kaisuna",kaisuna,palun,"ifina, kaisuna",kaisuna,kaisuna,kaisuna,kaisuna,kaisuna,ifina,ifina,ifina,ifina,"palun, tinamean",ifina,ifina,tinamean,kaisuna,ifina,kaisuna,kaisuna,tinamean,"palun, tinamean",ifina,kaisuna,ifina,kaisuna,kaisuna,kaisuna,kaisuna,imuna,tamang,imuna,imuna,tamang,namg,imuna,namg
3,0.5820008239209349,1.0100997593541636,0.4280989354332288,tinamean,ifina,kaisuna,tinamean,palun,ifina,kaisuna,kaisuna,"tinafin, tinamean",kaisuna,kaisuna,ifina,"ifina, kaisuna","palun, tinamean",ifina,"ifina, kaisuna",kaisuna,kaisuna,ifina,ifina,kaisuna,kaisuna,kaisuna,kaisuna,kaisuna,ifina,"ifina, kaisuna",ifina,kaisuna,ifina,ifina,"ifina, kaisuna",kaisuna,ifina,ifina,kaisuna,kaisuna,kaisuna,ifina,kaisuna,"ifina, kaisuna","tinafin, tinamean",ifina,kaisuna,"palun, tinamean",ifina,kaisuna,tamang,tamang,imuna,imuna,imuna,imuna,namg,namg
4,0.2570329145178615,1.0382400185693474,0.781207104051486,kaisuna,kaisuna,ifina,kaisuna,ifina,"ifina, kaisuna","palun, tinamean",kaisuna,kaisuna,kaisuna,ifina,kaisuna,ifina,tinamean,kaisuna,"tinafin, tinamean",ifina,kaisuna,ifina,kaisuna,ifina,kaisuna,kaisuna,ifina,kaisuna,palun,ifina,kaisuna,"palun, tinamean",kaisuna,ifina,ifina,tinamean,"ifina, kaisuna",kaisuna,"ifina, kaisuna",kaisuna,ifina,ifina,ifina,kaisuna,kaisuna,"ifina, kaisuna","tinafin, tinamean",kaisuna,"ifina, kaisuna",ifina,imuna,imuna,imuna,namg,tamang,tamang,namg,imuna
5,0.3726166067709421,1.0100997593541636,0.6374831525832215,ifina,kaisuna,"ifina, kaisuna","ifina, kaisuna","tinafin, tinamean","ifina, kaisuna",kaisuna,ifina,ifina,tinamean,palun,kaisuna,ifina,"tinafin, tinamean",kaisuna,ifina,kaisuna,"palun, tinamean",kaisuna,kaisuna,ifina,kaisuna,kaisuna,"palun, tinamean",ifina,"ifina, kaisuna",kaisuna,kaisuna,kaisuna,ifina,ifina,kaisuna,kaisuna,kaisuna,ifina,kaisuna,ifina,ifina,ifina,ifina,kaisuna,tinamean,kaisuna,kaisuna,ifina,kaisuna,"ifina, kaisuna",imuna,namg,imuna,imuna,namg,imuna,tamang,tamang
6,0.2233372599060388,1.0382400185693474,0.8149027586633086,kaisuna,kaisuna,ifina,"ifina, kaisuna",ifina,kaisuna,kaisuna,ifina,kaisuna,"ifina, kaisuna",kaisuna,kaisuna,ifina,"palun, tinamean",kaisuna,"ifina, kaisuna",tinamean,"tinafin, tinamean",ifina,kaisuna,palun,ifina,ifina,ifina,kaisuna,kaisuna,"tinafin, tinamean",ifina,"ifina, kaisuna",kaisuna,kaisuna,kaisuna,ifina,ifina,kaisuna,kaisuna,kaisuna,"ifina, kaisuna",tinamean,"palun, tinamean",ifina,kaisuna,ifina,kaisuna,ifina,ifina,kaisuna,tamang,imuna,namg,imuna,namg,tamang,imuna,imuna
7,0.19183783744749838,1.0382400185693474,0.8464021811218491,ifina,kaisuna,ifina,ifina,"ifina, kaisuna",kaisuna,kaisuna,"palun, tinamean",ifina,"palun, tinamean",kaisuna,ifina,kaisuna,kaisuna,tinamean,kaisuna,kaisuna,ifina,palun,kaisuna,"tinafin, tinamean",ifina,kaisuna,"ifina, kaisuna",kaisuna,kaisuna,ifina,kaisuna,kaisuna,ifina,ifina,ifina,"ifina, kaisuna",tinamean,kaisuna,kaisuna,ifina,ifina,"tinafin, tinamean",kaisuna,kaisuna,ifina,ifina,"ifina, kaisuna",kaisuna,kaisuna,"ifina, kaisuna",imuna,namg,imuna,tamang,tamang,imuna,imuna,namg
8,0.10493423547739567,1.0382400185693474,0.9333057830919518,kaisuna,kaisuna,ifina,ifina,"ifina, kaisuna",palun,kaisuna,kaisuna,ifina,"ifina, kaisuna",kaisuna,ifina,ifina,"ifina, kaisuna",ifina,kaisuna,ifina,"tinafin, tinamean",kaisuna,kaisuna,ifina,tinamean,kaisuna,kaisuna,kaisuna,ifina,tinamean,kaisuna,ifina,ifina,kaisuna,"tinafin, tinamean","ifina, kaisuna","ifina, kaisuna",kaisuna,ifina,ifina,kaisuna,kaisuna,kaisuna,kaisuna,"palun, tinamean",ifina,ifina,kaisuna,kaisuna,"palun, tinamean",tamang,namg,tamang,imuna,namg,imuna,imuna,imuna
9,0.19288022463044896,1.0382400185693474,0.8453597939388985,kaisuna,ifina,kaisuna,"ifina, kaisuna",tinamean,"palun, tinamean","tinafin, tinamean",kaisuna,kaisuna,kaisuna,ifina,ifina,kaisuna,kaisuna,ifina,ifina,ifina,kaisuna,"tinafin, tinamean",kaisuna,ifina,kaisuna,"ifina, kaisuna",ifina,ifina,palun,kaisuna,"ifina, kaisuna","palun, tinamean","ifina, kaisuna",kaisuna,kaisuna,kaisuna,kaisuna,"ifina, kaisuna",ifina,ifina,kaisuna,ifina,kaisuna,ifina,kaisuna,tinamean,kaisuna,ifina,kaisuna,ifina,imuna,imuna,namg,imuna,tamang,tamang,imuna,namg
