simulation_number,mutual_information,entropy,conditional_entropy,mZ,mFZD,mFBD,mFBS,mFZS,mMBS,meB,myB,meZ,myZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB
0,0.10194063036681378,1.2924884656288298,1.190547835262016,nkéri,mwana,okulu,mwana,nkéri,mwari,mwana,okulu,nkéri,okulu,nkéri,nkéri,nkéri,nkéri,okulu,okulu,okulu,okulu,mwana,nkéri,okulu,nkéri,nkéri,okulu,mwana,nkéri,mwari,nkéri,nkéri,okulu,tara,ngughu,ngughu balagha,ngughu balagha,tara,tata okasi,tara,tara,ngughu,tata okasi,ngughu,ngughu,tata okasi,ngughu balagha
1,0.11838306699284318,1.3827221250328647,1.2643390580400216,mwana,okulu,mwana,okulu,nkéri,nkéri,okulu,okulu,mwari,nkéri,okulu,nkéri,nkéri,okulu,nkéri,okulu,nkéri,okulu,nkéri,nkéri,mwana,nkéri,okulu,mwana,nkéri,nkéri,nkéri,mwana,mwari,okulu,tara,tata okasi,ngughu,ngughu balagha,ngughu balagha,ngughu balagha,tara,tata okasi,tara,ngughu,tara,ngughu,tata okasi,ngughu
2,0.16857877807759225,1.3663277990103837,1.1977490209327915,mwana,mwana,nkéri,nkéri,nkéri,okulu,nkéri,nkéri,okulu,okulu,nkéri,okulu,okulu,nkéri,nkéri,okulu,nkéri,nkéri,mwana,nkéri,mwari,mwana,okulu,nkéri,nkéri,okulu,okulu,mwana,mwari,okulu,ngughu balagha,tara,tata okasi,ngughu,ngughu,ngughu,tara,ngughu balagha,ngughu balagha,ngughu,tata okasi,tara,tara,tata okasi
3,0.23129814919350955,1.374964613902438,1.1436664647089285,nkéri,nkéri,mwari,nkéri,nkéri,okulu,mwana,mwana,okulu,mwana,nkéri,mwana,nkéri,okulu,okulu,nkéri,nkéri,okulu,nkéri,nkéri,mwari,mwana,okulu,nkéri,nkéri,nkéri,okulu,okulu,okulu,okulu,tara,ngughu balagha,ngughu,tata okasi,tara,ngughu,ngughu balagha,tara,tata okasi,ngughu,ngughu balagha,tata okasi,ngughu,tara
4,0.2282133024134232,1.352838157666755,1.1246248552533318,nkéri,nkéri,okulu,okulu,nkéri,nkéri,okulu,okulu,nkéri,okulu,okulu,mwana,mwana,nkéri,okulu,nkéri,mwari,mwana,mwana,okulu,nkéri,nkéri,nkéri,nkéri,mwari,mwana,okulu,okulu,nkéri,nkéri,tata okasi,ngughu balagha,ngughu balagha,tara,tata okasi,tara,tara,ngughu,ngughu balagha,ngughu,ngughu,tara,tata okasi,ngughu
5,0.2628014598884618,1.3376708829449615,1.0748694230564997,nkéri,okulu,okulu,nkéri,mwana,nkéri,nkéri,nkéri,nkéri,okulu,okulu,okulu,okulu,okulu,nkéri,nkéri,nkéri,mwari,okulu,mwana,mwari,mwana,mwana,okulu,nkéri,okulu,mwana,nkéri,nkéri,nkéri,tara,tata okasi,tata okasi,ngughu,ngughu balagha,ngughu,ngughu balagha,tara,tata okasi,tara,tara,ngughu balagha,ngughu,ngughu
6,0.14711983284440633,1.3495419625610217,1.2024221297166153,mwari,okulu,okulu,nkéri,mwana,okulu,okulu,nkéri,mwana,nkéri,okulu,nkéri,nkéri,okulu,nkéri,nkéri,okulu,mwana,nkéri,nkéri,okulu,nkéri,okulu,nkéri,nkéri,okulu,mwari,nkéri,mwana,mwana,tata okasi,ngughu,tara,tara,ngughu,tara,ngughu balagha,ngughu,ngughu balagha,tata okasi,ngughu,ngughu balagha,tara,tata okasi
7,0.0838373087554396,1.3712304160042155,1.2873931072487759,nkéri,nkéri,nkéri,nkéri,okulu,mwana,okulu,nkéri,nkéri,mwana,mwana,nkéri,mwari,nkéri,okulu,okulu,okulu,nkéri,mwari,nkéri,mwana,okulu,okulu,nkéri,nkéri,okulu,mwana,okulu,okulu,nkéri,ngughu balagha,tata okasi,tara,ngughu balagha,tara,tara,ngughu,tata okasi,tata okasi,ngughu,ngughu,ngughu balagha,tara,ngughu
8,0.18212367323990009,1.235375135802443,1.0532514625625429,nkéri,nkéri,nkéri,okulu,nkéri,okulu,mwari,nkéri,okulu,nkéri,okulu,mwari,nkéri,okulu,mwana,nkéri,okulu,okulu,nkéri,nkéri,nkéri,mwana,okulu,okulu,mwana,okulu,mwana,mwana,nkéri,nkéri,tara,tata okasi,tara,tara,ngughu,ngughu,ngughu balagha,ngughu,tata okasi,tata okasi,ngughu balagha,ngughu,ngughu balagha,tara
9,0.25179911391049803,1.3827221250328647,1.1309230111223667,nkéri,mwana,mwari,okulu,nkéri,nkéri,nkéri,nkéri,nkéri,okulu,okulu,nkéri,nkéri,mwana,okulu,mwana,okulu,okulu,mwari,okulu,okulu,okulu,nkéri,nkéri,okulu,nkéri,mwana,mwana,nkéri,nkéri,ngughu,ngughu balagha,tara,tata okasi,ngughu,tata okasi,tata okasi,tara,ngughu balagha,ngughu balagha,tara,ngughu,ngughu,tara
