simulation_number,mutual_information,entropy,conditional_entropy,mFZD,mFBD,mMBD,mMZD,mFZS,mMBS,mFBeS,mFByS,mMZeS,mMZyS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mMeZD,mMyZD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFZD,fMBD,fFBS,fFZS,fMBS,fMZS,fFBeD,fFByD,fMZeD,fMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mZ,meB,myB,fB,feZ,fyZ,mFBeD,mFByD,mMZeD,mMZyD,fFBeS,fFByS,fMZyS,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.05012736392209982,1.3799336563969995,1.3298062924748997,mama,muhisi,muhasa,muhisi,muhasa,muhasa,muhasa,mwanakwetu,muhasa,muhisi,muhasa,muhasa,muhasa,muhisi,mama,muhisi,muhasa,muhisi,muhisi,muhisi,mama,muhisi,mwanakwetu,muhisi,muhasa,muhisi,muhasa,mama,muhisi,muhisi,muhisi,mama,muhasa,muhisi,muhasa,muhisi,muhisi,mwanakwetu,muhisi,muhisi,muhisi,muhisi,mwanakwetu,muhasa,muhasa,mama,muhisi,muhisi,muhisi,muhisi,muhasa,mwanakwetu,muhisi,mwanakwetu,muhisi,muhasa,muhisi,muhisi,muhasa,muhisi,muhisi,muhasa,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,muhasa,muhisi,muhisi,yuva,yaya,yuvahengi,yaya,yuva,yuva,yaya,yuva,yuvahengi,dada,yuvahengi,dada,yaya,yuva,yuvahengi,yuva,dada,dada,yuvahengi,yaya,yaya,yuva,yuvahengi,yuva,dada,dada,dada
1,0.12002864245352973,1.3493121284587568,1.229283486005227,mama,muhisi,muhisi,muhisi,muhisi,mwanakwetu,muhisi,muhasa,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mama,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,mwanakwetu,muhasa,muhisi,muhisi,muhisi,muhasa,muhasa,muhasa,muhisi,muhisi,muhisi,mama,muhisi,mama,muhisi,muhasa,mwanakwetu,muhasa,mwanakwetu,mama,mama,muhasa,muhasa,muhisi,muhasa,muhisi,muhisi,muhasa,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,muhasa,muhisi,muhasa,mwanakwetu,muhisi,muhasa,muhisi,muhasa,muhasa,muhisi,muhisi,muhasa,muhasa,mwanakwetu,muhisi,muhasa,yuva,yuva,dada,yuva,yuvahengi,yaya,yuvahengi,yaya,yuvahengi,yaya,dada,dada,yuvahengi,dada,yuva,dada,yuva,yuvahengi,yaya,yaya,yaya,yuvahengi,dada,yuva,dada,yuva,yuva
2,0.11560199022867557,1.373471724264541,1.2578697340358653,muhasa,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,muhasa,muhisi,muhisi,muhasa,mwanakwetu,muhasa,muhasa,muhisi,muhisi,muhisi,muhisi,muhasa,mama,muhisi,muhisi,muhisi,muhasa,muhisi,muhasa,mama,muhisi,muhasa,muhasa,muhasa,mwanakwetu,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mama,muhisi,muhisi,muhisi,mama,mama,mwanakwetu,muhisi,muhasa,muhasa,muhisi,muhisi,muhisi,mama,muhisi,muhasa,muhisi,muhasa,muhisi,mwanakwetu,muhisi,muhasa,muhasa,muhisi,muhasa,muhasa,mwanakwetu,muhasa,muhisi,muhisi,mwanakwetu,muhisi,yuva,yuvahengi,dada,yuva,dada,yaya,yaya,yaya,yuva,dada,yuva,yuva,dada,dada,dada,yaya,yaya,dada,yuva,yuvahengi,yuva,yuvahengi,yuvahengi,yaya,yuva,yuvahengi,yuvahengi
3,0.05080309077592249,1.3733147997773507,1.3225117090014282,muhasa,muhasa,muhisi,muhisi,mama,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,mama,muhisi,muhisi,muhasa,mwanakwetu,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,muhasa,muhisi,muhasa,muhasa,muhisi,muhisi,muhasa,muhasa,muhisi,muhasa,muhisi,muhisi,muhasa,muhasa,muhasa,muhasa,muhasa,muhasa,muhisi,muhisi,muhasa,mama,muhasa,muhasa,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mama,muhisi,mwanakwetu,muhisi,muhisi,muhisi,mwanakwetu,muhisi,muhisi,mwanakwetu,mwanakwetu,muhisi,muhisi,muhisi,mama,muhisi,muhasa,muhisi,mwanakwetu,mama,dada,yuvahengi,yuva,yuva,yaya,yuva,yuvahengi,yaya,yaya,dada,yuvahengi,yuva,yuva,dada,yaya,yaya,dada,yuvahengi,dada,dada,yaya,dada,yuva,yuvahengi,yuva,yuva,yuvahengi
4,0.06895003503630748,1.3621799771208856,1.293229942084578,muhisi,muhasa,muhasa,muhasa,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,muhasa,muhisi,muhisi,muhisi,muhasa,muhisi,mwanakwetu,muhasa,muhasa,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,muhisi,mwanakwetu,muhisi,muhisi,muhisi,muhisi,muhasa,muhasa,mama,mwanakwetu,muhasa,muhisi,muhasa,muhisi,muhisi,muhisi,muhasa,mama,mama,muhisi,mwanakwetu,muhasa,muhisi,mama,mama,muhasa,muhasa,muhisi,mwanakwetu,muhasa,muhisi,muhisi,muhisi,muhasa,muhisi,muhasa,muhisi,muhisi,mwanakwetu,muhisi,mama,muhisi,muhisi,muhisi,muhisi,muhasa,dada,yuva,yuva,yuvahengi,yuvahengi,yaya,dada,dada,yuva,yuvahengi,dada,yuvahengi,yuva,yaya,yuvahengi,yuvahengi,yaya,dada,yuva,yuva,yaya,yuva,yaya,dada,yaya,yuva,dada
5,0.04952584543798744,1.3799336563969995,1.330407810959012,mama,muhisi,muhisi,muhasa,muhisi,mwanakwetu,muhisi,muhisi,mama,mama,muhasa,mwanakwetu,muhisi,mama,muhasa,muhisi,muhasa,muhasa,muhasa,mwanakwetu,muhisi,muhisi,muhasa,muhasa,muhisi,muhasa,muhasa,muhasa,muhisi,muhasa,muhisi,muhisi,mama,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,muhasa,muhisi,muhisi,mwanakwetu,muhisi,muhisi,muhisi,mama,muhisi,muhisi,muhasa,muhasa,mwanakwetu,muhisi,muhisi,muhasa,muhisi,muhasa,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,mwanakwetu,muhisi,muhisi,muhasa,muhisi,muhasa,muhisi,dada,yaya,yuvahengi,dada,yaya,yaya,yuva,yaya,dada,yuva,yuvahengi,dada,yuva,yaya,yuva,yuva,yuvahengi,yuvahengi,dada,yuva,yaya,yuvahengi,dada,yuvahengi,dada,yuva,yuva
6,0.04241745535505448,1.33966181793008,1.2972443625750256,muhisi,mwanakwetu,mama,muhasa,muhasa,muhisi,muhasa,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,muhasa,muhasa,muhisi,muhisi,muhisi,mwanakwetu,muhisi,muhisi,muhasa,muhasa,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,muhasa,muhisi,mwanakwetu,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,mama,muhasa,muhisi,muhisi,muhasa,muhisi,muhasa,muhasa,muhisi,mwanakwetu,muhasa,mwanakwetu,mama,muhisi,muhasa,muhasa,muhisi,muhisi,mwanakwetu,muhasa,muhisi,muhisi,mama,mama,muhisi,muhasa,muhasa,mama,yaya,yuva,yaya,yaya,dada,yuva,yuvahengi,dada,yaya,yuvahengi,dada,yuva,yaya,yuva,dada,yuva,dada,dada,yuvahengi,yuva,yuvahengi,yuva,yaya,yuvahengi,yuvahengi,yuva,dada
7,0.0880708918545634,1.3545810752131697,1.2665101833586063,muhisi,muhasa,mama,muhisi,muhisi,muhisi,mama,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,muhisi,muhasa,mwanakwetu,mama,muhisi,muhasa,muhasa,mama,muhisi,muhisi,muhisi,muhisi,mwanakwetu,muhasa,muhasa,muhasa,muhasa,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,muhasa,muhasa,muhisi,muhasa,muhisi,muhasa,muhasa,mama,muhisi,mwanakwetu,muhisi,muhisi,muhisi,muhisi,mama,muhasa,muhisi,mwanakwetu,muhasa,muhasa,muhisi,muhisi,muhisi,muhisi,muhisi,mwanakwetu,muhisi,muhisi,muhisi,muhisi,muhasa,muhasa,muhasa,muhisi,muhisi,mwanakwetu,muhisi,yuva,yuva,yuva,yuvahengi,yaya,dada,yuvahengi,yuvahengi,dada,yaya,dada,yuva,dada,yaya,yaya,yuvahengi,yuva,yaya,yuvahengi,yuvahengi,dada,dada,yuva,dada,yuva,yuva,yaya
8,0.06515469894702886,1.367242756390479,1.3020880574434501,muhisi,muhisi,muhasa,muhisi,muhisi,muhisi,muhisi,mwanakwetu,muhisi,muhisi,muhasa,mwanakwetu,muhisi,muhisi,muhasa,muhisi,muhasa,muhasa,muhisi,muhasa,muhasa,mwanakwetu,muhasa,muhisi,muhasa,muhasa,muhisi,mama,muhasa,muhisi,muhisi,muhisi,mama,muhasa,muhisi,muhisi,mwanakwetu,mama,mama,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,mwanakwetu,muhisi,muhasa,mama,muhisi,muhasa,muhisi,muhasa,muhisi,muhisi,muhisi,muhisi,muhasa,muhasa,muhisi,muhisi,muhisi,mama,muhasa,muhisi,muhisi,muhasa,muhisi,muhisi,muhasa,mwanakwetu,muhisi,muhisi,yuvahengi,yuvahengi,dada,yaya,yuva,dada,yuva,yuva,dada,yaya,yaya,yaya,yuvahengi,yaya,dada,yaya,dada,yuva,yuva,yuvahengi,dada,dada,yuva,yuvahengi,yuva,yuva,yuvahengi
9,0.09732019052339669,1.3590402486963633,1.2617200581729666,muhisi,muhasa,mama,mwanakwetu,muhasa,muhasa,muhisi,muhisi,muhisi,muhasa,mama,muhisi,muhisi,muhisi,mama,mwanakwetu,muhisi,mwanakwetu,muhasa,muhasa,muhisi,muhisi,muhisi,muhisi,mama,muhasa,muhisi,muhasa,muhisi,mwanakwetu,muhisi,muhasa,muhisi,muhasa,muhisi,muhisi,muhisi,muhisi,muhasa,mama,muhasa,mwanakwetu,muhisi,muhisi,muhisi,mama,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,muhasa,muhisi,muhasa,muhasa,muhisi,muhasa,muhasa,muhasa,muhasa,muhisi,muhisi,muhisi,muhisi,muhisi,muhisi,muhasa,muhisi,muhisi,muhisi,muhisi,mwanakwetu,yaya,yuva,yuva,yuvahengi,yuvahengi,yuva,yaya,yuvahengi,yaya,dada,yuva,yaya,yuva,dada,yuva,yuva,yaya,yuvahengi,yuvahengi,yuvahengi,dada,yuva,dada,yaya,dada,dada,dada
