simulation_number,mutual_information,entropy,conditional_entropy,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,myB,meZ,myZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,fyB,feZ,fyZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.04960136794887604,1.0337291616977995,0.9841277937489235,tafi,ʔari,ʔari,ʔari,ʔari,ʔari,ʔari,ʔari,ʔari,ʔari,lofu,ʔari,tafi,ʔari,ʔari,ʔari,ʔari,lofu,lofu,tafi,lofu,lofu,ʔari,ʔari,ʔari,tafi,ʔari,ʔari,tafi,ʔari,ʔari,ʔari,ʔari,tafi,lofu,ʔari,ʔari,ʔari,tafi,lofu,ʔari,ʔari,ʔari,ʔari,ʔari,lofu,ʔari,lofu,tafi,lofu,ʔari,lofu,ʔari,ʔari,tafi,tafi,ʔari,ʔari,tafi,tafi,tafi,tafi,tafi,lofu,lofu,tafi,tafi,ʔari,lofu,ʔari,lofu,lofu,lofu,ʔari,lofu,lofu,tafi,lofu,tafi,ʔari,ʔari,ʔari,tafi,ʔari,tafi,tafi,lofu,ʔari,lofu,ʔina,ʔama,ʔina,ʔama,ʔama,ʔama,ʔina,ʔina,ʔina,ama,ʔina,ʔama,ama,ʔina,ama,ama,ʔama,ʔina,ʔama,ʔina,ʔina,ʔina,ʔina,ama,ʔama,ʔina,ama,ʔina
1,0.023250654082904276,1.0648418794893788,1.0415912254064745,tafi,ʔari,ʔari,lofu,ʔari,ʔari,ʔari,tafi,tafi,ʔari,ʔari,ʔari,tafi,lofu,lofu,ʔari,tafi,ʔari,ʔari,ʔari,ʔari,lofu,lofu,ʔari,tafi,ʔari,ʔari,ʔari,ʔari,ʔari,lofu,ʔari,tafi,lofu,ʔari,lofu,ʔari,tafi,ʔari,ʔari,lofu,tafi,ʔari,lofu,ʔari,ʔari,lofu,ʔari,ʔari,tafi,lofu,tafi,ʔari,ʔari,ʔari,lofu,ʔari,lofu,ʔari,lofu,tafi,tafi,lofu,ʔari,tafi,tafi,tafi,lofu,tafi,tafi,ʔari,tafi,lofu,ʔari,tafi,lofu,tafi,ʔari,lofu,ʔari,ʔari,lofu,ʔari,tafi,ʔari,ʔari,ʔari,ʔari,lofu,ʔama,ʔina,ama,ʔina,ama,ʔama,ʔama,ʔama,ʔina,ʔina,ʔina,ʔina,ʔina,ʔina,ama,ʔina,ʔama,ama,ʔina,ʔama,ʔina,ʔama,ʔama,ʔina,ama,ama,ʔina,ʔina
2,0.032821306883137336,1.0717300941124526,1.0389087872293152,lofu,ʔari,tafi,ʔari,lofu,ʔari,lofu,tafi,ʔari,ʔari,ʔari,ʔari,lofu,ʔari,ʔari,tafi,lofu,ʔari,tafi,lofu,lofu,ʔari,lofu,lofu,tafi,tafi,ʔari,lofu,ʔari,ʔari,ʔari,ʔari,ʔari,ʔari,ʔari,ʔari,tafi,lofu,tafi,ʔari,tafi,lofu,tafi,ʔari,ʔari,ʔari,lofu,ʔari,ʔari,tafi,tafi,tafi,tafi,ʔari,ʔari,ʔari,tafi,ʔari,ʔari,lofu,ʔari,lofu,tafi,ʔari,lofu,ʔari,ʔari,lofu,lofu,lofu,ʔari,ʔari,tafi,ʔari,ʔari,ʔari,ʔari,tafi,lofu,ʔari,ʔari,tafi,lofu,ʔari,tafi,tafi,tafi,lofu,ʔari,ʔama,ʔama,ama,ʔina,ʔama,ʔina,ʔina,ʔina,ʔina,ʔina,ʔina,ʔina,ʔina,ʔina,ʔama,ama,ama,ʔina,ʔama,ama,ʔama,ʔina,ʔama,ama,ama,ʔina,ʔama,ʔina
3,0.014149071147883774,1.013427460106103,0.9992783889582193,ʔari,tafi,lofu,ʔari,tafi,ʔari,ʔari,tafi,ʔari,ʔari,tafi,ʔari,ʔari,tafi,ʔari,ʔari,tafi,ʔari,lofu,ʔari,tafi,ʔari,ʔari,ʔari,ʔari,lofu,lofu,lofu,ʔari,ʔari,ʔari,ʔari,lofu,ʔari,lofu,ʔari,ʔari,tafi,lofu,tafi,ʔari,ʔari,lofu,lofu,ʔari,lofu,ʔari,tafi,ʔari,ʔari,ʔari,tafi,tafi,tafi,tafi,ʔari,ʔari,ʔari,ʔari,ʔari,tafi,ʔari,lofu,ʔari,lofu,ʔari,tafi,tafi,lofu,lofu,ʔari,ʔari,lofu,ʔari,lofu,lofu,ʔari,ʔari,ʔari,tafi,ʔari,lofu,tafi,lofu,tafi,lofu,tafi,lofu,tafi,ʔina,ʔina,ʔama,ʔama,ʔina,ʔama,ʔama,ama,ama,ʔama,ama,ʔina,ʔina,ʔina,ʔina,ʔama,ʔina,ama,ʔina,ʔama,ʔina,ama,ʔama,ama,ʔina,ʔina,ʔina,ʔina
4,0.03469083578620791,1.039401825465693,1.004710989679485,ʔari,ʔari,lofu,tafi,ʔari,ʔari,ʔari,ʔari,ʔari,tafi,lofu,ʔari,ʔari,ʔari,lofu,tafi,lofu,ʔari,tafi,ʔari,ʔari,tafi,ʔari,ʔari,tafi,tafi,tafi,ʔari,ʔari,tafi,ʔari,ʔari,tafi,tafi,ʔari,lofu,tafi,tafi,tafi,ʔari,ʔari,ʔari,lofu,ʔari,ʔari,lofu,ʔari,ʔari,ʔari,lofu,tafi,ʔari,lofu,ʔari,ʔari,tafi,ʔari,tafi,lofu,lofu,ʔari,ʔari,ʔari,ʔari,lofu,ʔari,lofu,ʔari,ʔari,lofu,lofu,tafi,lofu,tafi,tafi,lofu,lofu,ʔari,lofu,ʔari,lofu,ʔari,ʔari,lofu,tafi,tafi,ʔari,lofu,ʔari,ʔama,ʔama,ʔina,ʔina,ama,ʔama,ama,ʔina,ʔama,ʔina,ama,ʔina,ʔina,ʔina,ʔina,ʔina,ama,ʔina,ʔina,ama,ʔina,ʔama,ʔina,ama,ʔama,ʔina,ʔama,ʔama
5,0.020064673761245988,1.0346012329101812,1.0145365591489353,ʔari,tafi,tafi,lofu,ʔari,ʔari,lofu,tafi,tafi,lofu,ʔari,tafi,ʔari,ʔari,lofu,ʔari,ʔari,lofu,ʔari,tafi,tafi,tafi,tafi,lofu,tafi,tafi,ʔari,lofu,ʔari,ʔari,ʔari,ʔari,tafi,lofu,lofu,ʔari,ʔari,tafi,lofu,ʔari,lofu,ʔari,ʔari,ʔari,lofu,ʔari,ʔari,lofu,tafi,ʔari,ʔari,ʔari,tafi,lofu,lofu,lofu,tafi,ʔari,ʔari,ʔari,lofu,tafi,ʔari,ʔari,ʔari,ʔari,lofu,ʔari,tafi,ʔari,lofu,ʔari,tafi,lofu,ʔari,ʔari,ʔari,ʔari,tafi,lofu,lofu,ʔari,tafi,ʔari,ʔari,ʔari,ʔari,ʔari,tafi,ʔina,ama,ʔina,ama,ʔina,ʔina,ama,ʔina,ʔina,ʔama,ʔina,ʔina,ʔina,ʔina,ʔama,ʔama,ama,ʔama,ʔama,ʔina,ʔama,ama,ʔina,ʔina,ʔama,ʔina,ama,ʔama
6,0.05336568412649101,0.9847957741067304,0.9314300899802394,tafi,lofu,ʔari,tafi,ʔari,ʔari,lofu,lofu,ʔari,lofu,ʔari,ʔari,tafi,ʔari,tafi,lofu,tafi,ʔari,ʔari,lofu,ʔari,ʔari,ʔari,lofu,ʔari,ʔari,lofu,ʔari,ʔari,ʔari,ʔari,ʔari,lofu,tafi,tafi,ʔari,tafi,ʔari,ʔari,ʔari,lofu,ʔari,tafi,ʔari,lofu,tafi,ʔari,tafi,ʔari,lofu,ʔari,lofu,lofu,lofu,ʔari,ʔari,lofu,ʔari,tafi,lofu,ʔari,tafi,tafi,ʔari,tafi,ʔari,ʔari,ʔari,ʔari,ʔari,ʔari,ʔari,lofu,tafi,tafi,tafi,lofu,ʔari,ʔari,ʔari,lofu,lofu,tafi,tafi,lofu,ʔari,tafi,ʔari,tafi,ʔama,ʔina,ʔina,ʔina,ʔina,ʔama,ama,ʔina,ʔina,ama,ama,ama,ʔina,ʔina,ʔina,ʔama,ʔina,ʔina,ʔina,ʔama,ama,ʔina,ʔama,ʔama,ʔama,ʔama,ama,ʔina
7,0.07114873009142397,1.0648418794893788,0.9936931493979548,ʔari,tafi,lofu,ʔari,lofu,ʔari,tafi,lofu,lofu,ʔari,lofu,ʔari,ʔari,ʔari,ʔari,tafi,lofu,tafi,ʔari,tafi,ʔari,ʔari,ʔari,tafi,ʔari,tafi,tafi,ʔari,ʔari,ʔari,tafi,ʔari,tafi,tafi,ʔari,lofu,tafi,ʔari,ʔari,ʔari,tafi,ʔari,tafi,lofu,ʔari,lofu,tafi,lofu,ʔari,ʔari,ʔari,ʔari,lofu,lofu,tafi,ʔari,lofu,ʔari,ʔari,lofu,tafi,ʔari,ʔari,lofu,tafi,lofu,ʔari,lofu,lofu,ʔari,ʔari,tafi,ʔari,tafi,ʔari,tafi,ʔari,ʔari,ʔari,ʔari,ʔari,ʔari,lofu,lofu,tafi,lofu,lofu,ʔari,ʔari,ʔina,ʔina,ʔama,ʔama,ʔina,ʔama,ʔina,ʔina,ʔina,ʔama,ʔina,ama,ʔama,ama,ʔina,ama,ama,ama,ama,ʔina,ʔama,ʔina,ʔina,ʔina,ʔina,ʔina,ʔama,ʔama
8,0.03334065118435059,1.0665911269753128,1.0332504757909622,tafi,ʔari,tafi,tafi,ʔari,lofu,ʔari,ʔari,ʔari,ʔari,tafi,tafi,tafi,ʔari,ʔari,tafi,ʔari,ʔari,tafi,ʔari,ʔari,lofu,tafi,ʔari,tafi,lofu,ʔari,tafi,ʔari,ʔari,ʔari,lofu,tafi,tafi,ʔari,ʔari,ʔari,tafi,ʔari,ʔari,lofu,ʔari,ʔari,ʔari,tafi,tafi,ʔari,lofu,tafi,tafi,ʔari,lofu,ʔari,ʔari,lofu,ʔari,ʔari,ʔari,ʔari,ʔari,lofu,lofu,ʔari,lofu,ʔari,lofu,lofu,ʔari,lofu,tafi,ʔari,ʔari,lofu,tafi,ʔari,tafi,ʔari,ʔari,ʔari,lofu,lofu,tafi,ʔari,lofu,lofu,lofu,lofu,ʔari,lofu,ʔama,ʔama,ʔina,ʔama,ʔama,ama,ʔina,ʔina,ʔina,ʔina,ama,ʔina,ʔama,ʔina,ʔina,ama,ʔina,ʔama,ama,ama,ʔina,ama,ʔina,ʔina,ʔina,ʔama,ʔama,ʔina
9,0.01406586072888949,1.0607314736099946,1.0466656128811052,ʔari,tafi,ʔari,lofu,ʔari,ʔari,lofu,tafi,lofu,ʔari,ʔari,ʔari,lofu,tafi,tafi,lofu,tafi,tafi,ʔari,ʔari,ʔari,ʔari,ʔari,tafi,lofu,ʔari,lofu,ʔari,tafi,lofu,tafi,tafi,lofu,lofu,tafi,ʔari,ʔari,ʔari,ʔari,tafi,tafi,ʔari,ʔari,lofu,ʔari,ʔari,lofu,ʔari,ʔari,lofu,lofu,ʔari,tafi,ʔari,ʔari,tafi,ʔari,ʔari,tafi,ʔari,ʔari,lofu,ʔari,lofu,ʔari,lofu,tafi,tafi,lofu,ʔari,ʔari,lofu,ʔari,ʔari,tafi,tafi,ʔari,ʔari,ʔari,lofu,ʔari,ʔari,tafi,lofu,lofu,ʔari,tafi,ʔari,ʔari,ʔama,ʔina,ʔama,ʔina,ʔama,ʔina,ʔama,ʔina,ʔama,ʔina,ʔina,ʔina,ama,ʔama,ʔina,ama,ʔina,ama,ama,ama,ʔina,ʔina,ama,ʔina,ʔama,ʔina,ʔama,ʔina
