simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,myB,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,meZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fyB,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,feZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,fFBeS,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.143551433984902,1.6192664880705814,1.4757150540856794,yaccal,is,waccal,is,yaccal,yaccal,yaccal,yaccal,waccal,itʼino is,itʼino isi,yaccal,waccal,is,yaccal,yaccal,yaccal,yaccal,waccal,waccal,waccal,waccal,yaccal,waccal,yaccal,isi,waccal,yaccal,waccal,waccal,yaccal,yaccal,isi,waccal,yaccal,waccal,yaccal,yaccal,waccal,waccal,yaccal,waccal,yaccal,yaccal,waccal,itʼino isi,yaccal,waccal,waccal,waccal,yaccal,yaccal,waccal,waccal,yaccal,isi,waccal,itʼino is,waccal,waccal,yaccal,waccal,yaccal,waccal,is,yaccal,waccal,yaccal,yaccal,waccal,yaccal,waccal,yaccal,waccal,yaccal,waccal,waccal,yaccal,yaccal,waccal,waccal,yaccal,yaccal,waccal,waccal,waccal,yaccal,isi,waccal,yaccal,abos is,iyos is,aboisi,iyoisi,aboisi,abos is,iyoisi,iyos is,abos is,iyo,iyos is,aboisi,abos is,aboisi,aboisi,abos is,iyoisi,iyoisi,abos is,iyos is,iyos is,abo,iyo,aboisi,iyoisi,iyos is,abo,iyoisi
1,0.08870285809970335,1.7007722462555965,1.6120693881558932,waccal,yaccal,yaccal,waccal,waccal,waccal,waccal,waccal,yaccal,yaccal,waccal,waccal,isi,yaccal,isi,yaccal,yaccal,waccal,yaccal,waccal,waccal,yaccal,waccal,waccal,itʼino isi,waccal,waccal,yaccal,yaccal,waccal,waccal,yaccal,yaccal,waccal,waccal,yaccal,yaccal,yaccal,yaccal,yaccal,yaccal,waccal,waccal,waccal,yaccal,yaccal,is,yaccal,waccal,waccal,waccal,yaccal,yaccal,yaccal,yaccal,is,waccal,waccal,yaccal,waccal,yaccal,waccal,yaccal,yaccal,waccal,waccal,waccal,waccal,waccal,itʼino is,yaccal,waccal,yaccal,yaccal,yaccal,waccal,is,itʼino is,yaccal,waccal,yaccal,yaccal,itʼino isi,isi,waccal,yaccal,yaccal,waccal,isi,is,iyoisi,iyo,aboisi,iyo,iyos is,iyos is,abos is,iyoisi,iyos is,abo,aboisi,abo,iyos is,iyoisi,abos is,abos is,iyos is,iyoisi,abos is,aboisi,iyoisi,abos is,aboisi,abos is,aboisi,iyos is,iyoisi,aboisi
2,0.12665957450414655,1.7120539193605206,1.585394344856374,waccal,yaccal,waccal,waccal,waccal,yaccal,waccal,itʼino isi,is,waccal,yaccal,yaccal,yaccal,itʼino is,yaccal,itʼino isi,waccal,yaccal,yaccal,yaccal,yaccal,yaccal,waccal,isi,yaccal,waccal,yaccal,yaccal,waccal,yaccal,yaccal,yaccal,yaccal,waccal,waccal,yaccal,waccal,waccal,waccal,isi,yaccal,yaccal,yaccal,yaccal,waccal,yaccal,is,is,waccal,yaccal,waccal,waccal,yaccal,yaccal,waccal,yaccal,waccal,isi,waccal,yaccal,yaccal,waccal,waccal,waccal,waccal,waccal,waccal,is,yaccal,yaccal,yaccal,waccal,yaccal,waccal,waccal,waccal,itʼino is,yaccal,yaccal,yaccal,waccal,isi,waccal,waccal,waccal,waccal,waccal,yaccal,yaccal,waccal,iyos is,iyo,aboisi,iyoisi,iyo,aboisi,iyos is,abos is,iyoisi,iyoisi,abo,iyos is,iyos is,abos is,abo,abos is,iyos is,aboisi,abos is,abos is,aboisi,abos is,iyoisi,iyoisi,aboisi,iyos is,iyoisi,aboisi
3,0.16452774455737762,1.7057968668572987,1.541269122299921,itʼino is,waccal,waccal,is,waccal,waccal,yaccal,waccal,waccal,waccal,is,waccal,yaccal,yaccal,waccal,waccal,yaccal,waccal,waccal,yaccal,is,yaccal,waccal,waccal,yaccal,waccal,yaccal,waccal,waccal,waccal,yaccal,yaccal,waccal,yaccal,isi,yaccal,yaccal,waccal,yaccal,waccal,yaccal,yaccal,waccal,waccal,isi,waccal,yaccal,isi,yaccal,yaccal,yaccal,yaccal,waccal,yaccal,yaccal,yaccal,yaccal,yaccal,waccal,yaccal,yaccal,yaccal,waccal,yaccal,waccal,yaccal,yaccal,waccal,yaccal,waccal,itʼino isi,yaccal,yaccal,itʼino is,itʼino isi,yaccal,waccal,yaccal,is,waccal,waccal,waccal,yaccal,waccal,isi,waccal,waccal,waccal,yaccal,waccal,iyos is,iyo,iyos is,iyoisi,abo,aboisi,abos is,abos is,iyoisi,iyos is,iyo,aboisi,iyos is,aboisi,abos is,abos is,abos is,aboisi,aboisi,abos is,abo,iyoisi,iyos is,iyoisi,iyoisi,iyoisi,aboisi,iyos is
4,0.1784630051973255,1.6803459602415125,1.501882955044187,itʼino is,waccal,waccal,yaccal,yaccal,yaccal,waccal,yaccal,is,waccal,itʼino isi,yaccal,yaccal,waccal,is,yaccal,isi,yaccal,waccal,waccal,yaccal,yaccal,waccal,yaccal,waccal,yaccal,waccal,itʼino is,waccal,waccal,waccal,waccal,yaccal,yaccal,waccal,waccal,yaccal,yaccal,yaccal,waccal,yaccal,yaccal,yaccal,yaccal,yaccal,yaccal,waccal,waccal,waccal,yaccal,isi,is,waccal,yaccal,waccal,yaccal,waccal,yaccal,waccal,yaccal,yaccal,yaccal,yaccal,isi,yaccal,waccal,yaccal,yaccal,waccal,is,yaccal,itʼino isi,waccal,yaccal,waccal,waccal,isi,yaccal,yaccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,yaccal,waccal,waccal,waccal,iyoisi,iyo,iyoisi,abos is,aboisi,aboisi,iyoisi,abos is,abo,aboisi,abos is,iyos is,abos is,iyos is,abos is,abo,iyoisi,iyos is,aboisi,aboisi,iyoisi,iyos is,aboisi,iyoisi,iyos is,iyo,iyos is,abos is
5,0.15274286449281904,1.6973164720850598,1.5445736075922407,waccal,yaccal,isi,yaccal,yaccal,yaccal,waccal,waccal,yaccal,yaccal,waccal,yaccal,waccal,waccal,waccal,yaccal,waccal,waccal,itʼino is,waccal,isi,yaccal,yaccal,waccal,yaccal,waccal,yaccal,is,yaccal,waccal,yaccal,is,waccal,waccal,waccal,waccal,waccal,yaccal,itʼino isi,yaccal,yaccal,yaccal,waccal,yaccal,waccal,yaccal,yaccal,waccal,yaccal,yaccal,is,waccal,yaccal,waccal,waccal,yaccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,yaccal,yaccal,yaccal,yaccal,yaccal,isi,isi,waccal,yaccal,itʼino is,yaccal,waccal,waccal,yaccal,yaccal,yaccal,waccal,yaccal,waccal,yaccal,is,yaccal,yaccal,waccal,waccal,waccal,itʼino isi,abo,aboisi,iyos is,iyos is,iyos is,aboisi,abo,iyos is,iyoisi,abos is,iyos is,abos is,aboisi,abos is,iyoisi,abos is,iyos is,aboisi,iyo,iyoisi,iyoisi,iyoisi,abos is,iyoisi,abos is,iyo,aboisi,aboisi
6,0.1514448822797445,1.7180613660769524,1.5666164837972079,waccal,waccal,yaccal,isi,yaccal,waccal,waccal,waccal,yaccal,waccal,waccal,waccal,yaccal,yaccal,waccal,waccal,waccal,is,waccal,isi,yaccal,waccal,waccal,waccal,yaccal,itʼino is,waccal,yaccal,yaccal,yaccal,yaccal,yaccal,yaccal,waccal,waccal,itʼino isi,yaccal,is,itʼino is,yaccal,yaccal,waccal,yaccal,yaccal,yaccal,yaccal,yaccal,yaccal,yaccal,yaccal,yaccal,yaccal,waccal,yaccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,yaccal,waccal,waccal,waccal,yaccal,yaccal,waccal,yaccal,waccal,yaccal,waccal,itʼino isi,yaccal,waccal,isi,yaccal,is,waccal,yaccal,waccal,yaccal,waccal,is,yaccal,yaccal,waccal,waccal,yaccal,isi,iyos is,iyoisi,iyos is,abos is,aboisi,aboisi,iyoisi,iyos is,abos is,abos is,aboisi,aboisi,iyos is,iyos is,abos is,iyo,iyoisi,iyoisi,abo,iyo,abos is,iyos is,aboisi,abo,abos is,iyoisi,iyoisi,aboisi
7,0.22354042187825063,1.6812026086167196,1.457662186738469,waccal,waccal,waccal,waccal,waccal,waccal,yaccal,waccal,yaccal,waccal,waccal,yaccal,yaccal,waccal,yaccal,waccal,yaccal,yaccal,yaccal,waccal,waccal,waccal,waccal,waccal,yaccal,is,yaccal,yaccal,waccal,yaccal,yaccal,waccal,waccal,yaccal,is,waccal,isi,waccal,itʼino isi,waccal,waccal,yaccal,yaccal,yaccal,yaccal,is,yaccal,waccal,yaccal,waccal,waccal,yaccal,yaccal,itʼino isi,yaccal,yaccal,yaccal,yaccal,waccal,yaccal,waccal,yaccal,isi,yaccal,waccal,waccal,yaccal,itʼino is,yaccal,isi,yaccal,waccal,waccal,itʼino is,yaccal,waccal,waccal,waccal,waccal,yaccal,is,waccal,yaccal,waccal,yaccal,yaccal,isi,waccal,yaccal,yaccal,aboisi,abos is,iyoisi,iyos is,iyoisi,aboisi,abo,abos is,iyos is,iyoisi,iyos is,aboisi,abos is,aboisi,iyo,abos is,iyoisi,aboisi,abo,iyoisi,iyos is,abos is,aboisi,iyoisi,iyos is,iyo,iyos is,abos is
8,0.13370229390549015,1.6854281042759487,1.5517258103704585,waccal,waccal,waccal,yaccal,yaccal,yaccal,is,yaccal,waccal,yaccal,yaccal,waccal,yaccal,yaccal,waccal,yaccal,waccal,yaccal,waccal,isi,yaccal,waccal,waccal,waccal,yaccal,waccal,waccal,yaccal,yaccal,waccal,waccal,waccal,waccal,yaccal,waccal,waccal,yaccal,itʼino isi,waccal,yaccal,itʼino is,waccal,isi,yaccal,waccal,yaccal,yaccal,itʼino is,isi,yaccal,waccal,waccal,is,waccal,is,waccal,waccal,waccal,waccal,waccal,yaccal,yaccal,waccal,waccal,yaccal,yaccal,yaccal,yaccal,isi,yaccal,yaccal,waccal,yaccal,yaccal,waccal,yaccal,yaccal,waccal,yaccal,waccal,waccal,yaccal,yaccal,waccal,yaccal,is,itʼino isi,yaccal,waccal,yaccal,iyos is,iyo,iyos is,abo,aboisi,abos is,aboisi,iyoisi,abos is,iyos is,abos is,abos is,aboisi,iyoisi,iyoisi,iyos is,aboisi,aboisi,abos is,abos is,iyos is,iyo,iyoisi,aboisi,iyos is,abo,iyoisi,iyoisi
9,0.1555200900610314,1.6845007026308196,1.5289806125697882,waccal,yaccal,waccal,itʼino is,yaccal,yaccal,yaccal,isi,yaccal,is,is,waccal,waccal,waccal,yaccal,isi,yaccal,yaccal,waccal,yaccal,yaccal,waccal,waccal,itʼino isi,waccal,yaccal,waccal,yaccal,isi,yaccal,waccal,waccal,yaccal,waccal,yaccal,waccal,yaccal,yaccal,yaccal,yaccal,waccal,waccal,waccal,waccal,waccal,yaccal,waccal,yaccal,waccal,yaccal,waccal,waccal,waccal,waccal,waccal,waccal,waccal,itʼino isi,waccal,yaccal,is,waccal,yaccal,waccal,yaccal,yaccal,yaccal,waccal,waccal,yaccal,yaccal,waccal,itʼino is,yaccal,waccal,yaccal,yaccal,yaccal,yaccal,isi,yaccal,waccal,is,yaccal,waccal,yaccal,yaccal,yaccal,waccal,waccal,abos is,iyos is,iyoisi,iyos is,aboisi,abo,iyos is,abo,iyoisi,aboisi,abos is,iyoisi,iyos is,abos is,abos is,iyo,iyoisi,iyos is,iyos is,aboisi,iyoisi,abos is,aboisi,abos is,iyo,iyoisi,aboisi,aboisi
