simulation_number,mutual_information,entropy,conditional_entropy,myZ,meB,meZ,mB,mZ,myB,mFByS,mFZyS,mMZS,mMeZS,mMyZS,mMZeS,mMZyS,fyB,fyZ,feB,feZ,fB,fZ,fFByS,fFZyS,fMZS,fMeZS,fMyZS,fMZyS,mMBD,mMZD,mMeBD,mMyBD,mMeZD,mMyZD,mMBeD,mMByD,mMZeD,mMZyD,fMBD,fMZD,fMeBD,fMyBD,fMeZD,fMyZD,fMBeD,fMByD,fMZeD,fMZyD,mFZD,mFBD,mFBeS,mFZeS,mMBS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,fFZD,fFBD,fFBeS,fFZeS,fMBS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,mF,mM,mFB,mMB,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,fF,fM,fFB,fMB,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,mFZ,mMZ,fFZ,fMZ,mMyB,fMyB
0,0.48129708970430807,2.2762113901953,1.794914300490992,čužodig,apay,apay,čužodig,čužodig,apay,brat,čužodig,apay,čužodig,čužodig,"vɩn, eke",apay,čužodig,čužodig,čužodig,čužodig,apay,apay,"vɩn, eke",apay,čužodig,čužodig,čužodig,"vɩn, eke",čužodig,čužodig,čužodig,dʸdʸay,čužodig,sestra,čužodig,čužodig,suzer̃,čužodig,agay,apay,čužodig,apay,agay,apay,apay,apay,apay,apay,čužodig,čužodig,čužodig,dʸdʸay,čužodig,čužodig,čužodig,suzer̃,čužodig,čužodig,čužodig,apay,sestra,vɩn,čužodig,čužodig,dʸdʸay,apay,apay,čužodig,apay,"vɩn, eke",dʸdʸay,čužodig,čužodig,čužodig,vɩn,čužodig,apay,čužodig,apay,brat,čužodig,agay,baӡӡɩm (баӟӟым) agay,ayɩ,mumɩ,pokcʸi apay,čužapay,čužmurt,čužmurt,pokcʸi apay,čužapay,apay,čužaka,baӡӡɩm (баӟӟым) apay,čužapay,čužmurt,ayɩ,čužaka,baӡӡɩm (баӟӟым) apay,agay,mumɩ,baӡӡɩm (баӟӟым) agay,čužmurt,čužmurt,čužapay,pokcʸi agay,pokcʸi agay,apay,čužmurt
1,0.5265349246757736,2.2672730108411216,1.740738086165348,čužodig,čužodig,čužodig,čužodig,"vɩn, eke",agay,čužodig,brat,čužodig,suzer̃,apay,čužodig,čužodig,čužodig,apay,apay,čužodig,sestra,čužodig,dʸdʸay,apay,čužodig,vɩn,čužodig,sestra,čužodig,suzer̃,čužodig,apay,apay,čužodig,čužodig,čužodig,čužodig,apay,apay,apay,dʸdʸay,apay,čužodig,brat,apay,apay,čužodig,apay,apay,agay,čužodig,čužodig,apay,apay,dʸdʸay,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,"vɩn, eke","vɩn, eke",čužodig,apay,apay,"vɩn, eke",čužodig,čužodig,apay,apay,čužodig,čužodig,čužodig,čužodig,vɩn,čužodig,čužodig,čužodig,apay,dʸdʸay,čužmurt,pokcʸi apay,pokcʸi apay,čužmurt,baӡӡɩm (баӟӟым) apay,baӡӡɩm (баӟӟым) agay,apay,ayɩ,mumɩ,baӡӡɩm (баӟӟым) apay,apay,agay,čužapay,čužapay,čužapay,čužapay,čužmurt,čužmurt,agay,čužmurt,ayɩ,čužmurt,pokcʸi agay,čužaka,mumɩ,čužaka,pokcʸi agay,baӡӡɩm (баӟӟым) agay
2,0.36763163660949005,2.145009058566422,1.7773774219569318,brat,apay,čužodig,sestra,"vɩn, eke",čužodig,čužodig,čužodig,čužodig,dʸdʸay,agay,apay,čužodig,čužodig,apay,čužodig,čužodig,apay,čužodig,čužodig,čužodig,čužodig,apay,čužodig,čužodig,čužodig,čužodig,čužodig,apay,čužodig,apay,vɩn,sestra,"vɩn, eke",čužodig,vɩn,čužodig,apay,apay,brat,dʸdʸay,čužodig,agay,čužodig,čužodig,"vɩn, eke",čužodig,čužodig,suzer̃,čužodig,dʸdʸay,čužodig,apay,"vɩn, eke",čužodig,apay,čužodig,apay,čužodig,apay,apay,apay,čužodig,čužodig,apay,suzer̃,apay,čužodig,čužodig,čužodig,apay,čužodig,apay,čužodig,dʸdʸay,apay,apay,čužodig,baӡӡɩm (баӟӟым) agay,čužmurt,apay,čužmurt,pokcʸi agay,čužapay,baӡӡɩm (баӟӟым) apay,ayɩ,mumɩ,čužaka,baӡӡɩm (баӟӟым) agay,pokcʸi apay,ayɩ,mumɩ,čužmurt,čužapay,čužaka,baӡӡɩm (баӟӟым) apay,pokcʸi agay,agay,čužmurt,čužapay,čužmurt,čužapay,pokcʸi apay,čužmurt,agay,apay
3,0.42940764587606006,2.182036537037848,1.752628891161788,čužodig,čužodig,čužodig,čužodig,čužodig,agay,čužodig,čužodig,čužodig,čužodig,čužodig,brat,čužodig,apay,dʸdʸay,čužodig,vɩn,apay,čužodig,apay,apay,apay,čužodig,čužodig,"vɩn, eke",apay,apay,čužodig,apay,čužodig,apay,apay,apay,čužodig,apay,dʸdʸay,čužodig,apay,čužodig,suzer̃,apay,čužodig,dʸdʸay,čužodig,apay,čužodig,čužodig,čužodig,sestra,"vɩn, eke",dʸdʸay,čužodig,čužodig,"vɩn, eke",apay,čužodig,brat,vɩn,apay,čužodig,apay,čužodig,čužodig,apay,"vɩn, eke",apay,agay,čužodig,čužodig,suzer̃,čužodig,čužodig,čužodig,sestra,apay,čužodig,čužodig,čužodig,čužapay,apay,pokcʸi agay,čužmurt,pokcʸi apay,baӡӡɩm (баӟӟым) agay,ayɩ,čužmurt,agay,čužmurt,čužaka,čužmurt,čužapay,baӡӡɩm (баӟӟым) apay,mumɩ,ayɩ,pokcʸi agay,pokcʸi apay,baӡӡɩm (баӟӟым) agay,čužaka,apay,agay,mumɩ,čužapay,čužapay,čužmurt,baӡӡɩm (баӟӟым) apay,čužmurt
4,0.46814214749748007,2.163857758055834,1.6957156105583537,agay,"vɩn, eke",čužodig,apay,čužodig,čužodig,čužodig,čužodig,čužodig,brat,čužodig,apay,agay,čužodig,apay,dʸdʸay,čužodig,dʸdʸay,čužodig,čužodig,apay,čužodig,čužodig,čužodig,čužodig,čužodig,sestra,apay,čužodig,apay,apay,čužodig,apay,vɩn,čužodig,apay,apay,apay,suzer̃,čužodig,dʸdʸay,sestra,apay,čužodig,"vɩn, eke",čužodig,čužodig,apay,apay,čužodig,čužodig,vɩn,apay,čužodig,čužodig,apay,apay,čužodig,čužodig,suzer̃,apay,čužodig,apay,čužodig,"vɩn, eke",čužodig,"vɩn, eke",čužodig,dʸdʸay,čužodig,čužodig,čužodig,čužodig,čužodig,apay,apay,brat,čužodig,čužmurt,agay,čužmurt,čužapay,pokcʸi apay,baӡӡɩm (баӟӟым) apay,baӡӡɩm (баӟӟым) apay,apay,baӡӡɩm (баӟӟым) agay,čužmurt,čužapay,čužmurt,agay,ayɩ,baӡӡɩm (баӟӟым) agay,pokcʸi agay,čužaka,čužapay,mumɩ,pokcʸi apay,mumɩ,pokcʸi agay,čužmurt,čužmurt,čužaka,čužapay,apay,ayɩ
5,0.3546739411834994,2.2451410879992397,1.8904671468157404,suzer̃,apay,dʸdʸay,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,apay,sestra,čužodig,čužodig,brat,apay,čužodig,čužodig,apay,čužodig,sestra,"vɩn, eke",čužodig,čužodig,čužodig,čužodig,apay,brat,čužodig,dʸdʸay,čužodig,čužodig,čužodig,čužodig,čužodig,suzer̃,čužodig,čužodig,apay,"vɩn, eke",čužodig,apay,apay,"vɩn, eke",apay,čužodig,čužodig,apay,apay,agay,"vɩn, eke",čužodig,apay,dʸdʸay,čužodig,vɩn,vɩn,čužodig,čužodig,apay,čužodig,čužodig,apay,čužodig,apay,čužodig,čužodig,čužodig,apay,apay,apay,apay,čužodig,apay,dʸdʸay,čužodig,agay,apay,čužodig,ayɩ,pokcʸi apay,čužapay,agay,pokcʸi agay,baӡӡɩm (баӟӟым) apay,čužmurt,čužapay,pokcʸi agay,baӡӡɩm (баӟӟым) apay,apay,mumɩ,čužmurt,čužmurt,apay,baӡӡɩm (баӟӟым) agay,mumɩ,čužaka,čužapay,čužaka,agay,čužapay,čužmurt,ayɩ,baӡӡɩm (баӟӟым) agay,čužmurt,pokcʸi apay,čužmurt
6,0.45153822613206995,2.314821430520947,1.8632832043888772,čužodig,čužodig,agay,agay,čužodig,apay,čužodig,čužodig,čužodig,apay,dʸdʸay,apay,čužodig,vɩn,dʸdʸay,apay,"vɩn, eke",apay,čužodig,čužodig,apay,čužodig,brat,čužodig,dʸdʸay,čužodig,apay,apay,čužodig,apay,čužodig,suzer̃,čužodig,čužodig,čužodig,čužodig,apay,čužodig,čužodig,čužodig,apay,apay,apay,vɩn,čužodig,čužodig,brat,dʸdʸay,čužodig,sestra,čužodig,suzer̃,apay,"vɩn, eke",čužodig,čužodig,apay,čužodig,apay,čužodig,"vɩn, eke",čužodig,čužodig,čužodig,čužodig,apay,sestra,čužodig,čužodig,čužodig,čužodig,čužodig,apay,čužodig,apay,apay,"vɩn, eke",apay,čužmurt,čužapay,čužapay,pokcʸi apay,čužapay,ayɩ,čužaka,pokcʸi apay,čužmurt,baӡӡɩm (баӟӟым) agay,baӡӡɩm (баӟӟым) apay,ayɩ,apay,čužaka,baӡӡɩm (баӟӟым) agay,apay,čužmurt,čužmurt,čužmurt,pokcʸi agay,agay,mumɩ,pokcʸi agay,baӡӡɩm (баӟӟым) apay,mumɩ,čužmurt,čužapay,agay
7,0.5109604068194273,2.2589082430425886,1.7479478362231613,čužodig,čužodig,čužodig,"vɩn, eke",čužodig,dʸdʸay,apay,brat,čužodig,apay,čužodig,dʸdʸay,čužodig,čužodig,suzer̃,suzer̃,sestra,čužodig,čužodig,apay,čužodig,čužodig,apay,čužodig,vɩn,apay,apay,čužodig,čužodig,agay,apay,apay,apay,čužodig,apay,čužodig,apay,čužodig,čužodig,čužodig,čužodig,apay,čužodig,čužodig,čužodig,"vɩn, eke",apay,čužodig,apay,agay,brat,"vɩn, eke",čužodig,čužodig,apay,čužodig,čužodig,apay,čužodig,čužodig,dʸdʸay,čužodig,apay,apay,čužodig,čužodig,čužodig,čužodig,čužodig,sestra,apay,apay,čužodig,apay,dʸdʸay,čužodig,vɩn,"vɩn, eke",čužapay,čužapay,apay,čužaka,baӡӡɩm (баӟӟым) apay,čužapay,apay,čužaka,pokcʸi apay,pokcʸi agay,agay,čužmurt,baӡӡɩm (баӟӟым) apay,baӡӡɩm (баӟӟым) agay,mumɩ,čužapay,pokcʸi agay,ayɩ,čužmurt,čužmurt,baӡӡɩm (баӟӟым) agay,mumɩ,ayɩ,čužmurt,čužmurt,pokcʸi apay,čužmurt,agay
8,0.440364974904738,2.3099560689568484,1.8695910940521103,čužodig,čužodig,čužodig,apay,čužodig,čužodig,apay,čužodig,čužodig,čužodig,apay,sestra,čužodig,čužodig,čužodig,čužodig,brat,čužodig,vɩn,dʸdʸay,agay,čužodig,agay,čužodig,čužodig,čužodig,"vɩn, eke",čužodig,apay,čužodig,suzer̃,čužodig,brat,čužodig,čužodig,apay,čužodig,"vɩn, eke","vɩn, eke",čužodig,apay,čužodig,apay,apay,čužodig,čužodig,suzer̃,apay,čužodig,čužodig,čužodig,čužodig,vɩn,čužodig,čužodig,apay,dʸdʸay,apay,apay,sestra,čužodig,apay,apay,čužodig,apay,"vɩn, eke",apay,čužodig,čužodig,apay,čužodig,apay,čužodig,dʸdʸay,apay,apay,dʸdʸay,apay,čužmurt,agay,pokcʸi agay,ayɩ,pokcʸi apay,baӡӡɩm (баӟӟым) apay,agay,ayɩ,mumɩ,čužmurt,čužmurt,čužapay,baӡӡɩm (баӟӟым) agay,čužapay,čužaka,čužmurt,pokcʸi agay,čužapay,čužaka,čužmurt,baӡӡɩm (баӟӟым) agay,čužmurt,apay,apay,mumɩ,baӡӡɩm (баӟӟым) apay,čužapay,pokcʸi apay
9,0.4102178216459267,2.2368367436658807,1.826618922019954,apay,apay,čužodig,apay,čužodig,dʸdʸay,čužodig,čužodig,apay,čužodig,čužodig,apay,čužodig,čužodig,čužodig,suzer̃,čužodig,čužodig,čužodig,čužodig,čužodig,čužodig,"vɩn, eke",čužodig,čužodig,apay,čužodig,dʸdʸay,apay,čužodig,"vɩn, eke",čužodig,čužodig,apay,apay,vɩn,apay,čužodig,čužodig,apay,apay,čužodig,"vɩn, eke",brat,čužodig,vɩn,čužodig,čužodig,suzer̃,apay,čužodig,apay,apay,brat,čužodig,sestra,dʸdʸay,apay,čužodig,čužodig,apay,apay,apay,čužodig,čužodig,čužodig,agay,apay,dʸdʸay,čužodig,sestra,čužodig,čužodig,"vɩn, eke",agay,čužodig,apay,čužodig,čužmurt,baӡӡɩm (баӟӟым) agay,pokcʸi agay,agay,čužapay,pokcʸi apay,čužmurt,čužmurt,agay,baӡӡɩm (баӟӟым) agay,pokcʸi apay,čužapay,ayɩ,baӡӡɩm (баӟӟым) apay,čužmurt,apay,ayɩ,čužaka,apay,čužapay,čužmurt,baӡӡɩm (баӟӟым) apay,čužapay,mumɩ,pokcʸi agay,čužmurt,čužaka,mumɩ
