simulation_number,mutual_information,entropy,conditional_entropy,fyB,meB,myB,feZ,fyZ,meZ,myZ,fFBS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fM,mM,fF,mF,fFeB,fFyB,fMeB,fMyB,mFeB,mFyB,mMeB,mMyB,fFeZ,fFyZ,fMeZ,fMyZ,mFeZ,mFyZ,mMeZ,mMyZ
0,0.4614395561868134,1.7173082764094367,1.2558687202226233,mehkǘ-mahkó,hõ,mehkǘ-mahkǘ,baü,baü,bayó,mehkǘ-mahkó,hõ,mehkǘ-mahkó,mehkó-mahkǘ,mehkǘ-mahkó,hwü̃,hõ,bayó,bayó,mehkǘ-mahkó,baü,hwü̃,báü,hõ,bayó,baü,mehkǘ-mahkó,mehkó-mahkǘ,mehkǘ-mahkó,hwü̃,mehkǘ-mahkó,mehkó-mahkǘ,mehkǘ-mahkǘ,mehkó-mahkǘ,hwü̃,bayó,báü,hõ,mehkǘ-mahkǘ,báü,hõ,mehkǘ-mahkǘ,baü,baü,hwü̃,bügó,bügó,mehkó,mehkó,kako,kakü,bügü,kakü,bügü,bügü,mehkó,mehkǘ,kako,bügó,mehkǘ,mehkó,bügó,mehkǘ,bügü,mehkǘ
1,0.4582093086389236,1.743769101353216,1.2855597927142923,baü,mehkǘ-mahkó,báü,hõ,mehkó-mahkǘ,baü,mehkǘ-mahkó,báü,hõ,hõ,bayó,hwü̃,mehkǘ-mahkó,mehkǘ-mahkó,mehkǘ-mahkǘ,bayó,baü,baü,baü,mehkǘ-mahkó,hwü̃,mehkó-mahkǘ,mehkó-mahkǘ,báü,mehkó-mahkǘ,mehkǘ-mahkǘ,mehkǘ-mahkó,mehkǘ-mahkó,mehkǘ-mahkǘ,hõ,baü,bayó,hõ,hõ,bayó,mehkǘ-mahkó,hwü̃,hwü̃,hwü̃,bayó,mehkǘ-mahkǘ,bügü,bügó,mehkǘ,bügü,mehkǘ,mehkó,mehkó,kakü,mehkó,bügü,bügó,mehkǘ,kako,mehkǘ,bügó,mehkó,kako,bügü,bügó,kakü
2,0.5609546997656025,1.7546798950453013,1.1937251952796988,hõ,mehkó-mahkǘ,bayó,baü,mehkó-mahkǘ,mehkó-mahkǘ,hwü̃,mehkǘ-mahkǘ,hõ,mehkǘ-mahkǘ,bayó,baü,mehkó-mahkǘ,báü,hõ,mehkǘ-mahkó,hõ,báü,hwü̃,bayó,baü,mehkǘ-mahkǘ,baü,mehkǘ-mahkó,bayó,mehkǘ-mahkó,baü,hwü̃,hwü̃,mehkǘ-mahkó,báü,hõ,baü,mehkǘ-mahkó,mehkǘ-mahkó,bayó,mehkǘ-mahkǘ,hwü̃,mehkǘ-mahkó,hõ,mehkǘ-mahkó,bügü,kako,mehkó,bügü,mehkó,mehkǘ,mehkó,bügü,kako,bügó,bügó,mehkǘ,bügó,mehkǘ,kakü,mehkǘ,kakü,bügó,mehkó,bügü
3,0.41049758854129736,1.7424857827187215,1.331988194177424,báü,báü,mehkǘ-mahkǘ,baü,hwü̃,mehkǘ-mahkó,mehkó-mahkǘ,bayó,mehkǘ-mahkǘ,bayó,baü,mehkǘ-mahkó,hõ,mehkó-mahkǘ,hwü̃,hwü̃,báü,mehkǘ-mahkǘ,hõ,mehkǘ-mahkǘ,hõ,baü,baü,mehkǘ-mahkó,hwü̃,mehkǘ-mahkó,hwü̃,hõ,mehkó-mahkǘ,mehkǘ-mahkó,hõ,bayó,baü,baü,mehkǘ-mahkó,hõ,mehkǘ-mahkó,mehkó-mahkǘ,mehkǘ-mahkó,bayó,bayó,bügü,mehkó,mehkǘ,mehkó,mehkó,bügó,kako,bügü,mehkǘ,bügü,bügó,bügó,kakü,bügü,mehkǘ,mehkǘ,kako,mehkó,bügó,kakü
4,0.5556475063443418,1.7546798950453013,1.1990323887009595,bayó,báü,mehkǘ-mahkó,hwü̃,mehkó-mahkǘ,hõ,mehkǘ-mahkó,hõ,báü,mehkó-mahkǘ,bayó,hõ,mehkó-mahkǘ,hõ,hõ,bayó,hwü̃,hwü̃,baü,báü,hõ,mehkǘ-mahkó,mehkǘ-mahkó,baü,mehkó-mahkǘ,baü,mehkǘ-mahkó,baü,bayó,mehkǘ-mahkó,bayó,baü,mehkǘ-mahkó,baü,hwü̃,hwü̃,mehkǘ-mahkǘ,mehkǘ-mahkǘ,mehkǘ-mahkó,mehkǘ-mahkǘ,mehkǘ-mahkǘ,mehkǘ,mehkó,bügü,kako,mehkǘ,bügó,kako,mehkó,mehkǘ,mehkó,mehkó,bügü,kakü,bügó,kakü,bügü,bügü,bügó,bügó,mehkǘ
5,0.4855254069778496,1.743769101353216,1.2582436943753663,mehkǘ-mahkó,mehkó-mahkǘ,mehkǘ-mahkó,baü,hõ,hõ,mehkǘ-mahkó,baü,baü,mehkǘ-mahkó,hwü̃,mehkó-mahkǘ,báü,hõ,hõ,báü,mehkǘ-mahkó,bayó,mehkó-mahkǘ,baü,bayó,mehkǘ-mahkǘ,mehkǘ-mahkǘ,mehkǘ-mahkǘ,bayó,baü,hõ,hwü̃,baü,hwü̃,mehkó-mahkǘ,mehkǘ-mahkó,hwü̃,bayó,bayó,mehkǘ-mahkó,mehkǘ-mahkó,báü,mehkǘ-mahkǘ,hõ,hwü̃,bügü,mehkó,bügó,bügü,bügü,mehkǘ,kako,mehkó,bügü,mehkǘ,kakü,mehkó,bügó,bügó,mehkǘ,mehkǘ,bügó,kakü,kako,mehkó
6,0.42865694834914536,1.746676847664922,1.3180198993157766,báü,báü,hõ,mehkǘ-mahkǘ,mehkó-mahkǘ,mehkó-mahkǘ,bayó,baü,hõ,báü,bayó,baü,mehkó-mahkǘ,mehkǘ-mahkó,hwü̃,mehkǘ-mahkó,baü,hõ,mehkǘ-mahkǘ,hwü̃,hõ,mehkǘ-mahkó,bayó,baü,hwü̃,mehkǘ-mahkó,mehkǘ-mahkǘ,hwü̃,baü,hõ,hõ,mehkǘ-mahkǘ,bayó,mehkǘ-mahkó,mehkó-mahkǘ,bayó,baü,mehkǘ-mahkó,mehkǘ-mahkó,mehkǘ-mahkó,hwü̃,kako,bügü,mehkǘ,bügó,bügó,bügó,mehkǘ,mehkó,mehkó,kako,mehkó,bügü,mehkǘ,bügü,bügü,kakü,mehkó,kakü,bügó,mehkǘ
7,0.4961021273081394,1.754679895045301,1.2585777677371617,baü,mehkǘ-mahkó,mehkó-mahkǘ,baü,bayó,mehkǘ-mahkǘ,hõ,hwü̃,mehkǘ-mahkó,baü,baü,mehkǘ-mahkǘ,báü,bayó,mehkǘ-mahkó,hwü̃,bayó,mehkó-mahkǘ,bayó,mehkǘ-mahkǘ,mehkǘ-mahkó,báü,mehkǘ-mahkó,baü,mehkǘ-mahkǘ,hõ,mehkó-mahkǘ,hõ,hwü̃,mehkó-mahkǘ,baü,mehkǘ-mahkó,hwü̃,bayó,hõ,mehkǘ-mahkó,báü,mehkǘ-mahkó,hõ,hõ,hwü̃,mehkǘ,bügó,bügó,kakü,bügó,mehkǘ,kakü,mehkó,bügü,kako,mehkó,kako,mehkó,mehkǘ,bügü,bügó,mehkǘ,bügü,mehkó,bügü
8,0.5490594328019422,1.743769101353216,1.1947096685512737,bayó,baü,hwü̃,mehkǘ-mahkó,mehkǘ-mahkǘ,mehkǘ-mahkó,baü,báü,hõ,hwü̃,hõ,báü,mehkǘ-mahkó,mehkó-mahkǘ,mehkǘ-mahkó,báü,hõ,baü,hwü̃,bayó,baü,mehkǘ-mahkǘ,bayó,bayó,mehkó-mahkǘ,baü,bayó,mehkǘ-mahkó,mehkǘ-mahkó,mehkǘ-mahkó,mehkó-mahkǘ,baü,hõ,hõ,mehkǘ-mahkǘ,hõ,mehkǘ-mahkó,hwü̃,mehkó-mahkǘ,mehkǘ-mahkǘ,hwü̃,kako,bügü,bügó,bügó,mehkǘ,mehkó,mehkó,bügü,mehkó,kakü,bügó,bügó,mehkó,kako,bügü,mehkǘ,mehkǘ,mehkǘ,kakü,bügü
9,0.5039985219114922,1.746676847664922,1.2426783257534297,báü,baü,baü,mehkǘ-mahkó,mehkǘ-mahkó,hõ,mehkó-mahkǘ,bayó,mehkǘ-mahkǘ,hwü̃,mehkó-mahkǘ,mehkǘ-mahkǘ,bayó,hõ,hõ,mehkǘ-mahkó,mehkǘ-mahkó,bayó,báü,hwü̃,bayó,mehkó-mahkǘ,baü,baü,baü,bayó,hõ,mehkó-mahkǘ,hwü̃,báü,hõ,mehkǘ-mahkǘ,mehkǘ-mahkǘ,hõ,hwü̃,hwü̃,baü,mehkǘ-mahkó,mehkǘ-mahkó,mehkǘ-mahkó,mehkǘ-mahkó,kakü,bügó,bügü,bügü,bügó,bügó,bügü,mehkǘ,kako,mehkǘ,kakü,mehkó,kako,mehkó,mehkó,bügó,bügü,mehkó,mehkǘ,mehkǘ
