simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.07423383105433001,1.1032634988483543,1.0290296677940243,sestrii,sestrii,sestrii,sestrii,bratan,bratan,sestrii,čižoi,sizar,bratan,sestrii,bratan,bratan,čižoi,sestrii,sestrii,bratan,sestrii,bratan,bratan,sestrii,sestrii,bratan,sestrii,sestrii,bratan,bratan,sestrii,bratan,bratan,bratan,sizar,bratan,bratan,bratan,sestrii,sestrii,sestrii,čižoi,čižoi,bratan,bratan,bratan,sestrii,sestrii,ve|l'l',sestrii,sestrii,sestrii,bratan,ve|l'l',ve|l'l',ve|l'l',sestrii,bratan,sestrii,bratan,bratan,bratan,sestrii,sestrii,sestrii,bratan,sestrii,bratan,bratan,bratan,bratan,bratan,bratan,bratan,bratan,bratan,sestrii,sestrii,bratan,sestrii,bratan,ve|l'l',bratan,bratan,tädi,däd’,däd’,tädi,däd’,mam,tädi,tädi,däd’,tat,mam,däd’,tädi,däd’,tädi,däd’,tat,däd’,tädi,däd’,tädi,däd’,däd’,tädi,tädi,däd’,tädi,tädi
1,0.1120023045348788,1.1018007737255724,0.9897984691906936,bratan,bratan,sestrii,sestrii,sestrii,čižoi,sestrii,bratan,sestrii,bratan,sestrii,bratan,sestrii,sestrii,sestrii,bratan,bratan,sestrii,bratan,bratan,bratan,čižoi,bratan,bratan,sestrii,sestrii,čižoi,ve|l'l',bratan,sestrii,ve|l'l',sestrii,bratan,bratan,bratan,bratan,bratan,sizar,bratan,bratan,sestrii,bratan,sestrii,sestrii,ve|l'l',bratan,bratan,bratan,sestrii,sestrii,sestrii,sestrii,bratan,sestrii,bratan,sestrii,sizar,sestrii,bratan,sestrii,bratan,ve|l'l',bratan,bratan,ve|l'l',sestrii,sestrii,bratan,sestrii,bratan,sestrii,čižoi,bratan,bratan,bratan,bratan,sestrii,bratan,sestrii,bratan,bratan,däd’,däd’,däd’,tädi,tädi,däd’,däd’,tädi,tädi,däd’,däd’,tädi,däd’,tat,däd’,tädi,tädi,däd’,mam,tädi,däd’,däd’,tädi,tädi,tat,mam,tädi,tädi
2,0.10676954403996874,1.1032634988483543,0.9964939548083855,bratan,bratan,bratan,bratan,čižoi,sestrii,bratan,sizar,bratan,bratan,ve|l'l',čižoi,sestrii,bratan,sestrii,sestrii,bratan,bratan,sestrii,bratan,sestrii,sestrii,bratan,sestrii,sestrii,bratan,čižoi,sestrii,bratan,sestrii,bratan,sestrii,bratan,ve|l'l',bratan,bratan,sestrii,ve|l'l',bratan,sestrii,bratan,sestrii,bratan,bratan,bratan,bratan,bratan,sestrii,sestrii,sestrii,bratan,sestrii,bratan,sestrii,sestrii,ve|l'l',sestrii,bratan,bratan,bratan,bratan,bratan,sestrii,bratan,bratan,bratan,čižoi,sestrii,sestrii,sestrii,bratan,sestrii,sestrii,sizar,bratan,bratan,sestrii,sestrii,sestrii,ve|l'l',bratan,tädi,däd’,däd’,däd’,däd’,mam,tädi,mam,däd’,däd’,tädi,tädi,däd’,tädi,tädi,tädi,däd’,däd’,tädi,tat,däd’,däd’,tädi,tädi,tädi,tädi,däd’,tat
3,0.0914010472495086,1.1177737084043176,1.026372661154809,bratan,sestrii,sestrii,sestrii,sestrii,bratan,bratan,bratan,bratan,bratan,sestrii,sestrii,sestrii,bratan,bratan,bratan,ve|l'l',sestrii,sestrii,bratan,ve|l'l',sestrii,bratan,sestrii,sestrii,bratan,bratan,sestrii,sestrii,sestrii,bratan,sestrii,sestrii,ve|l'l',sestrii,sestrii,bratan,sestrii,bratan,sestrii,bratan,bratan,bratan,sestrii,bratan,sestrii,bratan,bratan,ve|l'l',sestrii,čižoi,sestrii,bratan,bratan,čižoi,sestrii,bratan,čižoi,bratan,bratan,bratan,bratan,sestrii,ve|l'l',bratan,bratan,sestrii,bratan,bratan,bratan,bratan,bratan,sestrii,sizar,sizar,sestrii,bratan,bratan,čižoi,bratan,sestrii,däd’,däd’,däd’,mam,tädi,däd’,tädi,tädi,mam,däd’,tädi,tat,tädi,däd’,däd’,däd’,tädi,tädi,tat,däd’,tädi,tädi,tädi,däd’,tädi,däd’,tädi,däd’
4,0.05959865918503815,1.1030205215636926,1.0434218623786544,bratan,bratan,sestrii,bratan,čižoi,sestrii,sestrii,sestrii,sestrii,sestrii,sestrii,bratan,bratan,sestrii,bratan,bratan,bratan,sestrii,ve|l'l',bratan,bratan,bratan,sestrii,bratan,sestrii,bratan,sestrii,sizar,bratan,sestrii,bratan,bratan,ve|l'l',sestrii,sestrii,bratan,bratan,sestrii,sestrii,bratan,čižoi,sestrii,bratan,bratan,bratan,bratan,sestrii,čižoi,bratan,bratan,sestrii,sizar,sestrii,bratan,bratan,bratan,bratan,sestrii,ve|l'l',bratan,bratan,čižoi,sestrii,bratan,bratan,bratan,sestrii,sestrii,sestrii,bratan,sestrii,sestrii,sestrii,bratan,bratan,sestrii,ve|l'l',bratan,ve|l'l',sestrii,bratan,tädi,däd’,däd’,mam,däd’,tat,tädi,tädi,däd’,däd’,tädi,tädi,tädi,däd’,däd’,däd’,tädi,däd’,tädi,däd’,tat,däd’,tädi,mam,tädi,däd’,tädi,tädi
5,0.1039699247463658,1.1008285888157967,0.9968586640694309,sestrii,bratan,bratan,bratan,sestrii,bratan,bratan,bratan,sestrii,bratan,bratan,bratan,bratan,ve|l'l',sestrii,sestrii,bratan,sestrii,sestrii,bratan,ve|l'l',sestrii,čižoi,čižoi,sestrii,sestrii,bratan,bratan,bratan,bratan,sestrii,bratan,bratan,bratan,sestrii,bratan,bratan,sizar,sestrii,sestrii,sestrii,čižoi,sestrii,bratan,sestrii,bratan,bratan,bratan,sestrii,sestrii,bratan,bratan,sestrii,sestrii,bratan,ve|l'l',sestrii,sestrii,bratan,sestrii,bratan,sestrii,bratan,ve|l'l',bratan,bratan,sizar,bratan,sestrii,sestrii,čižoi,bratan,sestrii,bratan,sestrii,sestrii,bratan,bratan,sestrii,bratan,ve|l'l',tädi,däd’,tädi,däd’,tädi,mam,däd’,tädi,tädi,tädi,tädi,däd’,tädi,tat,däd’,däd’,mam,tädi,däd’,däd’,tat,tädi,däd’,däd’,däd’,däd’,tädi,tädi
6,0.04268792503727625,1.1207278656133886,1.0780399405761123,bratan,bratan,bratan,sestrii,bratan,sestrii,bratan,bratan,bratan,sestrii,sestrii,sestrii,bratan,bratan,bratan,bratan,bratan,sestrii,sestrii,bratan,sestrii,čižoi,bratan,bratan,bratan,bratan,bratan,sestrii,ve|l'l',sestrii,bratan,bratan,bratan,bratan,ve|l'l',sestrii,bratan,sestrii,bratan,bratan,bratan,sestrii,ve|l'l',sestrii,sizar,bratan,ve|l'l',sestrii,čižoi,sestrii,bratan,sestrii,bratan,sestrii,bratan,sizar,sestrii,sestrii,ve|l'l',bratan,sestrii,sestrii,bratan,sestrii,sestrii,sestrii,sestrii,bratan,bratan,čižoi,bratan,bratan,sestrii,sestrii,bratan,bratan,čižoi,sestrii,sestrii,sestrii,bratan,däd’,mam,däd’,däd’,tädi,däd’,tädi,däd’,tat,däd’,tädi,tädi,tädi,tädi,tädi,däd’,tädi,däd’,tädi,tat,däd’,däd’,tädi,däd’,mam,däd’,tädi,tädi
7,0.042561858645187245,1.062265158465483,1.0197032998202957,sizar,čižoi,bratan,bratan,ve|l'l',sestrii,bratan,ve|l'l',bratan,bratan,bratan,čižoi,sestrii,bratan,sestrii,bratan,sestrii,sestrii,čižoi,bratan,sestrii,bratan,sestrii,sestrii,sestrii,bratan,bratan,sestrii,ve|l'l',sestrii,bratan,bratan,sestrii,sestrii,sestrii,sestrii,bratan,sestrii,sestrii,sestrii,sestrii,bratan,bratan,sestrii,bratan,bratan,sestrii,sestrii,bratan,ve|l'l',bratan,sestrii,bratan,bratan,sestrii,bratan,bratan,bratan,bratan,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan,bratan,bratan,čižoi,bratan,sestrii,bratan,sestrii,bratan,bratan,ve|l'l',bratan,sizar,sestrii,däd’,däd’,däd’,tat,tädi,mam,däd’,däd’,däd’,tädi,däd’,däd’,däd’,tädi,tädi,tädi,tädi,tädi,tädi,tädi,däd’,tat,tädi,tädi,däd’,däd’,tädi,mam
8,0.04880139312072762,1.083613126772249,1.0348117336515215,ve|l'l',sestrii,bratan,sestrii,sestrii,bratan,ve|l'l',sestrii,bratan,bratan,sestrii,bratan,sestrii,bratan,bratan,bratan,bratan,sestrii,sestrii,bratan,ve|l'l',sestrii,bratan,sestrii,bratan,čižoi,sestrii,sizar,čižoi,bratan,bratan,sestrii,bratan,bratan,sestrii,sestrii,sestrii,ve|l'l',bratan,sestrii,sestrii,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan,bratan,sestrii,bratan,sizar,ve|l'l',bratan,bratan,čižoi,sestrii,sestrii,bratan,bratan,bratan,bratan,bratan,sestrii,bratan,bratan,bratan,sestrii,sestrii,bratan,bratan,bratan,sestrii,čižoi,sestrii,sestrii,bratan,däd’,däd’,däd’,däd’,tädi,tädi,däd’,tädi,tat,däd’,mam,tädi,tädi,mam,däd’,tädi,tat,tädi,tädi,däd’,tädi,tädi,däd’,däd’,tädi,däd’,däd’,tädi
9,0.1728487808579966,1.135950308988087,0.9631015281300903,bratan,sestrii,bratan,bratan,ve|l'l',bratan,bratan,bratan,sestrii,bratan,bratan,bratan,sestrii,bratan,sestrii,bratan,sestrii,bratan,čižoi,bratan,bratan,bratan,čižoi,bratan,sestrii,ve|l'l',sestrii,bratan,sestrii,bratan,sestrii,sestrii,sestrii,ve|l'l',sestrii,sestrii,sizar,ve|l'l',bratan,bratan,sestrii,sestrii,bratan,sestrii,sestrii,sestrii,sizar,bratan,sestrii,bratan,bratan,sestrii,sestrii,čižoi,bratan,bratan,sestrii,sestrii,sestrii,ve|l'l',sestrii,bratan,sestrii,bratan,bratan,bratan,sestrii,bratan,bratan,bratan,sestrii,bratan,sestrii,čižoi,bratan,sestrii,sestrii,bratan,bratan,bratan,bratan,mam,tädi,tädi,däd’,tädi,tädi,däd’,däd’,tädi,däd’,tädi,däd’,tädi,mam,däd’,däd’,däd’,tädi,tat,tädi,tädi,däd’,tädi,däd’,tat,tädi,däd’,däd’
