simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,fyZ,mFBS,mFZS,mMBS,mMZS,mMBD,fFBS,fFZS,fMBS,fMZS,fMBD,mFeBS,mFyBS,mFeZS,mFyZS,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mFBeS,mFByS,mFZeS,mFZyS,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,fFeBS,fFyBS,fFeZS,fFyZS,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fFBeS,fFByS,fFZeS,fFZyS,fMBeS,fMByS,fMZyS,fMBeD,fMByD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.22108808961350268,1.18030455699462,0.9592164673811173,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu",nötin mätuän,nötin mätuän,nötin mätuän,nötin mätuän,tasi-n,nötin mätuän,tasi-n,nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu","tutuʃän, tutu",nötin mätuän,tasi-n,tasi-n,nötin mätuän,tasi-n,nötin mätuän,"tasi-n, tutuʃän, tutu",nötin mätuän,tasi-n,"tasi-n, tutuʃän, tutu",tasi-n,tasi-n,nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",nötin mätuän,tasi-n,nötin mätuän,nötin mätuän,"tasi-n, tutuʃän, tutu",nötin mätuän,nötin mätuän,nötin mätuän,tasi-n,tasi-n,nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",tasi-n,"tasi-n, tutuʃän, tutu",tasi-n,mätuän,mirä-,mätuän,"tlmä-n, te",mirä-,"tlmä-n, te",te,"tlmä-n, te",mirä-,"tlmä-n, te",mirä-,mirä-,mirä-,mirä-,mätuän,mirä-,mirä-,mirä-,mätuän,te
1,0.2064226026956607,1.18030455699462,0.9738819542989593,tasi-n,nötin mätuän,tasi-n,tasi-n,nötin mätuän,nötin mätuän,"tasi-n, tutuʃän, tutu",tasi-n,nötin mätuän,nötin mätuän,tasi-n,nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",nötin mätuän,tasi-n,tasi-n,nötin mätuän,"tasi-n, tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu",nötin mätuän,nötin mätuän,"tasi-n, tutuʃän, tutu",tasi-n,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",nötin mätuän,tasi-n,"tasi-n, tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu","tutuʃän, tutu","tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu",tasi-n,nötin mätuän,tasi-n,"tasi-n, tutuʃän, tutu",nötin mätuän,tasi-n,nötin mätuän,nötin mätuän,"tasi-n, tutuʃän, tutu",nötin mätuän,tasi-n,mätuän,mirä-,"tlmä-n, te",mirä-,mätuän,te,"tlmä-n, te",mirä-,mätuän,mirä-,mirä-,mirä-,mirä-,"tlmä-n, te",mirä-,te,"tlmä-n, te",mirä-,mirä-,mätuän
2,0.10239378799990662,1.157373298222901,1.0549795102229944,"tasi-n, tutuʃän, tutu",nötin mätuän,nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",nötin mätuän,nötin mätuän,"tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu",tasi-n,nötin mätuän,nötin mätuän,"tasi-n, tutuʃän, tutu",tasi-n,tasi-n,nötin mätuän,tasi-n,nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",tasi-n,nötin mätuän,"tasi-n, tutuʃän, tutu",tasi-n,nötin mätuän,"tasi-n, tutuʃän, tutu",tasi-n,nötin mätuän,"tasi-n, tutuʃän, tutu",tasi-n,tasi-n,nötin mätuän,tasi-n,nötin mätuän,tasi-n,nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu",nötin mätuän,tasi-n,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu",nötin mätuän,nötin mätuän,tasi-n,mirä-,mätuän,"tlmä-n, te",mirä-,"tlmä-n, te",mätuän,mirä-,mirä-,mirä-,te,te,"tlmä-n, te","tlmä-n, te",mätuän,mätuän,mirä-,mirä-,mirä-,mirä-,mirä-
3,0.2274398741599809,1.18030455699462,0.9528646828346391,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",nötin mätuän,tasi-n,"tasi-n, tutuʃän, tutu",tasi-n,tasi-n,nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",nötin mätuän,nötin mätuän,"tasi-n, tutuʃän, tutu",nötin mätuän,nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",tasi-n,tasi-n,"tasi-n, tutuʃän, tutu",nötin mätuän,tasi-n,tasi-n,nötin mätuän,tasi-n,nötin mätuän,"tasi-n, tutuʃän, tutu",nötin mätuän,nötin mätuän,nötin mätuän,tasi-n,nötin mätuän,"tasi-n, tutuʃän, tutu",tasi-n,tasi-n,"tasi-n, tutuʃän, tutu",tasi-n,"tutuʃän, tutu","tasi-n, tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu",nötin mätuän,nötin mätuän,nötin mätuän,nötin mätuän,nötin mätuän,"tasi-n, tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",tasi-n,mirä-,mirä-,mätuän,"tlmä-n, te","tlmä-n, te",mirä-,mirä-,mirä-,mirä-,mirä-,te,mirä-,mirä-,te,"tlmä-n, te",mätuän,mirä-,mätuän,mätuän,"tlmä-n, te"
4,0.10145427676373853,1.103432909638192,1.0019786328744535,nötin mätuän,nötin mätuän,tasi-n,"tasi-n, tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu",tasi-n,nötin mätuän,nötin mätuän,"tasi-n, tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",nötin mätuän,tasi-n,nötin mätuän,nötin mätuän,"tasi-n, tutuʃän, tutu",nötin mätuän,tasi-n,tasi-n,"tasi-n, tutuʃän, tutu",tasi-n,tasi-n,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",nötin mätuän,nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu",tasi-n,"tasi-n, tutuʃän, tutu",tasi-n,tasi-n,nötin mätuän,tasi-n,tasi-n,nötin mätuän,"tasi-n, tutuʃän, tutu",nötin mätuän,"tutuʃän, tutu","tasi-n, tutuʃän, tutu",tasi-n,"tasi-n, tutuʃän, tutu",nötin mätuän,nötin mätuän,mätuän,mirä-,mirä-,mirä-,"tlmä-n, te",mirä-,mätuän,mätuän,"tlmä-n, te","tlmä-n, te","tlmä-n, te",te,mirä-,mätuän,mirä-,te,mirä-,mirä-,mirä-,mirä-
5,0.1383195979141849,1.2123138802671547,1.0739942823529698,tasi-n,"tasi-n, tutuʃän, tutu",nötin mätuän,nötin mätuän,"tasi-n, tutuʃän, tutu",tasi-n,tasi-n,tasi-n,"tasi-n, tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu",nötin mätuän,tasi-n,"tasi-n, tutuʃän, tutu",nötin mätuän,nötin mätuän,nötin mätuän,tasi-n,"tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",tasi-n,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",nötin mätuän,nötin mätuän,nötin mätuän,tasi-n,"tasi-n, tutuʃän, tutu",nötin mätuän,nötin mätuän,tasi-n,nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",nötin mätuän,nötin mätuän,nötin mätuän,tasi-n,"tasi-n, tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu",tasi-n,"tasi-n, tutuʃän, tutu",tasi-n,nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",tasi-n,nötin mätuän,"tlmä-n, te",mätuän,mätuän,mirä-,mirä-,mirä-,mirä-,mätuän,"tlmä-n, te","tlmä-n, te",mirä-,te,mirä-,mätuän,mirä-,te,mirä-,"tlmä-n, te",mirä-,mirä-
6,0.16244013560767556,1.1246702892376168,0.9622301536299412,tasi-n,nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",nötin mätuän,tasi-n,"tutuʃän, tutu",nötin mätuän,tasi-n,nötin mätuän,nötin mätuän,tasi-n,"tasi-n, tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",tasi-n,tasi-n,tasi-n,nötin mätuän,nötin mätuän,"tasi-n, tutuʃän, tutu",tasi-n,"tasi-n, tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu",tasi-n,tasi-n,nötin mätuän,nötin mätuän,nötin mätuän,tasi-n,"tasi-n, tutuʃän, tutu",nötin mätuän,nötin mätuän,nötin mätuän,"tasi-n, tutuʃän, tutu",tasi-n,nötin mätuän,tasi-n,"tasi-n, tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",mätuän,"tlmä-n, te",mirä-,mätuän,mirä-,te,mirä-,te,mirä-,mirä-,"tlmä-n, te","tlmä-n, te",mirä-,mirä-,mätuän,mätuän,"tlmä-n, te",mirä-,mirä-,mirä-
7,0.12118925375859102,1.2281058514681364,1.1069165977095454,nötin mätuän,"tutuʃän, tutu",tasi-n,nötin mätuän,nötin mätuän,nötin mätuän,nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",tasi-n,tasi-n,nötin mätuän,"tasi-n, tutuʃän, tutu",tasi-n,nötin mätuän,nötin mätuän,"tasi-n, tutuʃän, tutu",tasi-n,nötin mätuän,nötin mätuän,"tasi-n, tutuʃän, tutu",tasi-n,tasi-n,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",nötin mätuän,nötin mätuän,"tasi-n, tutuʃän, tutu",nötin mätuän,tasi-n,"tasi-n, tutuʃän, tutu",tasi-n,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu",nötin mätuän,tasi-n,nötin mätuän,tasi-n,nötin mätuän,"tasi-n, tutuʃän, tutu",nötin mätuän,tasi-n,nötin mätuän,"tasi-n, tutuʃän, tutu",tasi-n,"tasi-n, tutuʃän, tutu",te,mätuän,"tlmä-n, te",mirä-,mätuän,"tlmä-n, te",mirä-,mirä-,mirä-,"tlmä-n, te",te,mirä-,mirä-,mirä-,mirä-,mirä-,mätuän,mätuän,"tlmä-n, te",mirä-
8,0.08575254711915103,1.040839837423239,0.955087290304088,nötin mätuän,"tasi-n, tutuʃän, tutu",nötin mätuän,tasi-n,nötin mätuän,nötin mätuän,tasi-n,nötin mätuän,"tasi-n, tutuʃän, tutu",nötin mätuän,tasi-n,"tasi-n, tutuʃän, tutu",tasi-n,"tasi-n, tutuʃän, tutu",tasi-n,nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",nötin mätuän,nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",nötin mätuän,nötin mätuän,tasi-n,tasi-n,nötin mätuän,tasi-n,nötin mätuän,"tutuʃän, tutu",tasi-n,nötin mätuän,nötin mätuän,nötin mätuän,nötin mätuän,nötin mätuän,nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",tasi-n,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",tasi-n,"tasi-n, tutuʃän, tutu",tasi-n,nötin mätuän,tasi-n,"tasi-n, tutuʃän, tutu","tlmä-n, te",mirä-,mirä-,mirä-,te,"tlmä-n, te","tlmä-n, te","tlmä-n, te",mirä-,mätuän,mirä-,mirä-,mätuän,mätuän,mirä-,mätuän,mirä-,mirä-,mirä-,te
9,0.19728001402676543,1.18030455699462,0.9830245429678546,nötin mätuän,"tasi-n, tutuʃän, tutu",nötin mätuän,nötin mätuän,nötin mätuän,"tasi-n, tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu",tasi-n,nötin mätuän,nötin mätuän,"tasi-n, tutuʃän, tutu",tasi-n,"tutuʃän, tutu","tasi-n, tutuʃän, tutu",tasi-n,tasi-n,"tasi-n, tutuʃän, tutu",tasi-n,tasi-n,"tasi-n, tutuʃän, tutu",nötin mätuän,tasi-n,nötin mätuän,"tasi-n, tutuʃän, tutu",nötin mätuän,tasi-n,"tasi-n, tutuʃän, tutu",tasi-n,nötin mätuän,tasi-n,nötin mätuän,nötin mätuän,nötin mätuän,tasi-n,nötin mätuän,nötin mätuän,"tasi-n, tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",nötin mätuän,"tasi-n, tutuʃän, tutu",tasi-n,nötin mätuän,nötin mätuän,"tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu","tasi-n, tutuʃän, tutu",tasi-n,"tasi-n, tutuʃän, tutu",mätuän,mirä-,mätuän,mirä-,mirä-,mirä-,mirä-,"tlmä-n, te",mätuän,mirä-,te,"tlmä-n, te",mirä-,mätuän,"tlmä-n, te",mirä-,"tlmä-n, te",mirä-,mirä-,te
