simulation_number,mutual_information,entropy,conditional_entropy,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.019030827677554374,1.6928768812871862,1.6738460536096318,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yidjul,yidjul,yidjok,yigatck,yigatck,yidac,yidac,yibauk,yidjul,yibauk,yidjul,yidjok,yidjok,yidjok,yigatck,yibauk,yidjul,yidjok,yibauk,yigatck,yibauk,yibauk,yidjok,yidjul,yidokar,yidokar,yigatck,yigatck
1,0.017167854806732663,1.6632269308591188,1.646059076052386,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yigatck,yidokar,yibauk,yigatck,yidac,yidac,yibauk,yigatck,yigatck,yidjul,yidjul,yibauk,yidjul,yigatck,yidjok,yidjok,yidjok,yidjul,yidjul,yidjul,yidjok,yibauk,yidjok,yidokar,yibauk,yibauk,yigatck,yidjok
2,0.019030827677554374,1.7174965223939327,1.6984656947163783,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yigatck,yidjul,yidjul,yibauk,yidokar,yibauk,yigatck,yidjul,yidjul,yidjok,yidjul,yidjul,yibauk,yigatck,yidac,yidjok,yidokar,yidjok,yidac,yibauk,yigatck,yibauk,yibauk,yigatck,yidjok,yidjok,yigatck,yidjok
3,0.017167854806732663,1.7133188740483076,1.696151019241575,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yigatck,yidjul,yidjul,yidjul,yidjul,yidjok,yigatck,yidokar,yigatck,yibauk,yidac,yigatck,yidjok,yibauk,yidjok,yibauk,yidokar,yidjul,yidac,yigatck,yigatck,yibauk,yidjok,yibauk,yidjul,yidjok,yidjok,yibauk
4,0.0347289956862713,1.66302556093968,1.6282965652534087,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yidac,yibauk,yidokar,yidjok,yidjul,yigatck,yigatck,yidjul,yibauk,yibauk,yidjok,yigatck,yibauk,yidokar,yidjul,yigatck,yidjok,yidjok,yibauk,yidjul,yigatck,yigatck,yibauk,yidac,yidjul,yidjok,yidjul,yidjok
5,0.014210436582281272,1.6409945227986786,1.6267840862163974,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yidjul,yigatck,yidjul,yibauk,yidjul,yidjul,yigatck,yidac,yigatck,yibauk,yidjul,yidjul,yidjok,yidokar,yigatck,yibauk,yibauk,yibauk,yidjok,yibauk,yidjok,yidjok,yidjok,yidokar,yigatck,yidac,yidjok,yigatck
6,0.021296140201337188,1.7443733184564592,1.723077178255122,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yidjul,yidjul,yigatck,yibauk,yidjok,yidjok,yidjul,yigatck,yibauk,yidjul,yidjok,yidac,yigatck,yibauk,yigatck,yidjok,yidjok,yidokar,yidokar,yidac,yigatck,yidjok,yigatck,yidjul,yibauk,yibauk,yidjul,yibauk
7,0.017167854806732663,1.7042532832826387,1.687085428475906,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibauk,yidjul,yidjok,yidjul,yigatck,yigatck,yidokar,yibauk,yidjul,yigatck,yibauk,yigatck,yidac,yidac,yidjok,yidjul,yidjul,yibauk,yidjok,yidokar,yibauk,yidjok,yidjul,yidjok,yigatck,yigatck,yidjok,yibauk
8,0.0347289956862713,1.6326696117880668,1.5979406161017955,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yidac,yigatck,yigatck,yidjul,yibauk,yidokar,yibauk,yidjok,yidjok,yigatck,yidac,yidjul,yidjok,yidjok,yidjul,yidokar,yigatck,yibauk,yibauk,yidjok,yigatck,yidjul,yidjul,yibauk,yidjok,yibauk,yidjul,yigatck
9,0.017167854806732663,1.6400521509390398,1.6228842961323071,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibe,yibauk,yibauk,yidjok,yibauk,yidjok,yigatck,yibauk,yidjul,yigatck,yibauk,yidjok,yidac,yigatck,yidjul,yidjok,yidjul,yidjul,yidjok,yibauk,yigatck,yidjul,yidokar,yidjul,yidac,yidokar,yigatck,yidjok,yigatck
