simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFeZ,fFyZ,fMeB,fMyB,mFeB,mFyB,mMeZ,mMyZ,fFeB,fFyB,fMeZ,fMyZ
0,0.09529392089860567,1.7479762745972596,1.652682353698654,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rɨkiet,remiʔuramet,remiʔuramet,remiʔuramet,kɨwɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨpɨʔɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rewiret,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rewɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rekiʔɨt,remiʔuramet,remiʔuramet,kɨwɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rewɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨwɨt,remiʔuramet,remiʔuramet,yaye,yaye,yaye,tutɨt,ɨ,yaye,rup,ruʔwɨt,ɨʔɨt,ruʔwɨt,ruʔwɨt,ɨʔɨt,ɨʔɨt,ruʔwɨt,tutɨt,rup,tutɨt,tutɨt,ɨʔɨt,ɨ
1,0.22813700900110212,1.7479762745972596,1.5198392655961575,remiʔuramet,remiʔuramet,rewiret,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rɨkiet,kɨwɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rekiʔɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨpɨʔɨt,remiʔuramet,rewɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rewɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨwɨt,kɨwɨt,ɨ,tutɨt,ɨʔɨt,tutɨt,rup,yaye,tutɨt,ruʔwɨt,yaye,yaye,ruʔwɨt,ɨʔɨt,ɨʔɨt,ruʔwɨt,tutɨt,ruʔwɨt,ɨ,ɨʔɨt,rup,yaye
2,0.07067527257392214,1.7223690246516663,1.6516937520777442,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rekiʔɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rewiret,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rɨkiet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨwɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨwɨt,remiʔuramet,remiʔuramet,remiʔuramet,rewɨt,kɨwɨt,remiʔuramet,rewɨt,kɨpɨʔɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,tutɨt,yaye,ɨ,ruʔwɨt,yaye,tutɨt,tutɨt,rup,ɨʔɨt,yaye,ɨʔɨt,rup,ɨʔɨt,ruʔwɨt,tutɨt,ruʔwɨt,ɨʔɨt,ɨ,yaye,ruʔwɨt
3,0.14578009847996465,1.7236109459108544,1.5778308474308897,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rɨkiet,remiʔuramet,rewiret,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨwɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rewɨt,rekiʔɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨwɨt,rewɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨpɨʔɨt,remiʔuramet,kɨwɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,tutɨt,ruʔwɨt,ɨʔɨt,tutɨt,yaye,ɨʔɨt,ɨ,ɨʔɨt,yaye,yaye,tutɨt,yaye,ruʔwɨt,ruʔwɨt,tutɨt,ruʔwɨt,rup,rup,ɨ,ɨʔɨt
4,0.14651052523186392,1.7118101920464226,1.5652996668145587,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨwɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rewɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rɨkiet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rewɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rewiret,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨpɨʔɨt,remiʔuramet,remiʔuramet,rekiʔɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨwɨt,remiʔuramet,remiʔuramet,kɨwɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,ruʔwɨt,yaye,tutɨt,ruʔwɨt,ɨʔɨt,ɨʔɨt,ɨʔɨt,yaye,yaye,ɨ,ruʔwɨt,ɨʔɨt,tutɨt,tutɨt,tutɨt,ruʔwɨt,yaye,ɨ,rup,rup
5,0.20016673482975045,1.7492181958564477,1.5490514610266972,remiʔuramet,remiʔuramet,remiʔuramet,rewiret,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rekiʔɨt,remiʔuramet,rɨkiet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨwɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨwɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨpɨʔɨt,remiʔuramet,rewɨt,remiʔuramet,remiʔuramet,rewɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨwɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,ɨ,tutɨt,rup,ɨʔɨt,ruʔwɨt,ɨ,ɨʔɨt,yaye,rup,ɨʔɨt,tutɨt,tutɨt,yaye,yaye,ruʔwɨt,ɨʔɨt,ruʔwɨt,ruʔwɨt,tutɨt,yaye
6,0.08582024374326314,1.7520321439000341,1.666211900156771,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨwɨt,remiʔuramet,remiʔuramet,rewɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨwɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨpɨʔɨt,rekiʔɨt,remiʔuramet,remiʔuramet,rewiret,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨwɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rewɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rɨkiet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,ɨʔɨt,ɨ,ruʔwɨt,yaye,tutɨt,tutɨt,tutɨt,ruʔwɨt,ruʔwɨt,rup,tutɨt,yaye,ɨʔɨt,rup,ɨʔɨt,ɨʔɨt,yaye,ruʔwɨt,ɨ,yaye
7,0.16671452634866024,1.7520321439000341,1.585317617551374,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨpɨʔɨt,remiʔuramet,kɨwɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨwɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rekiʔɨt,remiʔuramet,remiʔuramet,rewɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rewiret,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rɨkiet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rewɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨwɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rup,ɨʔɨt,rup,ɨ,ɨʔɨt,yaye,tutɨt,ruʔwɨt,ruʔwɨt,tutɨt,ɨʔɨt,ruʔwɨt,yaye,tutɨt,ruʔwɨt,yaye,yaye,ɨʔɨt,tutɨt,ɨ
8,0.1806210964036612,1.7520321439000341,1.571411047496373,remiʔuramet,rewɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rewiret,remiʔuramet,remiʔuramet,kɨwɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rɨkiet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rewɨt,remiʔuramet,remiʔuramet,remiʔuramet,kɨpɨʔɨt,remiʔuramet,remiʔuramet,kɨwɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rekiʔɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨwɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,ruʔwɨt,tutɨt,yaye,ruʔwɨt,rup,rup,ɨʔɨt,ɨ,yaye,ɨʔɨt,tutɨt,ruʔwɨt,tutɨt,ɨʔɨt,ɨ,tutɨt,yaye,ɨʔɨt,yaye,ruʔwɨt
9,0.21290773044191913,1.7402313900356023,1.5273236595936832,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rewɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rewɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨpɨʔɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨwɨt,remiʔuramet,remiʔuramet,remiʔuramet,rewiret,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,rɨkiet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨwɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,kɨwɨt,remiʔuramet,remiʔuramet,rekiʔɨt,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,remiʔuramet,tutɨt,yaye,ruʔwɨt,ɨʔɨt,yaye,rup,tutɨt,ruʔwɨt,ruʔwɨt,ɨʔɨt,ɨʔɨt,rup,tutɨt,ɨ,yaye,ɨ,tutɨt,ruʔwɨt,yaye,ɨʔɨt
