simulation_number,mutual_information,entropy,conditional_entropy,mB,meB,myB,fB,feB,fyB,mZ,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fZ,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,mMZ,mMeZ,mMyZ,fMZ,fMeZ,fMyZ
0,0.10079733691452719,1.4422170686727642,1.341419731758237,bratanec,bratanec,brat,bratanec,bratanec,sesternica,sesternica,sesternica,sesternica,brat,bratanec,sesternica,sesternica,sestra,sesternica,bratanec,sestra,sesternica,sesternica,bratanec,bratanec,brat,sesternica,sesternica,sesternica,bratanec,sesternica,sesternica,sesternica,brat,sesternica,bratanec,sesternica,bratanec,bratanec,bratanec,bratanec,sesternica,sesternica,bratanec,sesternica,sesternica,sesternica,sesternica,sesternica,bratanec,bratanec,sestra,bratanec,sesternica,bratanec,bratanec,sesternica,sestra,sesternica,bratanec,sesternica,sestra,sesternica,brat,bratanec,bratanec,bratanec,bratanec,sesternica,bratanec,bratanec,sesternica,sestra,bratanec,bratanec,bratanec,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,brat,bratanec,sesternica,bratanec,sesternica,sesternica,sesternica,bratanec,bratanec,bratanec,bratanec,sesternica,teta,strýko,teta,teta,strýko,strýko,strýko,otec,ujec,strýko,teta,teta,ujec,mať,ujec,otec,teta,teta,teta,teta,teta,ujec,ujec,mať,teta,strýko,teta,ujec
1,0.07329938709095796,1.3681002177897148,1.2948008306987568,sesternica,sesternica,sesternica,sesternica,sesternica,sestra,bratanec,bratanec,sesternica,sesternica,bratanec,sestra,sesternica,bratanec,sesternica,bratanec,sesternica,sesternica,sestra,sesternica,sesternica,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,bratanec,sesternica,bratanec,brat,sesternica,bratanec,bratanec,bratanec,bratanec,sesternica,bratanec,bratanec,sestra,sestra,sesternica,bratanec,sestra,sesternica,sesternica,sesternica,sesternica,bratanec,brat,bratanec,bratanec,bratanec,bratanec,bratanec,sesternica,sesternica,bratanec,sesternica,bratanec,sesternica,sesternica,sesternica,bratanec,sesternica,bratanec,sesternica,sesternica,bratanec,brat,bratanec,brat,bratanec,sesternica,brat,sesternica,bratanec,sesternica,bratanec,bratanec,bratanec,bratanec,bratanec,bratanec,brat,sesternica,bratanec,sesternica,sesternica,bratanec,ujec,strýko,teta,teta,ujec,teta,strýko,teta,teta,otec,teta,mať,strýko,teta,ujec,teta,teta,ujec,teta,strýko,otec,ujec,strýko,teta,mať,strýko,teta,ujec
2,0.12593940220475708,1.3901760348462329,1.2642366326414758,sesternica,bratanec,sesternica,bratanec,bratanec,brat,sesternica,bratanec,bratanec,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,bratanec,bratanec,sesternica,brat,sesternica,bratanec,sesternica,sesternica,bratanec,bratanec,sestra,sesternica,bratanec,bratanec,bratanec,bratanec,bratanec,sesternica,sesternica,sesternica,sestra,sestra,bratanec,sesternica,sesternica,bratanec,bratanec,brat,sesternica,bratanec,sestra,sesternica,sestra,bratanec,bratanec,brat,sesternica,sesternica,sesternica,brat,bratanec,sesternica,sesternica,sestra,bratanec,sesternica,sesternica,bratanec,bratanec,bratanec,bratanec,sesternica,sesternica,bratanec,sesternica,bratanec,brat,bratanec,sesternica,sesternica,bratanec,bratanec,bratanec,bratanec,sesternica,sesternica,sesternica,sesternica,sesternica,sesternica,sesternica,bratanec,bratanec,sesternica,sesternica,otec,teta,teta,teta,teta,teta,ujec,teta,strýko,strýko,ujec,mať,ujec,teta,strýko,mať,ujec,otec,strýko,teta,teta,strýko,strýko,teta,teta,ujec,ujec,teta
3,0.09908504460210366,1.4280146200527049,1.3289295754506012,sesternica,sesternica,sesternica,sesternica,sesternica,bratanec,sesternica,sesternica,sestra,brat,bratanec,sesternica,bratanec,sesternica,sesternica,bratanec,bratanec,sestra,bratanec,sestra,sestra,bratanec,bratanec,bratanec,sesternica,bratanec,sesternica,bratanec,bratanec,sesternica,sesternica,brat,sesternica,sesternica,bratanec,bratanec,bratanec,bratanec,bratanec,sesternica,bratanec,sesternica,sesternica,brat,sesternica,sesternica,sesternica,bratanec,sesternica,sesternica,brat,sesternica,bratanec,sesternica,sesternica,brat,bratanec,bratanec,sesternica,sestra,sesternica,bratanec,sesternica,sesternica,sesternica,bratanec,sesternica,bratanec,brat,bratanec,bratanec,sestra,bratanec,bratanec,bratanec,sesternica,bratanec,bratanec,bratanec,bratanec,bratanec,bratanec,bratanec,sesternica,bratanec,sesternica,sesternica,bratanec,sesternica,sesternica,ujec,mať,teta,otec,teta,teta,teta,ujec,ujec,strýko,strýko,ujec,teta,mať,strýko,teta,ujec,teta,strýko,teta,strýko,otec,teta,strýko,ujec,teta,teta,teta
4,0.08766927875045583,1.3998722411965299,1.312202962446074,bratanec,brat,sesternica,sesternica,bratanec,brat,sesternica,bratanec,sesternica,sesternica,bratanec,bratanec,bratanec,bratanec,sesternica,bratanec,sesternica,sesternica,bratanec,sesternica,sesternica,sesternica,bratanec,sestra,bratanec,sestra,sestra,sesternica,bratanec,sesternica,sesternica,bratanec,bratanec,bratanec,bratanec,bratanec,bratanec,sesternica,sesternica,sesternica,brat,brat,sesternica,sestra,sesternica,bratanec,bratanec,bratanec,sesternica,sesternica,sesternica,sesternica,sesternica,brat,bratanec,sesternica,bratanec,bratanec,bratanec,bratanec,sesternica,bratanec,sestra,bratanec,sesternica,bratanec,sesternica,bratanec,bratanec,bratanec,sesternica,sesternica,sesternica,sesternica,sesternica,sesternica,sesternica,sestra,bratanec,sesternica,bratanec,bratanec,bratanec,brat,bratanec,sesternica,bratanec,bratanec,sesternica,sesternica,strýko,strýko,teta,ujec,strýko,teta,strýko,otec,ujec,strýko,teta,ujec,ujec,ujec,otec,teta,teta,teta,teta,teta,teta,ujec,teta,teta,mať,teta,mať,strýko
5,0.05896564850291286,1.3267969343676986,1.2678312858647858,sesternica,bratanec,bratanec,sesternica,sesternica,bratanec,bratanec,sesternica,bratanec,sesternica,sesternica,sesternica,sesternica,bratanec,bratanec,sesternica,bratanec,brat,bratanec,sesternica,sesternica,sesternica,sesternica,bratanec,sesternica,brat,sesternica,sestra,bratanec,bratanec,sesternica,brat,sestra,sesternica,bratanec,bratanec,bratanec,bratanec,bratanec,sesternica,bratanec,sestra,bratanec,sestra,bratanec,bratanec,brat,sesternica,sestra,sesternica,sesternica,bratanec,brat,bratanec,bratanec,sesternica,sesternica,sesternica,sesternica,bratanec,sesternica,bratanec,bratanec,sesternica,bratanec,sesternica,bratanec,bratanec,bratanec,sesternica,sesternica,brat,sesternica,bratanec,sesternica,sesternica,bratanec,sesternica,bratanec,bratanec,sesternica,sesternica,sesternica,sesternica,bratanec,bratanec,bratanec,sesternica,sestra,bratanec,strýko,teta,ujec,teta,teta,mať,otec,otec,ujec,teta,teta,teta,ujec,teta,teta,teta,strýko,teta,mať,ujec,teta,strýko,strýko,ujec,teta,ujec,strýko,strýko
6,0.038691451498909846,1.3567774018180918,1.318085950319182,sesternica,bratanec,brat,bratanec,bratanec,sesternica,brat,sesternica,sesternica,bratanec,sestra,brat,bratanec,bratanec,sestra,sesternica,brat,bratanec,bratanec,sesternica,brat,sesternica,sesternica,bratanec,bratanec,sesternica,bratanec,sesternica,sesternica,bratanec,bratanec,sesternica,bratanec,sesternica,sestra,sesternica,sesternica,sesternica,sesternica,sesternica,sesternica,bratanec,bratanec,sesternica,bratanec,sesternica,bratanec,bratanec,sestra,sesternica,sestra,sesternica,sesternica,sesternica,sesternica,bratanec,bratanec,sesternica,bratanec,bratanec,bratanec,bratanec,bratanec,bratanec,bratanec,bratanec,sesternica,bratanec,sesternica,sesternica,sesternica,bratanec,bratanec,bratanec,bratanec,sesternica,sesternica,brat,sesternica,sesternica,bratanec,sesternica,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,bratanec,sestra,ujec,teta,teta,teta,teta,otec,strýko,ujec,teta,ujec,mať,otec,mať,strýko,teta,teta,teta,teta,teta,ujec,strýko,ujec,strýko,strýko,teta,ujec,teta,strýko
7,0.06273858540971133,1.4280146200527049,1.3652760346429935,bratanec,bratanec,bratanec,bratanec,sesternica,sesternica,bratanec,sestra,bratanec,bratanec,brat,sesternica,bratanec,sesternica,bratanec,bratanec,sesternica,sestra,bratanec,sesternica,sesternica,sesternica,sesternica,bratanec,bratanec,bratanec,brat,sesternica,sesternica,sesternica,bratanec,sesternica,bratanec,bratanec,sesternica,sesternica,sesternica,sesternica,sesternica,sesternica,sesternica,bratanec,bratanec,sesternica,bratanec,sestra,sesternica,bratanec,sesternica,bratanec,sesternica,sesternica,sesternica,bratanec,sesternica,sesternica,sesternica,sestra,bratanec,brat,sesternica,bratanec,bratanec,sesternica,sestra,sestra,bratanec,sesternica,brat,bratanec,bratanec,bratanec,sesternica,sesternica,bratanec,sesternica,sesternica,bratanec,bratanec,bratanec,bratanec,bratanec,sesternica,brat,bratanec,bratanec,sesternica,sesternica,bratanec,brat,strýko,teta,strýko,teta,ujec,teta,ujec,strýko,ujec,teta,teta,teta,teta,otec,teta,mať,ujec,strýko,otec,ujec,strýko,teta,mať,strýko,teta,teta,ujec,teta
8,0.07369276247715972,1.3921564317033972,1.3184636692262375,bratanec,sesternica,bratanec,bratanec,bratanec,sestra,bratanec,bratanec,bratanec,bratanec,sesternica,sesternica,sesternica,sesternica,sesternica,sesternica,brat,sesternica,sesternica,sesternica,sesternica,bratanec,sesternica,sesternica,bratanec,bratanec,sesternica,bratanec,brat,bratanec,bratanec,brat,bratanec,sesternica,sesternica,bratanec,bratanec,bratanec,brat,bratanec,brat,bratanec,sesternica,sesternica,sesternica,bratanec,sesternica,bratanec,bratanec,sesternica,sesternica,sestra,bratanec,bratanec,sesternica,bratanec,bratanec,bratanec,sesternica,sesternica,bratanec,bratanec,sesternica,sesternica,sestra,sesternica,bratanec,sestra,sesternica,sesternica,sestra,sesternica,bratanec,bratanec,sesternica,bratanec,sesternica,bratanec,bratanec,sesternica,sesternica,bratanec,brat,sesternica,sestra,sesternica,sesternica,bratanec,sesternica,bratanec,teta,strýko,teta,ujec,teta,teta,teta,teta,strýko,strýko,mať,otec,teta,ujec,ujec,strýko,teta,ujec,teta,teta,mať,ujec,otec,teta,strýko,teta,ujec,strýko
9,0.13431061767078645,1.3693173738121922,1.2350067561414058,sesternica,sesternica,bratanec,sesternica,sesternica,bratanec,sesternica,sesternica,bratanec,sesternica,sesternica,sesternica,sesternica,sesternica,sesternica,sesternica,sesternica,sesternica,bratanec,sesternica,bratanec,bratanec,bratanec,bratanec,sesternica,brat,bratanec,sestra,bratanec,bratanec,bratanec,sestra,brat,bratanec,brat,sestra,bratanec,bratanec,sesternica,bratanec,sesternica,bratanec,bratanec,sesternica,bratanec,sesternica,bratanec,brat,bratanec,sesternica,bratanec,sesternica,bratanec,bratanec,bratanec,brat,bratanec,bratanec,bratanec,bratanec,brat,sestra,sesternica,sesternica,sesternica,sesternica,bratanec,sesternica,sesternica,sestra,bratanec,sesternica,bratanec,sesternica,sesternica,bratanec,sesternica,sesternica,bratanec,bratanec,sestra,sesternica,sesternica,sesternica,bratanec,sesternica,bratanec,sesternica,bratanec,bratanec,strýko,teta,teta,ujec,strýko,strýko,teta,teta,teta,mať,otec,teta,teta,ujec,ujec,strýko,strýko,teta,teta,ujec,strýko,otec,teta,ujec,mať,ujec,teta,teta
