simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mMeZ,mMyZ,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fMeZ,fMyZ,fFeZ,fFyZ,fMeB,fMyB
0,0.23876094777948165,1.9554333013942906,1.716672353614809,mtani,kulu,mtani,kulu,mtani,kulu,mwana,mtani,mtani,lumbu,kulu,mtani,mtani,mwana,lumbu,mwana,lumbu,mtani,mtani,lumbu,mtani,mtani,mwana,mwana,mtani,mwana,mwana,mtani,mtani,mtani,mwana,mtani,mwana,mwana,mtani,mtani,mwana,mtani,mwana,kulu,mtani,kulu,mdodo,mtani,lumbu,kulu,mwana,kulu,mtani,mtani,mtani,mwana,mdodo,mtani,mwana,mtani,mtani,mtani,mtani,mwana,mtani,kulu,lumbu,lumbu,mwana,mtani,kulu,mtani,mtani,mtani,mtani,lumbu,mtani,lumbu,mwana,kulu,mtani,lumbu,mtani,mtani,kulu,mwana,mtani,mai mdodo,mama shangazi,mjomba,baba mdodo,mjomba,baba mkulu,baba mkulu,mjomba,mjomba,mai mkulu,baba,baba mdodo,mama,mama,mjomba,baba,mama shangazi,mjomba,baba,mama,baba,mama,mama shangazi,mama shangazi,mai mkulu,mama shangazi,mama shangazi,mai mdodo
1,0.2561390110412536,1.96348343447472,1.7073444234334665,mtani,mwana,mwana,mtani,mwana,mtani,kulu,mwana,kulu,mwana,mtani,kulu,mtani,lumbu,kulu,mtani,kulu,mwana,lumbu,lumbu,mtani,kulu,mwana,mwana,mtani,mtani,mtani,mtani,mtani,mtani,kulu,lumbu,mtani,mtani,mtani,kulu,mtani,mtani,mwana,lumbu,lumbu,mtani,mtani,mdodo,mtani,lumbu,mtani,mtani,mtani,mtani,mwana,kulu,mtani,mwana,lumbu,mtani,mtani,lumbu,kulu,mtani,mtani,mtani,mtani,kulu,kulu,mtani,mwana,mwana,mtani,mdodo,mtani,mtani,mtani,mtani,mtani,mtani,lumbu,mwana,mwana,mwana,mwana,mwana,mwana,baba mdodo,mama shangazi,mama shangazi,mjomba,baba,mama shangazi,baba,mai mkulu,baba,mama shangazi,baba mkulu,mjomba,baba mkulu,mjomba,mjomba,mai mdodo,mama,mai mkulu,baba mdodo,baba,mjomba,mjomba,mama,mama shangazi,mama shangazi,mama,mai mdodo,mama
2,0.34399865878731983,1.9310593221231485,1.5870606633358286,kulu,mtani,mtani,mtani,kulu,mwana,mwana,kulu,mtani,mwana,mtani,lumbu,mwana,mtani,mtani,lumbu,mwana,mtani,mtani,mwana,mtani,mtani,kulu,mwana,kulu,mdodo,kulu,mwana,mtani,mtani,mwana,mwana,kulu,mtani,mwana,lumbu,mtani,lumbu,mtani,mtani,mtani,mtani,lumbu,kulu,mtani,mdodo,lumbu,mtani,mwana,mwana,mwana,mwana,mtani,mtani,mtani,mtani,lumbu,mtani,mtani,mtani,lumbu,mtani,mtani,mtani,kulu,kulu,mwana,mtani,mwana,mtani,mtani,mtani,mtani,mtani,lumbu,lumbu,mtani,kulu,mwana,mtani,mwana,mtani,kulu,mai mdodo,mama,mama shangazi,mama shangazi,mama shangazi,baba mdodo,mama shangazi,baba mkulu,mjomba,mjomba,mama shangazi,baba,mama,baba mkulu,mjomba,mjomba,mai mkulu,mai mkulu,mjomba,mama shangazi,mjomba,baba,baba,mai mdodo,baba,mama,mama,baba mdodo
3,0.19721764483363247,1.9595096302250388,1.7622919853914063,mtani,mtani,mtani,lumbu,mtani,mwana,mtani,lumbu,mtani,lumbu,kulu,kulu,mtani,mwana,mwana,mtani,mwana,mtani,mwana,mtani,mtani,mwana,mtani,mtani,lumbu,mtani,mtani,lumbu,mdodo,mwana,lumbu,kulu,mtani,kulu,kulu,kulu,mwana,mwana,mtani,mwana,lumbu,mtani,mtani,mtani,lumbu,mtani,mwana,mtani,mwana,mwana,mtani,kulu,kulu,mtani,mwana,mwana,mtani,kulu,mtani,mtani,mtani,mtani,lumbu,mwana,mtani,mtani,mtani,kulu,mwana,mtani,kulu,mtani,mtani,mtani,kulu,mdodo,mtani,mwana,mtani,mtani,mtani,lumbu,mwana,baba mdodo,mjomba,mama shangazi,baba,mama,mama shangazi,baba mdodo,baba,baba,mama shangazi,mjomba,mama shangazi,mai mkulu,mjomba,mjomba,mai mkulu,mjomba,mai mdodo,baba mkulu,mama,mama shangazi,mama,baba mkulu,mama shangazi,mjomba,mai mdodo,baba,mama
4,0.19323991067110136,1.894972475226443,1.7017325645553416,lumbu,mwana,kulu,mwana,mtani,mtani,mtani,mwana,mdodo,mtani,mtani,lumbu,mtani,mtani,mwana,mwana,mtani,kulu,mwana,lumbu,mtani,lumbu,mtani,mtani,mtani,mtani,mtani,mtani,mtani,mtani,lumbu,kulu,lumbu,mtani,mtani,kulu,lumbu,kulu,mtani,mtani,kulu,mwana,mtani,mtani,mwana,mtani,lumbu,mwana,mtani,mtani,mwana,mtani,mtani,mtani,mwana,kulu,mwana,mwana,mtani,kulu,mwana,mtani,lumbu,mtani,lumbu,kulu,mtani,mtani,kulu,mwana,mwana,kulu,mtani,mdodo,mwana,kulu,mwana,mtani,mtani,mwana,mtani,mtani,mtani,mama shangazi,mama shangazi,mjomba,mjomba,baba,mjomba,baba mkulu,mama,mama shangazi,baba,mjomba,baba mkulu,mai mdodo,mjomba,baba mdodo,mama,mama shangazi,mama,baba,baba,mama shangazi,mama shangazi,mai mkulu,baba mdodo,mai mdodo,mai mkulu,mama,mjomba
5,0.2527975228404127,1.9135289788966745,1.6607314560562618,mtani,mwana,kulu,kulu,mtani,mtani,mtani,kulu,mtani,mtani,mtani,mwana,mtani,mtani,mtani,mtani,kulu,mwana,mtani,mtani,kulu,mwana,kulu,mtani,mwana,mwana,mtani,mwana,mtani,mwana,mdodo,kulu,lumbu,lumbu,mwana,mtani,mtani,mwana,mtani,mtani,mtani,mwana,kulu,mtani,mwana,lumbu,lumbu,mtani,mtani,mtani,mtani,lumbu,lumbu,mtani,mtani,mwana,kulu,mtani,mtani,kulu,mtani,mwana,mtani,mtani,mwana,mtani,mtani,kulu,lumbu,mtani,lumbu,mdodo,mtani,mwana,mtani,mtani,lumbu,lumbu,kulu,mtani,mwana,mwana,mwana,mjomba,mai mdodo,baba,baba,mjomba,baba mdodo,mai mkulu,mama,mama shangazi,mama shangazi,mjomba,mama,baba mkulu,mama shangazi,mai mkulu,mai mdodo,mjomba,mama shangazi,baba mdodo,mama shangazi,mama,mama shangazi,baba,baba mkulu,mama,baba,mjomba,mjomba
6,0.22021066974083925,1.925695567679193,1.7054848979383537,mtani,mtani,kulu,kulu,kulu,mtani,mtani,mtani,mtani,mwana,mtani,lumbu,mtani,lumbu,lumbu,mtani,kulu,lumbu,kulu,kulu,kulu,mwana,mtani,mtani,mtani,kulu,mtani,mwana,mwana,mtani,lumbu,mtani,mtani,mtani,mwana,mtani,mtani,mwana,mtani,kulu,mwana,mtani,mtani,mwana,kulu,lumbu,mwana,mtani,mwana,mwana,mtani,mtani,mtani,mtani,mtani,mtani,mwana,mtani,lumbu,mwana,mtani,lumbu,mdodo,mtani,mtani,mwana,mwana,mtani,mwana,mtani,kulu,mtani,mtani,mtani,lumbu,mtani,mtani,mwana,mwana,mwana,kulu,lumbu,mdodo,mama,mai mkulu,mama shangazi,mai mkulu,mjomba,baba mdodo,mjomba,mjomba,baba mdodo,baba,baba mkulu,mama,mjomba,mama shangazi,mama,mama shangazi,mjomba,mjomba,baba mkulu,mama shangazi,mama shangazi,mai mdodo,baba,mama shangazi,baba,mama,mai mdodo,baba
7,0.2881358157163061,1.9416747623616404,1.6535389466453343,mdodo,lumbu,mwana,mtani,mtani,mwana,mwana,mtani,mtani,mtani,mdodo,lumbu,kulu,mtani,mtani,kulu,kulu,mtani,mtani,lumbu,mtani,mtani,lumbu,mwana,mtani,lumbu,mtani,mtani,mtani,mtani,mtani,mtani,mwana,mwana,mtani,kulu,kulu,mwana,mtani,mwana,mwana,mwana,lumbu,mtani,mwana,kulu,mtani,kulu,mtani,mtani,mwana,lumbu,mtani,mwana,mtani,lumbu,kulu,mwana,mwana,mwana,mtani,mtani,mtani,mtani,mtani,mtani,mwana,lumbu,kulu,mtani,kulu,kulu,mtani,mtani,mtani,mtani,kulu,mtani,mtani,mtani,mwana,mwana,lumbu,mai mdodo,baba mdodo,mama,baba,mama shangazi,mjomba,mai mkulu,mjomba,mjomba,baba mdodo,baba mkulu,mjomba,mai mdodo,mama,baba,mama shangazi,baba mkulu,mama,mama shangazi,baba,mama shangazi,mama shangazi,mjomba,baba,mai mkulu,mjomba,mama shangazi,mama
8,0.25013125617576915,1.924797034067793,1.6746657778920238,mtani,mtani,mtani,mtani,mtani,mwana,mtani,mtani,kulu,kulu,kulu,lumbu,kulu,mtani,mtani,kulu,mtani,lumbu,mwana,mtani,mtani,mwana,mwana,mtani,mwana,kulu,mtani,mtani,mwana,mtani,mtani,kulu,mtani,mtani,kulu,mwana,mtani,mtani,mtani,kulu,lumbu,mtani,lumbu,mwana,mtani,mtani,lumbu,mtani,mtani,mwana,mwana,mtani,mtani,lumbu,mwana,mtani,mtani,lumbu,lumbu,mwana,mtani,mdodo,mtani,mdodo,mtani,mtani,mtani,mtani,kulu,lumbu,mwana,mtani,mwana,mwana,mtani,mwana,kulu,kulu,mwana,mwana,lumbu,mwana,mtani,baba mkulu,mama,mjomba,mjomba,mjomba,mama,mama shangazi,baba,baba mdodo,mjomba,mai mdodo,mai mkulu,mama shangazi,mjomba,mai mdodo,mama shangazi,mama shangazi,baba mkulu,baba,mama,mama,mama shangazi,mama shangazi,baba mdodo,baba,mjomba,mai mkulu,baba
9,0.27601949499306233,2.011714222299315,1.7356947273062526,mtani,mwana,kulu,kulu,mtani,mtani,mtani,kulu,lumbu,mtani,mtani,mtani,lumbu,mtani,mwana,kulu,mtani,mtani,mtani,lumbu,mtani,mtani,kulu,mtani,mtani,mwana,mwana,lumbu,lumbu,mtani,mtani,kulu,mwana,lumbu,mtani,mtani,mtani,lumbu,mwana,mtani,mtani,mwana,mtani,mwana,kulu,mwana,mtani,mwana,mtani,mwana,mtani,mtani,mtani,mwana,mdodo,mtani,kulu,lumbu,mwana,mwana,mtani,mtani,mwana,mtani,mtani,kulu,mtani,mtani,kulu,mdodo,lumbu,kulu,mtani,mwana,mtani,kulu,mwana,lumbu,mtani,mwana,mwana,mtani,mtani,mama shangazi,mama shangazi,mama,mjomba,mama,baba mkulu,mama shangazi,mjomba,baba,mama shangazi,mjomba,baba mkulu,mama shangazi,mjomba,mama shangazi,mai mkulu,mai mkulu,mjomba,baba mdodo,mai mdodo,mama,mjomba,baba,mai mdodo,mama,baba mdodo,baba,baba
