simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZS,mMBS,mMZS,mFZD,mMBD,mMZD,fFZS,fMBS,fMZS,fFZD,fMBD,fMZD,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeZ,mFyZ,fFeZ,fFyZ
0,0.42593562066016855,1.0100997593541636,0.5841641386939951,narungk vavue,narungk vavue,vavue-mokon,narungk vavue,vavue-mokon,narungk vavue,mariao,mariao,xivan,mariao,mariao,vavue-mokon,roxangk,xivan,xivan,vavue-mokon,vavue-mokon,mariao,mariao,narungk vavue,mariao,narungk vavue,xivan,mariao,rasingk,narungk vavue,xivan,narungk vavue,xivan,narungk vavue,narungk vavue,narungk vavue,xivan,narungk vavue,xivan,narungk vavue,narungk vavue,mariao,penengk,xivan,vavue-mokon,mariao,narungk vavue,rasingk,mariao,mariao,vavue-mokon,penengk,mariao,vavue-mokon,narungk vavue,vavue-mokon,penengk,narungk vavue,mariao,mariao,mariao,vavue-mokon,narungk vavue,xivan,mariao,narungk vavue,penengk,mariao,narungk vavue,mariao,"ita, tata, raman","ita, tata, raman",vavue,vavue,vavue,"ina, nana","ina, nana",vavue
1,0.1851357963417224,1.0382400185693474,0.853104222227625,rasingk,xivan,mariao,mariao,xivan,narungk vavue,xivan,xivan,narungk vavue,xivan,mariao,narungk vavue,roxangk,mariao,mariao,vavue-mokon,narungk vavue,mariao,vavue-mokon,mariao,mariao,xivan,vavue-mokon,mariao,narungk vavue,penengk,narungk vavue,narungk vavue,penengk,mariao,narungk vavue,mariao,xivan,xivan,vavue-mokon,mariao,mariao,penengk,mariao,vavue-mokon,narungk vavue,mariao,narungk vavue,narungk vavue,narungk vavue,mariao,narungk vavue,xivan,vavue-mokon,narungk vavue,mariao,vavue-mokon,mariao,narungk vavue,narungk vavue,vavue-mokon,narungk vavue,mariao,vavue-mokon,narungk vavue,narungk vavue,xivan,penengk,vavue-mokon,narungk vavue,rasingk,vavue,vavue,"ita, tata, raman",vavue,"ina, nana",vavue,"ita, tata, raman","ina, nana"
2,0.07822686624314068,1.0634187732433902,0.9851919070002495,mariao,vavue-mokon,narungk vavue,narungk vavue,narungk vavue,vavue-mokon,mariao,mariao,xivan,narungk vavue,roxangk,xivan,narungk vavue,narungk vavue,mariao,mariao,penengk,xivan,vavue-mokon,penengk,penengk,mariao,vavue-mokon,mariao,narungk vavue,mariao,narungk vavue,mariao,vavue-mokon,mariao,xivan,rasingk,narungk vavue,narungk vavue,xivan,narungk vavue,xivan,xivan,mariao,mariao,mariao,vavue-mokon,penengk,narungk vavue,narungk vavue,mariao,narungk vavue,xivan,narungk vavue,mariao,mariao,vavue-mokon,vavue-mokon,mariao,narungk vavue,narungk vavue,narungk vavue,narungk vavue,vavue-mokon,xivan,xivan,mariao,rasingk,mariao,vavue-mokon,narungk vavue,"ina, nana",vavue,"ina, nana","ita, tata, raman","ita, tata, raman",vavue,vavue,vavue
3,0.19554258882436992,1.0382400185693472,0.8426974297449773,mariao,mariao,vavue-mokon,xivan,rasingk,rasingk,narungk vavue,narungk vavue,narungk vavue,xivan,mariao,mariao,narungk vavue,narungk vavue,mariao,xivan,xivan,penengk,xivan,narungk vavue,narungk vavue,mariao,xivan,mariao,mariao,vavue-mokon,mariao,mariao,vavue-mokon,vavue-mokon,mariao,penengk,xivan,mariao,narungk vavue,vavue-mokon,mariao,mariao,narungk vavue,narungk vavue,narungk vavue,roxangk,vavue-mokon,mariao,mariao,xivan,mariao,narungk vavue,narungk vavue,xivan,narungk vavue,narungk vavue,penengk,penengk,narungk vavue,narungk vavue,narungk vavue,narungk vavue,vavue-mokon,vavue-mokon,xivan,vavue-mokon,mariao,vavue-mokon,mariao,narungk vavue,vavue,"ita, tata, raman","ina, nana",vavue,"ina, nana",vavue,vavue,"ita, tata, raman"
4,0.5328909985450458,1.0100997593541636,0.4772087608091178,mariao,mariao,vavue-mokon,narungk vavue,narungk vavue,vavue-mokon,mariao,penengk,mariao,narungk vavue,mariao,mariao,narungk vavue,mariao,mariao,narungk vavue,vavue-mokon,xivan,penengk,mariao,mariao,xivan,narungk vavue,mariao,vavue-mokon,penengk,narungk vavue,narungk vavue,narungk vavue,mariao,vavue-mokon,narungk vavue,narungk vavue,narungk vavue,mariao,narungk vavue,xivan,vavue-mokon,roxangk,narungk vavue,rasingk,xivan,narungk vavue,xivan,xivan,rasingk,xivan,narungk vavue,penengk,xivan,xivan,mariao,mariao,vavue-mokon,vavue-mokon,narungk vavue,vavue-mokon,vavue-mokon,mariao,xivan,narungk vavue,narungk vavue,narungk vavue,mariao,mariao,mariao,vavue,vavue,vavue,vavue,"ina, nana","ita, tata, raman","ita, tata, raman","ina, nana"
5,0.277433146373692,1.0382400185693474,0.7608068721956555,mariao,mariao,xivan,mariao,mariao,rasingk,xivan,penengk,narungk vavue,narungk vavue,mariao,narungk vavue,narungk vavue,narungk vavue,narungk vavue,vavue-mokon,mariao,mariao,xivan,penengk,mariao,mariao,xivan,narungk vavue,narungk vavue,mariao,narungk vavue,vavue-mokon,narungk vavue,penengk,rasingk,narungk vavue,narungk vavue,mariao,vavue-mokon,mariao,narungk vavue,narungk vavue,narungk vavue,narungk vavue,vavue-mokon,mariao,mariao,xivan,roxangk,penengk,mariao,vavue-mokon,xivan,vavue-mokon,narungk vavue,vavue-mokon,xivan,xivan,mariao,narungk vavue,mariao,narungk vavue,vavue-mokon,xivan,narungk vavue,mariao,vavue-mokon,vavue-mokon,mariao,xivan,"ina, nana","ita, tata, raman","ita, tata, raman",vavue,vavue,vavue,vavue,"ina, nana"
6,0.5167325941590173,1.0634187732433902,0.5466861790843729,narungk vavue,xivan,mariao,narungk vavue,mariao,vavue-mokon,xivan,rasingk,mariao,narungk vavue,xivan,mariao,vavue-mokon,mariao,vavue-mokon,roxangk,mariao,mariao,vavue-mokon,penengk,mariao,penengk,penengk,narungk vavue,mariao,vavue-mokon,narungk vavue,narungk vavue,mariao,narungk vavue,narungk vavue,narungk vavue,mariao,narungk vavue,rasingk,narungk vavue,vavue-mokon,narungk vavue,xivan,narungk vavue,penengk,narungk vavue,vavue-mokon,xivan,narungk vavue,xivan,narungk vavue,mariao,mariao,mariao,narungk vavue,xivan,narungk vavue,vavue-mokon,vavue-mokon,vavue-mokon,mariao,xivan,xivan,mariao,mariao,narungk vavue,mariao,mariao,xivan,narungk vavue,vavue,vavue,"ina, nana","ita, tata, raman",vavue,"ina, nana","ita, tata, raman",vavue
7,0.2512530645873893,1.0579054247036734,0.8066523601162842,narungk vavue,mariao,penengk,mariao,xivan,vavue-mokon,xivan,mariao,penengk,narungk vavue,narungk vavue,narungk vavue,mariao,mariao,narungk vavue,mariao,mariao,narungk vavue,mariao,vavue-mokon,xivan,mariao,narungk vavue,narungk vavue,penengk,narungk vavue,rasingk,vavue-mokon,vavue-mokon,narungk vavue,xivan,mariao,xivan,mariao,mariao,roxangk,narungk vavue,xivan,narungk vavue,penengk,rasingk,xivan,mariao,mariao,narungk vavue,narungk vavue,vavue-mokon,mariao,narungk vavue,narungk vavue,vavue-mokon,xivan,vavue-mokon,xivan,mariao,mariao,vavue-mokon,narungk vavue,xivan,vavue-mokon,mariao,narungk vavue,narungk vavue,mariao,vavue-mokon,narungk vavue,vavue,"ina, nana","ita, tata, raman","ita, tata, raman",vavue,vavue,"ina, nana",vavue
8,0.22072134349841277,1.0634187732433902,0.8426974297449774,narungk vavue,xivan,mariao,narungk vavue,narungk vavue,mariao,narungk vavue,mariao,narungk vavue,xivan,narungk vavue,vavue-mokon,mariao,mariao,penengk,xivan,vavue-mokon,rasingk,rasingk,xivan,vavue-mokon,narungk vavue,xivan,xivan,narungk vavue,narungk vavue,vavue-mokon,mariao,xivan,vavue-mokon,vavue-mokon,penengk,penengk,mariao,mariao,xivan,vavue-mokon,narungk vavue,mariao,narungk vavue,mariao,penengk,narungk vavue,narungk vavue,narungk vavue,vavue-mokon,mariao,narungk vavue,mariao,mariao,roxangk,narungk vavue,mariao,vavue-mokon,mariao,mariao,xivan,narungk vavue,vavue-mokon,narungk vavue,narungk vavue,narungk vavue,mariao,mariao,mariao,xivan,vavue,vavue,"ita, tata, raman","ina, nana",vavue,"ina, nana","ita, tata, raman",vavue
9,0.19554258882437003,1.0382400185693472,0.8426974297449772,narungk vavue,narungk vavue,mariao,mariao,narungk vavue,penengk,xivan,vavue-mokon,mariao,xivan,narungk vavue,roxangk,vavue-mokon,penengk,mariao,narungk vavue,mariao,narungk vavue,vavue-mokon,xivan,vavue-mokon,narungk vavue,vavue-mokon,xivan,xivan,mariao,rasingk,xivan,narungk vavue,mariao,narungk vavue,narungk vavue,mariao,mariao,narungk vavue,narungk vavue,narungk vavue,narungk vavue,narungk vavue,mariao,narungk vavue,penengk,mariao,vavue-mokon,rasingk,narungk vavue,vavue-mokon,mariao,xivan,narungk vavue,xivan,narungk vavue,vavue-mokon,mariao,mariao,mariao,mariao,xivan,mariao,narungk vavue,mariao,vavue-mokon,mariao,xivan,vavue-mokon,penengk,"ita, tata, raman",vavue,"ina, nana",vavue,"ina, nana","ita, tata, raman",vavue,vavue
