simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.173350844365731,1.550978757031473,1.377627912665742,arnarvik,arnarvik,angak,angak,angak,arnarvik,angak,arnarvik,arnarvik,angak,angak,angak,angak,arnarvik,arnarvik,nayak,arnarvik,angak,arnarvik,angak,angak,nukaq,aqqaluaq,arnarvik,arnarvik,arnarvik,angak,angak,arnarvik,angak,angak,arnarvik,,angak,angak,angayuk,arnarvik,angak,arnarvik,angak,arnarvik,arnarvik,,arnarvik,ani,angak,angak,arnarvik,arnarvik,,angak,arnarvik,arnarvik,arnarvik,aliqa,angak,nukaq,angak,angayuk,angak,angak,arnarvik,angak,angak,angak,arnarvik,angak,arnarvik,arnarvik,angak,arnarvik,angak,arnarvik,angak,arnarvik,angak,arnarvik,arnarvik,angak,arnarvik,arnarvik,angak,arnarvik,angak,arnarvik,angak,angak,arnarvik,arnarvik,,attak,amaamak,,,arnarvik,pangnaaryuk,,aappak,,arnarvik,,pangnaaryuk,,,angak,,amaamak,aappak,,,,,attak,,,,,angak
1,0.24751804690715962,1.447961389496993,1.2004433425898333,arnarvik,angak,nukaq,angak,arnarvik,,angak,angak,angak,arnarvik,angak,arnarvik,aqqaluaq,angak,arnarvik,arnarvik,arnarvik,angak,nayak,arnarvik,angak,angak,arnarvik,arnarvik,arnarvik,angak,angayuk,angak,arnarvik,angak,angak,arnarvik,angak,arnarvik,arnarvik,ani,angak,arnarvik,aliqa,angak,angak,nukaq,angak,arnarvik,,arnarvik,angak,angak,arnarvik,arnarvik,arnarvik,angak,arnarvik,arnarvik,arnarvik,angak,arnarvik,arnarvik,arnarvik,,arnarvik,angak,angak,angak,arnarvik,,angak,angak,angak,angak,arnarvik,angak,arnarvik,angayuk,angak,angak,arnarvik,arnarvik,angak,arnarvik,angak,angak,arnarvik,arnarvik,arnarvik,arnarvik,angak,angak,angak,arnarvik,angak,,,aappak,arnarvik,,angak,attak,,,,,,,,aappak,arnarvik,,amaamak,,,pangnaaryuk,pangnaaryuk,,attak,amaamak,,
2,0.238374035707404,1.461888139467403,1.223514103759999,angak,arnarvik,arnarvik,angak,angak,nayak,arnarvik,arnarvik,arnarvik,angak,arnarvik,angak,arnarvik,nukaq,aliqa,angak,arnarvik,angak,arnarvik,angak,arnarvik,arnarvik,angak,arnarvik,arnarvik,arnarvik,arnarvik,angak,angak,angak,arnarvik,angak,arnarvik,arnarvik,arnarvik,angak,angak,arnarvik,arnarvik,arnarvik,arnarvik,arnarvik,,nukaq,angak,angak,,angayuk,angak,arnarvik,angak,ani,arnarvik,arnarvik,arnarvik,aqqaluaq,arnarvik,angak,arnarvik,angak,angak,angak,arnarvik,arnarvik,angak,,angak,arnarvik,angak,angak,angak,arnarvik,angak,angak,angak,arnarvik,angak,angak,arnarvik,angayuk,arnarvik,angak,arnarvik,angak,angak,arnarvik,,angak,angak,angak,,,,pangnaaryuk,aappak,attak,amaamak,,aappak,,amaamak,,,,pangnaaryuk,arnarvik,arnarvik,,,,,,,angak,,attak,,angak
3,0.16361824287058857,1.3496319522636733,1.1860137093930847,angak,arnarvik,arnarvik,angak,angak,angak,angak,angak,arnarvik,angak,angak,aliqa,angak,arnarvik,arnarvik,arnarvik,,arnarvik,angak,nukaq,angak,arnarvik,nayak,arnarvik,angak,arnarvik,angak,,arnarvik,,angak,angak,angak,arnarvik,arnarvik,angak,arnarvik,nukaq,angak,ani,arnarvik,arnarvik,arnarvik,angak,arnarvik,angak,angak,arnarvik,angak,arnarvik,angak,arnarvik,arnarvik,angak,arnarvik,arnarvik,angak,arnarvik,angak,arnarvik,angak,arnarvik,arnarvik,angak,arnarvik,angak,angak,,angak,angak,angak,angak,angak,angayuk,arnarvik,angak,arnarvik,angayuk,arnarvik,arnarvik,aqqaluaq,angak,angak,arnarvik,arnarvik,arnarvik,angak,arnarvik,arnarvik,arnarvik,,,,attak,,,,,angak,,,amaamak,amaamak,aappak,aappak,attak,,,arnarvik,,pangnaaryuk,,angak,arnarvik,,pangnaaryuk,,
4,0.16147695782484472,1.3735516307041498,1.212074672879305,arnarvik,arnarvik,angak,angak,angak,nukaq,angak,arnarvik,arnarvik,ani,angak,arnarvik,arnarvik,angak,angak,angak,arnarvik,arnarvik,arnarvik,arnarvik,arnarvik,nayak,,arnarvik,angak,arnarvik,angak,angak,arnarvik,arnarvik,angak,angayuk,arnarvik,angak,angak,angak,arnarvik,angak,arnarvik,angak,angak,angak,arnarvik,aqqaluaq,angak,angak,arnarvik,arnarvik,arnarvik,arnarvik,angak,,angak,angak,angak,arnarvik,angak,angak,angayuk,angak,angak,angak,angak,aliqa,arnarvik,,angak,arnarvik,arnarvik,arnarvik,angak,arnarvik,arnarvik,arnarvik,angak,angak,arnarvik,arnarvik,angak,arnarvik,,arnarvik,angak,angak,arnarvik,arnarvik,nukaq,angak,arnarvik,arnarvik,,,pangnaaryuk,,,,,arnarvik,,pangnaaryuk,angak,,,arnarvik,,,amaamak,amaamak,aappak,,,attak,angak,,aappak,,,attak
5,0.12408772888018649,1.4958633333323452,1.3717756044521587,arnarvik,arnarvik,angak,arnarvik,angak,ani,arnarvik,angak,arnarvik,angak,arnarvik,arnarvik,,nukaq,angak,arnarvik,angak,arnarvik,arnarvik,arnarvik,angak,angak,arnarvik,angak,angak,arnarvik,angak,arnarvik,angak,arnarvik,nayak,angak,aqqaluaq,angak,angak,angak,arnarvik,angak,arnarvik,angak,arnarvik,angak,angak,arnarvik,arnarvik,angak,angak,angak,arnarvik,arnarvik,,angak,arnarvik,arnarvik,arnarvik,arnarvik,angak,angak,arnarvik,angayuk,aliqa,angak,angayuk,angak,arnarvik,arnarvik,angak,arnarvik,angak,arnarvik,arnarvik,angak,arnarvik,angak,arnarvik,angak,angak,angak,arnarvik,angak,,nukaq,arnarvik,arnarvik,arnarvik,angak,angak,,angak,arnarvik,,pangnaaryuk,,pangnaaryuk,,,,,,,attak,arnarvik,,,attak,,amaamak,angak,,aappak,,,,aappak,angak,arnarvik,amaamak,
6,0.09563831880994877,1.2851349070393383,1.1894965882293895,angak,arnarvik,arnarvik,arnarvik,angak,,angak,angak,arnarvik,arnarvik,arnarvik,arnarvik,angayuk,angak,angak,arnarvik,angak,angak,angak,angak,arnarvik,arnarvik,,arnarvik,angak,arnarvik,arnarvik,angak,,angak,angayuk,angak,angak,angak,arnarvik,nayak,angak,arnarvik,arnarvik,angak,arnarvik,angak,arnarvik,angak,arnarvik,,arnarvik,arnarvik,arnarvik,angak,arnarvik,angak,arnarvik,arnarvik,arnarvik,arnarvik,arnarvik,angak,angak,angak,angak,arnarvik,arnarvik,angak,arnarvik,angak,arnarvik,angak,arnarvik,nukaq,angak,arnarvik,angak,aqqaluaq,arnarvik,angak,nukaq,angak,arnarvik,arnarvik,angak,angak,angak,aliqa,angak,angak,arnarvik,arnarvik,angak,ani,,,,,,,,,,aappak,aappak,amaamak,,,amaamak,,,arnarvik,pangnaaryuk,,attak,angak,arnarvik,pangnaaryuk,,angak,,attak
7,0.28594701605803485,1.3062011439787244,1.0202541279206896,angak,angak,nukaq,angak,angak,angak,angak,arnarvik,arnarvik,angak,,angak,angak,angayuk,angak,arnarvik,angak,arnarvik,angak,arnarvik,angak,arnarvik,arnarvik,angak,angak,arnarvik,angak,nukaq,arnarvik,arnarvik,ani,,angak,arnarvik,angak,aliqa,arnarvik,angak,angak,angak,arnarvik,arnarvik,angak,angak,arnarvik,angak,arnarvik,arnarvik,angayuk,arnarvik,arnarvik,arnarvik,arnarvik,angak,arnarvik,arnarvik,arnarvik,angak,,angak,arnarvik,arnarvik,angak,angak,angak,arnarvik,arnarvik,arnarvik,,arnarvik,angak,nayak,arnarvik,arnarvik,arnarvik,angak,arnarvik,arnarvik,arnarvik,angak,aqqaluaq,angak,angak,angak,arnarvik,arnarvik,angak,arnarvik,angak,angak,,,amaamak,,,,,arnarvik,,arnarvik,,,,aappak,angak,amaamak,attak,,,,aappak,angak,pangnaaryuk,,attak,,pangnaaryuk,
8,0.15169413679213006,1.3996979722799252,1.2480038354877951,angak,arnarvik,arnarvik,arnarvik,,angak,angak,angak,angak,angak,angak,arnarvik,angak,,aqqaluaq,arnarvik,arnarvik,angak,arnarvik,arnarvik,angak,angak,arnarvik,arnarvik,arnarvik,nukaq,arnarvik,angak,angak,arnarvik,arnarvik,arnarvik,angayuk,angak,arnarvik,angak,angak,,arnarvik,arnarvik,angak,arnarvik,arnarvik,arnarvik,angak,arnarvik,angak,angak,angak,arnarvik,arnarvik,angak,nayak,arnarvik,angak,arnarvik,arnarvik,arnarvik,angak,angak,arnarvik,arnarvik,arnarvik,angak,angak,angak,angak,arnarvik,arnarvik,arnarvik,angak,angak,angayuk,angak,aliqa,arnarvik,angak,arnarvik,angak,nukaq,arnarvik,arnarvik,angak,angak,arnarvik,angak,,angak,angak,ani,,,angak,pangnaaryuk,,,pangnaaryuk,,amaamak,arnarvik,,,,aappak,,attak,attak,aappak,,,,amaamak,,,arnarvik,,angak,
9,0.20764745541216367,1.3824936852723284,1.1748462298601647,angak,angak,angak,arnarvik,angak,arnarvik,arnarvik,nayak,angak,angak,arnarvik,angak,angak,arnarvik,,arnarvik,angak,angak,angak,angak,arnarvik,angak,,angak,arnarvik,angak,angayuk,arnarvik,arnarvik,angak,arnarvik,arnarvik,aliqa,arnarvik,arnarvik,angak,angayuk,angak,angak,nukaq,angak,angak,,angak,angak,angak,arnarvik,angak,arnarvik,angak,angak,,arnarvik,arnarvik,arnarvik,angak,arnarvik,arnarvik,nukaq,arnarvik,arnarvik,angak,arnarvik,arnarvik,angak,arnarvik,arnarvik,aqqaluaq,angak,arnarvik,arnarvik,angak,arnarvik,angak,angak,angak,arnarvik,angak,arnarvik,angak,arnarvik,angak,angak,ani,arnarvik,arnarvik,arnarvik,arnarvik,arnarvik,arnarvik,,,,pangnaaryuk,,amaamak,,attak,,angak,,,amaamak,,,,,,aappak,angak,,attak,arnarvik,arnarvik,,,aappak,pangnaaryuk
