simulation_number,mutual_information,entropy,conditional_entropy,mZ,fB,fZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mB,meB,myB,meZ,myZ,mFBD,mMZD,mFBS,mMZS,mFeBS,mFyBS,mFeBD,mFyBD,mMeZS,mMyZS,mMeZD,mMyZD,mFBeS,mFByS,mFBeD,mFByD,mMZeS,mMZyS,mMZeD,mMZyD,feB,fyB,feZ,fyZ,fFBD,fMZD,fFBS,fMZS,fFeBS,fFyBS,fFeBD,fMeZS,fMyZS,fMeZD,fMyZD,fFBeS,fFByS,fFBeD,fFByD,fMZyS,fMZeD,fMZyD,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB,mM,fM,mF,fF
0,0.1544640750772861,1.7620187887172694,1.6075547136399833,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,mwibawa,mwibawa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwtiaiya,mwibawa,mwibawa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,uviaiyo,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,uviaiyo,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,mwibawa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,mwibawa,mwinawa,mwibawa,mwibawa,mwtiaiya,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mama,mwaendia,ukulu,mwaitu,mthomba,mthomba,mama,mwaendia,mama,mwaendia,nau,mama,mthomba,ukulu,inia iia,ukulu,mwaendia,mthomba,nau,mthomba,mama,mama,mthomba,ukulu,ukulu,ukulu,mwaendia,mwaendia
1,0.08587800230222342,1.76726963853662,1.6813916362343966,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,mwinawa,mwibawa,mwibawa,mwibawa,mukuwa,mwibawa,uviaiyo,mwibawa,mwibawa,mwibawa,mwtiaiya,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,uviaiyo,mwibawa,mukuwa,mwibawa,mwtiaiya,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,ukulu,mwaendia,ukulu,ukulu,mthomba,mwaendia,mthomba,nau,mthomba,mama,mama,mwaendia,mama,mthomba,ukulu,mwaitu,mama,mthomba,ukulu,mama,mwaendia,mthomba,ukulu,mama,mwaendia,mwaendia,nau,inia iia
2,0.19808709995345608,1.7401861679186925,1.5420990679652364,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,mwibawa,mwibawa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mukuwa,mwtiaiya,mwinawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,mwibawa,mwibawa,mukuwa,mwibawa,mwibawa,uviaiyo,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,uviaiyo,mwibawa,mwinawa,mukuwa,mwtiaiya,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mama,mwaendia,nau,mwaendia,ukulu,inia iia,mwaitu,mwaendia,mthomba,mwaendia,mwaendia,mama,ukulu,mthomba,nau,mama,mama,mthomba,mthomba,mama,ukulu,mama,ukulu,mwaendia,mthomba,mthomba,ukulu,ukulu
3,0.15406602915525314,1.7617998282493945,1.6077337990941414,mwibawa,mwibawa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,uviaiyo,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,mukuwa,mwtiaiya,mwibawa,mwibawa,mwtiaiya,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,uviaiyo,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,mwibawa,mwibawa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwaendia,mwaendia,ukulu,nau,ukulu,ukulu,mwaendia,ukulu,mwaendia,mwaendia,mama,mwaitu,mthomba,inia iia,ukulu,mthomba,mwaendia,mthomba,mthomba,mama,mama,nau,ukulu,mama,mthomba,mama,mama,mthomba
4,0.21809558769045223,1.7565125620661455,1.5384169743756932,mwibawa,mwibawa,mwinawa,mwibawa,mwibawa,mwibawa,mwinawa,mwibawa,mwinawa,mwibawa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,uviaiyo,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mukuwa,mwibawa,mwibawa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwtiaiya,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwtiaiya,mwibawa,uviaiyo,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwaendia,ukulu,mama,ukulu,mwaendia,mthomba,mthomba,mwaitu,mama,mthomba,mama,mwaendia,mwaendia,nau,mthomba,ukulu,mthomba,mwaendia,mama,ukulu,nau,mwaendia,mama,mama,inia iia,ukulu,mthomba,ukulu
5,0.11850803443794988,1.6793120596259699,1.56080402518802,mwibawa,mwibawa,mwibawa,mwibawa,uviaiyo,mwibawa,mwibawa,mwibawa,mwinawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwtiaiya,mwibawa,mwinawa,mwinawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwtiaiya,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mukuwa,mwibawa,mwibawa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mukuwa,mwibawa,mwinawa,mwibawa,mwibawa,mwibawa,uviaiyo,mwibawa,mwibawa,mwibawa,mwibawa,ukulu,ukulu,mthomba,mama,ukulu,nau,mwaitu,mthomba,mama,mwaendia,mama,inia iia,mthomba,mthomba,ukulu,ukulu,mthomba,mwaendia,mthomba,mwaendia,ukulu,nau,mama,mwaendia,mwaendia,mama,mwaendia,mama
6,0.16047732154024552,1.782277659900517,1.6218003383602715,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwtiaiya,mwibawa,mwibawa,mwinawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,uviaiyo,mwibawa,mwtiaiya,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,uviaiyo,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,mwaendia,mthomba,nau,ukulu,mwaendia,ukulu,mwaendia,mama,ukulu,mwaendia,mwaitu,mwaendia,nau,inia iia,mthomba,ukulu,mthomba,mthomba,ukulu,mama,mwaendia,mama,mthomba,mama,mama,mama,mthomba,ukulu
7,0.1572424282937992,1.747629700320768,1.5903872720269687,mwibawa,mwtiaiya,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,mwinawa,mwibawa,mwibawa,mwibawa,mwibawa,mukuwa,mwibawa,mwibawa,mwibawa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwtiaiya,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,uviaiyo,mwibawa,mwibawa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,uviaiyo,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,mwibawa,mwibawa,mama,mthomba,ukulu,mwaitu,mthomba,ukulu,mwaendia,mwaendia,ukulu,ukulu,mwaendia,mama,mthomba,mwaendia,inia iia,mama,mthomba,nau,mthomba,mama,mthomba,mama,nau,mama,mwaendia,ukulu,mwaendia,ukulu
8,0.12905362026657108,1.7842696690609816,1.6552160487944105,mwibawa,mwibawa,mwibawa,mwibawa,mukuwa,mwibawa,mwibawa,mwibawa,mukuwa,mwibawa,mwibawa,mwibawa,mwtiaiya,mwinawa,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,uviaiyo,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,mwibawa,mwibawa,mwibawa,mwtiaiya,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,uviaiyo,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,inia iia,nau,ukulu,mama,mthomba,mama,mama,ukulu,mthomba,ukulu,ukulu,mthomba,mwaendia,mthomba,mama,mwaendia,mthomba,nau,ukulu,mwaendia,mama,ukulu,mwaendia,mwaendia,mwaitu,mthomba,mama,mwaendia
9,0.1400590367892871,1.7082354656720473,1.5681764288827602,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwtiaiya,mwinawa,uviaiyo,mwibawa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,mwtiaiya,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mukuwa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,uviaiyo,mwibawa,mwibawa,mwibawa,mwibawa,mwinawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,mwibawa,ukulu,mthomba,nau,mwaendia,mwaitu,mama,mwaendia,nau,mthomba,mthomba,mwaendia,ukulu,mthomba,mwaendia,ukulu,ukulu,ukulu,mama,mama,mama,mwaendia,mwaendia,inia iia,mama,mthomba,mthomba,mama,ukulu
