simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBS,mFZS,mMBS,mMZS,mFBD,mFZD,mMBD,mMZD,fFBS,fFZS,fMBS,fMZS,fFBD,fFZD,fMBD,fMZD,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mMeB,mMyB,fFeB,fFyB,fMeB,fMyB
0,0.1715025321449618,0.8260288829215587,0.6545263507765969,p̃ia karɨn,kapa ier,kapa ier,p̃ia karɨn,kapa ier,p̃ia karɨn,kaka,kapa ier,kapa ier,kaka,kapa ier,kapa ier,p̃ia,kapa ier,kaka,kapa ier,kapa ier,kakə,kaka,p̃ia karɨn,kaka,kapa ier,kapa ier,kapa ier,kaka,kapa ier,kapa ier,kapa ier,kaka,p̃ia karɨn,kapa ier,p̃ia karɨn,kaka,p̃ia karɨn,p̃ia karɨn,kakə,kapa ier,kapa ier,p̃ia karɨn,kapa ier,p̃ia karɨn,kapa ier,kakə,p̃ia karɨn,kapa ier,kaka,p̃ia karɨn,kapa ier,kaka,p̃ia karɨn,kapa ier,kapa ier,kakə,kapa ier,kapa ier,kapa ier,p̃ia karɨn,kaka,p̃ia,kaka,kapa ier,p̃ia,kapa ier,kapa ier,kapa ier,kaka,kapa ier,kaka,kapa ier,kapa ier,kaka,p̃ia karɨn,kapa ier,p̃ia karɨn,kapa ier,kaka,p̃ia karɨn,kapa ier,kapa ier,kaka,kaka,p̃ia karɨn,p̃ia karɨn,kaka,kapa ier,mɨra,mɨra,mɨra,nɨsɨn,mɨra,rɨm,mɨra,mɨra,rɨm,nɨsɨn,mɨra,mɨra
1,0.15369784449310264,0.8675632284814612,0.7138653839883585,kakə,p̃ia karɨn,kapa ier,kaka,kaka,kapa ier,kapa ier,kapa ier,p̃ia karɨn,kaka,kapa ier,kapa ier,p̃ia karɨn,kapa ier,kaka,p̃ia karɨn,kapa ier,kapa ier,p̃ia karɨn,kapa ier,kaka,p̃ia,kapa ier,kapa ier,kaka,kaka,p̃ia karɨn,kaka,kapa ier,kapa ier,kaka,kapa ier,kapa ier,p̃ia,kapa ier,kapa ier,kapa ier,kaka,kaka,kaka,p̃ia karɨn,kakə,p̃ia karɨn,kakə,kaka,p̃ia karɨn,kapa ier,p̃ia karɨn,kakə,p̃ia karɨn,kaka,kaka,p̃ia karɨn,kapa ier,kapa ier,kapa ier,kapa ier,kapa ier,kapa ier,kapa ier,kapa ier,p̃ia karɨn,kapa ier,p̃ia karɨn,kapa ier,kaka,kapa ier,p̃ia karɨn,p̃ia karɨn,kaka,kapa ier,kapa ier,p̃ia karɨn,kapa ier,kapa ier,kapa ier,kaka,kapa ier,p̃ia karɨn,kapa ier,kapa ier,p̃ia,kapa ier,p̃ia karɨn,kaka,mɨra,mɨra,mɨra,mɨra,mɨra,nɨsɨn,mɨra,rɨm,rɨm,mɨra,nɨsɨn,mɨra
2,0.14238424945318973,0.815784379856894,0.6734001304037043,kapa ier,p̃ia karɨn,p̃ia karɨn,kapa ier,kaka,p̃ia karɨn,kapa ier,kapa ier,kapa ier,kaka,kapa ier,kapa ier,kapa ier,kaka,kapa ier,kaka,kapa ier,kakə,kaka,p̃ia karɨn,kakə,kapa ier,p̃ia karɨn,kaka,kaka,kapa ier,kapa ier,kaka,kapa ier,kapa ier,p̃ia karɨn,p̃ia karɨn,kapa ier,kapa ier,kapa ier,kaka,kaka,p̃ia karɨn,p̃ia karɨn,kapa ier,kapa ier,kaka,kapa ier,p̃ia karɨn,p̃ia,kapa ier,kapa ier,kaka,kapa ier,kapa ier,p̃ia,kapa ier,p̃ia karɨn,kapa ier,p̃ia karɨn,kaka,kapa ier,p̃ia karɨn,kapa ier,kaka,p̃ia karɨn,p̃ia karɨn,kapa ier,kapa ier,kaka,kapa ier,kapa ier,kapa ier,kaka,kaka,kapa ier,kapa ier,p̃ia karɨn,p̃ia,kapa ier,p̃ia karɨn,kapa ier,kaka,p̃ia karɨn,p̃ia karɨn,kapa ier,kapa ier,kaka,kakə,kakə,mɨra,mɨra,mɨra,nɨsɨn,rɨm,mɨra,mɨra,mɨra,mɨra,rɨm,mɨra,nɨsɨn
3,0.1134015151149882,0.9032885266470554,0.7898870115320672,kaka,p̃ia karɨn,kaka,kapa ier,p̃ia,p̃ia karɨn,kaka,kapa ier,kapa ier,kaka,p̃ia karɨn,kapa ier,p̃ia karɨn,kaka,kaka,p̃ia karɨn,kapa ier,kaka,kapa ier,kapa ier,kaka,kapa ier,kapa ier,p̃ia karɨn,kapa ier,kapa ier,kapa ier,kapa ier,p̃ia karɨn,kapa ier,p̃ia karɨn,kakə,kapa ier,kapa ier,kapa ier,p̃ia karɨn,kapa ier,p̃ia karɨn,p̃ia karɨn,kapa ier,kapa ier,kaka,kaka,kapa ier,kapa ier,kaka,kapa ier,kaka,p̃ia karɨn,p̃ia,p̃ia karɨn,kapa ier,p̃ia karɨn,p̃ia,kapa ier,kapa ier,kaka,p̃ia karɨn,p̃ia karɨn,p̃ia karɨn,kapa ier,kaka,kapa ier,kapa ier,kakə,kapa ier,kapa ier,kapa ier,kapa ier,kakə,kapa ier,kapa ier,p̃ia karɨn,kapa ier,kapa ier,kaka,kaka,p̃ia karɨn,kaka,kapa ier,kakə,kaka,kapa ier,kaka,kapa ier,mɨra,nɨsɨn,rɨm,mɨra,rɨm,mɨra,mɨra,mɨra,mɨra,mɨra,mɨra,nɨsɨn
4,0.05524873944361974,0.815784379856894,0.7605356404132743,kapa ier,p̃ia karɨn,kapa ier,p̃ia karɨn,kakə,kapa ier,p̃ia,kapa ier,kapa ier,kapa ier,kapa ier,kapa ier,p̃ia karɨn,kapa ier,kapa ier,kaka,kapa ier,p̃ia karɨn,kapa ier,kapa ier,kaka,kapa ier,kakə,p̃ia karɨn,kaka,p̃ia karɨn,kakə,p̃ia karɨn,kapa ier,kaka,kapa ier,kapa ier,kapa ier,kapa ier,p̃ia karɨn,kaka,kaka,kaka,p̃ia karɨn,p̃ia karɨn,kaka,kaka,p̃ia karɨn,kaka,p̃ia karɨn,p̃ia karɨn,kapa ier,kaka,kaka,kapa ier,kapa ier,kaka,kapa ier,kaka,kapa ier,kapa ier,p̃ia karɨn,p̃ia karɨn,kapa ier,p̃ia karɨn,kapa ier,kapa ier,kapa ier,kapa ier,kaka,kapa ier,kapa ier,kaka,kapa ier,p̃ia karɨn,kapa ier,p̃ia karɨn,p̃ia,kapa ier,kaka,kapa ier,kapa ier,p̃ia karɨn,kapa ier,kaka,p̃ia,kapa ier,kaka,kapa ier,kakə,mɨra,mɨra,nɨsɨn,mɨra,mɨra,rɨm,mɨra,mɨra,mɨra,rɨm,mɨra,nɨsɨn
5,0.2605501750163183,0.815784379856894,0.5552342048405757,kapa ier,kapa ier,p̃ia karɨn,p̃ia karɨn,kapa ier,kaka,kakə,kaka,kaka,kapa ier,kapa ier,kapa ier,p̃ia karɨn,kapa ier,p̃ia karɨn,kapa ier,kaka,kapa ier,kapa ier,kaka,kapa ier,kapa ier,kaka,p̃ia karɨn,kapa ier,p̃ia karɨn,p̃ia karɨn,kaka,kapa ier,kapa ier,kapa ier,p̃ia karɨn,kaka,kapa ier,kapa ier,kapa ier,kaka,kapa ier,kaka,p̃ia karɨn,kapa ier,kapa ier,kapa ier,kapa ier,kapa ier,kapa ier,p̃ia,kakə,p̃ia karɨn,kakə,kaka,kaka,kaka,kaka,p̃ia karɨn,kapa ier,p̃ia karɨn,kapa ier,p̃ia karɨn,kapa ier,kapa ier,kakə,p̃ia karɨn,p̃ia karɨn,p̃ia karɨn,kapa ier,p̃ia karɨn,kapa ier,p̃ia karɨn,kaka,kapa ier,p̃ia,kapa ier,kapa ier,kapa ier,p̃ia karɨn,kapa ier,kaka,kapa ier,kaka,kaka,kapa ier,p̃ia,kapa ier,kaka,mɨra,mɨra,rɨm,mɨra,mɨra,mɨra,mɨra,rɨm,mɨra,nɨsɨn,nɨsɨn,mɨra
6,0.07913112601964611,0.9338238517147219,0.8546927256950758,kaka,kapa ier,kaka,p̃ia,kapa ier,p̃ia karɨn,p̃ia karɨn,kaka,p̃ia karɨn,kapa ier,p̃ia karɨn,p̃ia karɨn,kapa ier,kapa ier,kapa ier,kapa ier,kaka,kapa ier,kapa ier,p̃ia karɨn,p̃ia karɨn,kaka,kaka,kapa ier,p̃ia karɨn,kapa ier,p̃ia karɨn,kaka,p̃ia karɨn,p̃ia karɨn,kapa ier,kakə,p̃ia karɨn,kapa ier,kapa ier,kapa ier,kapa ier,kaka,kaka,kaka,kaka,kapa ier,p̃ia karɨn,kapa ier,kapa ier,kapa ier,kapa ier,kaka,kaka,kapa ier,kaka,kapa ier,kapa ier,kaka,kaka,p̃ia karɨn,kapa ier,kakə,kapa ier,kapa ier,kapa ier,kapa ier,p̃ia karɨn,kaka,kapa ier,kaka,p̃ia karɨn,kapa ier,p̃ia,kakə,p̃ia karɨn,kaka,kapa ier,kapa ier,kapa ier,kapa ier,p̃ia karɨn,kapa ier,kapa ier,p̃ia,kakə,kapa ier,kapa ier,p̃ia karɨn,kapa ier,mɨra,mɨra,rɨm,rɨm,mɨra,nɨsɨn,mɨra,mɨra,mɨra,mɨra,mɨra,nɨsɨn
7,0.05430684609123493,0.815784379856894,0.7614775337656591,kaka,kaka,p̃ia karɨn,kapa ier,kapa ier,kaka,kapa ier,kapa ier,p̃ia karɨn,p̃ia,kaka,kapa ier,kaka,kapa ier,kakə,kapa ier,kapa ier,kapa ier,kaka,kaka,kaka,p̃ia karɨn,kapa ier,kapa ier,kapa ier,kakə,p̃ia karɨn,kapa ier,kaka,p̃ia karɨn,kapa ier,kapa ier,kapa ier,kapa ier,p̃ia karɨn,kapa ier,kapa ier,kapa ier,p̃ia karɨn,kapa ier,p̃ia karɨn,p̃ia karɨn,kaka,kapa ier,p̃ia karɨn,kapa ier,kapa ier,kapa ier,kapa ier,kapa ier,p̃ia karɨn,kaka,p̃ia karɨn,p̃ia karɨn,kapa ier,kapa ier,kaka,kaka,kakə,kaka,p̃ia karɨn,kapa ier,kakə,kapa ier,p̃ia karɨn,kaka,p̃ia karɨn,p̃ia,p̃ia,kapa ier,kapa ier,kaka,kaka,kapa ier,kaka,kapa ier,kapa ier,kapa ier,kapa ier,kapa ier,p̃ia karɨn,kapa ier,p̃ia karɨn,kaka,p̃ia karɨn,mɨra,mɨra,mɨra,nɨsɨn,mɨra,mɨra,rɨm,nɨsɨn,mɨra,rɨm,mɨra,mɨra
8,0.15446099755876586,0.815784379856894,0.6613233822981281,kapa ier,kaka,kapa ier,kaka,kapa ier,kapa ier,p̃ia karɨn,kakə,kaka,p̃ia karɨn,p̃ia karɨn,kakə,p̃ia karɨn,p̃ia karɨn,kaka,kapa ier,kapa ier,kaka,p̃ia karɨn,p̃ia karɨn,kapa ier,p̃ia karɨn,kapa ier,kapa ier,kapa ier,kapa ier,kapa ier,kaka,kapa ier,kaka,kaka,kapa ier,kaka,kapa ier,p̃ia karɨn,kapa ier,kaka,kaka,kakə,kaka,kapa ier,kaka,p̃ia karɨn,kapa ier,kapa ier,p̃ia karɨn,p̃ia karɨn,kapa ier,kapa ier,p̃ia karɨn,p̃ia karɨn,kapa ier,kapa ier,kapa ier,p̃ia,p̃ia karɨn,kapa ier,kapa ier,kaka,kakə,p̃ia karɨn,kaka,kapa ier,p̃ia karɨn,kaka,kapa ier,p̃ia karɨn,kaka,kapa ier,kaka,kapa ier,p̃ia,kapa ier,kapa ier,kapa ier,kapa ier,kaka,kapa ier,kapa ier,p̃ia karɨn,kapa ier,p̃ia,kapa ier,kapa ier,kapa ier,mɨra,mɨra,mɨra,nɨsɨn,mɨra,rɨm,mɨra,mɨra,mɨra,rɨm,nɨsɨn,mɨra
9,0.11104641158782058,0.8675632284814612,0.7565168168936406,kaka,kapa ier,kapa ier,kapa ier,kaka,kaka,kakə,kapa ier,kaka,kapa ier,kapa ier,p̃ia karɨn,p̃ia karɨn,kapa ier,kapa ier,kapa ier,kapa ier,kaka,p̃ia karɨn,kapa ier,kapa ier,p̃ia karɨn,p̃ia karɨn,kapa ier,kapa ier,kaka,kapa ier,kapa ier,kapa ier,kaka,kapa ier,kaka,kaka,p̃ia,kapa ier,p̃ia karɨn,p̃ia karɨn,kapa ier,kapa ier,kapa ier,kapa ier,kapa ier,kaka,kapa ier,p̃ia,kapa ier,p̃ia karɨn,kapa ier,kaka,kaka,kapa ier,p̃ia karɨn,kaka,kapa ier,kaka,p̃ia karɨn,kapa ier,p̃ia karɨn,p̃ia karɨn,p̃ia karɨn,kaka,kaka,kapa ier,p̃ia karɨn,kapa ier,kapa ier,kaka,kapa ier,kapa ier,p̃ia karɨn,kapa ier,kapa ier,kapa ier,kakə,kaka,p̃ia karɨn,kapa ier,kapa ier,p̃ia karɨn,kakə,kaka,p̃ia karɨn,p̃ia karɨn,p̃ia,kakə,nɨsɨn,rɨm,mɨra,mɨra,rɨm,mɨra,nɨsɨn,mɨra,mɨra,mɨra,mɨra,mɨra
