simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,meB,myB,meZ,myZ,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,feB,fyB,feZ,fyZ,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.04916373496571569,1.1552730075973856,1.10610927263167,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,emak,emak penakan,emak penakan,emak penakan,bapak,bapak penakan,emak penakan,emak penakan,bapak,bapak penakan,bapak penakan,emak penakan,bapak penakan,bapak penakan,emak penakan,bapak penakan,emak penakan,emak,emak penakan,emak penakan,bapak penakan,bapak penakan,bapak penakan,emak penakan,emak penakan,bapak penakan,bapak penakan,bapak penakan
1,0.04951207011343972,1.0976477338834902,1.0481356637700505,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,bapak penakan,emak penakan,bapak penakan,emak,bapak penakan,bapak penakan,bapak penakan,bapak penakan,bapak penakan,emak penakan,emak penakan,emak penakan,bapak penakan,emak,bapak,emak penakan,emak penakan,emak penakan,bapak penakan,emak penakan,emak penakan,bapak penakan,bapak penakan,bapak penakan,emak penakan,emak penakan,bapak,emak penakan
2,0.0209969707422073,1.1341236310094025,1.1131266602671952,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,adek,kakak,kakak,kakak,bapak penakan,emak penakan,emak penakan,bapak penakan,bapak penakan,emak,emak penakan,emak penakan,emak penakan,bapak penakan,bapak penakan,bapak penakan,bapak penakan,bapak penakan,bapak,emak penakan,emak penakan,emak penakan,emak penakan,emak,bapak penakan,bapak penakan,emak penakan,bapak,bapak penakan,emak penakan,bapak penakan,emak penakan
3,0.022884567178341975,1.078766968938344,1.055882401760002,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,adek,kakak,adek,emak penakan,bapak penakan,emak penakan,bapak penakan,bapak penakan,bapak penakan,bapak penakan,bapak penakan,bapak,emak penakan,emak penakan,bapak penakan,emak penakan,emak penakan,bapak penakan,emak penakan,bapak,emak penakan,bapak penakan,emak penakan,bapak penakan,emak penakan,emak,emak penakan,bapak penakan,emak,bapak penakan,emak penakan
4,0.017666669451657402,1.0723661881542688,1.0546995187026114,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,emak penakan,emak penakan,bapak penakan,emak penakan,bapak,emak penakan,bapak penakan,bapak penakan,emak penakan,bapak,bapak penakan,bapak penakan,emak,bapak penakan,emak penakan,emak penakan,emak penakan,bapak penakan,bapak penakan,emak penakan,emak penakan,bapak penakan,bapak penakan,bapak penakan,emak penakan,emak,emak penakan,bapak penakan
5,0.01989087408481982,1.0798307037434225,1.0599398296586027,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,adek,kakak,kakak,kakak,kakak,bapak penakan,bapak penakan,bapak penakan,emak penakan,emak,emak penakan,bapak penakan,bapak penakan,emak penakan,bapak,bapak penakan,emak penakan,emak penakan,emak penakan,bapak penakan,emak penakan,bapak penakan,emak penakan,emak penakan,emak penakan,bapak,emak penakan,bapak penakan,bapak penakan,bapak penakan,emak penakan,bapak penakan,emak
6,0.06189413273266364,1.0762815311530085,1.0143873984203449,kakak,kakak,kakak,kakak,adek,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,emak penakan,emak penakan,bapak,bapak penakan,bapak penakan,bapak penakan,bapak penakan,emak penakan,emak penakan,emak penakan,emak penakan,emak,bapak penakan,emak,bapak penakan,bapak penakan,emak penakan,emak penakan,emak penakan,emak penakan,bapak penakan,bapak penakan,emak penakan,bapak penakan,bapak penakan,bapak penakan,bapak,emak penakan
7,0.026294270687807764,1.0777023635861172,1.0514080928983094,kakak,kakak,adek,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,bapak penakan,emak penakan,bapak penakan,emak penakan,bapak penakan,emak penakan,bapak penakan,bapak penakan,emak penakan,bapak penakan,emak penakan,emak penakan,bapak penakan,emak,emak penakan,emak penakan,bapak,emak penakan,emak penakan,bapak penakan,bapak penakan,bapak penakan,emak penakan,bapak penakan,emak penakan,bapak,bapak penakan,emak
8,0.02658402904162771,1.0798307037434227,1.053246674701795,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,bapak penakan,emak,emak penakan,bapak penakan,emak penakan,bapak penakan,emak penakan,emak penakan,emak penakan,emak penakan,emak penakan,bapak penakan,bapak,bapak penakan,emak penakan,bapak penakan,emak penakan,bapak penakan,emak penakan,bapak penakan,bapak penakan,bapak penakan,emak penakan,emak,emak penakan,bapak penakan,bapak penakan,bapak
9,0.021728263180464502,1.0762815311530085,1.054553267972544,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,adek,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,adek,kakak,kakak,kakak,kakak,kakak,kakak,adek,adek,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,kakak,emak penakan,bapak penakan,bapak penakan,bapak penakan,emak penakan,emak penakan,emak penakan,bapak penakan,emak penakan,emak,emak penakan,emak penakan,emak penakan,emak penakan,bapak penakan,bapak penakan,bapak penakan,bapak penakan,bapak,bapak penakan,bapak penakan,bapak penakan,emak,bapak penakan,emak penakan,emak penakan,emak penakan,bapak
