simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,myZ,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,fyZ,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.1481333584091511,1.7153203060834725,1.5671869476743214,ona a onalingu,ona a onalingu,ona a onalingu,kushi,ona a onalingu,ona a onalingu,kademi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kushi,ona a onalingu,ona a onalingu,ona a onalingu,kadiemi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kushi,ona a onalingu,teti,ona a onalingu,kademi,ona a onalingu,ona a onalingu,kushi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,teti,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,luudi,ona a onalingu,ona a onalingu,ona a onalingu,kadiemi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,nyengesukadi,nyangukadi,nyangupami,shomikadi,shomikadi,nyangupami,nyengesukadi,papa,nyangupami,nyengesukadi,nyangupami,shomikadi,mama,nyangukadi,nyengesukadi,mama,nyengesukadi,shomikadi,papa,nyangukadi,nyangupami,shomikadi,nyengesukadi,nyangupami,nyangukadi,nyangukadi,shomikadi,nyangukadi
1,0.18383821102358255,1.6880959824932171,1.5042577714696346,ona a onalingu,ona a onalingu,ona a onalingu,kademi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kushi,ona a onalingu,ona a onalingu,ona a onalingu,kademi,ona a onalingu,ona a onalingu,ona a onalingu,kushi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,teti,teti,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kadiemi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kushi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,luudi,ona a onalingu,kadiemi,kushi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,papa,nyengesukadi,nyangupami,nyangukadi,nyengesukadi,nyangupami,nyangukadi,nyengesukadi,shomikadi,nyangupami,nyangukadi,nyengesukadi,shomikadi,shomikadi,nyangupami,nyangukadi,shomikadi,nyangukadi,nyangupami,nyangukadi,mama,shomikadi,nyengesukadi,nyengesukadi,nyangupami,papa,shomikadi,mama
2,0.18466844558427242,1.7401652051874335,1.555496759603161,ona a onalingu,luudi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,teti,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kademi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kademi,kadiemi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kushi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,teti,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kushi,ona a onalingu,ona a onalingu,ona a onalingu,kushi,ona a onalingu,kadiemi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kushi,ona a onalingu,nyangupami,shomikadi,shomikadi,nyangukadi,mama,mama,nyengesukadi,nyangupami,shomikadi,nyangupami,nyangupami,papa,shomikadi,nyengesukadi,shomikadi,nyangukadi,nyengesukadi,nyangupami,papa,shomikadi,nyangukadi,nyangukadi,nyangukadi,nyengesukadi,nyangupami,nyengesukadi,nyangukadi,nyengesukadi
3,0.12080865513955108,1.691863021115864,1.571054365976313,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,teti,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,luudi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kushi,ona a onalingu,kushi,ona a onalingu,ona a onalingu,kushi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,teti,kadiemi,ona a onalingu,kademi,ona a onalingu,ona a onalingu,ona a onalingu,kadiemi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kushi,ona a onalingu,ona a onalingu,ona a onalingu,kademi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,shomikadi,nyangukadi,nyangupami,nyangupami,mama,shomikadi,shomikadi,nyangupami,nyangupami,shomikadi,nyengesukadi,nyangukadi,nyangukadi,papa,papa,nyangukadi,nyengesukadi,nyangupami,nyengesukadi,nyengesukadi,nyangukadi,nyengesukadi,shomikadi,mama,nyangukadi,shomikadi,nyangupami,nyengesukadi
4,0.17695278555684224,1.6644178361934236,1.4874650506365814,ona a onalingu,ona a onalingu,ona a onalingu,kadiemi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kadiemi,kademi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,teti,ona a onalingu,kushi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kushi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,luudi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kushi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kademi,ona a onalingu,ona a onalingu,teti,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kushi,ona a onalingu,nyangupami,nyangupami,nyengesukadi,nyengesukadi,mama,shomikadi,shomikadi,nyengesukadi,mama,nyengesukadi,nyangukadi,nyangukadi,shomikadi,papa,nyengesukadi,nyengesukadi,nyangukadi,papa,nyangupami,nyangupami,nyangukadi,shomikadi,shomikadi,nyangupami,shomikadi,nyangupami,nyangukadi,nyangukadi
5,0.15799329735950374,1.6440613590903177,1.486068061730814,kademi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kushi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,teti,ona a onalingu,luudi,ona a onalingu,kademi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kushi,kushi,kadiemi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,teti,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kushi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kadiemi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,mama,nyengesukadi,nyangukadi,shomikadi,nyangukadi,nyangupami,nyangupami,nyangukadi,shomikadi,nyengesukadi,nyengesukadi,shomikadi,nyangupami,nyengesukadi,nyengesukadi,nyangupami,nyengesukadi,papa,shomikadi,nyangupami,nyangupami,papa,nyangukadi,nyangukadi,mama,shomikadi,nyangukadi,shomikadi
6,0.1368013544231561,1.665943264442412,1.5291419100192558,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kademi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kadiemi,ona a onalingu,kushi,ona a onalingu,ona a onalingu,ona a onalingu,kushi,kadiemi,ona a onalingu,ona a onalingu,ona a onalingu,teti,kushi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kushi,ona a onalingu,ona a onalingu,ona a onalingu,luudi,kademi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,teti,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,nyangukadi,shomikadi,shomikadi,nyangupami,nyangupami,nyangukadi,shomikadi,nyangukadi,nyangupami,shomikadi,nyangukadi,nyangukadi,nyangupami,nyengesukadi,nyangupami,nyengesukadi,shomikadi,nyengesukadi,papa,nyangukadi,mama,papa,nyengesukadi,nyengesukadi,shomikadi,mama,nyangupami,nyengesukadi
7,0.1892609011853128,1.6923460115627433,1.5030851103774305,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kushi,ona a onalingu,kademi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kademi,ona a onalingu,kushi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,teti,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kushi,ona a onalingu,kadiemi,luudi,kushi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kadiemi,ona a onalingu,ona a onalingu,teti,shomikadi,shomikadi,nyangupami,nyangukadi,nyangukadi,nyangukadi,nyengesukadi,papa,nyangukadi,nyangukadi,nyangupami,nyangupami,shomikadi,shomikadi,nyengesukadi,shomikadi,nyangupami,mama,nyengesukadi,papa,nyengesukadi,nyengesukadi,nyangupami,nyangupami,nyangukadi,mama,nyengesukadi,shomikadi
8,0.2020632942638778,1.7345134701465166,1.5324501758826388,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kushi,ona a onalingu,luudi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kademi,ona a onalingu,ona a onalingu,teti,ona a onalingu,kushi,ona a onalingu,ona a onalingu,ona a onalingu,teti,ona a onalingu,ona a onalingu,ona a onalingu,kadiemi,kademi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kushi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kushi,ona a onalingu,ona a onalingu,ona a onalingu,kadiemi,ona a onalingu,nyangupami,nyangukadi,shomikadi,shomikadi,nyengesukadi,papa,nyengesukadi,nyangupami,nyangukadi,nyangupami,nyangupami,nyangupami,nyengesukadi,mama,nyangukadi,shomikadi,nyengesukadi,nyengesukadi,mama,nyangukadi,nyengesukadi,nyangukadi,shomikadi,nyangukadi,papa,shomikadi,shomikadi,nyangupami
9,0.1747990557454142,1.6390842960393555,1.4642852402939412,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kadiemi,ona a onalingu,kushi,ona a onalingu,ona a onalingu,ona a onalingu,kadiemi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kushi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,kushi,ona a onalingu,ona a onalingu,luudi,ona a onalingu,kushi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,teti,ona a onalingu,ona a onalingu,ona a onalingu,kademi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,teti,kademi,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,ona a onalingu,nyangukadi,nyangupami,shomikadi,nyangukadi,nyangupami,shomikadi,nyengesukadi,papa,mama,nyengesukadi,nyengesukadi,shomikadi,nyangupami,nyengesukadi,nyangupami,nyangukadi,nyengesukadi,nyengesukadi,nyangukadi,shomikadi,shomikadi,nyangupami,shomikadi,nyangupami,papa,mama,nyangukadi,nyangukadi
