simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mMZS,meB,myB,meZ,myZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fMZS,feB,fyB,feZ,fyZ,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.15797539498239566,1.4003965818898012,1.2424211869074056,cìkìsń,cìkìsń,cìlà,sìzéˑdé,cìdìjé,cìlà,cìdìjé,cìlà,cìłnàˑ'àˑc,sìzéˑdé,cìlà,sìzéˑdé,sìzéˑdé,cìłnàˑ'àˑc,cìkìsń,cìłnàˑ'àˑc,sìzéˑdé,cìdìjé,cìlà,cìkìsń,cìlà,sìzéˑdé,cìdìjé,cìdìjé,cìłnàˑ'àˑc,cìlà,cìlà,cìkìsń,cìdìjé,cìkìsń,sìzéˑdé,cìkìsń,cìlà,cìlà,cìdìjé,cìlà,cìlà,sìzéˑdé,sìzéˑdé,cìlà,cìlà,cìlà,cìdìjé,sìzéˑdé,cìkìsń,sìzéˑdé,cìlà,cìdìjé,cìkìsń,cìlà,cìdìjé,cìlà,cìkìsń,cìlà,cìłnàˑ'àˑc,cìkìsń,cìlà,cìlà,cìlà,cìłnàˑ'àˑc,cìlà,cìlà,cìkìsń,cìlà,sìzéˑdé,cìłnàˑ'àˑc,cìkìsń,cìkìsń,sìzéˑdé,cìdìjé,cìkìsń,cìkìsń,cìlà,cìlà,sìzéˑdé,cìlà,sìzéˑdé,cìkìsń,sìzéˑdé,cìkìsń,sìzéˑdé,cìłnàˑ'àˑc,cìlà,sìzéˑdé,sìzéˑdé,cìkìsń,sìzéˑdé,cìdìjé,cìłnàˑ'àˑc,cìłnàˑ'àˑc,cíkàˑ'á,cìdéjé,cìdéjé,cìdéjé,cìdéjé,cìdà'á,cìdà'á,cìdà'á,cìdéjé,cìdéjé,cìmáˑ,cìdà'á,cìdà'á,cìdéjé,cíkàˑ'á,cíkàˑ'á,cìtàˑ,cìdéjé,cìmáˑ,cíkàˑ'á,cìdà'á,cíkàˑ'á,cìdéjé,cìdéjé,cìdéjé,cíkàˑ'á,cìdéjé,cìtàˑ
1,0.20304968234177734,1.4211609503915823,1.218111268049805,cìkìsń,sìzéˑdé,cìkìsń,cìkìsń,sìzéˑdé,cìkìsń,cìlà,cìłnàˑ'àˑc,cìdìjé,cìkìsń,cìkìsń,cìlà,cìlà,cìłnàˑ'àˑc,cìdìjé,cìłnàˑ'àˑc,sìzéˑdé,cìlà,cìkìsń,sìzéˑdé,cìkìsń,cìkìsń,sìzéˑdé,cìkìsń,cìdìjé,cìlà,cìdìjé,cìlà,cìdìjé,sìzéˑdé,cìdìjé,cìdìjé,cìłnàˑ'àˑc,sìzéˑdé,cìlà,cìdìjé,cìdìjé,cìlà,cìdìjé,cìlà,cìlà,sìzéˑdé,cìlà,sìzéˑdé,cìłnàˑ'àˑc,sìzéˑdé,cìkìsń,cìlà,cìlà,cìłnàˑ'àˑc,cìkìsń,cìlà,cìdìjé,sìzéˑdé,sìzéˑdé,cìłnàˑ'àˑc,cìkìsń,cìlà,cìlà,cìkìsń,sìzéˑdé,cìlà,cìłnàˑ'àˑc,sìzéˑdé,sìzéˑdé,cìlà,cìkìsń,sìzéˑdé,cìlà,cìkìsń,cìkìsń,cìkìsń,cìlà,sìzéˑdé,cìlà,cìlà,cìlà,cìlà,cìlà,cìdìjé,cìlà,sìzéˑdé,sìzéˑdé,cìłnàˑ'àˑc,cìlà,cìkìsń,sìzéˑdé,cìlà,cìlà,cìłnàˑ'àˑc,cìdéjé,cìdà'á,cìtàˑ,cìdà'á,cìdéjé,cíkàˑ'á,cìdà'á,cíkàˑ'á,cìdà'á,cìdéjé,cìtàˑ,cìmáˑ,cìdà'á,cìdéjé,cìdéjé,cìdéjé,cìdéjé,cìmáˑ,cìdéjé,cíkàˑ'á,cíkàˑ'á,cìdéjé,cìdéjé,cíkàˑ'á,cìdéjé,cìdéjé,cíkàˑ'á,cìdà'á
2,0.10728115810441241,1.3223202040046855,1.2150390459002731,cìlà,cìdìjé,sìzéˑdé,cìdìjé,sìzéˑdé,sìzéˑdé,cìlà,cìlà,cìłnàˑ'àˑc,cìlà,cìłnàˑ'àˑc,cìlà,cìkìsń,sìzéˑdé,cìdìjé,cìlà,cìłnàˑ'àˑc,cìlà,cìłnàˑ'àˑc,cìkìsń,sìzéˑdé,cìlà,cìlà,cìkìsń,cìdìjé,cìlà,cìdìjé,cìkìsń,cìlà,cìłnàˑ'àˑc,sìzéˑdé,sìzéˑdé,cìlà,cìkìsń,cìdìjé,sìzéˑdé,sìzéˑdé,cìlà,cìdìjé,sìzéˑdé,cìlà,cìkìsń,cìkìsń,cìdìjé,sìzéˑdé,cìlà,cìlà,cìłnàˑ'àˑc,sìzéˑdé,sìzéˑdé,cìkìsń,cìkìsń,cìlà,cìłnàˑ'àˑc,cìkìsń,cìkìsń,sìzéˑdé,cìkìsń,cìkìsń,cìlà,cìdìjé,sìzéˑdé,cìkìsń,cìlà,cìlà,cìdìjé,cìkìsń,cìlà,sìzéˑdé,cìłnàˑ'àˑc,cìdìjé,cìlà,cìlà,cìdìjé,cìlà,sìzéˑdé,cìłnàˑ'àˑc,cìkìsń,cìkìsń,sìzéˑdé,sìzéˑdé,cìkìsń,cìlà,cìkìsń,cìlà,cìlà,sìzéˑdé,cìlà,cìlà,cìłnàˑ'àˑc,cìdéjé,cìdéjé,cìdéjé,cìdéjé,cìdéjé,cìdéjé,cíkàˑ'á,cíkàˑ'á,cìdéjé,cìdà'á,cìmáˑ,cìdéjé,cíkàˑ'á,cìdéjé,cìmáˑ,cìdà'á,cíkàˑ'á,cìdéjé,cìdà'á,cìdà'á,cíkàˑ'á,cìdéjé,cíkàˑ'á,cìtàˑ,cìdà'á,cìdà'á,cìtàˑ,cìdéjé
3,0.12895417199881298,1.3525350923131454,1.2235809203143324,cìłnàˑ'àˑc,cìlà,cìdìjé,cìkìsń,cìlà,cìkìsń,cìkìsń,cìdìjé,cìdìjé,cìlà,cìlà,cìłnàˑ'àˑc,cìkìsń,cìlà,sìzéˑdé,cìlà,sìzéˑdé,cìlà,cìlà,cìkìsń,cìkìsń,cìdìjé,cìłnàˑ'àˑc,sìzéˑdé,cìlà,cìkìsń,cìlà,cìdìjé,cìlà,cìlà,cìlà,sìzéˑdé,cìlà,cìkìsń,cìdìjé,cìkìsń,sìzéˑdé,cìkìsń,sìzéˑdé,sìzéˑdé,sìzéˑdé,cìłnàˑ'àˑc,cìlà,cìlà,cìkìsń,sìzéˑdé,cìdìjé,sìzéˑdé,cìlà,cìdìjé,cìdìjé,sìzéˑdé,cìlà,cìlà,cìlà,cìłnàˑ'àˑc,cìkìsń,cìkìsń,sìzéˑdé,cìdìjé,cìlà,cìlà,cìlà,cìłnàˑ'àˑc,sìzéˑdé,sìzéˑdé,cìkìsń,cìdìjé,sìzéˑdé,sìzéˑdé,sìzéˑdé,cìkìsń,cìlà,cìkìsń,cìlà,cìłnàˑ'àˑc,cìłnàˑ'àˑc,cìlà,cìlà,cìłnàˑ'àˑc,cìłnàˑ'àˑc,cìlà,sìzéˑdé,cìkìsń,cìkìsń,sìzéˑdé,sìzéˑdé,cìkìsń,cìlà,cìdìjé,cìtàˑ,cìdéjé,cìdéjé,cìdéjé,cìdéjé,cíkàˑ'á,cíkàˑ'á,cìmáˑ,cíkàˑ'á,cìdéjé,cìdéjé,cìdà'á,cíkàˑ'á,cìdà'á,cìdéjé,cìdà'á,cìdéjé,cìdéjé,cìdà'á,cìmáˑ,cìdéjé,cìtàˑ,cìdà'á,cìdéjé,cìdéjé,cíkàˑ'á,cìdà'á,cíkàˑ'á
4,0.13262343737011162,1.3327325401336727,1.200109102763561,cìlà,cìlà,cìkìsń,cìlà,cìlà,cìkìsń,cìlà,sìzéˑdé,sìzéˑdé,cìłnàˑ'àˑc,cìkìsń,cìlà,cìdìjé,cìłnàˑ'àˑc,cìdìjé,sìzéˑdé,cìlà,cìkìsń,cìkìsń,sìzéˑdé,sìzéˑdé,cìlà,sìzéˑdé,sìzéˑdé,cìlà,cìkìsń,cìdìjé,cìlà,sìzéˑdé,cìlà,cìlà,cìdìjé,cìlà,cìkìsń,cìdìjé,cìkìsń,sìzéˑdé,cìlà,cìlà,cìlà,cìdìjé,cìkìsń,cìdìjé,cìlà,sìzéˑdé,cìkìsń,cìkìsń,cìkìsń,sìzéˑdé,cìłnàˑ'àˑc,cìlà,cìdìjé,cìdìjé,cìdìjé,cìkìsń,sìzéˑdé,cìlà,cìlà,sìzéˑdé,cìdìjé,sìzéˑdé,cìłnàˑ'àˑc,cìlà,cìlà,cìlà,cìdìjé,cìkìsń,sìzéˑdé,cìlà,cìłnàˑ'àˑc,cìłnàˑ'àˑc,cìłnàˑ'àˑc,cìlà,cìlà,cìkìsń,cìłnàˑ'àˑc,sìzéˑdé,cìłnàˑ'àˑc,cìlà,sìzéˑdé,sìzéˑdé,sìzéˑdé,cìkìsń,cìkìsń,cìkìsń,cìlà,sìzéˑdé,cìlà,cìłnàˑ'àˑc,cìkìsń,cìdà'á,cìdéjé,cìdà'á,cìdéjé,cìdà'á,cìdéjé,cìdéjé,cìdà'á,cìdéjé,cìtàˑ,cíkàˑ'á,cíkàˑ'á,cìdà'á,cìtàˑ,cíkàˑ'á,cíkàˑ'á,cíkàˑ'á,cìdà'á,cìdéjé,cìdéjé,cìdéjé,cíkàˑ'á,cìdéjé,cìmáˑ,cìdéjé,cìdéjé,cìdéjé,cìmáˑ
5,0.0994350228937857,1.3806771073628843,1.2812420844690986,sìzéˑdé,cìdìjé,cìlà,cìłnàˑ'àˑc,cìlà,sìzéˑdé,cìlà,cìkìsń,cìdìjé,cìłnàˑ'àˑc,cìkìsń,sìzéˑdé,cìlà,cìdìjé,cìlà,cìłnàˑ'àˑc,cìlà,cìlà,cìłnàˑ'àˑc,cìkìsń,cìłnàˑ'àˑc,cìdìjé,cìlà,cìlà,sìzéˑdé,cìkìsń,cìdìjé,cìłnàˑ'àˑc,cìlà,cìlà,cìkìsń,cìkìsń,sìzéˑdé,cìdìjé,cìdìjé,cìlà,cìlà,cìkìsń,sìzéˑdé,sìzéˑdé,cìlà,cìlà,sìzéˑdé,cìkìsń,cìkìsń,cìlà,cìkìsń,cìkìsń,cìlà,cìkìsń,sìzéˑdé,cìlà,cìłnàˑ'àˑc,cìlà,cìlà,sìzéˑdé,cìdìjé,sìzéˑdé,sìzéˑdé,sìzéˑdé,cìkìsń,sìzéˑdé,cìdìjé,cìlà,cìlà,cìkìsń,sìzéˑdé,cìkìsń,cìlà,cìdìjé,cìkìsń,cìkìsń,cìłnàˑ'àˑc,sìzéˑdé,sìzéˑdé,sìzéˑdé,cìlà,cìlà,cìlà,cìlà,cìkìsń,cìłnàˑ'àˑc,cìkìsń,cìłnàˑ'àˑc,cìdìjé,sìzéˑdé,cìlà,cìdìjé,cìlà,sìzéˑdé,cíkàˑ'á,cìdà'á,cìdéjé,cìdéjé,cìdéjé,cìdà'á,cìtàˑ,cìdéjé,cíkàˑ'á,cìdéjé,cìtàˑ,cìdéjé,cìmáˑ,cìdéjé,cìdà'á,cìdéjé,cìdà'á,cíkàˑ'á,cìdéjé,cìmáˑ,cìdà'á,cíkàˑ'á,cìdéjé,cìdéjé,cìdà'á,cíkàˑ'á,cíkàˑ'á,cìdéjé
6,0.10036639011326276,1.353761759923908,1.2533953698106453,sìzéˑdé,cìłnàˑ'àˑc,cìkìsń,cìłnàˑ'àˑc,cìlà,cìlà,cìłnàˑ'àˑc,cìkìsń,cìdìjé,cìkìsń,cìdìjé,sìzéˑdé,cìlà,sìzéˑdé,cìlà,sìzéˑdé,sìzéˑdé,cìłnàˑ'àˑc,cìkìsń,cìłnàˑ'àˑc,cìdìjé,sìzéˑdé,cìdìjé,cìlà,cìdìjé,cìlà,sìzéˑdé,cìdìjé,cìkìsń,cìkìsń,cìlà,cìlà,cìkìsń,cìlà,cìłnàˑ'àˑc,cìkìsń,sìzéˑdé,cìlà,sìzéˑdé,cìlà,cìlà,sìzéˑdé,cìkìsń,cìkìsń,cìdìjé,cìlà,sìzéˑdé,cìlà,cìlà,cìlà,cìlà,cìkìsń,sìzéˑdé,cìlà,cìlà,cìdìjé,cìkìsń,cìkìsń,cìłnàˑ'àˑc,cìlà,cìlà,sìzéˑdé,cìlà,cìlà,cìdìjé,cìdìjé,cìkìsń,cìkìsń,cìdìjé,sìzéˑdé,sìzéˑdé,cìlà,sìzéˑdé,sìzéˑdé,cìkìsń,cìłnàˑ'àˑc,cìłnàˑ'àˑc,cìlà,cìlà,cìlà,cìkìsń,cìlà,cìkìsń,sìzéˑdé,cìkìsń,cìlà,sìzéˑdé,cìłnàˑ'àˑc,sìzéˑdé,cìdìjé,cìdéjé,cìdà'á,cíkàˑ'á,cìdéjé,cìtàˑ,cìdéjé,cìdéjé,cìdéjé,cìmáˑ,cìdà'á,cìmáˑ,cíkàˑ'á,cíkàˑ'á,cìdéjé,cìtàˑ,cìdà'á,cìdéjé,cìdéjé,cìdà'á,cìdéjé,cìdéjé,cíkàˑ'á,cíkàˑ'á,cìdéjé,cíkàˑ'á,cìdà'á,cìdà'á,cìdéjé
7,0.1484495918726232,1.3404434440869237,1.1919938522143005,cìkìsń,sìzéˑdé,cìlà,cìkìsń,cìlà,cìkìsń,cìłnàˑ'àˑc,cìłnàˑ'àˑc,cìłnàˑ'àˑc,cìkìsń,cìdìjé,cìdìjé,cìkìsń,cìlà,cìkìsń,cìlà,cìdìjé,cìlà,sìzéˑdé,cìdìjé,cìkìsń,cìlà,sìzéˑdé,cìlà,cìkìsń,sìzéˑdé,sìzéˑdé,cìkìsń,sìzéˑdé,cìlà,cìlà,cìlà,cìłnàˑ'àˑc,cìłnàˑ'àˑc,cìłnàˑ'àˑc,cìlà,cìkìsń,cìlà,cìdìjé,cìlà,cìlà,sìzéˑdé,cìlà,cìlà,cìkìsń,cìkìsń,cìdìjé,cìlà,cìkìsń,cìdìjé,cìkìsń,sìzéˑdé,cìlà,cìkìsń,sìzéˑdé,cìlà,cìkìsń,sìzéˑdé,sìzéˑdé,sìzéˑdé,sìzéˑdé,sìzéˑdé,cìdìjé,sìzéˑdé,cìlà,cìlà,cìkìsń,cìlà,cìłnàˑ'àˑc,sìzéˑdé,cìlà,cìkìsń,cìłnàˑ'àˑc,sìzéˑdé,cìlà,cìlà,sìzéˑdé,sìzéˑdé,cìlà,cìłnàˑ'àˑc,cìdìjé,cìlà,cìlà,cìdìjé,cìdìjé,cìkìsń,cìłnàˑ'àˑc,cìdìjé,sìzéˑdé,cìlà,cìdà'á,cìdéjé,cìdà'á,cìdéjé,cìdéjé,cìdéjé,cìdéjé,cìtàˑ,cìmáˑ,cíkàˑ'á,cìdéjé,cíkàˑ'á,cìdà'á,cíkàˑ'á,cìdéjé,cìmáˑ,cìtàˑ,cìdéjé,cìdéjé,cìdéjé,cíkàˑ'á,cìdéjé,cíkàˑ'á,cìdéjé,cìdà'á,cìdà'á,cìdà'á,cíkàˑ'á
8,0.0819154095634671,1.437560526119967,1.3556451165565,cìlà,cìdìjé,cìlà,sìzéˑdé,cìłnàˑ'àˑc,cìlà,cìkìsń,cìkìsń,sìzéˑdé,cìkìsń,sìzéˑdé,cìlà,cìlà,cìłnàˑ'àˑc,cìłnàˑ'àˑc,cìlà,sìzéˑdé,sìzéˑdé,cìkìsń,cìdìjé,cìlà,cìdìjé,cìdìjé,cìlà,cìkìsń,cìkìsń,cìlà,sìzéˑdé,cìkìsń,sìzéˑdé,sìzéˑdé,cìdìjé,cìlà,cìlà,cìlà,cìlà,cìlà,cìkìsń,cìlà,cìlà,cìlà,cìkìsń,cìlà,cìlà,cìłnàˑ'àˑc,cìlà,cìlà,cìłnàˑ'àˑc,sìzéˑdé,cìlà,sìzéˑdé,sìzéˑdé,sìzéˑdé,cìkìsń,sìzéˑdé,cìłnàˑ'àˑc,cìkìsń,cìdìjé,cìkìsń,cìdìjé,sìzéˑdé,sìzéˑdé,cìkìsń,sìzéˑdé,cìdìjé,sìzéˑdé,cìlà,cìłnàˑ'àˑc,cìlà,cìdìjé,sìzéˑdé,cìdìjé,cìkìsń,cìlà,cìlà,cìłnàˑ'àˑc,cìkìsń,cìkìsń,cìlà,cìlà,cìlà,cìkìsń,cìdìjé,sìzéˑdé,cìłnàˑ'àˑc,cìkìsń,cìkìsń,cìdìjé,sìzéˑdé,cìłnàˑ'àˑc,cìtàˑ,cíkàˑ'á,cìtàˑ,cíkàˑ'á,cìdéjé,cìdéjé,cìdà'á,cìdéjé,cíkàˑ'á,cíkàˑ'á,cìdéjé,cìdéjé,cìdéjé,cìdà'á,cíkàˑ'á,cìdà'á,cìmáˑ,cìdéjé,cíkàˑ'á,cìdà'á,cìdéjé,cìmáˑ,cìdéjé,cìdéjé,cìdéjé,cìdà'á,cìdà'á,cìdéjé
9,0.140047761464428,1.4230963560372563,1.2830485945728283,cìlà,cìlà,cìkìsń,cìłnàˑ'àˑc,sìzéˑdé,sìzéˑdé,cìlà,cìlà,cìlà,cìlà,cìlà,sìzéˑdé,cìlà,cìlà,sìzéˑdé,cìkìsń,cìkìsń,sìzéˑdé,sìzéˑdé,cìlà,cìkìsń,cìkìsń,cìlà,cìkìsń,cìkìsń,cìlà,cìlà,sìzéˑdé,cìłnàˑ'àˑc,cìlà,cìlà,cìkìsń,sìzéˑdé,cìkìsń,cìłnàˑ'àˑc,cìdìjé,cìkìsń,cìlà,cìdìjé,cìdìjé,sìzéˑdé,cìlà,sìzéˑdé,cìlà,cìlà,cìłnàˑ'àˑc,cìlà,sìzéˑdé,cìłnàˑ'àˑc,cìkìsń,sìzéˑdé,cìlà,cìdìjé,cìkìsń,cìlà,cìłnàˑ'àˑc,sìzéˑdé,cìłnàˑ'àˑc,cìkìsń,cìlà,sìzéˑdé,cìdìjé,sìzéˑdé,cìdìjé,sìzéˑdé,cìdìjé,cìdìjé,sìzéˑdé,cìlà,cìłnàˑ'àˑc,sìzéˑdé,cìdìjé,cìkìsń,cìlà,cìkìsń,cìdìjé,cìdìjé,cìkìsń,cìdìjé,cìlà,cìkìsń,cìlà,cìlà,cìkìsń,cìlà,cìłnàˑ'àˑc,cìkìsń,cìłnàˑ'àˑc,sìzéˑdé,sìzéˑdé,cìdéjé,cìdéjé,cìdéjé,cìmáˑ,cíkàˑ'á,cìdéjé,cìdà'á,cìdéjé,cíkàˑ'á,cìdà'á,cìdà'á,cíkàˑ'á,cìdéjé,cìtàˑ,cíkàˑ'á,cìdéjé,cíkàˑ'á,cìtàˑ,cìdéjé,cìmáˑ,cìdà'á,cìdéjé,cìdéjé,cìdéjé,cíkàˑ'á,cìdà'á,cìdéjé,cìdà'á
