simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.17097974194214471,1.1115305443848247,0.94055080244268,fono,fono,fono mpin,fono,fono,ftene timoli,fono mpin,rimo,ftene tinimjomi,fono mpin,fono mpin,fono,rimo timoli,fono,fono,fono,fono mpin,fono mpin,fono mpin,fono mpin,fono,fono,fono,fono mpin,rimo,fono mpin,fono mpin,fono mpin,ftene timoli,fono,fono mpin,fono,fono,fono mpin,ftene tinimjomi,fono mpin,rimo timoli,fono,fono,gowa,gowa,gowa,nene,gowa,mama,gowa,mama toewa,mama toewa,mama toewa,mama toewa,mama toewa,mama toewa,mama toewa,nene,gowa,gowa,mama toewa,gowa
1,0.2407332894220493,1.1379348985211266,0.8972016090990773,fono mpin,rimo timoli,fono,fono,fono mpin,ftene timoli,fono mpin,fono mpin,fono mpin,fono mpin,fono,fono mpin,fono mpin,fono mpin,fono,fono mpin,fono,rimo timoli,ftene tinimjomi,fono,fono mpin,fono,fono,rimo,fono,fono mpin,fono,fono,fono,fono,fono mpin,fono,fono,fono mpin,fono mpin,ftene timoli,fono,rimo,ftene tinimjomi,nene,mama toewa,gowa,mama,mama toewa,gowa,nene,mama toewa,mama toewa,gowa,mama toewa,gowa,gowa,mama toewa,gowa,mama toewa,mama toewa,gowa,gowa
2,0.1664203949098807,1.114352137506736,0.9479317425968553,rimo timoli,fono,fono mpin,ftene timoli,fono mpin,fono mpin,fono,fono,fono mpin,fono mpin,fono,fono,fono,rimo,ftene tinimjomi,fono,fono mpin,fono mpin,fono mpin,fono mpin,ftene timoli,fono,fono mpin,fono,fono,fono mpin,rimo timoli,fono mpin,fono,fono,fono mpin,rimo,fono,fono,fono mpin,ftene tinimjomi,fono mpin,fono,fono,mama toewa,gowa,mama toewa,gowa,mama toewa,nene,gowa,nene,mama,mama toewa,mama toewa,mama toewa,gowa,gowa,gowa,mama toewa,gowa,mama toewa,gowa
3,0.09717271625562374,1.1379348985211266,1.0407621822655029,fono,fono mpin,ftene tinimjomi,fono,ftene timoli,fono mpin,rimo timoli,fono,fono mpin,fono mpin,fono,fono,fono mpin,fono,ftene tinimjomi,rimo,fono mpin,fono mpin,fono mpin,fono,fono mpin,fono,fono,rimo,fono,fono,fono,fono,rimo timoli,fono mpin,fono mpin,ftene timoli,fono mpin,fono,fono mpin,fono mpin,fono,fono,fono mpin,mama toewa,gowa,nene,mama toewa,gowa,mama toewa,gowa,gowa,mama toewa,nene,mama toewa,gowa,mama toewa,gowa,mama,gowa,mama toewa,gowa,mama toewa
4,0.056027574358097354,1.1115305443848247,1.0555029700267273,fono mpin,ftene tinimjomi,fono mpin,rimo timoli,fono,fono,fono,fono mpin,fono,fono mpin,fono,fono,fono mpin,fono,fono mpin,fono,rimo,fono,fono mpin,ftene timoli,fono mpin,fono,rimo timoli,rimo,ftene tinimjomi,fono,fono mpin,fono mpin,ftene timoli,fono,fono mpin,fono,fono mpin,fono mpin,fono,fono,fono mpin,fono mpin,fono,gowa,gowa,gowa,mama toewa,mama,gowa,mama toewa,mama toewa,mama toewa,mama toewa,gowa,mama toewa,mama toewa,nene,nene,gowa,mama toewa,gowa,gowa
5,0.10961403894642152,1.115760575521792,1.0061465365753706,fono mpin,ftene timoli,ftene timoli,fono,fono,fono,rimo timoli,fono,fono mpin,fono mpin,fono,fono mpin,fono mpin,fono,fono,fono,rimo,fono,fono mpin,fono mpin,fono,rimo,fono mpin,fono,fono,fono,ftene tinimjomi,ftene tinimjomi,fono mpin,fono mpin,fono,rimo timoli,fono mpin,fono mpin,fono,fono mpin,fono mpin,fono mpin,fono,mama toewa,gowa,gowa,gowa,mama toewa,mama toewa,gowa,gowa,mama toewa,mama toewa,mama toewa,gowa,gowa,mama,mama toewa,mama toewa,nene,gowa,nene
6,0.22201444024353134,1.146491661886258,0.9244772216427266,fono,fono,fono,fono mpin,fono mpin,fono mpin,fono,fono,fono mpin,fono mpin,fono,fono mpin,rimo timoli,fono mpin,fono,fono mpin,fono mpin,ftene timoli,fono mpin,fono mpin,fono,fono,fono,fono,fono mpin,rimo,rimo,fono,fono,fono mpin,fono,fono,ftene timoli,fono mpin,fono,ftene tinimjomi,ftene tinimjomi,fono mpin,rimo timoli,mama,gowa,gowa,gowa,mama toewa,mama toewa,nene,gowa,mama toewa,mama toewa,gowa,gowa,mama toewa,nene,mama toewa,gowa,mama toewa,mama toewa,gowa
7,0.12382781040940438,1.1386534973379208,1.0148256869285164,rimo,fono,fono,fono mpin,fono,fono mpin,fono,fono mpin,fono mpin,fono,fono mpin,ftene timoli,fono,fono mpin,fono mpin,ftene tinimjomi,fono mpin,fono,fono mpin,fono mpin,fono,fono mpin,ftene timoli,rimo timoli,fono,fono mpin,fono,ftene tinimjomi,fono,fono,fono mpin,fono,fono mpin,fono,fono,fono,rimo timoli,fono mpin,rimo,gowa,gowa,nene,mama toewa,mama toewa,gowa,nene,mama,mama toewa,gowa,mama toewa,mama toewa,gowa,gowa,mama toewa,gowa,gowa,mama toewa,mama toewa
8,0.25246874580139156,1.1715428832604213,0.9190741374590298,fono,fono mpin,fono mpin,fono,ftene timoli,fono mpin,ftene tinimjomi,fono mpin,rimo timoli,fono,fono,fono,fono,fono,fono mpin,fono,ftene timoli,fono mpin,fono mpin,fono,ftene tinimjomi,fono mpin,fono,fono,fono mpin,fono mpin,fono,fono,fono mpin,fono,fono mpin,rimo,fono mpin,rimo timoli,fono mpin,rimo,fono,fono mpin,fono,mama,nene,mama toewa,mama toewa,gowa,mama toewa,gowa,nene,gowa,gowa,gowa,gowa,mama toewa,mama toewa,mama toewa,gowa,mama toewa,mama toewa,gowa
9,0.26360631849824956,1.115760575521792,0.8521542570235425,fono,fono mpin,ftene tinimjomi,rimo,fono,fono mpin,fono,fono mpin,fono,fono mpin,fono mpin,rimo timoli,rimo,fono mpin,fono,fono,fono mpin,fono,fono,fono,fono mpin,fono mpin,fono,ftene tinimjomi,fono mpin,fono,fono mpin,fono,fono mpin,ftene timoli,fono mpin,fono,fono mpin,ftene timoli,fono,rimo timoli,fono,fono,fono mpin,gowa,mama toewa,mama toewa,mama toewa,mama toewa,gowa,mama,mama toewa,gowa,nene,nene,gowa,mama toewa,gowa,gowa,gowa,gowa,mama toewa,mama toewa
