simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,mMBD,mMZD,mFBS,mFZS,meZ,myZ,mFeBS,mFyBS,mFeZS,mFyZS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mMBeD,mMByD,mMZeD,mMZyD,fZ,feB,fyB,fMBD,fMZD,fFBS,fFZS,feZ,fyZ,fFeBS,fFyBS,fFeZS,fFyZS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mMB,mMeB,mMyB,fF,fM,fMB,fMeB,fMyB
0,0.18086068990264326,0.9446889734058668,0.7638282835032235,mbutani,mbutani,mbutani,mbutani,mbutani,kibusi,mbutani,mbutani,kibusi,mbutani,kibusi,kibusi,mbutani,mbutani,kibusi,kibusi,kibusi,kibusi,mbutani,mbutani,mbutani,mpangi,kibusi,yaya,mpangi,kibusi,kibusi,mbutani,mbutani,kibusi,kibusi,mbutani,kibusi,kibusi,yaya,kibusi,mbutani,kibusi,kibusi,mbutani,kibusi,kibusi,kibusi,kibusi,kibusi,mbutani,mbutani,kibusi,kibusi,mama,ngwa,tata,ngwa,ngwa,ngwa,ngwa,mama,ngwa,tata
1,0.1407382628351449,0.9833122247384489,0.842573961903304,mbutani,kibusi,kibusi,mbutani,mbutani,mbutani,kibusi,kibusi,mbutani,kibusi,kibusi,mpangi,kibusi,kibusi,kibusi,mbutani,kibusi,mbutani,mbutani,mpangi,mbutani,mbutani,kibusi,kibusi,yaya,kibusi,mbutani,kibusi,mbutani,kibusi,kibusi,mbutani,kibusi,kibusi,kibusi,kibusi,mbutani,yaya,mbutani,mbutani,mbutani,mbutani,mbutani,kibusi,kibusi,mbutani,kibusi,kibusi,kibusi,ngwa,mama,tata,ngwa,ngwa,ngwa,tata,ngwa,mama,ngwa
2,0.024964062257330832,1.0143919935751258,0.9894279313177949,kibusi,kibusi,mbutani,mbutani,mpangi,yaya,kibusi,kibusi,kibusi,kibusi,mbutani,kibusi,kibusi,mbutani,kibusi,kibusi,kibusi,kibusi,mbutani,mbutani,kibusi,kibusi,kibusi,mbutani,mbutani,kibusi,kibusi,mbutani,kibusi,mbutani,kibusi,mbutani,kibusi,mbutani,yaya,mpangi,mbutani,kibusi,kibusi,mbutani,kibusi,kibusi,mbutani,mbutani,mbutani,mbutani,mbutani,mbutani,kibusi,mama,tata,mama,ngwa,ngwa,ngwa,ngwa,tata,ngwa,ngwa
3,0.1699638702139039,0.8975010785945179,0.727537208380614,mbutani,mbutani,mbutani,kibusi,mbutani,mbutani,kibusi,kibusi,kibusi,kibusi,kibusi,kibusi,kibusi,mpangi,mbutani,kibusi,kibusi,kibusi,mbutani,kibusi,kibusi,mpangi,mbutani,kibusi,mbutani,mbutani,mbutani,kibusi,kibusi,mbutani,kibusi,kibusi,mbutani,kibusi,mbutani,kibusi,kibusi,mbutani,yaya,kibusi,mbutani,mbutani,kibusi,mbutani,kibusi,yaya,kibusi,mbutani,mbutani,ngwa,tata,ngwa,ngwa,mama,ngwa,ngwa,tata,mama,ngwa
4,0.06759891704721321,0.9833122247384487,0.9157133076912355,kibusi,kibusi,mbutani,kibusi,kibusi,mbutani,kibusi,yaya,kibusi,kibusi,mbutani,kibusi,kibusi,mbutani,kibusi,mbutani,mbutani,kibusi,mbutani,mbutani,mpangi,kibusi,mbutani,yaya,mbutani,kibusi,kibusi,mbutani,mpangi,kibusi,kibusi,kibusi,mbutani,mbutani,kibusi,mbutani,mbutani,mbutani,kibusi,kibusi,kibusi,kibusi,kibusi,mbutani,kibusi,mbutani,mbutani,kibusi,mbutani,mama,ngwa,ngwa,ngwa,ngwa,ngwa,tata,mama,tata,ngwa
5,0.27011366966093464,0.8675632284814612,0.5974495588205265,kibusi,kibusi,mbutani,kibusi,kibusi,kibusi,mbutani,mbutani,kibusi,mbutani,kibusi,kibusi,mbutani,kibusi,mpangi,kibusi,mbutani,mbutani,kibusi,kibusi,mbutani,mbutani,mbutani,kibusi,yaya,mbutani,mbutani,kibusi,mbutani,mbutani,mbutani,kibusi,kibusi,mbutani,kibusi,mbutani,mbutani,kibusi,mbutani,kibusi,kibusi,kibusi,kibusi,kibusi,kibusi,kibusi,mpangi,mbutani,yaya,ngwa,ngwa,mama,ngwa,tata,ngwa,ngwa,tata,ngwa,mama
6,0.05085707014962215,0.9833122247384487,0.9324551545888266,mbutani,mbutani,mbutani,kibusi,mbutani,mbutani,mbutani,kibusi,mbutani,mbutani,mpangi,mbutani,mbutani,kibusi,kibusi,mbutani,kibusi,mbutani,kibusi,mbutani,mbutani,mpangi,yaya,kibusi,kibusi,kibusi,mbutani,kibusi,kibusi,kibusi,kibusi,kibusi,kibusi,kibusi,mbutani,mbutani,kibusi,mbutani,kibusi,kibusi,kibusi,mbutani,mbutani,kibusi,yaya,kibusi,kibusi,kibusi,kibusi,ngwa,tata,mama,ngwa,tata,mama,ngwa,ngwa,ngwa,ngwa
7,0.06523098633098012,0.9833122247384489,0.9180812384074688,mbutani,mbutani,kibusi,mbutani,mbutani,kibusi,kibusi,kibusi,kibusi,mbutani,yaya,mbutani,kibusi,mbutani,mbutani,mbutani,kibusi,mbutani,kibusi,mbutani,kibusi,kibusi,mbutani,kibusi,kibusi,mpangi,mbutani,mbutani,yaya,kibusi,mpangi,mbutani,kibusi,mbutani,kibusi,kibusi,kibusi,kibusi,kibusi,mbutani,mbutani,kibusi,kibusi,kibusi,kibusi,mbutani,kibusi,kibusi,mbutani,ngwa,ngwa,tata,ngwa,ngwa,tata,mama,ngwa,ngwa,mama
8,0.06476094881857031,0.9502705392332347,0.8855095904146644,mbutani,yaya,kibusi,kibusi,mbutani,mbutani,kibusi,mbutani,mpangi,kibusi,yaya,kibusi,kibusi,kibusi,mbutani,mbutani,mbutani,mbutani,kibusi,kibusi,kibusi,kibusi,kibusi,mbutani,kibusi,mbutani,kibusi,kibusi,kibusi,kibusi,mbutani,mbutani,kibusi,mbutani,mbutani,kibusi,mbutani,mbutani,kibusi,mbutani,mpangi,kibusi,kibusi,kibusi,mbutani,kibusi,mbutani,mbutani,kibusi,mama,tata,ngwa,tata,mama,ngwa,ngwa,ngwa,ngwa,ngwa
9,0.03041916917491483,0.9502705392332347,0.9198513700583199,kibusi,yaya,mbutani,mpangi,mbutani,mpangi,mbutani,kibusi,mbutani,mbutani,mbutani,kibusi,mbutani,kibusi,kibusi,mbutani,mbutani,kibusi,mbutani,kibusi,mbutani,mbutani,kibusi,kibusi,kibusi,kibusi,kibusi,kibusi,kibusi,kibusi,mbutani,mbutani,kibusi,kibusi,kibusi,kibusi,kibusi,mbutani,mbutani,mbutani,kibusi,mbutani,yaya,kibusi,mbutani,mbutani,kibusi,kibusi,kibusi,tata,ngwa,ngwa,tata,ngwa,mama,ngwa,ngwa,mama,ngwa
