simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFBeS,mFByS,mFBeD,mFByD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeS,mMZyS,mMZeD,mMZyD,fFBeS,fFByS,fFBeD,fFByD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZyS,fMZeD,fMZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.6829081047004717,0.9799711820833054,0.29706307738283366,"tua-hine, tau-hatu","tua-kana, tau-hatu",tua-ngane,tua-hine,tua-hine,teina,"tua-ngane, tau-hatu",teina,"tua-ngane, tau-hatu","tua-kana, tau-hatu",tua-ngane,tua-hine,"tua-kana, tau-hatu","tua-ngane, tau-hatu",teina,teina,tua-hine,"tua-kana, tau-hatu",teina,"tua-kana, tau-hatu",teina,"tua-hine, tau-hatu","tua-kana, tau-hatu",tua-ngane,teina,tua-ngane,teina,"tua-kana, tau-hatu",tua-ngane,"tua-hine, tau-hatu","tua-ngane, tau-hatu",tua-hine,teina,teina,"tua-kana, tau-hatu","tua-kana, tau-hatu","tua-hine, tau-hatu","tua-ngane, tau-hatu",papa,tau-eka,matua-wahine,matua-wahine,papa,tira,matua-wahine,matua-wahine,tau-eka,tau-eka,tau-eka,tau-eka,matua-wahine,matua-wahine,matua-wahine,tau-eka,tau-eka,tira,matua-wahine,tau-eka
1,0.04439097496740252,1.0346012329101812,0.9902102579427787,tua-hine,teina,tua-hine,"tua-ngane, tau-hatu","tua-kana, tau-hatu","tua-kana, tau-hatu","tua-ngane, tau-hatu",tua-ngane,"tua-kana, tau-hatu","tua-hine, tau-hatu",teina,"tua-hine, tau-hatu",teina,teina,"tua-kana, tau-hatu","tua-hine, tau-hatu","tua-kana, tau-hatu","tua-kana, tau-hatu",teina,tua-ngane,tua-hine,"tua-ngane, tau-hatu",tua-ngane,teina,teina,"tua-kana, tau-hatu","tua-kana, tau-hatu",tua-ngane,"tua-hine, tau-hatu",tua-ngane,"tua-ngane, tau-hatu","tua-kana, tau-hatu",tua-hine,"tua-ngane, tau-hatu",tua-hine,teina,teina,teina,papa,tau-eka,matua-wahine,tau-eka,matua-wahine,tira,tira,matua-wahine,matua-wahine,papa,matua-wahine,matua-wahine,tau-eka,matua-wahine,matua-wahine,tau-eka,tau-eka,tau-eka,tau-eka,tau-eka
2,0.4848660531119162,1.376055285260417,0.8911892321485009,tua-hine,tua-ngane,"tua-kana, tau-hatu",teina,"tua-ngane, tau-hatu","tua-hine, tau-hatu",teina,"tua-ngane, tau-hatu",tua-ngane,"tua-hine, tau-hatu",teina,"tua-kana, tau-hatu",tua-hine,"tua-ngane, tau-hatu","tua-kana, tau-hatu",teina,tua-ngane,teina,teina,"tua-hine, tau-hatu",teina,tua-hine,"tua-kana, tau-hatu",teina,tua-ngane,"tua-hine, tau-hatu","tua-ngane, tau-hatu",tua-hine,teina,"tua-kana, tau-hatu",tua-ngane,tua-hine,"tua-kana, tau-hatu","tua-kana, tau-hatu","tua-kana, tau-hatu",teina,"tua-kana, tau-hatu","tua-ngane, tau-hatu",matua-wahine,tau-eka,papa,tira,matua-wahine,tau-eka,tira,matua-wahine,matua-wahine,matua-wahine,matua-wahine,tau-eka,tau-eka,tau-eka,matua-wahine,tau-eka,tau-eka,papa,tau-eka,matua-wahine
3,0.1060371333499266,1.034601232910181,0.9285640995602544,"tua-kana, tau-hatu","tua-kana, tau-hatu",teina,"tua-kana, tau-hatu",tua-hine,teina,tua-hine,"tua-hine, tau-hatu",teina,"tua-ngane, tau-hatu",teina,tua-ngane,tua-ngane,tua-ngane,"tua-kana, tau-hatu",teina,"tua-hine, tau-hatu","tua-ngane, tau-hatu",tua-ngane,"tua-kana, tau-hatu","tua-kana, tau-hatu","tua-kana, tau-hatu","tua-kana, tau-hatu","tua-hine, tau-hatu",teina,tua-hine,tua-hine,teina,teina,"tua-ngane, tau-hatu","tua-kana, tau-hatu",tua-ngane,tua-hine,"tua-ngane, tau-hatu","tua-hine, tau-hatu",teina,"tua-ngane, tau-hatu",teina,tira,tau-eka,tau-eka,papa,matua-wahine,tau-eka,tira,tau-eka,matua-wahine,matua-wahine,matua-wahine,matua-wahine,matua-wahine,papa,matua-wahine,tau-eka,matua-wahine,tau-eka,tau-eka,tau-eka
4,0.16087060336515724,0.5195798391305154,0.3587092357653582,tua-hine,"tua-ngane, tau-hatu",tua-ngane,tua-hine,"tua-ngane, tau-hatu","tua-kana, tau-hatu","tua-kana, tau-hatu",teina,teina,tua-hine,teina,teina,tua-ngane,"tua-hine, tau-hatu","tua-kana, tau-hatu","tua-ngane, tau-hatu",teina,teina,"tua-ngane, tau-hatu",teina,tua-ngane,"tua-kana, tau-hatu","tua-kana, tau-hatu",tua-hine,teina,"tua-kana, tau-hatu",teina,tua-hine,"tua-kana, tau-hatu","tua-kana, tau-hatu",teina,"tua-kana, tau-hatu","tua-hine, tau-hatu",tua-ngane,"tua-hine, tau-hatu","tua-hine, tau-hatu","tua-ngane, tau-hatu",tua-ngane,papa,tau-eka,tau-eka,tau-eka,matua-wahine,matua-wahine,tau-eka,matua-wahine,tau-eka,tau-eka,tira,tau-eka,matua-wahine,matua-wahine,tira,papa,matua-wahine,tau-eka,matua-wahine,matua-wahine
5,0.34145405235023607,1.0346012329101812,0.6931471805599452,"tua-hine, tau-hatu","tua-ngane, tau-hatu",teina,tua-hine,tua-hine,teina,"tua-ngane, tau-hatu","tua-kana, tau-hatu","tua-kana, tau-hatu",teina,tua-ngane,"tua-hine, tau-hatu",tua-ngane,tua-ngane,"tua-ngane, tau-hatu",tua-ngane,teina,"tua-kana, tau-hatu",tua-hine,"tua-kana, tau-hatu","tua-hine, tau-hatu",teina,teina,teina,"tua-kana, tau-hatu",teina,"tua-kana, tau-hatu","tua-hine, tau-hatu",tua-hine,tua-ngane,"tua-ngane, tau-hatu","tua-kana, tau-hatu","tua-ngane, tau-hatu",teina,tua-hine,teina,"tua-kana, tau-hatu","tua-kana, tau-hatu",tau-eka,papa,tau-eka,matua-wahine,tira,matua-wahine,tau-eka,tau-eka,tau-eka,matua-wahine,matua-wahine,tau-eka,matua-wahine,papa,tau-eka,matua-wahine,tau-eka,matua-wahine,matua-wahine,tira
6,0.12743575058463885,0.5982695885852573,0.4708338380006184,"tua-hine, tau-hatu",teina,"tua-ngane, tau-hatu",teina,tua-ngane,teina,tua-hine,"tua-kana, tau-hatu","tua-ngane, tau-hatu",teina,"tua-kana, tau-hatu",tua-ngane,"tua-kana, tau-hatu","tua-kana, tau-hatu",tua-ngane,"tua-kana, tau-hatu",tua-hine,teina,"tua-ngane, tau-hatu","tua-kana, tau-hatu","tua-kana, tau-hatu","tua-hine, tau-hatu","tua-hine, tau-hatu","tua-kana, tau-hatu",teina,tua-hine,teina,"tua-ngane, tau-hatu",tua-hine,"tua-ngane, tau-hatu",teina,tua-ngane,teina,tua-hine,teina,"tua-kana, tau-hatu",tua-ngane,"tua-hine, tau-hatu",matua-wahine,matua-wahine,matua-wahine,tau-eka,tau-eka,papa,matua-wahine,papa,tira,tau-eka,tau-eka,tau-eka,matua-wahine,tira,tau-eka,matua-wahine,matua-wahine,tau-eka,matua-wahine,tau-eka
7,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,teina,tua-hine,tua-ngane,teina,tua-hine,teina,tua-hine,"tua-hine, tau-hatu","tua-ngane, tau-hatu","tua-kana, tau-hatu",tua-hine,"tua-ngane, tau-hatu","tua-hine, tau-hatu","tua-kana, tau-hatu",teina,"tua-kana, tau-hatu","tua-kana, tau-hatu","tua-ngane, tau-hatu",teina,"tua-ngane, tau-hatu","tua-kana, tau-hatu",tua-ngane,teina,teina,teina,"tua-ngane, tau-hatu","tua-kana, tau-hatu",teina,tua-hine,tua-ngane,"tua-kana, tau-hatu","tua-kana, tau-hatu","tua-hine, tau-hatu","tua-kana, tau-hatu","tua-hine, tau-hatu",tua-ngane,teina,tua-ngane,matua-wahine,tau-eka,tau-eka,matua-wahine,tau-eka,matua-wahine,papa,matua-wahine,tau-eka,papa,tira,tau-eka,tau-eka,matua-wahine,matua-wahine,matua-wahine,tau-eka,tau-eka,tira,matua-wahine
8,0.34145405235023607,1.0346012329101812,0.6931471805599452,tua-hine,"tua-kana, tau-hatu","tua-ngane, tau-hatu",teina,tua-hine,"tua-ngane, tau-hatu","tua-hine, tau-hatu",tua-hine,tua-ngane,"tua-hine, tau-hatu",teina,"tua-ngane, tau-hatu",tua-hine,"tua-hine, tau-hatu",tua-hine,"tua-kana, tau-hatu",teina,"tua-kana, tau-hatu","tua-hine, tau-hatu","tua-kana, tau-hatu",teina,"tua-kana, tau-hatu","tua-ngane, tau-hatu","tua-kana, tau-hatu",teina,"tua-kana, tau-hatu",teina,tua-ngane,tua-ngane,teina,teina,tua-ngane,teina,tua-ngane,"tua-kana, tau-hatu",teina,"tua-kana, tau-hatu","tua-ngane, tau-hatu",matua-wahine,tira,tau-eka,matua-wahine,matua-wahine,tau-eka,tira,tau-eka,tau-eka,matua-wahine,matua-wahine,matua-wahine,tau-eka,tau-eka,tau-eka,matua-wahine,papa,matua-wahine,papa,tau-eka
9,0.484866053111916,1.0789922078775833,0.5941261547656673,"tua-kana, tau-hatu","tua-kana, tau-hatu",tua-ngane,teina,"tua-hine, tau-hatu",tua-hine,tua-ngane,teina,teina,"tua-ngane, tau-hatu","tua-kana, tau-hatu","tua-hine, tau-hatu","tua-kana, tau-hatu",teina,tua-hine,teina,"tua-kana, tau-hatu",tua-ngane,"tua-hine, tau-hatu",tua-hine,"tua-ngane, tau-hatu",tua-ngane,"tua-ngane, tau-hatu","tua-ngane, tau-hatu","tua-ngane, tau-hatu",tua-hine,teina,teina,"tua-kana, tau-hatu","tua-kana, tau-hatu",tua-ngane,teina,teina,teina,"tua-kana, tau-hatu","tua-hine, tau-hatu",tua-hine,"tua-kana, tau-hatu",matua-wahine,matua-wahine,papa,tira,tira,tau-eka,tau-eka,tau-eka,tau-eka,papa,matua-wahine,tau-eka,matua-wahine,matua-wahine,tau-eka,tau-eka,matua-wahine,matua-wahine,matua-wahine,tau-eka
