simulation_number,mutual_information,entropy,conditional_entropy,meB,myB,meZ,myZ,mMBS,mMeBS,mMyBS,mMBeS,mMByS,fZ,feB,fyB,feZ,fyZ,fMBS,fMeBS,fMyBS,fMBeS,fMByS,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.1128570013279816,0.9051140583904078,0.7922570570624262,kurta,puwa,tyurtu,tyintyamarta,tyintyamarta,puwa,tyurtu,puwa,puwa,puwa,puwa,tyintyamarta,puwa,puwa,kurta,tyintyamarta,puwa,puwa,tyitya,yaku,mama,kangku,tyurtu,yaku,tyurtu,kangku,yaku,mama,kangku,yaku,tyurtu,mama,tyurtu,mama,mama,mama,kangku,yaku,kangku,mama,mama,kangku,tyurtu,yaku,yaku,yaku,tyurtu
1,0.3915924677395366,1.3424442327573418,0.9508517650178052,tyitya,tyintyamarta,tyintyamarta,puwa,puwa,tyintyamarta,tyurtu,puwa,kurta,puwa,puwa,puwa,puwa,puwa,kurta,puwa,tyurtu,puwa,tyintyamarta,yaku,tyurtu,tyurtu,mama,kangku,tyurtu,mama,kangku,mama,yaku,kangku,mama,tyurtu,yaku,mama,kangku,kangku,mama,yaku,yaku,kangku,yaku,tyurtu,yaku,tyurtu,mama,yaku,mama
2,0.21265040217591002,1.1466863644262117,0.9340359622503017,tyintyamarta,tyintyamarta,kurta,puwa,puwa,puwa,puwa,puwa,puwa,tyintyamarta,puwa,puwa,puwa,kurta,puwa,tyintyamarta,tyurtu,tyurtu,tyitya,mama,tyurtu,kangku,yaku,yaku,mama,mama,yaku,mama,tyurtu,kangku,tyurtu,kangku,tyurtu,yaku,yaku,kangku,mama,mama,kangku,kangku,tyurtu,mama,yaku,tyurtu,mama,yaku,yaku
3,0.20833476429303044,1.3110003456036132,1.1026655813105828,puwa,tyintyamarta,tyitya,puwa,puwa,puwa,kurta,tyintyamarta,puwa,tyintyamarta,puwa,puwa,kurta,puwa,puwa,tyintyamarta,puwa,tyurtu,tyurtu,mama,yaku,mama,tyurtu,kangku,kangku,tyurtu,mama,mama,yaku,tyurtu,mama,mama,kangku,tyurtu,mama,yaku,yaku,yaku,tyurtu,yaku,kangku,yaku,tyurtu,yaku,kangku,kangku,mama
4,0.23340830669817159,1.343752133066827,1.1103438263686554,tyurtu,puwa,puwa,tyitya,kurta,tyintyamarta,puwa,puwa,puwa,kurta,tyintyamarta,puwa,tyurtu,tyintyamarta,puwa,tyintyamarta,puwa,puwa,puwa,kangku,yaku,kangku,yaku,kangku,yaku,mama,tyurtu,mama,tyurtu,tyurtu,yaku,mama,mama,tyurtu,yaku,tyurtu,yaku,mama,tyurtu,kangku,kangku,yaku,mama,mama,yaku,kangku,mama
5,0.2694797081673883,1.3110003456036132,1.041520637436225,tyintyamarta,tyurtu,tyintyamarta,puwa,puwa,puwa,puwa,puwa,puwa,tyintyamarta,tyurtu,puwa,kurta,puwa,tyintyamarta,puwa,tyitya,kurta,puwa,kangku,yaku,kangku,tyurtu,tyurtu,yaku,mama,mama,kangku,yaku,tyurtu,tyurtu,mama,tyurtu,mama,yaku,mama,mama,yaku,kangku,yaku,yaku,tyurtu,mama,yaku,mama,kangku,kangku
6,0.18949447653826912,1.0608569471580214,0.8713624706197522,puwa,puwa,kurta,puwa,tyurtu,tyintyamarta,puwa,puwa,puwa,puwa,tyintyamarta,tyintyamarta,tyintyamarta,kurta,puwa,puwa,tyurtu,tyitya,puwa,tyurtu,mama,kangku,yaku,mama,kangku,mama,yaku,kangku,yaku,yaku,kangku,tyurtu,yaku,mama,yaku,mama,tyurtu,tyurtu,mama,tyurtu,kangku,tyurtu,mama,kangku,yaku,yaku,mama
7,0.20849015657771064,1.2611063733208234,1.0526162167431128,puwa,tyurtu,tyintyamarta,puwa,tyintyamarta,puwa,puwa,puwa,puwa,tyurtu,puwa,kurta,tyintyamarta,tyintyamarta,kurta,puwa,puwa,tyitya,puwa,yaku,mama,mama,tyurtu,tyurtu,kangku,mama,kangku,yaku,tyurtu,yaku,mama,kangku,kangku,yaku,tyurtu,yaku,yaku,tyurtu,kangku,mama,kangku,tyurtu,mama,yaku,yaku,mama,mama
8,0.22264032779371634,1.3234757448921362,1.1008354170984198,puwa,puwa,tyintyamarta,puwa,kurta,tyitya,puwa,puwa,tyurtu,tyintyamarta,puwa,puwa,puwa,tyurtu,kurta,puwa,puwa,tyintyamarta,tyintyamarta,yaku,tyurtu,yaku,kangku,yaku,kangku,yaku,yaku,kangku,tyurtu,mama,tyurtu,yaku,mama,kangku,tyurtu,mama,mama,mama,tyurtu,kangku,yaku,kangku,mama,mama,tyurtu,mama,yaku
9,0.1541396597468252,1.3512097306781934,1.1970700709313682,kurta,tyurtu,puwa,puwa,kurta,puwa,puwa,tyintyamarta,puwa,puwa,tyurtu,tyintyamarta,tyitya,puwa,tyintyamarta,puwa,puwa,tyintyamarta,puwa,tyurtu,mama,yaku,tyurtu,yaku,yaku,yaku,kangku,tyurtu,mama,kangku,mama,mama,yaku,kangku,yaku,yaku,kangku,mama,yaku,mama,tyurtu,tyurtu,kangku,mama,tyurtu,mama,kangku
