simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,mMBD,mMZD,mMBS,mMZS,mMeBS,mMyBS,mMeZS,mMyZS,mMeBD,mMyBD,mMeZD,mMyZD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fMBD,fMZD,fMBS,fMZS,fMeBS,fMyBS,fMeZS,fMyZS,fMeBD,fMyBD,fMeZD,fMyZD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mFZD,mFBD,mFBS,mFZS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,fFZD,fFBD,fFBS,fFZS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,meB,myB,meZ,myZ,feB,fyB,feZ,fyZ,mFB,mFZ,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,fFB,fFZ,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,mF,mM,mMB,mMeB,mMyB,fF,fM,fMB,fMeB,fMyB
0,0.09616333997640591,1.3813708501056716,1.2852075101292657,ndomé,ndomé,mwanyango,ndomé,mwanyango,ndomé,mwanyango,ǹdomè,mwanyango,ndomé,ndomé,mwanyango,ndomé,ndomé,mwanyango,mwanyango,ndomé,ndomé,mwanyango,ndomé,mwanyango,mwanyango,ndomé,mwanyango,ndomé,waólúlu,mwanyango,ndomé,ndomé,ndomé,wenongoni,ndomé,ǹdomè,ǹdomè,mwanyango,ndomé,mwanyango,ndomé,waólúlu,mwanyango,mwanyango,ndomé,mwanyango,mwanyango,mwanyango,ndomé,ndomé,ndomé,waólúlu,ndomé,ndomé,mwanyango,mwanyango,ndomé,ndomé,mwanyango,mwanyango,ndomé,mwanyango,mwanyango,mwanyango,ndomé,mwanyango,mwanyango,mwanyango,ndomé,ndomé,mwanyango,ndomé,wenongoni,mwanyango,ndomé,ndomé,wenongoni,mwanyango,mwanyango,ndomé,ndomé,ndomé,ndomé,mwanyango,mwanyango,mwanyango,wenongoni,mwanyango,ndomé,waólúlu,mwanyango,ǹdomè,mwanyango,móla,móla,móla,atí,jéjé,melá,melá,jéjé,atí,atí,atí,rángó,móla,móla,atí,melá,atí,atí,atí,atí,rángó,melá,melá,melá,atí,atí,móla,atí
1,0.0776503380827227,1.315333999261759,1.2376836611790363,mwanyango,mwanyango,mwanyango,ǹdomè,ndomé,mwanyango,ndomé,ndomé,waólúlu,mwanyango,mwanyango,mwanyango,wenongoni,mwanyango,ndomé,wenongoni,mwanyango,ǹdomè,ndomé,wenongoni,mwanyango,mwanyango,ndomé,mwanyango,ndomé,ndomé,mwanyango,mwanyango,ndomé,ndomé,mwanyango,mwanyango,waólúlu,mwanyango,ndomé,ndomé,ndomé,wenongoni,mwanyango,mwanyango,ndomé,ndomé,ndomé,ndomé,mwanyango,ndomé,ndomé,ndomé,waólúlu,mwanyango,ndomé,ndomé,mwanyango,ndomé,mwanyango,mwanyango,ǹdomè,mwanyango,mwanyango,mwanyango,ndomé,ndomé,mwanyango,mwanyango,ndomé,mwanyango,ndomé,ndomé,ndomé,mwanyango,mwanyango,mwanyango,mwanyango,ndomé,mwanyango,ndomé,waólúlu,ndomé,mwanyango,mwanyango,mwanyango,ndomé,ndomé,ndomé,mwanyango,ndomé,ǹdomè,ndomé,ndomé,ndomé,atí,atí,atí,melá,rángó,atí,móla,melá,móla,atí,jéjé,móla,rángó,melá,melá,móla,atí,jéjé,atí,melá,atí,atí,móla,móla,atí,atí,atí,melá
2,0.1705930969055176,1.3301260456272201,1.1595329487217025,mwanyango,mwanyango,ndomé,wenongoni,mwanyango,ǹdomè,mwanyango,mwanyango,ndomé,ndomé,ǹdomè,wenongoni,ndomé,waólúlu,mwanyango,ndomé,ndomé,ndomé,mwanyango,ndomé,mwanyango,ndomé,ndomé,wenongoni,mwanyango,ndomé,mwanyango,mwanyango,ndomé,ndomé,mwanyango,ǹdomè,ndomé,ndomé,waólúlu,mwanyango,mwanyango,mwanyango,mwanyango,ndomé,mwanyango,ndomé,mwanyango,ndomé,ndomé,mwanyango,ndomé,ndomé,waólúlu,mwanyango,ndomé,mwanyango,mwanyango,ndomé,mwanyango,ndomé,ndomé,mwanyango,ndomé,ndomé,ndomé,ndomé,ndomé,ndomé,mwanyango,mwanyango,mwanyango,mwanyango,ndomé,ndomé,ndomé,mwanyango,mwanyango,mwanyango,ndomé,mwanyango,ǹdomè,mwanyango,waólúlu,ndomé,ndomé,mwanyango,mwanyango,mwanyango,ndomé,mwanyango,mwanyango,wenongoni,mwanyango,ndomé,atí,atí,móla,melá,atí,atí,melá,melá,móla,atí,melá,atí,móla,jéjé,rángó,atí,móla,melá,rángó,melá,móla,jéjé,móla,atí,atí,atí,atí,atí
3,0.16448836663360367,1.363122891640126,1.1986345250065222,mwanyango,mwanyango,ndomé,mwanyango,mwanyango,ndomé,ndomé,ndomé,ndomé,waólúlu,ǹdomè,ndomé,mwanyango,mwanyango,ndomé,ndomé,ndomé,ndomé,ndomé,ndomé,ndomé,mwanyango,ndomé,ndomé,ndomé,mwanyango,ndomé,ndomé,wenongoni,mwanyango,mwanyango,ǹdomè,wenongoni,ndomé,wenongoni,ndomé,wenongoni,ndomé,mwanyango,ndomé,mwanyango,mwanyango,ndomé,ndomé,ndomé,mwanyango,mwanyango,mwanyango,ndomé,ndomé,ǹdomè,waólúlu,mwanyango,mwanyango,ndomé,mwanyango,waólúlu,ndomé,mwanyango,mwanyango,waólúlu,mwanyango,mwanyango,ndomé,mwanyango,ndomé,mwanyango,mwanyango,ndomé,ǹdomè,mwanyango,mwanyango,mwanyango,ndomé,ndomé,ndomé,mwanyango,mwanyango,mwanyango,mwanyango,mwanyango,mwanyango,mwanyango,mwanyango,ndomé,ndomé,ndomé,mwanyango,ndomé,mwanyango,atí,móla,melá,atí,móla,móla,melá,melá,atí,melá,móla,melá,atí,melá,atí,atí,atí,rángó,móla,atí,atí,móla,jéjé,jéjé,atí,atí,rángó,atí
4,0.07783457842764974,1.4223713200118568,1.344536741584207,mwanyango,waólúlu,ndomé,mwanyango,mwanyango,mwanyango,mwanyango,ndomé,ndomé,mwanyango,ndomé,mwanyango,ndomé,ndomé,ndomé,mwanyango,ndomé,ǹdomè,ndomé,ndomé,ndomé,ndomé,ndomé,mwanyango,ndomé,mwanyango,ndomé,ndomé,ndomé,ndomé,mwanyango,mwanyango,mwanyango,ndomé,ndomé,ndomé,mwanyango,mwanyango,wenongoni,mwanyango,waólúlu,ndomé,waólúlu,ndomé,mwanyango,ndomé,ndomé,mwanyango,mwanyango,mwanyango,ǹdomè,mwanyango,mwanyango,ndomé,ndomé,mwanyango,wenongoni,ndomé,mwanyango,ndomé,mwanyango,ndomé,mwanyango,ndomé,wenongoni,mwanyango,ndomé,ndomé,mwanyango,mwanyango,mwanyango,mwanyango,mwanyango,ndomé,waólúlu,mwanyango,mwanyango,wenongoni,ǹdomè,mwanyango,ǹdomè,ndomé,ndomé,ndomé,mwanyango,ndomé,mwanyango,mwanyango,ndomé,mwanyango,atí,rángó,jéjé,atí,jéjé,atí,atí,melá,móla,melá,atí,atí,atí,atí,melá,móla,móla,melá,melá,móla,atí,atí,atí,móla,rángó,atí,melá,móla
5,0.15498290518585622,1.3287961680752092,1.173813262889353,ndomé,mwanyango,mwanyango,mwanyango,mwanyango,mwanyango,ndomé,mwanyango,ndomé,ndomé,wenongoni,ndomé,wenongoni,ndomé,mwanyango,ndomé,ǹdomè,ndomé,mwanyango,ndomé,ndomé,mwanyango,mwanyango,wenongoni,ndomé,ǹdomè,mwanyango,mwanyango,mwanyango,mwanyango,mwanyango,mwanyango,mwanyango,waólúlu,ndomé,ndomé,mwanyango,ndomé,mwanyango,mwanyango,ndomé,ndomé,ndomé,mwanyango,ndomé,mwanyango,waólúlu,mwanyango,mwanyango,mwanyango,ǹdomè,mwanyango,ndomé,ndomé,wenongoni,ndomé,ndomé,ndomé,ndomé,waólúlu,ndomé,mwanyango,ndomé,mwanyango,ndomé,mwanyango,ndomé,ndomé,ndomé,ndomé,mwanyango,mwanyango,ndomé,mwanyango,ndomé,waólúlu,ndomé,mwanyango,ndomé,ndomé,ǹdomè,mwanyango,mwanyango,mwanyango,mwanyango,mwanyango,mwanyango,ndomé,ndomé,ndomé,atí,atí,atí,móla,rángó,móla,móla,melá,móla,atí,atí,melá,melá,melá,atí,atí,móla,atí,jéjé,atí,melá,móla,rángó,atí,atí,melá,jéjé,atí
6,0.10795381871700438,1.3080764346736908,1.2001226159566865,ndomé,ǹdomè,ndomé,ndomé,ndomé,mwanyango,ndomé,mwanyango,mwanyango,mwanyango,ndomé,mwanyango,ndomé,ǹdomè,ndomé,mwanyango,waólúlu,mwanyango,ndomé,mwanyango,mwanyango,mwanyango,mwanyango,ndomé,mwanyango,wenongoni,ndomé,waólúlu,ndomé,ǹdomè,ndomé,mwanyango,wenongoni,mwanyango,ndomé,ndomé,ndomé,ndomé,mwanyango,mwanyango,ndomé,ndomé,mwanyango,ndomé,ndomé,mwanyango,ǹdomè,ndomé,mwanyango,mwanyango,mwanyango,mwanyango,mwanyango,mwanyango,mwanyango,mwanyango,ndomé,ndomé,ndomé,ndomé,mwanyango,ndomé,waólúlu,ndomé,mwanyango,ndomé,mwanyango,ndomé,mwanyango,mwanyango,mwanyango,mwanyango,ndomé,mwanyango,wenongoni,ndomé,mwanyango,waólúlu,ndomé,mwanyango,ndomé,mwanyango,ndomé,ndomé,ndomé,wenongoni,ndomé,mwanyango,ndomé,mwanyango,rángó,atí,atí,jéjé,melá,atí,melá,móla,atí,móla,atí,atí,melá,rángó,atí,atí,móla,móla,atí,móla,atí,jéjé,melá,atí,atí,móla,melá,melá
7,0.13503574374880278,1.3776728709132908,1.242637127164488,ndomé,mwanyango,ndomé,ndomé,ndomé,ndomé,mwanyango,ndomé,mwanyango,ǹdomè,mwanyango,mwanyango,mwanyango,wenongoni,wenongoni,mwanyango,mwanyango,mwanyango,ndomé,mwanyango,wenongoni,waólúlu,mwanyango,ndomé,ndomé,mwanyango,ndomé,mwanyango,ndomé,ndomé,ndomé,ndomé,mwanyango,ndomé,ndomé,mwanyango,mwanyango,ndomé,ndomé,mwanyango,ndomé,wenongoni,ǹdomè,mwanyango,ǹdomè,mwanyango,mwanyango,mwanyango,mwanyango,ndomé,mwanyango,mwanyango,ǹdomè,ndomé,ndomé,ndomé,waólúlu,ndomé,mwanyango,ndomé,ndomé,mwanyango,mwanyango,mwanyango,mwanyango,mwanyango,ndomé,ndomé,waólúlu,mwanyango,ndomé,ndomé,ndomé,mwanyango,ndomé,ndomé,ndomé,ndomé,ndomé,ndomé,waólúlu,mwanyango,mwanyango,mwanyango,ndomé,mwanyango,mwanyango,mwanyango,mwanyango,ndomé,jéjé,móla,atí,melá,jéjé,atí,móla,rángó,atí,atí,atí,móla,móla,atí,melá,atí,rángó,melá,atí,melá,atí,atí,atí,móla,atí,melá,móla,melá
8,0.18895077233880686,1.3384340674730253,1.1494832951342184,mwanyango,ndomé,mwanyango,ǹdomè,mwanyango,mwanyango,ndomé,ǹdomè,waólúlu,mwanyango,mwanyango,mwanyango,ndomé,ndomé,ndomé,ndomé,ndomé,mwanyango,mwanyango,ndomé,mwanyango,mwanyango,mwanyango,ndomé,mwanyango,ndomé,ndomé,wenongoni,ndomé,ndomé,mwanyango,ndomé,ndomé,mwanyango,mwanyango,mwanyango,ndomé,wenongoni,ndomé,ǹdomè,ndomé,ndomé,mwanyango,ndomé,mwanyango,ndomé,mwanyango,ndomé,mwanyango,ndomé,ndomé,wenongoni,ndomé,waólúlu,mwanyango,mwanyango,mwanyango,mwanyango,mwanyango,ndomé,mwanyango,ndomé,mwanyango,mwanyango,waólúlu,ndomé,mwanyango,mwanyango,ǹdomè,ndomé,ndomé,mwanyango,ndomé,mwanyango,ndomé,ndomé,mwanyango,mwanyango,ndomé,waólúlu,ndomé,mwanyango,ndomé,mwanyango,ndomé,ndomé,mwanyango,ndomé,mwanyango,wenongoni,atí,atí,móla,melá,atí,jéjé,atí,melá,jéjé,melá,atí,atí,rángó,móla,atí,móla,móla,móla,rángó,atí,melá,móla,melá,atí,melá,atí,atí,atí
9,0.09980411278592971,1.3473057423343886,1.247501629548459,ǹdomè,ndomé,ndomé,mwanyango,mwanyango,wenongoni,mwanyango,waólúlu,mwanyango,mwanyango,mwanyango,ndomé,mwanyango,mwanyango,mwanyango,mwanyango,mwanyango,mwanyango,ndomé,ndomé,wenongoni,mwanyango,mwanyango,mwanyango,wenongoni,waólúlu,waólúlu,ndomé,ndomé,mwanyango,ǹdomè,ndomé,ndomé,mwanyango,ndomé,mwanyango,mwanyango,ndomé,mwanyango,ndomé,ǹdomè,mwanyango,ndomé,ndomé,ndomé,ndomé,ndomé,ndomé,mwanyango,ndomé,ndomé,ndomé,mwanyango,mwanyango,ndomé,mwanyango,mwanyango,ndomé,ǹdomè,ndomé,mwanyango,ndomé,mwanyango,waólúlu,mwanyango,mwanyango,ndomé,mwanyango,mwanyango,ndomé,ndomé,mwanyango,mwanyango,mwanyango,mwanyango,ndomé,mwanyango,ndomé,ndomé,ndomé,mwanyango,mwanyango,ndomé,wenongoni,ndomé,ndomé,ndomé,ndomé,ndomé,ndomé,melá,atí,jéjé,móla,rángó,melá,melá,atí,atí,atí,atí,melá,melá,móla,atí,atí,atí,móla,atí,atí,melá,móla,rángó,jéjé,móla,atí,atí,móla
