simulation_number,mutual_information,entropy,conditional_entropy,meB,feB,mMBD,mMBS,mFeBS,mFeBD,mMeBS,mMyBS,mMeBD,mMyBD,mFBeS,mFBeD,mMBeS,mMByS,mMBeD,mMByD,fMBD,fMBS,fFeBS,fFeBD,fMeBS,fMyBS,fMeBD,fMyBD,fFBeS,fFBeD,fMBeS,fMByS,fMBeD,fMByD,mB,mZ,myB,meZ,myZ,mFZD,mMZD,mFZS,mMZS,mFyBS,mFeZS,mFyZS,mFyBD,mFeZD,mFyZD,mMeZS,mMyZS,mMeZD,mMyZD,mFByS,mFZeS,mFZyS,mFByD,mFZeD,mFZyD,mMZeS,mMZyS,mMZeD,mMZyD,fB,fZ,fyB,feZ,fyZ,fFZD,fMZD,fFZS,fMZS,fFyBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeZS,fMyZS,fMeZD,fMyZD,fFByS,fFZeS,fFZyS,fFByD,fFZeD,fFZyD,fMZyS,fMZeD,fMZyD,mFyB,mFeB,mMZ,fFyB,fFeB,fMZ,mMB,mMeB,mMyB,fMB,fMeB,fMyB,mF,mM,mFZ,mFeZ,mFyZ,mMeZ,mMyZ,fF,fM,fFZ,fFeZ,fFyZ,fMeZ,fMyZ,mFB,fFB
0,0.7852980577953594,2.18414677378755,1.3988487159921907,mashtato-bon,pishtato-bon,mashtato-bon,jeṭhtato-bhai,mamato-bon,pishtato-bon,pishtato-bhai,mamato-bon,mamato-bhai,mamato-bon,pishtato-bhai,pishtato-bon,mashtato-bon,mamato-bon,mashtato-bhai,mashtato-bon,mashtato-bhai,mashtato-bhai,mashtato-bhai,bon,bon,jeṭhtato-bhai,mashtato-bon,mamato-bhai,mashtato-bhai,jaṭhtato-bon,khudtato-bhai,mashtato-bon,mashtato-bhai,jeṭhtato-bhai,mamato-bhai,pishtato-bon,mashtato-bon,pishtato-bhai,mamato-bon,jaṭhtato-bon,mamato-bon,pishtato-bhai,bhāi,pishtato-bon,bhāi,mashtato-bon,pishtato-bon,khudtato-bhai,pishtato-bhai,mamato-bhai,didi,pishtato-bhai,mashtato-bhai,mamato-bhai,pishtato-bhai,pishtato-bon,mashtato-bhai,dada,khudtato-bon,mashtato-bon,mamato-bon,mamato-bon,pishtato-bhai,dada,khudtato-bon,pishtato-bhai,jaṭhtato-bon,khudtato-bhai,jeṭhtato-bhai,mamato-bhai,mashtato-bon,mamato-bon,bhāi,bhāi,didi,pishtato-bon,pishtato-bon,bon,mamato-bon,khudtato-bhai,khudtato-bon,mamato-bhai,pishtato-bhai,bon,mamato-bhai,mamato-bhai,jaṭhtato-bon,mashtato-bhai,mamato-bhai,pishtato-bon,khuda,mashi-ma,pishi-ma,khālā,māmā,khuda,cācā,pishi-ma,mashi-ma,māmā,ma,phupu,mashi-ma,khālā,bābā,bābā,māmā,pishi-ma,cācā,māmā,jeṭha-moshay,māmā,pishi-ma,phupu,māmā,mashi-ma,ma,jeṭha-moshay
1,0.6824139009247434,2.1598272074275466,1.4774133065028032,pishtato-bhai,mashtato-bon,mashtato-bhai,mamato-bon,pishtato-bon,pishtato-bon,khudtato-bon,pishtato-bhai,jeṭhtato-bhai,mamato-bon,jeṭhtato-bhai,pishtato-bon,mashtato-bon,khudtato-bhai,jaṭhtato-bon,pishtato-bhai,mamato-bon,mashtato-bon,mamato-bhai,jeṭhtato-bhai,bhāi,pishtato-bon,khudtato-bhai,jeṭhtato-bhai,mamato-bon,pishtato-bon,mashtato-bhai,mamato-bhai,pishtato-bhai,didi,bon,mamato-bhai,mamato-bhai,mamato-bon,jaṭhtato-bon,pishtato-bhai,mamato-bon,mashtato-bon,mamato-bon,bhāi,mashtato-bhai,mashtato-bhai,mashtato-bon,bon,mamato-bhai,pishtato-bon,pishtato-bon,mamato-bhai,bhāi,mashtato-bhai,bhāi,mashtato-bhai,mamato-bon,bon,mashtato-bon,pishtato-bhai,khudtato-bon,mashtato-bon,jaṭhtato-bon,mashtato-bon,khudtato-bhai,pishtato-bhai,dada,mamato-bon,pishtato-bon,pishtato-bon,didi,mamato-bhai,mamato-bhai,mamato-bhai,bon,mashtato-bon,mamato-bhai,mashtato-bhai,mashtato-bon,mashtato-bhai,jaṭhtato-bon,khudtato-bhai,pishtato-bhai,pishtato-bon,mashtato-bhai,pishtato-bhai,dada,khudtato-bon,mamato-bon,pishtato-bhai,khālā,phupu,māmā,pishi-ma,khuda,cācā,bābā,pishi-ma,mashi-ma,mashi-ma,phupu,ma,māmā,mashi-ma,pishi-ma,ma,māmā,mashi-ma,jeṭha-moshay,māmā,māmā,khālā,jeṭha-moshay,bābā,cācā,māmā,khuda,pishi-ma
2,0.6929567060413371,2.214494453440557,1.5215377473992198,pishtato-bon,khudtato-bon,mamato-bon,pishtato-bhai,pishtato-bhai,mamato-bon,khudtato-bhai,mamato-bhai,mashtato-bhai,mashtato-bhai,pishtato-bhai,mashtato-bhai,jeṭhtato-bhai,mamato-bon,khudtato-bon,jaṭhtato-bon,mamato-bhai,mashtato-bhai,mamato-bhai,pishtato-bon,mashtato-bhai,mamato-bon,pishtato-bhai,mashtato-bhai,jaṭhtato-bon,dada,khudtato-bhai,jaṭhtato-bon,mamato-bhai,khudtato-bon,mashtato-bon,mamato-bhai,bon,jaṭhtato-bon,mashtato-bon,jeṭhtato-bhai,mashtato-bhai,bhāi,pishtato-bon,mamato-bhai,mashtato-bhai,bon,pishtato-bon,bhāi,mamato-bon,didi,mashtato-bon,pishtato-bhai,pishtato-bon,mamato-bon,bon,bhāi,mashtato-bon,mashtato-bon,mamato-bhai,mashtato-bon,pishtato-bhai,didi,pishtato-bhai,mashtato-bon,pishtato-bhai,mamato-bon,mamato-bon,mashtato-bon,dada,bon,mamato-bon,khudtato-bhai,mashtato-bon,pishtato-bon,pishtato-bon,mamato-bhai,mamato-bhai,pishtato-bon,jeṭhtato-bhai,pishtato-bon,mashtato-bhai,pishtato-bhai,bhāi,jeṭhtato-bhai,khudtato-bhai,pishtato-bon,pishtato-bhai,mashtato-bon,mamato-bon,mamato-bhai,ma,māmā,bābā,mashi-ma,khuda,pishi-ma,phupu,mashi-ma,māmā,pishi-ma,khālā,pishi-ma,cācā,jeṭha-moshay,cācā,khuda,bābā,mashi-ma,jeṭha-moshay,ma,phupu,pishi-ma,māmā,māmā,khālā,mashi-ma,māmā,māmā
3,0.761108878910326,2.237036967686299,1.475928088775973,mamato-bhai,mamato-bon,mamato-bon,dada,mamato-bhai,jeṭhtato-bhai,bhāi,pishtato-bon,jaṭhtato-bon,mamato-bon,mashtato-bhai,mashtato-bon,mamato-bhai,mashtato-bhai,mashtato-bon,jeṭhtato-bhai,mamato-bhai,bon,bhāi,mamato-bhai,mashtato-bhai,pishtato-bhai,pishtato-bhai,khudtato-bhai,bon,pishtato-bhai,mashtato-bhai,pishtato-bon,mashtato-bhai,khudtato-bon,bhāi,mamato-bhai,mamato-bon,pishtato-bhai,pishtato-bon,mashtato-bon,mamato-bhai,pishtato-bhai,mashtato-bon,bon,pishtato-bon,mamato-bhai,mashtato-bhai,mamato-bon,jaṭhtato-bon,mashtato-bhai,khudtato-bhai,pishtato-bon,didi,mamato-bon,mamato-bon,pishtato-bhai,pishtato-bon,pishtato-bon,pishtato-bhai,mashtato-bon,pishtato-bon,dada,jeṭhtato-bhai,mamato-bon,mashtato-bhai,mamato-bhai,mashtato-bon,mashtato-bon,mashtato-bhai,didi,bhāi,pishtato-bhai,khudtato-bhai,jaṭhtato-bon,pishtato-bon,bon,jeṭhtato-bhai,khudtato-bon,mamato-bon,khudtato-bon,mashtato-bon,pishtato-bhai,pishtato-bhai,mashtato-bon,mamato-bhai,mamato-bon,khudtato-bhai,jaṭhtato-bon,pishtato-bon,mashtato-bon,phupu,cācā,cācā,mashi-ma,māmā,ma,khālā,māmā,pishi-ma,mashi-ma,māmā,pishi-ma,ma,jeṭha-moshay,mashi-ma,māmā,jeṭha-moshay,mashi-ma,bābā,māmā,pishi-ma,khuda,phupu,pishi-ma,khuda,khālā,māmā,bābā
4,0.7241111705514811,2.189766958540861,1.46565578798938,mashtato-bon,bon,bhāi,bhāi,mashtato-bon,pishtato-bhai,mashtato-bon,mamato-bon,mamato-bhai,dada,mashtato-bhai,khudtato-bhai,pishtato-bhai,pishtato-bon,pishtato-bon,mamato-bon,khudtato-bhai,mashtato-bhai,mashtato-bon,jaṭhtato-bon,mashtato-bhai,khudtato-bon,mamato-bon,jeṭhtato-bhai,mamato-bhai,khudtato-bon,pishtato-bhai,mashtato-bhai,mashtato-bon,mamato-bon,jaṭhtato-bon,khudtato-bon,mamato-bhai,mashtato-bon,pishtato-bhai,pishtato-bon,khudtato-bhai,mashtato-bon,mashtato-bhai,mamato-bhai,bhāi,pishtato-bon,jeṭhtato-bhai,mamato-bon,jaṭhtato-bon,pishtato-bon,mamato-bhai,pishtato-bhai,mashtato-bhai,pishtato-bon,mamato-bhai,mamato-bon,pishtato-bon,mashtato-bhai,pishtato-bon,bon,mamato-bhai,mamato-bon,khudtato-bhai,pishtato-bhai,pishtato-bon,mamato-bhai,mashtato-bon,mashtato-bhai,bon,dada,mashtato-bon,mamato-bhai,didi,mamato-bon,mamato-bon,pishtato-bhai,bhāi,mamato-bon,jeṭhtato-bhai,pishtato-bhai,jaṭhtato-bon,jeṭhtato-bhai,bon,mamato-bhai,mashtato-bon,pishtato-bhai,didi,pishtato-bon,pishtato-bhai,mashtato-bhai,mashi-ma,māmā,pishi-ma,jeṭha-moshay,māmā,khuda,cācā,phupu,māmā,māmā,khālā,māmā,khālā,khuda,mashi-ma,jeṭha-moshay,pishi-ma,bābā,pishi-ma,māmā,mashi-ma,bābā,ma,phupu,ma,cācā,pishi-ma,mashi-ma
5,0.690545151326575,2.119769259012414,1.429224107685839,bhāi,jaṭhtato-bon,mamato-bhai,pishtato-bhai,bhāi,pishtato-bon,mashtato-bon,mamato-bon,jeṭhtato-bhai,bon,mamato-bhai,jaṭhtato-bon,mashtato-bhai,mashtato-bhai,mashtato-bon,jeṭhtato-bhai,jeṭhtato-bhai,mashtato-bhai,mashtato-bon,pishtato-bhai,mamato-bon,khudtato-bhai,pishtato-bhai,bhāi,bon,pishtato-bon,mamato-bhai,pishtato-bhai,mashtato-bhai,pishtato-bon,pishtato-bhai,pishtato-bhai,mashtato-bon,didi,dada,bon,mashtato-bon,pishtato-bon,mamato-bon,pishtato-bon,mamato-bhai,khudtato-bon,mashtato-bon,pishtato-bon,mamato-bon,pishtato-bon,pishtato-bhai,jaṭhtato-bon,khudtato-bon,mamato-bon,khudtato-bhai,pishtato-bhai,mashtato-bhai,mashtato-bon,mashtato-bon,pishtato-bon,mamato-bhai,dada,mashtato-bhai,khudtato-bhai,mashtato-bhai,mamato-bon,mamato-bhai,mamato-bon,bhāi,mamato-bhai,pishtato-bhai,didi,bon,mashtato-bhai,jeṭhtato-bhai,mamato-bhai,mashtato-bon,mamato-bhai,mamato-bon,khudtato-bhai,mashtato-bhai,jaṭhtato-bon,pishtato-bon,mashtato-bon,pishtato-bon,khudtato-bon,mamato-bon,mamato-bon,pishtato-bhai,mamato-bhai,māmā,khuda,mashi-ma,ma,pishi-ma,mashi-ma,khuda,cācā,ma,māmā,māmā,khālā,mashi-ma,māmā,pishi-ma,khālā,māmā,cācā,pishi-ma,pishi-ma,mashi-ma,jeṭha-moshay,jeṭha-moshay,phupu,phupu,māmā,bābā,bābā
6,0.6977991082104997,2.201415148316633,1.5036160401061334,pishtato-bon,mashtato-bon,khudtato-bon,jeṭhtato-bhai,mamato-bon,mashtato-bhai,mamato-bhai,pishtato-bhai,mashtato-bhai,khudtato-bhai,mamato-bon,jaṭhtato-bon,pishtato-bhai,mashtato-bhai,pishtato-bhai,bon,bhāi,mashtato-bhai,pishtato-bhai,mashtato-bon,mamato-bhai,mamato-bon,pishtato-bon,didi,pishtato-bhai,mashtato-bhai,pishtato-bhai,mashtato-bhai,dada,mamato-bon,mamato-bhai,dada,pishtato-bon,mamato-bhai,mamato-bhai,mashtato-bon,pishtato-bon,khudtato-bon,bhāi,mashtato-bon,mashtato-bhai,pishtato-bon,mamato-bon,mashtato-bon,jaṭhtato-bon,khudtato-bhai,mamato-bon,mamato-bon,mamato-bon,mashtato-bon,bon,khudtato-bhai,mamato-bon,jeṭhtato-bhai,khudtato-bon,mamato-bon,mamato-bhai,mashtato-bhai,mashtato-bon,bon,jeṭhtato-bhai,khudtato-bhai,pishtato-bon,mashtato-bon,jaṭhtato-bon,mamato-bhai,bhāi,pishtato-bhai,pishtato-bon,mamato-bhai,pishtato-bon,mamato-bhai,mashtato-bhai,jaṭhtato-bon,mamato-bhai,pishtato-bon,pishtato-bhai,jeṭhtato-bhai,bhāi,bon,mashtato-bon,pishtato-bhai,didi,mashtato-bon,pishtato-bon,pishtato-bhai,māmā,mashi-ma,māmā,pishi-ma,māmā,bābā,ma,phupu,cācā,māmā,khuda,ma,khālā,mashi-ma,khālā,mashi-ma,pishi-ma,khuda,cācā,pishi-ma,bābā,jeṭha-moshay,jeṭha-moshay,māmā,māmā,pishi-ma,phupu,mashi-ma
7,0.6901287020256373,2.157873465326375,1.4677447633007379,pishtato-bhai,pishtato-bon,mamato-bon,khudtato-bhai,bon,mashtato-bon,jeṭhtato-bhai,khudtato-bon,mashtato-bon,dada,pishtato-bon,pishtato-bon,bon,bhāi,mamato-bon,mamato-bhai,pishtato-bon,khudtato-bon,mamato-bon,dada,mashtato-bon,bhāi,mashtato-bon,mamato-bhai,mashtato-bon,mamato-bon,mamato-bon,mashtato-bhai,jeṭhtato-bhai,mamato-bon,mamato-bhai,mashtato-bhai,bhāi,khudtato-bhai,khudtato-bhai,pishtato-bon,jaṭhtato-bon,mashtato-bon,mamato-bhai,mashtato-bon,khudtato-bhai,jeṭhtato-bhai,pishtato-bon,jeṭhtato-bhai,pishtato-bon,mashtato-bhai,pishtato-bhai,mashtato-bhai,bon,pishtato-bhai,mamato-bhai,mashtato-bhai,pishtato-bhai,mamato-bhai,pishtato-bhai,mashtato-bon,pishtato-bhai,pishtato-bhai,mashtato-bon,mamato-bon,pishtato-bon,jaṭhtato-bon,bhāi,mamato-bhai,mamato-bon,didi,mamato-bhai,pishtato-bhai,mamato-bon,mashtato-bhai,mashtato-bhai,pishtato-bon,khudtato-bon,didi,pishtato-bhai,mashtato-bhai,pishtato-bhai,mamato-bhai,jaṭhtato-bon,mamato-bhai,mamato-bon,jaṭhtato-bon,bon,mashtato-bhai,pishtato-bon,mashtato-bon,phupu,khālā,khuda,ma,jeṭha-moshay,cācā,pishi-ma,mashi-ma,mashi-ma,māmā,bābā,ma,cācā,māmā,phupu,bābā,mashi-ma,māmā,jeṭha-moshay,pishi-ma,māmā,mashi-ma,khuda,pishi-ma,khālā,pishi-ma,māmā,māmā
8,0.6864219623813208,2.1400453988812504,1.4536234364999296,jeṭhtato-bhai,mashtato-bhai,jeṭhtato-bhai,mamato-bon,dada,jaṭhtato-bon,bhāi,khudtato-bhai,mashtato-bon,mamato-bhai,pishtato-bon,mamato-bon,mamato-bon,mashtato-bhai,mashtato-bhai,mamato-bhai,bhāi,didi,mashtato-bon,pishtato-bon,khudtato-bhai,bhāi,mashtato-bon,mashtato-bhai,bhāi,mashtato-bhai,bon,pishtato-bhai,khudtato-bon,khudtato-bon,jeṭhtato-bhai,mamato-bhai,pishtato-bon,mashtato-bhai,bon,pishtato-bon,pishtato-bhai,khudtato-bon,pishtato-bon,mamato-bon,mashtato-bon,pishtato-bhai,mamato-bon,mashtato-bon,mashtato-bon,mamato-bon,pishtato-bhai,jeṭhtato-bhai,mamato-bhai,mamato-bhai,mamato-bon,mashtato-bon,didi,bon,pishtato-bon,dada,jaṭhtato-bon,jaṭhtato-bon,pishtato-bhai,pishtato-bon,khudtato-bhai,pishtato-bhai,mashtato-bon,mashtato-bhai,mamato-bhai,pishtato-bhai,mamato-bhai,pishtato-bon,khudtato-bhai,pishtato-bon,mamato-bhai,mamato-bon,mashtato-bon,bon,pishtato-bhai,mamato-bhai,pishtato-bhai,mashtato-bon,mashtato-bhai,pishtato-bon,mamato-bon,mamato-bhai,jaṭhtato-bon,pishtato-bhai,mamato-bon,mashtato-bhai,khālā,mashi-ma,cācā,cācā,pishi-ma,mashi-ma,mashi-ma,māmā,khuda,pishi-ma,pishi-ma,mashi-ma,khālā,pishi-ma,māmā,bābā,māmā,phupu,jeṭha-moshay,khuda,māmā,māmā,phupu,bābā,ma,ma,māmā,jeṭha-moshay
9,0.5697258099270752,2.185209294532682,1.615483484605607,pishtato-bon,bhāi,jaṭhtato-bon,khudtato-bhai,mamato-bon,pishtato-bon,jaṭhtato-bon,bhāi,pishtato-bhai,mamato-bon,mamato-bon,mamato-bhai,pishtato-bhai,bon,mashtato-bon,mashtato-bon,mashtato-bhai,mamato-bhai,mamato-bon,mashtato-bon,pishtato-bon,mamato-bon,mashtato-bhai,bhāi,pishtato-bon,pishtato-bon,mamato-bhai,mashtato-bhai,dada,khudtato-bon,khudtato-bhai,pishtato-bhai,pishtato-bhai,mashtato-bon,mamato-bhai,mamato-bon,mamato-bhai,mamato-bhai,khudtato-bon,mashtato-bhai,pishtato-bhai,mamato-bon,pishtato-bhai,mamato-bhai,pishtato-bon,mashtato-bon,mamato-bon,mamato-bon,mamato-bon,khudtato-bhai,pishtato-bon,mamato-bhai,pishtato-bhai,mashtato-bon,pishtato-bhai,pishtato-bon,dada,mashtato-bon,jeṭhtato-bhai,bon,khudtato-bon,didi,bhāi,mashtato-bon,mamato-bhai,jaṭhtato-bon,jeṭhtato-bhai,mashtato-bhai,pishtato-bon,bon,mashtato-bhai,pishtato-bhai,jeṭhtato-bhai,khudtato-bhai,mashtato-bon,pishtato-bon,didi,mashtato-bhai,mashtato-bon,bon,jaṭhtato-bon,mashtato-bhai,mashtato-bhai,pishtato-bhai,mamato-bhai,jeṭhtato-bhai,pishi-ma,khālā,māmā,cācā,jeṭha-moshay,phupu,mashi-ma,māmā,pishi-ma,mashi-ma,bābā,mashi-ma,pishi-ma,khālā,ma,mashi-ma,cācā,pishi-ma,māmā,bābā,māmā,khuda,ma,māmā,phupu,khuda,jeṭha-moshay,māmā
