simulation_number,mutual_information,entropy,conditional_entropy,mZ,meB,myB,meZ,myZ,fB,fZ,feB,fyB,feZ,fyZ,mF,mM,fF,fM
0,0.0024849871169562165,0.6914160776171183,0.6889310905001621,vyt'taza,ega,vyt'taza,vyt'taza,vyt'taza,vyt'taza,vyt'taza,ega,ega,ega,ega,vottoo,von',vottoo,von'
1,0.0015436285667964622,0.6914160776171183,0.6898724490503219,ega,vyt'taza,vyt'taza,vyt'taza,vyt'taza,vyt'taza,vyt'taza,ega,ega,ega,ega,von',vottoo,von',vottoo
2,0.020934510969346398,0.6914160776171183,0.6704815666477719,vyt'taza,ega,ega,vyt'taza,vyt'taza,ega,ega,vyt'taza,vyt'taza,ega,vyt'taza,von',von',vottoo,vottoo
3,0.0015436285667964622,0.6914160776171183,0.6898724490503219,vyt'taza,vyt'taza,ega,ega,vyt'taza,vyt'taza,ega,ega,vyt'taza,vyt'taza,ega,von',vottoo,vottoo,von'
4,0.0015436285667964622,0.6914160776171183,0.6898724490503219,vyt'taza,ega,vyt'taza,vyt'taza,ega,ega,vyt'taza,ega,vyt'taza,vyt'taza,ega,von',vottoo,von',vottoo
5,0.00419110692502267,0.6914160776171183,0.6872249706920956,ega,vyt'taza,vyt'taza,vyt'taza,ega,ega,ega,vyt'taza,ega,vyt'taza,vyt'taza,vottoo,von',vottoo,von'
6,0.04918056054715558,0.6914160776171183,0.6422355170699627,ega,vyt'taza,ega,ega,vyt'taza,ega,vyt'taza,vyt'taza,ega,vyt'taza,vyt'taza,vottoo,vottoo,von',von'
7,0.31227026577364414,0.6914160776171183,0.3791458118434742,vyt'taza,ega,vyt'taza,ega,ega,ega,ega,vyt'taza,vyt'taza,vyt'taza,vyt'taza,von',von',vottoo,vottoo
8,0.0015436285667964622,0.6914160776171183,0.6898724490503219,ega,ega,ega,ega,vyt'taza,vyt'taza,vyt'taza,ega,vyt'taza,vyt'taza,vyt'taza,vottoo,von',von',vottoo
9,0.0015436285667964622,0.6914160776171183,0.6898724490503219,vyt'taza,vyt'taza,vyt'taza,ega,ega,vyt'taza,ega,vyt'taza,ega,ega,vyt'taza,vottoo,von',von',vottoo
