simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fFeZ,fFyZ,fMeB,fMyB,fMeZ,fMyZ
0,0.1807868681734337,1.0346012329101812,0.8538143647367475,andi,aka,aka,andi,andi,andi,aka,maama,indo,indo,ina,maama,indo,maama,ama,maama,ina,maama,maama,indo,maama,indo,indo,ama,maama,indo,indo
1,0.007016107555648743,1.034601232910181,1.0275851253545323,andi,andi,aka,aka,andi,aka,andi,maama,ama,maama,indo,indo,indo,indo,maama,indo,ina,maama,ama,maama,maama,indo,maama,indo,indo,maama,ina
2,0.04439097496740252,1.0346012329101812,0.9902102579427787,aka,aka,andi,andi,aka,andi,andi,indo,maama,indo,ama,maama,indo,maama,indo,ama,maama,maama,indo,indo,maama,ina,ina,maama,maama,indo,indo
3,0.007016107555648965,1.0346012329101812,1.0275851253545323,aka,andi,andi,andi,andi,aka,aka,indo,maama,ama,indo,ina,indo,indo,maama,maama,indo,indo,maama,ina,ama,indo,maama,indo,maama,maama,maama
4,0.0443909749674023,1.0346012329101812,0.990210257942779,aka,aka,andi,aka,andi,andi,andi,maama,indo,maama,ama,maama,indo,ina,indo,indo,ina,indo,maama,indo,indo,maama,ama,indo,maama,maama,maama
5,0.03149081771477463,0.5195798391305154,0.4880890214157408,aka,andi,aka,aka,andi,andi,andi,indo,ina,indo,indo,indo,maama,maama,maama,maama,indo,maama,indo,indo,maama,ina,indo,maama,ama,ama,maama
6,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,aka,andi,aka,andi,aka,andi,andi,maama,indo,indo,maama,indo,maama,indo,maama,maama,ama,maama,indo,ina,ina,indo,ama,indo,maama,indo,maama
7,0.044390974967401964,1.034601232910181,0.9902102579427791,aka,aka,andi,andi,aka,andi,andi,ina,maama,indo,maama,indo,maama,indo,maama,maama,maama,ama,indo,indo,ina,indo,maama,indo,indo,maama,ama
8,0.08878194993480437,1.0789922078775833,0.990210257942779,aka,aka,andi,aka,andi,andi,andi,ama,ama,maama,ina,maama,maama,ina,indo,indo,indo,maama,indo,maama,indo,indo,maama,maama,indo,maama,indo
9,0.0443909749674023,1.0346012329101812,0.990210257942779,andi,aka,andi,aka,aka,andi,andi,indo,maama,ama,maama,maama,ama,ina,indo,maama,maama,maama,indo,indo,maama,indo,maama,indo,indo,indo,ina
