simulation_number,mutual_information,entropy,conditional_entropy,mFBeD,mMZeD,meB,mFBeS,fFBeS,feB,mMByS,mFZeS,mFZyS,mMBeS,fMZyS,myB,fyB,myZ,fyZ,fFByS,fFByD,mMZyD,fMZyD,fFZeS,fFZyS,mFZeD,mFZyD,fMBeS,mMBeD,mMByD,fMByS,meZ,feZ,fFBeD,fMZeD,mMZeS,mMZyS,mFByS,mFByD,fFZyD,fMBeD,fMByD,fFZeD,fF,mM,fM,mMeB,mMyB,fMeB,fMyB,mFeZ,mFyZ,fFeZ,fFyZ,mMeZ,mMyZ,fMeZ,fMyZ,mFeB,mFyB,fFeB,fFyB
0,0.130812035941137,0.6365141682948128,0.5057021323536758,ne-ne-moo-shǎʼ,ne-tä-wisʼ,ne-käʼ-na,ne-ne-moo-shǎʼ,ne-ne-moo-shǎʼ,ne-mis-sǎʼ,ni-säʼ-yǎ,ne-sheʼ-mǎ,ne-sheʼ-mä,ne-ne-moo-shǎʼ,ne-mis-sǎʼ,ne-sheʼ-mǎ,ne-mis-sǎʼ,nǐ-sä-yǎʼ,ne-sheʼ-mǎ,ne-täʼ-wis,ne-she-mǎʼ,ne-sheʼ-mǎ,n'-dä-n'-go-shǎʼ,ni-sä-yǎʼ,ne-mis-sǎʼ,n'-dä-n'-go-shǎʼ,ne-kǎ-naʼ,ne-sheʼ-mǎ,ne-tä-wisʼ,ne-käʼ-na,n'-dä-waʼ-mä,nin-dä-waʼ-mä,n'-dä-n'-go-sha,nin-dä-waʼ-mä,ne-ne-moo-shǎʼ,ne-ne-moo-shǎ,ne-ne-moo-shǎʼ,ne-sheʼ-mǎ,nǐ-sä-yǎʼ,ne-sheʼ-mǎ,n'-dä-n'-go-shǎʼ,ne-tä-wisʼ,ne-ne-moo-shǎʼ,ne-no-shǎʼ,ne-no-shǎʼ,ne-zheʼ-shǎʼ,ne-seeʼ-gossʼ,ne-misʼ-sho-má,noss,ne-seeʼ-gossʼ,nin-gahʼ,ne-seeʼ-gossʼ,ne-misʼ-sho-má,ne-no-shǎʼ,ne-zheʼ-shǎʼ,ne-seeʼ-gossʼ,nin-gahʼ,ne-zheʼ-shǎʼ,ne-no-shǎʼ,ne-misʼ-sho-má,ne-zheʼ-shǎʼ,ne-misʼ-sho-má
1,0.24633656603446108,1.0986122886681096,0.8522757226336485,ne-sheʼ-mǎ,ne-sheʼ-mǎ,ne-ne-moo-shǎʼ,nǐ-sä-yǎʼ,ne-kǎ-naʼ,ne-sheʼ-mǎ,ne-she-mǎʼ,n'-dä-n'-go-shǎʼ,ne-mis-sǎʼ,ne-ne-moo-shǎʼ,ne-käʼ-na,ne-ne-moo-shǎʼ,ne-ne-moo-shǎ,ne-sheʼ-mǎ,ne-ne-moo-shǎʼ,ne-sheʼ-mä,nin-dä-waʼ-mä,n'-dä-waʼ-mä,ni-säʼ-yǎ,ne-sheʼ-mǎ,ne-tä-wisʼ,n'-dä-n'-go-sha,n'-dä-n'-go-shǎʼ,nin-dä-waʼ-mä,nǐ-sä-yǎʼ,n'-dä-n'-go-shǎʼ,ne-mis-sǎʼ,ne-käʼ-na,ne-mis-sǎʼ,ne-tä-wisʼ,ne-ne-moo-shǎʼ,ne-mis-sǎʼ,ne-sheʼ-mǎ,ne-sheʼ-mǎ,ne-tä-wisʼ,ni-sä-yǎʼ,ne-ne-moo-shǎʼ,ne-ne-moo-shǎʼ,ne-täʼ-wis,ne-seeʼ-gossʼ,ne-misʼ-sho-má,ne-no-shǎʼ,ne-seeʼ-gossʼ,ne-no-shǎʼ,ne-misʼ-sho-má,ne-no-shǎʼ,ne-zheʼ-shǎʼ,ne-seeʼ-gossʼ,nin-gahʼ,ne-misʼ-sho-má,ne-seeʼ-gossʼ,ne-zheʼ-shǎʼ,noss,ne-misʼ-sho-má,ne-zheʼ-shǎʼ,ne-zheʼ-shǎʼ,ne-no-shǎʼ,nin-gahʼ
2,0.6365141682948128,1.0986122886681096,0.46209812037329684,ne-ne-moo-shǎʼ,ne-sheʼ-mä,ne-mis-sǎʼ,ne-ne-moo-shǎʼ,ne-sheʼ-mǎ,ne-sheʼ-mǎ,n'-dä-waʼ-mä,ne-mis-sǎʼ,ne-ne-moo-shǎʼ,ni-sä-yǎʼ,n'-dä-n'-go-shǎʼ,ne-ne-moo-shǎʼ,ne-kǎ-naʼ,nin-dä-waʼ-mä,n'-dä-n'-go-shǎʼ,ne-mis-sǎʼ,ne-mis-sǎʼ,nin-dä-waʼ-mä,ne-ne-moo-shǎ,n'-dä-n'-go-shǎʼ,ne-tä-wisʼ,ne-tä-wisʼ,ne-sheʼ-mǎ,ne-täʼ-wis,ne-ne-moo-shǎʼ,ne-ne-moo-shǎʼ,ne-käʼ-na,nǐ-sä-yǎʼ,ne-sheʼ-mǎ,ne-ne-moo-shǎʼ,ne-she-mǎʼ,ne-sheʼ-mǎ,ni-säʼ-yǎ,ne-käʼ-na,ne-tä-wisʼ,ne-sheʼ-mǎ,n'-dä-n'-go-sha,nǐ-sä-yǎʼ,ne-sheʼ-mǎ,ne-no-shǎʼ,ne-misʼ-sho-má,ne-zheʼ-shǎʼ,ne-seeʼ-gossʼ,nin-gahʼ,ne-zheʼ-shǎʼ,nin-gahʼ,ne-seeʼ-gossʼ,ne-seeʼ-gossʼ,ne-zheʼ-shǎʼ,ne-misʼ-sho-má,ne-misʼ-sho-má,ne-misʼ-sho-má,ne-zheʼ-shǎʼ,ne-no-shǎʼ,ne-no-shǎʼ,ne-no-shǎʼ,noss,ne-seeʼ-gossʼ
3,0.2463365660344612,0.6365141682948128,0.3901776022603516,ne-sheʼ-mǎ,ne-tä-wisʼ,ne-sheʼ-mǎ,ne-täʼ-wis,ne-ne-moo-shǎʼ,ne-ne-moo-shǎʼ,nǐ-sä-yǎʼ,ne-sheʼ-mǎ,ne-tä-wisʼ,nin-dä-waʼ-mä,ne-kǎ-naʼ,ne-mis-sǎʼ,ne-mis-sǎʼ,ne-sheʼ-mǎ,ne-sheʼ-mǎ,ne-ne-moo-shǎʼ,ne-ne-moo-shǎʼ,n'-dä-n'-go-shǎʼ,ne-käʼ-na,ni-säʼ-yǎ,nǐ-sä-yǎʼ,ne-sheʼ-mä,ni-sä-yǎʼ,n'-dä-n'-go-shǎʼ,ne-sheʼ-mǎ,nin-dä-waʼ-mä,n'-dä-n'-go-sha,n'-dä-waʼ-mä,n'-dä-n'-go-shǎʼ,ne-ne-moo-shǎʼ,ne-sheʼ-mǎ,ne-mis-sǎʼ,ne-ne-moo-shǎ,ne-ne-moo-shǎʼ,ne-tä-wisʼ,ne-ne-moo-shǎʼ,ne-mis-sǎʼ,ne-käʼ-na,ne-she-mǎʼ,ne-seeʼ-gossʼ,ne-misʼ-sho-má,ne-seeʼ-gossʼ,ne-no-shǎʼ,ne-misʼ-sho-má,ne-seeʼ-gossʼ,ne-zheʼ-shǎʼ,ne-no-shǎʼ,ne-no-shǎʼ,nin-gahʼ,ne-misʼ-sho-má,nin-gahʼ,ne-seeʼ-gossʼ,noss,ne-misʼ-sho-má,ne-zheʼ-shǎʼ,ne-zheʼ-shǎʼ,ne-zheʼ-shǎʼ,ne-no-shǎʼ
4,0.26888461641353134,1.0986122886681096,0.8297276722545782,ne-tä-wisʼ,ne-kǎ-naʼ,nin-dä-waʼ-mä,ne-ne-moo-shǎʼ,n'-dä-n'-go-shǎʼ,ne-sheʼ-mǎ,ne-ne-moo-shǎʼ,nǐ-sä-yǎʼ,ne-sheʼ-mǎ,n'-dä-waʼ-mä,n'-dä-n'-go-sha,ne-sheʼ-mǎ,ne-ne-moo-shǎʼ,ne-tä-wisʼ,ne-ne-moo-shǎʼ,ne-mis-sǎʼ,ne-sheʼ-mǎ,ne-sheʼ-mǎ,ne-ne-moo-shǎʼ,nǐ-sä-yǎʼ,ne-ne-moo-shǎʼ,ne-mis-sǎʼ,ne-sheʼ-mǎ,ne-mis-sǎʼ,ne-she-mǎʼ,n'-dä-n'-go-shǎʼ,ne-täʼ-wis,ne-ne-moo-shǎʼ,ne-käʼ-na,ne-ne-moo-shǎ,n'-dä-n'-go-shǎʼ,ne-tä-wisʼ,ne-sheʼ-mǎ,ni-sä-yǎʼ,ne-käʼ-na,nin-dä-waʼ-mä,ne-mis-sǎʼ,ni-säʼ-yǎ,ne-sheʼ-mä,noss,ne-no-shǎʼ,ne-seeʼ-gossʼ,ne-zheʼ-shǎʼ,ne-zheʼ-shǎʼ,ne-no-shǎʼ,ne-no-shǎʼ,ne-misʼ-sho-má,ne-seeʼ-gossʼ,ne-misʼ-sho-má,ne-zheʼ-shǎʼ,ne-seeʼ-gossʼ,ne-misʼ-sho-má,ne-no-shǎʼ,nin-gahʼ,ne-misʼ-sho-má,nin-gahʼ,ne-seeʼ-gossʼ,ne-zheʼ-shǎʼ
5,0.17441604792151594,0.6365141682948128,0.46209812037329684,nin-dä-waʼ-mä,ne-sheʼ-mǎ,ne-ne-moo-shǎʼ,ne-ne-moo-shǎʼ,ne-sheʼ-mä,ne-tä-wisʼ,ne-mis-sǎʼ,ne-käʼ-na,ne-ne-moo-shǎʼ,ne-mis-sǎʼ,ne-ne-moo-shǎʼ,ni-säʼ-yǎ,nin-dä-waʼ-mä,ne-täʼ-wis,ne-sheʼ-mǎ,ne-mis-sǎʼ,ne-kǎ-naʼ,ne-sheʼ-mǎ,ne-she-mǎʼ,ne-ne-moo-shǎ,ne-käʼ-na,n'-dä-n'-go-shǎʼ,ne-sheʼ-mǎ,n'-dä-waʼ-mä,ne-tä-wisʼ,ne-sheʼ-mǎ,nǐ-sä-yǎʼ,ne-ne-moo-shǎʼ,ne-sheʼ-mǎ,ni-sä-yǎʼ,ne-sheʼ-mǎ,ne-ne-moo-shǎʼ,n'-dä-n'-go-shǎʼ,nǐ-sä-yǎʼ,ne-ne-moo-shǎʼ,ne-tä-wisʼ,n'-dä-n'-go-sha,n'-dä-n'-go-shǎʼ,ne-mis-sǎʼ,ne-misʼ-sho-má,ne-zheʼ-shǎʼ,ne-zheʼ-shǎʼ,nin-gahʼ,ne-misʼ-sho-má,ne-zheʼ-shǎʼ,ne-seeʼ-gossʼ,ne-seeʼ-gossʼ,ne-seeʼ-gossʼ,ne-no-shǎʼ,ne-no-shǎʼ,ne-zheʼ-shǎʼ,ne-misʼ-sho-má,nin-gahʼ,ne-seeʼ-gossʼ,noss,ne-no-shǎʼ,ne-misʼ-sho-má,ne-no-shǎʼ
6,0.3182570841474063,1.0986122886681096,0.7803552045207033,ne-ne-moo-shǎʼ,ne-she-mǎʼ,ne-mis-sǎʼ,nin-dä-waʼ-mä,ne-sheʼ-mä,ne-tä-wisʼ,ni-säʼ-yǎ,ne-ne-moo-shǎʼ,ne-käʼ-na,nǐ-sä-yǎʼ,ne-ne-moo-shǎʼ,ne-käʼ-na,ne-mis-sǎʼ,n'-dä-n'-go-shǎʼ,ne-ne-moo-shǎʼ,ne-täʼ-wis,n'-dä-n'-go-shǎʼ,nǐ-sä-yǎʼ,nin-dä-waʼ-mä,ne-sheʼ-mǎ,ne-sheʼ-mǎ,ne-mis-sǎʼ,n'-dä-n'-go-shǎʼ,n'-dä-waʼ-mä,ne-sheʼ-mǎ,ne-ne-moo-shǎʼ,ne-kǎ-naʼ,ne-ne-moo-shǎʼ,n'-dä-n'-go-sha,ne-tä-wisʼ,ne-sheʼ-mǎ,ne-ne-moo-shǎʼ,ne-ne-moo-shǎ,ne-tä-wisʼ,ne-mis-sǎʼ,ne-sheʼ-mǎ,ne-sheʼ-mǎ,ni-sä-yǎʼ,ne-sheʼ-mǎ,nin-gahʼ,ne-misʼ-sho-má,ne-seeʼ-gossʼ,ne-misʼ-sho-má,ne-zheʼ-shǎʼ,ne-seeʼ-gossʼ,ne-seeʼ-gossʼ,ne-zheʼ-shǎʼ,nin-gahʼ,ne-no-shǎʼ,ne-misʼ-sho-má,ne-misʼ-sho-má,ne-seeʼ-gossʼ,ne-zheʼ-shǎʼ,noss,ne-no-shǎʼ,ne-zheʼ-shǎʼ,ne-no-shǎʼ,ne-no-shǎʼ
7,0.6365141682948128,1.0986122886681096,0.46209812037329684,ne-ne-moo-shǎʼ,ne-tä-wisʼ,ne-mis-sǎʼ,n'-dä-n'-go-shǎʼ,ne-sheʼ-mǎ,ne-she-mǎʼ,ne-sheʼ-mǎ,nin-dä-waʼ-mä,nin-dä-waʼ-mä,ne-ne-moo-shǎʼ,ne-sheʼ-mǎ,ne-täʼ-wis,ni-säʼ-yǎ,ne-käʼ-na,ni-sä-yǎʼ,ne-mis-sǎʼ,ne-käʼ-na,nǐ-sä-yǎʼ,ne-ne-moo-shǎʼ,n'-dä-n'-go-shǎʼ,n'-dä-waʼ-mä,ne-sheʼ-mä,ne-ne-moo-shǎ,ne-ne-moo-shǎʼ,n'-dä-n'-go-shǎʼ,nǐ-sä-yǎʼ,ne-kǎ-naʼ,ne-ne-moo-shǎʼ,n'-dä-n'-go-sha,ne-sheʼ-mǎ,ne-ne-moo-shǎʼ,ne-sheʼ-mǎ,ne-mis-sǎʼ,ne-sheʼ-mǎ,ne-sheʼ-mǎ,ne-ne-moo-shǎʼ,ne-tä-wisʼ,ne-tä-wisʼ,ne-mis-sǎʼ,nin-gahʼ,ne-seeʼ-gossʼ,ne-zheʼ-shǎʼ,ne-zheʼ-shǎʼ,ne-no-shǎʼ,ne-zheʼ-shǎʼ,ne-misʼ-sho-má,ne-misʼ-sho-má,ne-seeʼ-gossʼ,ne-seeʼ-gossʼ,ne-no-shǎʼ,ne-misʼ-sho-má,nin-gahʼ,ne-misʼ-sho-má,ne-no-shǎʼ,ne-no-shǎʼ,ne-zheʼ-shǎʼ,ne-seeʼ-gossʼ,noss
8,0.31825708414740617,1.0986122886681096,0.7803552045207034,n'-dä-n'-go-shǎʼ,nin-dä-waʼ-mä,ne-mis-sǎʼ,ne-sheʼ-mǎ,ne-sheʼ-mǎ,ne-ne-moo-shǎ,ne-ne-moo-shǎʼ,ne-sheʼ-mǎ,n'-dä-n'-go-sha,nǐ-sä-yǎʼ,ne-she-mǎʼ,n'-dä-n'-go-shǎʼ,ne-mis-sǎʼ,ne-käʼ-na,ne-kǎ-naʼ,ne-sheʼ-mǎ,n'-dä-n'-go-shǎʼ,ne-sheʼ-mǎ,ne-ne-moo-shǎʼ,ne-tä-wisʼ,ne-täʼ-wis,ne-mis-sǎʼ,ne-tä-wisʼ,n'-dä-waʼ-mä,ni-säʼ-yǎ,ne-ne-moo-shǎʼ,ne-sheʼ-mä,ne-tä-wisʼ,ne-käʼ-na,ne-mis-sǎʼ,ne-sheʼ-mǎ,nǐ-sä-yǎʼ,ne-ne-moo-shǎʼ,nin-dä-waʼ-mä,ne-ne-moo-shǎʼ,ne-sheʼ-mǎ,ne-ne-moo-shǎʼ,ne-ne-moo-shǎʼ,ni-sä-yǎʼ,ne-zheʼ-shǎʼ,ne-misʼ-sho-má,noss,nin-gahʼ,ne-misʼ-sho-má,ne-seeʼ-gossʼ,ne-seeʼ-gossʼ,ne-zheʼ-shǎʼ,ne-misʼ-sho-má,ne-zheʼ-shǎʼ,ne-seeʼ-gossʼ,ne-no-shǎʼ,nin-gahʼ,ne-seeʼ-gossʼ,ne-no-shǎʼ,ne-no-shǎʼ,ne-no-shǎʼ,ne-misʼ-sho-má,ne-zheʼ-shǎʼ
9,0.6365141682948128,1.0986122886681096,0.46209812037329684,ne-sheʼ-mä,ne-sheʼ-mǎ,ne-ne-moo-shǎʼ,nin-dä-waʼ-mä,ne-tä-wisʼ,ne-sheʼ-mǎ,ne-sheʼ-mǎ,nin-dä-waʼ-mä,ne-ne-moo-shǎʼ,n'-dä-n'-go-sha,ne-käʼ-na,ne-ne-moo-shǎʼ,ne-täʼ-wis,n'-dä-n'-go-shǎʼ,ne-she-mǎʼ,ne-ne-moo-shǎʼ,ne-mis-sǎʼ,nǐ-sä-yǎʼ,ne-mis-sǎʼ,ne-käʼ-na,ne-ne-moo-shǎʼ,n'-dä-n'-go-shǎʼ,ne-sheʼ-mǎ,ne-sheʼ-mǎ,ne-sheʼ-mǎ,n'-dä-waʼ-mä,ne-tä-wisʼ,ni-säʼ-yǎ,ni-sä-yǎʼ,ne-kǎ-naʼ,ne-sheʼ-mǎ,ne-mis-sǎʼ,ne-ne-moo-shǎʼ,n'-dä-n'-go-shǎʼ,ne-ne-moo-shǎ,nǐ-sä-yǎʼ,ne-tä-wisʼ,ne-mis-sǎʼ,ne-ne-moo-shǎʼ,ne-zheʼ-shǎʼ,ne-no-shǎʼ,ne-misʼ-sho-má,noss,ne-seeʼ-gossʼ,nin-gahʼ,ne-zheʼ-shǎʼ,ne-seeʼ-gossʼ,ne-no-shǎʼ,ne-misʼ-sho-má,ne-seeʼ-gossʼ,nin-gahʼ,ne-misʼ-sho-má,ne-seeʼ-gossʼ,ne-misʼ-sho-má,ne-no-shǎʼ,ne-zheʼ-shǎʼ,ne-no-shǎʼ,ne-zheʼ-shǎʼ
