simulation_number,mutual_information,entropy,conditional_entropy,mFZS,mMBS,mMZS,mFeBS,mFyBS,mFeZS,mFyZS,mMeBS,mMyBS,mMeZS,mMyZS,mFBeS,mFByS,mFZeS,mFZyS,mMBeS,mMByS,mMZeS,mMZyS,fFBS,fFZS,fMBS,fMZS,fFeBS,fFyBS,fFeZS,fFyZS,fMeBS,fMyBS,fMeZS,fMyZS,fFBeS,fFByS,fFZeS,fFZyS,fMBeS,fMByS,fMZyS,mB,mZ,meB,myB,meZ,myZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBD,mMyBD,mMeZD,mMyZD,mFBeD,mFByD,mFZeD,mFZyD,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fFBD,fMBD,fMZD,fFeBD,fFeZD,fFyZD,fMeBD,fMyBD,fMeZD,fMyZD,fFBeD,fFByD,fFZeD,fFZyD,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFB,mFZ,mMB,mMZ,mFeB,mFyB,mFeZ,mFyZ,mMeZ,mMyZ,mMeB,mMyB,fF,fM,fFB,fFZ,fMB,fMZ,fFeB,fFyB,fFeZ,fFyZ,fMeZ,fMyZ,fMeB,fMyB
0,0.08442518804886712,1.1430618609218155,1.0586366728729484,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,brat,dvajúradny brat,dvajúradny brat,brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,sjastrá,dvajúradnaja sjastrá,sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,cëtka,cëtka,dzjádz'ka,dzjádz'ka,dzjádz'ka,dzjádz'ka,dzjádz'ka,cëtka,cëtka,dzjádz'ka,cëtka,cëtka,cëtka,dzjádz'ka,mátka,cëtka,cëtka,cëtka,bác'ka,mátka,cëtka,dzjádz'ka,dzjádz'ka,cëtka,dzjádz'ka,dzjádz'ka,bác'ka,dzjádz'ka
1,0.1280630248384942,1.0723661881542688,0.9443031633157746,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,brat,dvajúradnaja sjastrá,sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,sjastrá,dvajúradnaja sjastrá,brat,dvajúradny brat,dvajúradny brat,sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,brat,dvajúradnaja sjastrá,sjastrá,sjastrá,dvajúradnaja sjastrá,brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,cëtka,cëtka,bác'ka,cëtka,dzjádz'ka,dzjádz'ka,cëtka,cëtka,dzjádz'ka,mátka,bác'ka,mátka,cëtka,cëtka,dzjádz'ka,dzjádz'ka,dzjádz'ka,dzjádz'ka,dzjádz'ka,dzjádz'ka,cëtka,cëtka,cëtka,dzjádz'ka,cëtka,dzjádz'ka,cëtka,dzjádz'ka
2,0.07172291713788392,1.078766968938344,1.00704405180046,dvajúradnaja sjastrá,sjastrá,dvajúradnaja sjastrá,sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,brat,dvajúradnaja sjastrá,brat,dvajúradny brat,sjastrá,dvajúradnaja sjastrá,brat,dvajúradnaja sjastrá,dvajúradny brat,sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,brat,dvajúradnaja sjastrá,dzjádz'ka,cëtka,cëtka,cëtka,dzjádz'ka,cëtka,dzjádz'ka,dzjádz'ka,dzjádz'ka,dzjádz'ka,dzjádz'ka,cëtka,cëtka,bác'ka,dzjádz'ka,cëtka,dzjádz'ka,cëtka,mátka,dzjádz'ka,dzjádz'ka,dzjádz'ka,cëtka,mátka,bác'ka,cëtka,cëtka,cëtka
3,0.05986150429928205,1.0762815311530085,1.0164200268537265,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,brat,dvajúradny brat,dvajúradny brat,sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,brat,dvajúradnaja sjastrá,sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,mátka,dzjádz'ka,cëtka,dzjádz'ka,dzjádz'ka,cëtka,dzjádz'ka,cëtka,cëtka,dzjádz'ka,dzjádz'ka,dzjádz'ka,cëtka,dzjádz'ka,cëtka,cëtka,dzjádz'ka,dzjádz'ka,cëtka,dzjádz'ka,dzjádz'ka,cëtka,cëtka,cëtka,bác'ka,bác'ka,cëtka,mátka
4,0.0489309471255952,1.1203228140548949,1.0713918669292997,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,brat,brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dzjádz'ka,bác'ka,cëtka,cëtka,cëtka,dzjádz'ka,dzjádz'ka,dzjádz'ka,dzjádz'ka,dzjádz'ka,cëtka,cëtka,cëtka,dzjádz'ka,cëtka,dzjádz'ka,mátka,cëtka,cëtka,cëtka,dzjádz'ka,dzjádz'ka,bác'ka,dzjádz'ka,dzjádz'ka,mátka,cëtka,cëtka
5,0.04165083870184816,1.0465927659331207,1.0049419272312725,dvajúradny brat,dvajúradnaja sjastrá,brat,dvajúradny brat,dvajúradnaja sjastrá,brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,brat,dvajúradnaja sjastrá,dvajúradny brat,brat,dvajúradnaja sjastrá,sjastrá,dvajúradnaja sjastrá,sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dzjádz'ka,cëtka,cëtka,dzjádz'ka,dzjádz'ka,cëtka,dzjádz'ka,mátka,cëtka,cëtka,dzjádz'ka,cëtka,dzjádz'ka,bác'ka,dzjádz'ka,bác'ka,cëtka,dzjádz'ka,dzjádz'ka,dzjádz'ka,cëtka,dzjádz'ka,cëtka,mátka,cëtka,cëtka,dzjádz'ka,cëtka
6,0.07053170782480289,1.078766968938344,1.008235261113541,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,brat,brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,sjastrá,brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,sjastrá,dvajúradny brat,dvajúradnaja sjastrá,brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,sjastrá,brat,cëtka,cëtka,dzjádz'ka,cëtka,dzjádz'ka,cëtka,dzjádz'ka,cëtka,cëtka,bác'ka,cëtka,bác'ka,dzjádz'ka,dzjádz'ka,dzjádz'ka,cëtka,dzjádz'ka,dzjádz'ka,mátka,dzjádz'ka,cëtka,cëtka,mátka,dzjádz'ka,cëtka,cëtka,dzjádz'ka,dzjádz'ka
7,0.07655491210453758,1.0745032984683227,0.9979483863637851,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,sjastrá,sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,brat,sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,cëtka,cëtka,cëtka,dzjádz'ka,dzjádz'ka,cëtka,dzjádz'ka,cëtka,dzjádz'ka,cëtka,cëtka,dzjádz'ka,dzjádz'ka,dzjádz'ka,dzjádz'ka,cëtka,dzjádz'ka,cëtka,bác'ka,cëtka,dzjádz'ka,dzjádz'ka,cëtka,mátka,mátka,bác'ka,dzjádz'ka,cëtka
8,0.0662622235876893,1.0393172538256057,0.9730550302379164,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,sjastrá,dvajúradny brat,sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,brat,dvajúradnaja sjastrá,sjastrá,dvajúradnaja sjastrá,brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,brat,dvajúradny brat,brat,dvajúradnaja sjastrá,dvajúradny brat,cëtka,cëtka,dzjádz'ka,dzjádz'ka,bác'ka,cëtka,cëtka,bác'ka,dzjádz'ka,dzjádz'ka,mátka,dzjádz'ka,cëtka,cëtka,cëtka,cëtka,dzjádz'ka,cëtka,dzjádz'ka,dzjádz'ka,cëtka,mátka,dzjádz'ka,cëtka,dzjádz'ka,dzjádz'ka,cëtka,dzjádz'ka
9,0.05904771451335322,1.1285783001317093,1.0695305856183561,sjastrá,brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradnaja sjastrá,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,sjastrá,dvajúradny brat,dvajúradny brat,dvajúradny brat,dvajúradnaja sjastrá,dvajúradnaja sjastrá,dvajúradnaja sjastrá,sjastrá,brat,dvajúradnaja sjastrá,cëtka,mátka,dzjádz'ka,dzjádz'ka,cëtka,dzjádz'ka,cëtka,cëtka,dzjádz'ka,bác'ka,cëtka,dzjádz'ka,cëtka,mátka,dzjádz'ka,dzjádz'ka,bác'ka,cëtka,cëtka,dzjádz'ka,dzjádz'ka,cëtka,cëtka,cëtka,dzjádz'ka,cëtka,dzjádz'ka,dzjádz'ka
