simulation_number,mutual_information,entropy,conditional_entropy,feB,mFZeS,fFZeS,mMBeS,fMBeS,mMZeS,mMBeD,fMBeD,mMByS,fMByS,mFBeD,fFBeD,mFZeD,fFZeD,mMZeD,fMZeD,meZ,feZ,mFByS,fFByS,mFZyS,fFZyS,mMZyS,fMZyS,myB,fyB,myZ,fyZ,mFByD,fFByD,mFZyD,fFZyD,mMByD,fMByD,mMZyD,fMZyD,mFBeS,fFBeS,mFeZ,mFyZ,fFeZ,fFyZ,mF,fF,mMeB,mMyB,fMeB,fMyB,mFeB,mFyB,fFeB,fFyB,mMeZ,mMyZ,fMeZ,fMyZ,mM,fM
0,0.2868240015233603,0.9799711820833055,0.6931471805599452,setʼ-chilʼ-e-ä-za,sǎ-näʼ-gä,sǔ-näʼ-gä,su-näʼ-ga,setʼ-dezʼ-a-ä-za,set-dezʼ-a-ä-ze,sǎ-näʼ-gä,säʼ-re,set-chilʼ-e-ä-ze,set-chilʼ-e-ä-ze,set-chilʼ-e-ä-za,set-dezʼ-a-ä-ze,set-dezʼ-a-ä-za,sǔ-näʼ-gä,set-dezʼ-a-ä-ze,säʼ-re,sǔ-näʼ-gä,set-dezʼ-a-ä-ze,set-chilʼ-e-ä-ze,säʼ-re,set-chilʼ-e-ä-za,set-dezʼ-a-ä-ze,säʼ-re,set-dezʼ-a-ä-ze,set-dezʼ-a-ä-za,sǔ-näʼ-gä,setʼ-chilʼ-e-ä-za,säʼ-re,setʼ-dezʼ-a-ä-za,sǔ-näʼ-gä,säʼ-re,säʼ-re,set-chilʼ-e-ä-ze,säʼ-re,säʼ-re,set-chilʼ-e-ä-ze,set-chilʼ-e-ä-ze,säʼ-re,sä-kreʼ-a,see-theʼ-ne,setʼ-so,setʼ-so,set-häʼ,sä-kreʼ-a,serʼ-a,setʼ-so,a-naʼ,serʼ-a,serʼ-a,setʼ-so,see-theʼ-ne,a-naʼ,see-theʼ-ne,serʼ-a,set-häʼ,sä-kreʼ-a,see-theʼ-ne,sä-kreʼ-a
1,0.34145405235023607,1.0346012329101812,0.6931471805599452,set-chilʼ-e-ä-ze,set-chilʼ-e-ä-ze,set-chilʼ-e-ä-ze,set-dezʼ-a-ä-ze,set-dezʼ-a-ä-ze,sǎ-näʼ-gä,säʼ-re,sǔ-näʼ-gä,sǔ-näʼ-gä,säʼ-re,set-dezʼ-a-ä-za,säʼ-re,su-näʼ-ga,säʼ-re,säʼ-re,set-dezʼ-a-ä-ze,setʼ-chilʼ-e-ä-za,setʼ-dezʼ-a-ä-za,set-chilʼ-e-ä-ze,säʼ-re,set-chilʼ-e-ä-za,set-dezʼ-a-ä-ze,set-dezʼ-a-ä-ze,set-chilʼ-e-ä-ze,säʼ-re,set-chilʼ-e-ä-ze,setʼ-chilʼ-e-ä-za,setʼ-dezʼ-a-ä-za,set-chilʼ-e-ä-za,sǔ-näʼ-gä,set-dezʼ-a-ä-ze,säʼ-re,sǔ-näʼ-gä,sǎ-näʼ-gä,säʼ-re,set-dezʼ-a-ä-za,sǔ-näʼ-gä,säʼ-re,a-naʼ,sä-kreʼ-a,serʼ-a,set-häʼ,a-naʼ,sä-kreʼ-a,set-häʼ,serʼ-a,setʼ-so,serʼ-a,see-theʼ-ne,sä-kreʼ-a,see-theʼ-ne,setʼ-so,sä-kreʼ-a,serʼ-a,setʼ-so,setʼ-so,see-theʼ-ne,see-theʼ-ne
2,0.24243302655595822,1.0346012329101812,0.792168206354223,set-dezʼ-a-ä-za,säʼ-re,set-dezʼ-a-ä-ze,set-dezʼ-a-ä-ze,su-näʼ-ga,sǔ-näʼ-gä,set-chilʼ-e-ä-ze,sǔ-näʼ-gä,sǔ-näʼ-gä,säʼ-re,säʼ-re,setʼ-chilʼ-e-ä-za,setʼ-dezʼ-a-ä-za,set-chilʼ-e-ä-ze,set-chilʼ-e-ä-ze,säʼ-re,set-chilʼ-e-ä-za,sǎ-näʼ-gä,sǔ-näʼ-gä,set-dezʼ-a-ä-ze,säʼ-re,säʼ-re,set-dezʼ-a-ä-ze,sǔ-näʼ-gä,sǎ-näʼ-gä,set-chilʼ-e-ä-ze,säʼ-re,set-dezʼ-a-ä-ze,säʼ-re,säʼ-re,säʼ-re,setʼ-chilʼ-e-ä-za,set-dezʼ-a-ä-ze,set-dezʼ-a-ä-za,set-chilʼ-e-ä-ze,setʼ-dezʼ-a-ä-za,set-chilʼ-e-ä-ze,set-chilʼ-e-ä-za,serʼ-a,see-theʼ-ne,sä-kreʼ-a,serʼ-a,setʼ-so,setʼ-so,a-naʼ,sä-kreʼ-a,see-theʼ-ne,see-theʼ-ne,sä-kreʼ-a,see-theʼ-ne,setʼ-so,set-häʼ,serʼ-a,set-häʼ,sä-kreʼ-a,setʼ-so,a-naʼ,serʼ-a
3,1.1102230246251565e-16,0.6931471805599453,0.6931471805599452,set-chilʼ-e-ä-ze,sǔ-näʼ-gä,säʼ-re,setʼ-chilʼ-e-ä-za,setʼ-dezʼ-a-ä-za,säʼ-re,set-dezʼ-a-ä-ze,sǎ-näʼ-gä,setʼ-dezʼ-a-ä-za,sǎ-näʼ-gä,säʼ-re,set-dezʼ-a-ä-ze,sǔ-näʼ-gä,set-chilʼ-e-ä-ze,sǔ-näʼ-gä,set-dezʼ-a-ä-ze,säʼ-re,sǔ-näʼ-gä,säʼ-re,säʼ-re,säʼ-re,set-chilʼ-e-ä-za,set-dezʼ-a-ä-za,su-näʼ-ga,set-dezʼ-a-ä-ze,set-chilʼ-e-ä-za,set-chilʼ-e-ä-ze,säʼ-re,set-dezʼ-a-ä-ze,set-dezʼ-a-ä-za,säʼ-re,set-dezʼ-a-ä-ze,set-chilʼ-e-ä-ze,setʼ-chilʼ-e-ä-za,sǔ-näʼ-gä,set-chilʼ-e-ä-ze,set-chilʼ-e-ä-ze,säʼ-re,sä-kreʼ-a,see-theʼ-ne,a-naʼ,serʼ-a,setʼ-so,setʼ-so,sä-kreʼ-a,see-theʼ-ne,setʼ-so,serʼ-a,serʼ-a,a-naʼ,setʼ-so,see-theʼ-ne,sä-kreʼ-a,serʼ-a,sä-kreʼ-a,see-theʼ-ne,set-häʼ,set-häʼ
4,0.2868240015233605,1.376055285260417,1.0892312837370566,set-chilʼ-e-ä-ze,säʼ-re,sǔ-näʼ-gä,set-chilʼ-e-ä-ze,säʼ-re,su-näʼ-ga,setʼ-chilʼ-e-ä-za,säʼ-re,säʼ-re,sǔ-näʼ-gä,sǎ-näʼ-gä,set-chilʼ-e-ä-ze,säʼ-re,setʼ-dezʼ-a-ä-za,set-chilʼ-e-ä-ze,set-chilʼ-e-ä-za,set-dezʼ-a-ä-ze,set-dezʼ-a-ä-za,sǎ-näʼ-gä,setʼ-dezʼ-a-ä-za,set-chilʼ-e-ä-za,set-dezʼ-a-ä-ze,säʼ-re,set-dezʼ-a-ä-za,set-chilʼ-e-ä-ze,sǔ-näʼ-gä,säʼ-re,set-dezʼ-a-ä-ze,sǔ-näʼ-gä,set-dezʼ-a-ä-ze,säʼ-re,sǔ-näʼ-gä,set-chilʼ-e-ä-ze,set-dezʼ-a-ä-ze,säʼ-re,säʼ-re,set-dezʼ-a-ä-ze,setʼ-chilʼ-e-ä-za,serʼ-a,setʼ-so,set-häʼ,sä-kreʼ-a,sä-kreʼ-a,set-häʼ,a-naʼ,sä-kreʼ-a,setʼ-so,setʼ-so,see-theʼ-ne,serʼ-a,see-theʼ-ne,a-naʼ,sä-kreʼ-a,serʼ-a,see-theʼ-ne,setʼ-so,serʼ-a,see-theʼ-ne
5,0.41011631828840933,1.376055285260417,0.9659389669720078,set-chilʼ-e-ä-ze,setʼ-dezʼ-a-ä-za,set-dezʼ-a-ä-ze,säʼ-re,set-dezʼ-a-ä-ze,setʼ-dezʼ-a-ä-za,set-chilʼ-e-ä-ze,säʼ-re,sǔ-näʼ-gä,set-dezʼ-a-ä-ze,säʼ-re,säʼ-re,setʼ-chilʼ-e-ä-za,set-chilʼ-e-ä-za,sǔ-näʼ-gä,set-chilʼ-e-ä-za,set-chilʼ-e-ä-ze,säʼ-re,setʼ-chilʼ-e-ä-za,säʼ-re,sǔ-näʼ-gä,set-dezʼ-a-ä-ze,säʼ-re,sǎ-näʼ-gä,sǎ-näʼ-gä,sǔ-näʼ-gä,set-dezʼ-a-ä-za,set-chilʼ-e-ä-ze,set-dezʼ-a-ä-ze,set-chilʼ-e-ä-ze,säʼ-re,set-dezʼ-a-ä-za,säʼ-re,set-chilʼ-e-ä-ze,set-dezʼ-a-ä-ze,sǔ-näʼ-gä,su-näʼ-ga,säʼ-re,see-theʼ-ne,setʼ-so,serʼ-a,see-theʼ-ne,serʼ-a,setʼ-so,sä-kreʼ-a,sä-kreʼ-a,sä-kreʼ-a,a-naʼ,serʼ-a,setʼ-so,setʼ-so,set-häʼ,see-theʼ-ne,serʼ-a,a-naʼ,set-häʼ,sä-kreʼ-a,see-theʼ-ne
6,0.6829081047004717,1.0789922078775833,0.39608410317711157,sǔ-näʼ-gä,set-chilʼ-e-ä-za,sǔ-näʼ-gä,set-dezʼ-a-ä-za,sǔ-näʼ-gä,set-dezʼ-a-ä-za,säʼ-re,set-chilʼ-e-ä-ze,setʼ-chilʼ-e-ä-za,set-dezʼ-a-ä-ze,sǔ-näʼ-gä,set-dezʼ-a-ä-ze,set-dezʼ-a-ä-ze,sǔ-näʼ-gä,säʼ-re,säʼ-re,säʼ-re,set-chilʼ-e-ä-ze,set-chilʼ-e-ä-za,set-dezʼ-a-ä-ze,säʼ-re,su-näʼ-ga,set-chilʼ-e-ä-ze,setʼ-dezʼ-a-ä-za,säʼ-re,set-chilʼ-e-ä-ze,sǎ-näʼ-gä,setʼ-chilʼ-e-ä-za,säʼ-re,setʼ-dezʼ-a-ä-za,set-dezʼ-a-ä-ze,säʼ-re,set-chilʼ-e-ä-ze,sǎ-näʼ-gä,set-chilʼ-e-ä-ze,säʼ-re,säʼ-re,set-dezʼ-a-ä-ze,set-häʼ,setʼ-so,a-naʼ,see-theʼ-ne,setʼ-so,sä-kreʼ-a,serʼ-a,sä-kreʼ-a,a-naʼ,sä-kreʼ-a,see-theʼ-ne,setʼ-so,see-theʼ-ne,serʼ-a,sä-kreʼ-a,serʼ-a,see-theʼ-ne,set-häʼ,setʼ-so,serʼ-a
7,0.2868240015233605,1.376055285260417,1.0892312837370566,set-chilʼ-e-ä-ze,set-chilʼ-e-ä-za,säʼ-re,set-dezʼ-a-ä-ze,säʼ-re,säʼ-re,setʼ-chilʼ-e-ä-za,setʼ-dezʼ-a-ä-za,set-dezʼ-a-ä-ze,su-näʼ-ga,set-chilʼ-e-ä-ze,sǔ-näʼ-gä,sǔ-näʼ-gä,set-chilʼ-e-ä-ze,set-chilʼ-e-ä-za,säʼ-re,set-dezʼ-a-ä-za,sǔ-näʼ-gä,set-chilʼ-e-ä-ze,sǔ-näʼ-gä,sǔ-näʼ-gä,säʼ-re,set-dezʼ-a-ä-ze,säʼ-re,set-chilʼ-e-ä-ze,setʼ-dezʼ-a-ä-za,säʼ-re,säʼ-re,sǎ-näʼ-gä,setʼ-chilʼ-e-ä-za,säʼ-re,set-dezʼ-a-ä-za,set-dezʼ-a-ä-ze,set-dezʼ-a-ä-ze,sǎ-näʼ-gä,säʼ-re,set-chilʼ-e-ä-ze,set-dezʼ-a-ä-ze,serʼ-a,sä-kreʼ-a,see-theʼ-ne,sä-kreʼ-a,serʼ-a,sä-kreʼ-a,serʼ-a,setʼ-so,see-theʼ-ne,set-häʼ,see-theʼ-ne,serʼ-a,see-theʼ-ne,setʼ-so,setʼ-so,a-naʼ,sä-kreʼ-a,setʼ-so,set-häʼ,a-naʼ
8,0.242433026555958,1.034601232910181,0.792168206354223,sǎ-näʼ-gä,set-chilʼ-e-ä-ze,setʼ-dezʼ-a-ä-za,set-dezʼ-a-ä-ze,sǔ-näʼ-gä,su-näʼ-ga,setʼ-dezʼ-a-ä-za,säʼ-re,säʼ-re,setʼ-chilʼ-e-ä-za,säʼ-re,säʼ-re,sǔ-näʼ-gä,set-dezʼ-a-ä-ze,säʼ-re,set-dezʼ-a-ä-ze,säʼ-re,sǔ-näʼ-gä,set-chilʼ-e-ä-za,set-chilʼ-e-ä-ze,set-dezʼ-a-ä-za,set-dezʼ-a-ä-za,sǔ-näʼ-gä,sǔ-näʼ-gä,set-dezʼ-a-ä-ze,setʼ-chilʼ-e-ä-za,set-dezʼ-a-ä-ze,säʼ-re,set-chilʼ-e-ä-ze,set-chilʼ-e-ä-za,set-chilʼ-e-ä-ze,säʼ-re,set-dezʼ-a-ä-ze,säʼ-re,set-chilʼ-e-ä-ze,sǎ-näʼ-gä,set-chilʼ-e-ä-ze,säʼ-re,setʼ-so,setʼ-so,serʼ-a,set-häʼ,setʼ-so,setʼ-so,see-theʼ-ne,set-häʼ,sä-kreʼ-a,serʼ-a,see-theʼ-ne,see-theʼ-ne,serʼ-a,sä-kreʼ-a,serʼ-a,sä-kreʼ-a,a-naʼ,a-naʼ,see-theʼ-ne,sä-kreʼ-a
9,0.34145405235023607,1.0346012329101812,0.6931471805599452,set-dezʼ-a-ä-za,säʼ-re,set-dezʼ-a-ä-ze,sǎ-näʼ-gä,säʼ-re,set-chilʼ-e-ä-ze,sǔ-näʼ-gä,set-dezʼ-a-ä-ze,setʼ-dezʼ-a-ä-za,set-dezʼ-a-ä-ze,sǔ-näʼ-gä,set-dezʼ-a-ä-ze,set-chilʼ-e-ä-za,set-dezʼ-a-ä-ze,säʼ-re,säʼ-re,set-chilʼ-e-ä-ze,säʼ-re,set-chilʼ-e-ä-za,setʼ-dezʼ-a-ä-za,sǔ-näʼ-gä,säʼ-re,set-dezʼ-a-ä-ze,säʼ-re,su-näʼ-ga,säʼ-re,set-chilʼ-e-ä-ze,setʼ-chilʼ-e-ä-za,setʼ-chilʼ-e-ä-za,säʼ-re,sǔ-näʼ-gä,set-dezʼ-a-ä-za,säʼ-re,sǔ-näʼ-gä,sǎ-näʼ-gä,set-chilʼ-e-ä-ze,set-chilʼ-e-ä-ze,set-chilʼ-e-ä-ze,see-theʼ-ne,serʼ-a,see-theʼ-ne,sä-kreʼ-a,set-häʼ,setʼ-so,sä-kreʼ-a,see-theʼ-ne,see-theʼ-ne,serʼ-a,setʼ-so,a-naʼ,a-naʼ,serʼ-a,serʼ-a,setʼ-so,set-häʼ,setʼ-so,sä-kreʼ-a,sä-kreʼ-a
