simulation_number,mutual_information,entropy,conditional_entropy,mB,mZ,meB,myB,meZ,myZ,mFZD,mMBD,mFZS,mMBS,mFeZS,mFyZS,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mFZeS,mFZyS,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,fB,fZ,feB,fyB,feZ,fyZ,fFZD,fMBD,fFZS,fMBS,fFeZS,fFyZS,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fFZeS,fFZyS,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,mF,mM,mFZ,mMB,mFeZ,mFyZ,mMeB,mMyB,fF,fM,fFZ,fMB,fFeZ,fFyZ,fMeB,fMyB
0,0.06427293275684187,1.2756041994275935,1.2113312666707516,ine-,ula-,ine-,ine-,inie-,ine-,inie-,inie-,ula-,ine-,inie-,ula-,inie-,ula-,ula-,ula-,ine-,inie-,ine-,ula-,ine-,ine-,ula-,ine-,ine-,inie-,inie-,ula-,ine-,ula-,ine-,inie-,ula-,inie-,ula-,inie-,ula-,inie-,ula-,ula-,ula-,ula-,ula-,ine-,ula-,ine-,ula-,ula-,ine-,ula-,ula-,ula-,teitei,nike,teitei,uweli,uweli,uweli,uweli,nike,ma'a,nike,nike,uweli,ma'a,nike,nike,uweli
1,0.02892362123764647,1.1803716827381932,1.1514480615005467,ine-,ine-,inie-,ula-,ula-,inie-,inie-,ula-,ula-,ine-,ine-,ula-,ula-,ine-,ine-,ine-,inie-,ula-,ula-,inie-,ine-,ula-,ula-,ula-,ula-,ula-,inie-,inie-,inie-,ula-,inie-,ula-,ine-,ula-,ula-,inie-,ula-,ine-,ine-,ine-,ine-,inie-,ula-,ula-,ula-,ula-,ine-,ine-,inie-,ula-,ula-,ine-,nike,uweli,uweli,nike,uweli,nike,nike,teitei,nike,teitei,nike,uweli,uweli,ma'a,uweli,ma'a
2,0.041657255359476064,1.285006827587546,1.2433495722280699,ine-,ine-,ula-,ula-,ula-,inie-,ula-,ine-,inie-,ine-,ula-,ine-,ine-,ula-,ine-,ula-,ula-,ula-,inie-,ula-,ine-,ine-,ula-,ine-,inie-,inie-,ula-,inie-,ula-,ula-,ula-,ula-,ula-,ine-,ine-,ine-,inie-,ine-,ula-,inie-,ula-,inie-,inie-,ula-,ula-,ula-,ine-,inie-,inie-,ula-,ine-,ula-,teitei,uweli,uweli,ma'a,uweli,nike,nike,uweli,nike,ma'a,nike,nike,teitei,nike,uweli,uweli
3,0.06439471963905019,1.2560778837608955,1.1916831641218453,ine-,ine-,ula-,ula-,inie-,ula-,ine-,ula-,ula-,ine-,ula-,inie-,ula-,ula-,ine-,inie-,ula-,ine-,ula-,ula-,ula-,ula-,ula-,inie-,inie-,inie-,ula-,ine-,ine-,ine-,ula-,ine-,ula-,ula-,ine-,inie-,ine-,inie-,inie-,inie-,ula-,ine-,ine-,ula-,ula-,ine-,inie-,ula-,ine-,ula-,inie-,ula-,nike,uweli,nike,ma'a,uweli,uweli,teitei,nike,nike,uweli,ma'a,uweli,nike,nike,teitei,uweli
4,0.07943277331216225,1.2657620779578627,1.1863293046457004,ine-,ula-,ine-,ine-,inie-,ine-,ula-,ine-,inie-,inie-,ine-,ine-,ine-,inie-,ula-,ula-,ula-,ine-,ula-,inie-,ula-,ula-,ula-,inie-,ine-,ula-,ula-,ula-,ine-,ula-,ine-,ula-,ula-,inie-,ula-,ine-,ula-,ula-,inie-,ula-,ula-,inie-,ine-,ula-,ula-,ula-,ula-,inie-,inie-,inie-,ine-,ine-,teitei,uweli,nike,nike,nike,uweli,nike,uweli,uweli,nike,nike,ma'a,uweli,ma'a,uweli,teitei
5,0.11842404842327126,1.2162182436750815,1.0977941952518102,inie-,ula-,ula-,ula-,ine-,ula-,ine-,ula-,ine-,inie-,ula-,inie-,ula-,ine-,ula-,inie-,ula-,ine-,ine-,inie-,ula-,inie-,ine-,ine-,ula-,inie-,ine-,inie-,ine-,ula-,ine-,inie-,ula-,ine-,ula-,ula-,ula-,ula-,ula-,inie-,inie-,ine-,ula-,ine-,ine-,ula-,ula-,inie-,ula-,ula-,ula-,ine-,uweli,nike,uweli,teitei,uweli,ma'a,uweli,nike,nike,nike,uweli,nike,nike,uweli,teitei,ma'a
6,0.09207042352757222,1.2710689752428423,1.1789985517152701,ula-,ula-,ula-,inie-,ine-,ula-,ine-,ula-,ula-,ula-,ula-,ine-,ine-,ula-,ula-,inie-,inie-,ula-,ula-,ine-,ine-,inie-,ula-,ula-,ine-,inie-,ula-,ula-,ula-,ine-,inie-,ula-,inie-,ula-,inie-,ine-,ula-,ine-,ula-,ine-,ula-,ula-,ine-,ine-,ine-,inie-,inie-,ine-,ine-,inie-,ula-,inie-,nike,ma'a,uweli,teitei,uweli,nike,uweli,uweli,nike,uweli,uweli,nike,ma'a,nike,nike,teitei
7,0.06878278225874368,1.2015969279553986,1.132814145696655,ula-,ula-,ine-,ine-,inie-,ula-,ula-,ula-,inie-,inie-,inie-,ine-,inie-,ula-,ine-,ula-,ula-,ine-,ine-,ula-,ula-,ine-,ine-,inie-,ula-,inie-,ula-,inie-,inie-,ula-,ula-,ula-,ine-,ula-,ula-,inie-,ine-,ine-,ine-,ula-,ine-,ula-,inie-,ine-,ula-,ula-,ine-,inie-,ine-,ula-,ula-,ula-,uweli,nike,uweli,nike,nike,uweli,uweli,nike,ma'a,teitei,uweli,nike,ma'a,teitei,nike,uweli
8,0.05954779479786021,1.2162182436750815,1.1566704488772213,ula-,ula-,ine-,inie-,inie-,ula-,ine-,ine-,ula-,ula-,ine-,ine-,inie-,ine-,ula-,ula-,ine-,ula-,inie-,inie-,ula-,ula-,ula-,ine-,ula-,ula-,ula-,inie-,inie-,ula-,ula-,ine-,ula-,ula-,ine-,inie-,inie-,ula-,ine-,ula-,ine-,ine-,inie-,ula-,ine-,ula-,ine-,inie-,ula-,ine-,ula-,inie-,uweli,uweli,nike,nike,nike,ma'a,uweli,ma'a,uweli,uweli,teitei,nike,nike,teitei,uweli,nike
9,0.06278147936174983,1.261616636737113,1.1988351573753633,inie-,ula-,ula-,ula-,ine-,ula-,ula-,ula-,inie-,ula-,inie-,ula-,ine-,ine-,ula-,ula-,ine-,ula-,ine-,ine-,inie-,ula-,ula-,ine-,ula-,inie-,ine-,ula-,inie-,ine-,inie-,ine-,ula-,ine-,ula-,ine-,inie-,ine-,ula-,ula-,ula-,inie-,inie-,ula-,inie-,ine-,ula-,ula-,inie-,ine-,ula-,ine-,nike,uweli,nike,teitei,uweli,uweli,uweli,nike,nike,nike,ma'a,nike,uweli,uweli,ma'a,teitei
