simulation_number,mutual_information,entropy,conditional_entropy,myB,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMZeS,mMZyS,mMBeD,mMByD,mMZeD,mMZyD,feB,fyB,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMZyS,fMBeD,fMByD,fMZeD,fMZyD,mF,mM,mFZ,mFeB,mFyB,mMeZ,mMyZ,mMeB,mMyB,mFeZ,mFyZ,fF,fM,fFZ,fFeB,fFyB,fMeZ,fMyZ,fMeB,fMyB,fFeZ,fFyZ
0,0.6065923129546564,1.5247073930301436,0.9181150800754871,cahkany,paciny,papiny,naminy,cahkany,paciny,paciny,paciny,papiny,cahkany,paciny,papiny,cahkany,cahkany,cahkany,papiny,paciny,naminy,naminy,cahkany,naminy,paciny,cahkany,naminy,papiny,naminy,cahkany,naminy,papiny,papiny,cahkany,naminy,papiny,paciny,pany,kuk^winy,piany,naahpiany,piany,mawuhny,pany,cinahny,kuuny,kuuny,ʔainy,cinahny,pany,mawuhny,pany,ʔainy,muany,pany,muany,naahpiany,pany,kuk^winy
1,0.7588049263336096,1.7379834485870498,0.9791785222534402,cahkany,papiny,paciny,naminy,naminy,paciny,naminy,papiny,papiny,cahkany,naminy,cahkany,naminy,naminy,cahkany,cahkany,papiny,paciny,cahkany,paciny,papiny,naminy,cahkany,papiny,paciny,naminy,paciny,paciny,cahkany,papiny,cahkany,papiny,paciny,cahkany,cinahny,kuk^winy,piany,mawuhny,ʔainy,kuuny,kuuny,mawuhny,muany,pany,pany,ʔainy,naahpiany,pany,muany,cinahny,naahpiany,kuk^winy,piany,pany,pany,pany
2,0.4791407002109078,1.4791328074296435,0.9999921072187357,naminy,paciny,cahkany,papiny,cahkany,cahkany,naminy,paciny,paciny,naminy,papiny,paciny,papiny,cahkany,cahkany,paciny,papiny,paciny,cahkany,naminy,cahkany,papiny,naminy,naminy,cahkany,papiny,cahkany,paciny,papiny,paciny,cahkany,naminy,papiny,naminy,pany,cinahny,pany,muany,kuuny,naahpiany,piany,kuuny,pany,mawuhny,kuk^winy,naahpiany,piany,ʔainy,kuk^winy,mawuhny,pany,cinahny,ʔainy,pany,muany,pany
3,0.692416755767814,1.7379834485870498,1.0455666928192358,naminy,paciny,paciny,naminy,papiny,papiny,cahkany,papiny,papiny,naminy,cahkany,cahkany,papiny,paciny,paciny,cahkany,papiny,cahkany,naminy,naminy,cahkany,cahkany,naminy,cahkany,papiny,papiny,cahkany,cahkany,paciny,paciny,naminy,naminy,paciny,paciny,cinahny,pany,ʔainy,kuk^winy,piany,muany,kuuny,pany,naahpiany,pany,kuuny,piany,kuk^winy,mawuhny,pany,pany,cinahny,pany,ʔainy,mawuhny,naahpiany,muany
4,0.6521668985551566,1.5247073930301436,0.8725404944749869,papiny,cahkany,naminy,cahkany,naminy,naminy,paciny,paciny,cahkany,paciny,naminy,paciny,papiny,paciny,papiny,cahkany,cahkany,paciny,papiny,cahkany,paciny,naminy,cahkany,papiny,paciny,naminy,papiny,cahkany,cahkany,naminy,naminy,papiny,cahkany,papiny,kuk^winy,kuuny,pany,pany,pany,ʔainy,pany,cinahny,pany,kuk^winy,muany,piany,piany,cinahny,pany,naahpiany,mawuhny,ʔainy,muany,kuuny,naahpiany,mawuhny
5,0.45437969957570323,1.4791328074296435,1.0247531078539402,paciny,naminy,papiny,cahkany,cahkany,papiny,papiny,cahkany,naminy,paciny,paciny,papiny,paciny,papiny,naminy,naminy,cahkany,cahkany,paciny,cahkany,paciny,naminy,papiny,papiny,naminy,cahkany,paciny,cahkany,naminy,naminy,papiny,paciny,cahkany,cahkany,naahpiany,piany,pany,kuuny,cinahny,muany,pany,mawuhny,mawuhny,muany,ʔainy,kuuny,kuk^winy,naahpiany,pany,ʔainy,piany,pany,kuk^winy,cinahny,pany,pany
6,0.37782740082029753,1.5247073930301436,1.146879992209846,cahkany,paciny,cahkany,naminy,papiny,papiny,paciny,cahkany,paciny,paciny,papiny,paciny,cahkany,cahkany,cahkany,naminy,naminy,cahkany,papiny,cahkany,papiny,papiny,cahkany,papiny,cahkany,papiny,naminy,naminy,paciny,paciny,naminy,naminy,paciny,naminy,pany,ʔainy,naahpiany,pany,pany,piany,cinahny,naahpiany,muany,kuuny,pany,pany,muany,kuk^winy,kuuny,ʔainy,mawuhny,cinahny,piany,mawuhny,kuk^winy,pany
7,0.5663424557419989,1.4791328074296435,0.9127903516876446,naminy,naminy,cahkany,paciny,cahkany,cahkany,paciny,paciny,naminy,paciny,papiny,cahkany,papiny,cahkany,naminy,paciny,paciny,naminy,paciny,paciny,naminy,papiny,cahkany,naminy,papiny,cahkany,papiny,cahkany,papiny,papiny,naminy,cahkany,papiny,cahkany,pany,kuuny,pany,pany,ʔainy,muany,pany,pany,ʔainy,kuk^winy,cinahny,muany,naahpiany,mawuhny,kuk^winy,kuuny,naahpiany,piany,mawuhny,pany,piany,cinahny
8,0.5379730626398511,1.2658567518727373,0.7278836892328862,naminy,paciny,papiny,paciny,papiny,paciny,papiny,cahkany,cahkany,paciny,cahkany,cahkany,cahkany,paciny,naminy,cahkany,papiny,cahkany,cahkany,papiny,naminy,cahkany,papiny,papiny,naminy,paciny,cahkany,paciny,paciny,papiny,naminy,naminy,naminy,naminy,kuk^winy,ʔainy,piany,pany,mawuhny,pany,pany,kuuny,pany,mawuhny,muany,piany,kuk^winy,cinahny,pany,naahpiany,ʔainy,muany,pany,kuuny,cinahny,naahpiany
9,0.8043795119341095,1.591095563595939,0.7867160516618295,papiny,papiny,paciny,cahkany,paciny,naminy,papiny,cahkany,papiny,paciny,papiny,naminy,papiny,cahkany,paciny,paciny,paciny,naminy,naminy,paciny,naminy,naminy,cahkany,cahkany,cahkany,cahkany,papiny,paciny,naminy,papiny,cahkany,cahkany,naminy,cahkany,ʔainy,naahpiany,kuk^winy,muany,kuk^winy,pany,pany,pany,pany,cinahny,pany,piany,naahpiany,mawuhny,pany,kuuny,mawuhny,kuuny,ʔainy,muany,piany,cinahny
