simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mF,mM,fF,fM,mFeZ,mFyZ,mMeB,mMyB,fFeZ,fFyZ,fMeB,fMyB
0,0.6829081047004719,1.376055285260417,0.6931471805599452,upuŋka,it̪amu,it̪amu,upantin,upantin,it̪amu,it̪amu,"ißuɲ, ißaða",ukura,in̺ya,uŋuɲu,in̺ya,uŋuɲu,a:la,ukura,a:la,"ißuɲ, ißaða",in̺ya,in̺ya
1,0.08878194993480437,1.3760552852604169,1.2872733353256125,upantin,upuŋka,it̪amu,it̪amu,it̪amu,upantin,it̪amu,in̺ya,a:la,"ißuɲ, ißaða",uŋuɲu,in̺ya,in̺ya,in̺ya,"ißuɲ, ißaða",uŋuɲu,ukura,a:la,ukura
2,0.16353168475831126,1.3760552852604169,1.2125236005021056,upuŋka,upantin,it̪amu,upantin,it̪amu,it̪amu,it̪amu,in̺ya,a:la,uŋuɲu,ukura,"ißuɲ, ißaða","ißuɲ, ißaða",ukura,a:la,in̺ya,in̺ya,uŋuɲu,in̺ya
3,0.0887819499348046,1.376055285260417,1.2872733353256125,it̪amu,upantin,it̪amu,it̪amu,upantin,upuŋka,it̪amu,uŋuɲu,"ißuɲ, ißaða",in̺ya,a:la,uŋuɲu,"ißuɲ, ißaða",in̺ya,a:la,in̺ya,ukura,ukura,in̺ya
4,0.08176584237915563,1.034601232910181,0.9528353905310254,it̪amu,it̪amu,it̪amu,upantin,upuŋka,it̪amu,upantin,in̺ya,a:la,in̺ya,uŋuɲu,ukura,in̺ya,uŋuɲu,in̺ya,ukura,a:la,"ißuɲ, ißaða","ißuɲ, ißaða"
5,0.044390974967402186,1.034601232910181,0.9902102579427788,it̪amu,it̪amu,upantin,upantin,it̪amu,it̪amu,upuŋka,ukura,in̺ya,in̺ya,uŋuɲu,ukura,a:la,"ißuɲ, ißaða",in̺ya,a:la,uŋuɲu,"ißuɲ, ißaða",in̺ya
6,0.09922444498263278,0.5195798391305154,0.42035539414788264,it̪amu,upantin,it̪amu,upuŋka,it̪amu,upantin,it̪amu,uŋuɲu,in̺ya,in̺ya,in̺ya,uŋuɲu,"ißuɲ, ißaða",a:la,"ißuɲ, ißaða",ukura,a:la,in̺ya,ukura
7,0.0887819499348046,1.376055285260417,1.2872733353256125,it̪amu,upantin,it̪amu,it̪amu,upantin,upuŋka,it̪amu,"ißuɲ, ißaða",in̺ya,ukura,a:la,a:la,"ißuɲ, ißaða",uŋuɲu,ukura,in̺ya,uŋuɲu,in̺ya,in̺ya
8,0.08878194993480437,0.9799711820833054,0.891189232148501,upantin,upantin,it̪amu,it̪amu,it̪amu,it̪amu,upuŋka,uŋuɲu,in̺ya,a:la,a:la,"ißuɲ, ißaða",in̺ya,ukura,in̺ya,"ißuɲ, ißaða",ukura,uŋuɲu,in̺ya
9,0.6829081047004717,1.3760552852604169,0.6931471805599452,upuŋka,it̪amu,it̪amu,upantin,upantin,it̪amu,it̪amu,in̺ya,ukura,uŋuɲu,"ißuɲ, ißaða",in̺ya,a:la,"ißuɲ, ißaða",ukura,uŋuɲu,in̺ya,a:la,in̺ya
