simulation_number,mutual_information,entropy,conditional_entropy,myB,feB,fyB,meZ,myZ,feZ,fyZ,mFZD,mFeZD,mFyZD,mFZeD,mFZyD,mF,mM,fF,fM,mFeB,mFyB,mFeZ,mFyZ,mMeB,mMyB,mMeZ,mMyZ,fFeB,fFyB,fMeZ,fMyZ
0,0.14534670660126348,1.0114042647073518,0.8660575581060883,tuutuu vaven,menenkulu,tuutuu vaven,menenkulu,meresilii,"biibilen, tuet, taselok",tuutuu vaven,tuutuu vaven,meresilii,tuutuu vaven,meresilii,meresilii,taata,naana,"biibilen, ne naana",naana,naana,naana,naana,"biibilen, ne naana",tinyok,tinyok,taata,naana,taata,taata,taata,taata
1,0.23255473056202125,1.329661348854758,1.0971066182927367,tuutuu vaven,meresilii,meresilii,meresilii,menenkulu,menenkulu,meresilii,tuutuu vaven,"biibilen, tuet, taselok",tuutuu vaven,tuutuu vaven,tuutuu vaven,tinyok,"biibilen, ne naana",naana,taata,taata,taata,naana,taata,taata,naana,taata,"biibilen, ne naana",tinyok,naana,naana,naana
2,0.2853421056581563,1.0366279688586069,0.7512858632004505,"biibilen, tuet, taselok",tuutuu vaven,meresilii,tuutuu vaven,tuutuu vaven,meresilii,tuutuu vaven,menenkulu,menenkulu,meresilii,tuutuu vaven,meresilii,taata,tinyok,naana,taata,taata,naana,tinyok,taata,"biibilen, ne naana",naana,naana,taata,naana,taata,"biibilen, ne naana",naana
3,0.48721615952564,1.3343960468766842,0.8471798873510442,meresilii,tuutuu vaven,tuutuu vaven,"biibilen, tuet, taselok",meresilii,menenkulu,tuutuu vaven,tuutuu vaven,meresilii,tuutuu vaven,meresilii,menenkulu,taata,"biibilen, ne naana",naana,tinyok,taata,naana,taata,taata,taata,naana,tinyok,"biibilen, ne naana",naana,taata,naana,naana
4,0.5297061990576545,1.2228533796175998,0.6931471805599453,meresilii,menenkulu,menenkulu,meresilii,tuutuu vaven,meresilii,meresilii,tuutuu vaven,tuutuu vaven,"biibilen, tuet, taselok",tuutuu vaven,tuutuu vaven,naana,"biibilen, ne naana",naana,"biibilen, ne naana",naana,naana,taata,tinyok,taata,taata,taata,naana,tinyok,taata,taata,naana
5,0.3536724588638702,1.3548850530060135,1.0012125941421433,tuutuu vaven,meresilii,meresilii,tuutuu vaven,"biibilen, tuet, taselok",menenkulu,meresilii,tuutuu vaven,meresilii,tuutuu vaven,menenkulu,tuutuu vaven,taata,naana,tinyok,"biibilen, ne naana",naana,naana,taata,"biibilen, ne naana",naana,taata,taata,naana,tinyok,taata,taata,naana
6,0.3236083916917768,0.8486855577264172,0.5250771660346404,tuutuu vaven,tuutuu vaven,meresilii,menenkulu,"biibilen, tuet, taselok",tuutuu vaven,tuutuu vaven,tuutuu vaven,menenkulu,meresilii,meresilii,meresilii,naana,naana,tinyok,naana,"biibilen, ne naana",taata,naana,taata,taata,taata,naana,taata,taata,"biibilen, ne naana",naana,tinyok
7,0.17441604792151588,1.0608569471580214,0.8864408992365055,tuutuu vaven,meresilii,meresilii,tuutuu vaven,menenkulu,tuutuu vaven,"biibilen, tuet, taselok",meresilii,meresilii,menenkulu,tuutuu vaven,tuutuu vaven,taata,taata,"biibilen, ne naana",naana,naana,taata,taata,naana,tinyok,"biibilen, ne naana",naana,taata,naana,taata,tinyok,naana
8,0.27359164964402694,1.087856558505821,0.8142649088617941,meresilii,tuutuu vaven,meresilii,"biibilen, tuet, taselok",tuutuu vaven,meresilii,menenkulu,meresilii,tuutuu vaven,tuutuu vaven,tuutuu vaven,menenkulu,taata,naana,taata,taata,taata,taata,"biibilen, ne naana",tinyok,naana,naana,"biibilen, ne naana",taata,naana,naana,naana,tinyok
9,0.008016275593843325,0.6682484776645385,0.6602322020706952,meresilii,meresilii,tuutuu vaven,menenkulu,menenkulu,tuutuu vaven,meresilii,tuutuu vaven,tuutuu vaven,meresilii,tuutuu vaven,"biibilen, tuet, taselok",naana,taata,taata,taata,taata,naana,naana,naana,"biibilen, ne naana",tinyok,"biibilen, ne naana",tinyok,taata,naana,taata,naana
